ID;Geslacht;Kenmerken;Perioden;InkomendeGrensarbeidUitBelgie_1;InkomendeGrensarbeidUitDuitsland_2;UitgaandeGrensarbeidNaarBelgie_3;UitgaandeGrensarbeidNaarDuitsland_4
0;Totaal mannen en vrouwen;Nederland, totaal, incl. onbekend;1999;16145.0;2970.0;6155.0;14065
1;Totaal mannen en vrouwen;Nederland, totaal, incl. onbekend;2000;16740.0;4965.0;6200.0;13255
2;Totaal mannen en vrouwen;Nederland, totaal, incl. onbekend;2001;17505.0;7975.0;6170.0;12590
3;Totaal mannen en vrouwen;Nederland, totaal, incl. onbekend;2002;18870.0;11115.0;6110.0;11170
4;Totaal mannen en vrouwen;Nederland, totaal, incl. onbekend;2003;19780.0;12955.0;5755.0;10115
5;Totaal mannen en vrouwen;Nederland, totaal, incl. onbekend;2004;20365.0;13885.0;5865.0;9390
6;Totaal mannen en vrouwen;Nederland, totaal, incl. onbekend;2005;20395.0;15130.0;6050.0;8845
7;Totaal mannen en vrouwen;24 jaar en jonger;1999;1945.0;385.0;420.0;610
8;Totaal mannen en vrouwen;24 jaar en jonger;2000;1865.0;775.0;390.0;680
9;Totaal mannen en vrouwen;24 jaar en jonger;2001;1765.0;1340.0;380.0;610
10;Totaal mannen en vrouwen;24 jaar en jonger;2002;2085.0;1790.0;335.0;455
11;Totaal mannen en vrouwen;24 jaar en jonger;2003;2105.0;1940.0;360.0;390
12;Totaal mannen en vrouwen;24 jaar en jonger;2004;1965.0;1850.0;355.0;345
13;Totaal mannen en vrouwen;24 jaar en jonger;2005;1725.0;1860.0;355.0;315
14;Totaal mannen en vrouwen;25 tot 35 jaar;1999;5680.0;1165.0;2055.0;3035
15;Totaal mannen en vrouwen;25 tot 35 jaar;2000;5605.0;1795.0;2060.0;3590
16;Totaal mannen en vrouwen;25 tot 35 jaar;2001;5665.0;2715.0;1980.0;3035
17;Totaal mannen en vrouwen;25 tot 35 jaar;2002;5910.0;3665.0;1780.0;2445
18;Totaal mannen en vrouwen;25 tot 35 jaar;2003;6205.0;4250.0;1615.0;2030
19;Totaal mannen en vrouwen;25 tot 35 jaar;2004;6345.0;4655.0;1580.0;1720
20;Totaal mannen en vrouwen;25 tot 35 jaar;2005;6140.0;4870.0;1555.0;1520
21;Totaal mannen en vrouwen;35 tot 45 jaar;1999;4820.0;875.0;1795.0;3455
22;Totaal mannen en vrouwen;35 tot 45 jaar;2000;5175.0;1470.0;1835.0;3485
23;Totaal mannen en vrouwen;35 tot 45 jaar;2001;5530.0;2375.0;1855.0;3455
24;Totaal mannen en vrouwen;35 tot 45 jaar;2002;5890.0;3370.0;1980.0;3110
25;Totaal mannen en vrouwen;35 tot 45 jaar;2003;6110.0;3905.0;1865.0;2910
26;Totaal mannen en vrouwen;35 tot 45 jaar;2004;6355.0;4060.0;1940.0;2740
27;Totaal mannen en vrouwen;35 tot 45 jaar;2005;6555.0;4540.0;2055.0;2560
28;Totaal mannen en vrouwen;45 tot 55 jaar;1999;2955.0;435.0;1415.0;3715
29;Totaal mannen en vrouwen;45 tot 55 jaar;2000;3240.0;765.0;1335.0;3875
30;Totaal mannen en vrouwen;45 tot 55 jaar;2001;3525.0;1305.0;1325.0;3715
31;Totaal mannen en vrouwen;45 tot 55 jaar;2002;3735.0;1935.0;1345.0;3365
32;Totaal mannen en vrouwen;45 tot 55 jaar;2003;4030.0;2390.0;1265.0;3015
33;Totaal mannen en vrouwen;45 tot 55 jaar;2004;4225.0;2695.0;1280.0;2760
34;Totaal mannen en vrouwen;45 tot 55 jaar;2005;4390.0;3070.0;1330.0;2570
35;Totaal mannen en vrouwen;55 tot 65 jaar;1999;745.0;110.0;510.0;1755
36;Totaal mannen en vrouwen;55 tot 65 jaar;2000;845.0;155.0;570.0;1610
37;Totaal mannen en vrouwen;55 tot 65 jaar;2001;1020.0;240.0;615.0;1755
38;Totaal mannen en vrouwen;55 tot 65 jaar;2002;1240.0;350.0;665.0;1785
39;Totaal mannen en vrouwen;55 tot 65 jaar;2003;1330.0;470.0;640.0;1755
40;Totaal mannen en vrouwen;55 tot 65 jaar;2004;1475.0;615.0;695.0;1805
41;Totaal mannen en vrouwen;55 tot 65 jaar;2005;1585.0;785.0;735.0;1850
42;Totaal mannen en vrouwen;Groningen (PV);1999;5.0;35.0;5.0;175
43;Totaal mannen en vrouwen;Groningen (PV);2000;5.0;40.0;5.0;170
44;Totaal mannen en vrouwen;Groningen (PV);2001;10.0;55.0;5.0;195
