ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzet_25;TotaalHandel_26;TotaalVerleendeDiensten_27;TotaalDranken_28;Gedistilleerd_29;BierAlcoholhoudend_30;BierAlcoholvrijArm_31;ZwakAlcoholischeDranken_32;KoffieEnThee_33;OverigeNietAlcoholischeDranken_34;Keuken_35;IJsEnSorbets_36;Logies_37;VerhuurZalenEnBanen_38;OverigeHorecaActiviteiten_39;OverigeDienstverlening_40;OntvangstenVoorUitleenEnSubsidie_41;TotaalPersoneelskosten_42;BrutoLonenEnSalarissen_43;SocialeLasten_44;Pensioenpremies_45;KostenUitzendkrachten_46;KostenIngeleendPersoneel_47;OverigePersoneelskosten_48;TotaalOverigeBedrijfslasten_49;TotaalHuisvestingskosten_50;BetaaldeHurenPachtenEDVanLeasing_51;OnroerendeZaakbelastingMilieuheffing_52;Energiekosten_53;ReparatieEnOnderhoudskosten_54;Verzekeringen_55;OverigeHuisvestingskosten_56;TotaalInventarisEnMachinekosten_57;BetaaldeHurenEnKostenVanOperLease_58;Onderhoudskosten_59;OverigeInventarisEnMachinekosten_60;TotaalAutokosten_61;BetaaldeHurenEnKostenVanOperLease_62;Brandstof_63;OverigeAutokosten_64;TotaalVerkoopkosten_65;ReclameEnAdvertentiekosten_66;ReisVerblijfsEnRepresentatiekosten_67;OverigeVerkoopkosten_68;TotaalAndereKosten_69;AccountantsEnAdviesdiensten_70;KantoorbenodigdhDrukwerkVakliteratuur_71;OverigeVerzekeringen_72;OverigeKostprijsverhogendeBelastingen_73;Communicatiekosten_74;Beheerskosten_75;OverigeAutomatiseringskosten_76;NogNietEerderGenoemdeBedrijfskosten_77;TotaalAantalWerkzamePersonen_78;WerknemersOpDeLoonlijst_79;WerknemersNietOpLoonlijst_80;OverigPersoneel_81;AantalVte_82;TotaalInvesteringen_83;TotaalMaterieleVasteActiva_84;Bedrijfsruimten_85;Vervoermiddelen_86;Computers_87;OverigeMachinesApparatenED_88;OverigeMaterieleVasteActiva_89;TotaalImmaterieleVasteActiva_90
0;Totaal SBI 55301;1996;92.4;2725;2687;2629;59;38;2417;35.7;28.4;6.8;29.0;701;351;54;24;90;182;308;-48;260;67.8;9.1;9.5;3.3;2687;2.2;97.8;27.6;3.2;8.0;0.6;4.2;4.8;6.8;64.9;1.2;0.9;0.7;2.3;0.2;1.4;686;83.7;9.7;1.6;2.2;0.9;3.4;701;351;53.2;3.1;22.9;8.6;2.7;9.6;54;20.0;45.1;34.9;24;29.7;21.9;48.4;90;38.9;8.2;52.9;182;24.3;8.0;9.8;0.9;7.1;20.1;0.7;29.2;886;84.1;14.2;1.7;509;89;96.0;19.2;16.4;2.1;38.0;20.3;4.0
1;Totaal SBI 55301;1997;95.6;2920;2881;2813;67;39;2602;36.2;28.9;6.9;28.1;730;364;55;23;99;189;318;-49;269;67.3;8.9;9.2;2.2;2881;2.3;97.7;28.6;3.0;8.6;0.6;4.3;5.0;7.0;64.0;1.2;0.9;0.6;2.3;0.1;1.7;753;83.2;9.1;1.7;3.3;0.8;3.6;730;364;52.2;3.2;23.0;9.7;3.0;8.9;55;17.3;42.7;40.0;23;30.7;22.1;47.2;99;38.4;8.7;52.9;189;28.2;7.6;9.7;0.4;6.9;18.2;0.8;28.2;928;83.3;13.9;2.7;502;63;91.9;17.7;9.5;1.9;22.1;40.8;8.1
2;Totaal SBI 55301;1998;96.7;3152;3114;3045;69;38;2802;36.1;29.3;7.0;27.7;775;392;57;24;100;202;350;-48;302;67.5;9.3;9.6;4.3;3114;2.2;97.8;28.4;2.9;8.6;0.5;4.3;5.1;7.0;64.4;1.1;0.9;0.7;2.2;0.2;1.7;821;79.3;12.4;1.6;3.6;0.9;3.9;775;392;;;;;;;57;;;;24;;;;100;;;;202;;;;;;;;;964;82.5;14.3;3.2;525;137;95.6;24.6;14.8;1.4;31.6;23.3;4.4
3;Totaal SBI 55301;1999;98.6;3315;3279;3202;77;36;2953;35.9;30.3;6.7;27.0;798;404;60;28;108;198;362;-54;308;67.6;9.0;9.3;8.2;3279;2.3;97.7;28.4;3.1;8.2;0.4;4.3;5.1;7.2;64.3;1.1;0.8;0.8;2.0;0.2;1.7;895;78.1;12.8;1.9;3.5;1.4;4.2;798;404;;;;;;;60;;;;28;;;;108;;;;198;;;;;;;;;1037;83.1;12.5;4.4;539;273;93.6;31.5;10.0;1.3;28.2;22.7;6.4
4;Tot 250 000 euro;1996;61.6;808;797;796;1;11;678;37.9;19.2;8.3;34.6;234;132;13;9;26;56;130;-16;114;67.8;13.5;14.1;4.1;797;0.2;99.8;24.2;2.7;8.6;0.6;3.2;3.1;5.9;71.5;1.3;0.3;0.3;2.3;0.0;1.2;130;82.9;10.6;2.6;1.4;0.9;2.9;234;132;56.0;2.9;24.9;7.0;2.5;6.8;13;23.2;42.8;34.0;9;28.2;27.5;44.3;26;40.8;5.8;53.4;56;32.5;8.6;11.6;1.0;7.8;7.4;0.7;30.4;289;68.9;30.1;1.1;183;33;94.8;15.2;24.3;1.0;34.4;19.9;5.2
5;Tot 250 000 euro;1997;63.9;831;823;823;1;8;705;38.3;19.0;8.4;34.3;242;135;14;8;28;57;126;-13;113;67.2;13.0;13.6;1.4;823;0.1;99.9;24.5;3.0;9.1;0.6;3.3;3.0;5.5;71.3;1.3;0.2;0.2;2.5;0.0;1.6;134;83.6;10.1;1.5;2.3;0.9;3.1;242;135;54.9;3.3;25.7;7.4;2.7;6.0;14;15.9;45.2;38.9;8;28.9;26.6;44.5;28;41.8;7.6;50.7;57;34.6;8.8;12.1;0.6;7.6;4.4;0.8;31.2;321;69.4;28.7;1.9;176;11;71.2;10.1;7.8;1.3;27.7;24.4;28.8
6;Tot 250 000 euro;1998;60.5;778;769;769;0;9;655;38.3;18.3;8.5;35.0;229;128;14;9;25;54;123;-15;108;67.4;13.6;13.8;4.6;769;0.0;100.0;24.0;2.9;9.1;0.5;3.3;3.0;5.2;72.1;1.1;0.2;0.2;2.4;0.0;2.2;120;81.6;11.8;1.5;2.9;0.8;3.6;229;128;;;;;;;14;;;;9;;;;25;;;;54;;;;;;;;;287;66.3;31.8;1.9;162;36;92.8;16.2;22.4;1.1;36.7;16.4;7.2
7;Tot 250 000 euro;1999;59.4;746;734;734;0;12;623;37.9;19.2;8.4;34.5;215;121;13;9;24;48;123;-13;110;67.8;14.3;14.8;9.6;734;0.1;99.9;23.5;2.9;8.6;0.5;3.1;3.0;5.3;72.3;1.2;0.3;0.2;2.5;0.1;1.9;120;81.1;11.9;1.8;3.4;0.3;3.3;215;121;;;;;;;13;;;;9;;;;24;;;;48;;;;;;;;;289;69.1;27.5;3.4;156;71;93.1;35.9;11.0;0.4;19.3;26.5;6.9
8;250 000 tot 750 000 euro;1996;24.7;952;944;943;1;8;837;36.4;28.4;7.2;27.9;234;112;19;10;29;64;115;-19;96;67.7;9.7;10.1;2.8;944;0.1;99.9;29.4;3.6;9.5;0.8;4.7;4.1;6.6;65.8;1.0;1.0;0.7;1.8;0.2;1.5;238;85.9;10.2;1.2;0.6;0.4;3.2;234;112;47.8;3.6;25.8;10.2;3.4;9.2;19;17.3;47.1;35.7;10;36.7;19.0;44.3;29;39.5;9.5;51.0;64;24.9;7.2;10.6;0.5;6.9;20.9;0.4;28.6;319;88.2;11.0;0.7;165;26;98.7;13.8;15.5;3.7;50.7;15.0;1.3
9;250 000 tot 750 000 euro;1997;25.9;1061;1051;1050;0;10;937;36.8;29.5;7.2;26.4;248;118;19;10;33;68;124;-22;102;67.2;9.4;9.6;1.7;1051;0.0;100.0;30.0;3.7;10.2;0.7;4.5;4.3;6.6;66.0;1.1;0.6;0.6;1.7;0.0;1.8;276;86.3;10.0;1.7;0.6;0.1;3.0;248;118;50.0;3.6;24.5;9.6;3.7;8.6;19;15.0;41.3;43.8;10;34.1;19.8;46.1;33;39.7;10.0;50.3;68;30.5;6.5;10.8;0.2;6.4;17.1;0.4;28.0;330;88.6;10.5;0.9;167;18;98.0;15.3;20.3;1.6;28.5;32.2;2.0
