ID;Leeftijd;Jaar;Mannen_1;Vrouwen_2
0;0;1995/1996;0.00623;0.00451
1;0;1996/1997;0.00609;0.00503
2;0;1997/1998;0.00547;0.00444
3;0;1998/1999;0.0059;0.00439
4;0;1999/2000;0.00552;0.00506
5;0;1995/1996-1999/2000;0.00584;0.00469
6;1;1995/1996;0.00047;0.00048
7;1;1996/1997;0.00059;0.00045
8;1;1997/1998;0.00048;0.0004
9;1;1998/1999;0.00048;0.00028
10;1;1999/2000;0.00049;0.00048
11;1;1995/1996-1999/2000;0.0005;0.00042
12;2;1995/1996;0.00039;0.00026
13;2;1996/1997;0.0004;0.00033
14;2;1997/1998;0.00037;0.00018
15;2;1998/1999;0.00038;0.00028
16;2;1999/2000;0.00036;0.00027
17;2;1995/1996-1999/2000;0.00038;0.00027
18;3;1995/1996;0.00037;0.00021
19;3;1996/1997;0.00028;0.0002
20;3;1997/1998;0.00014;0.00021
21;3;1998/1999;0.00027;0.00017
22;3;1999/2000;0.0002;0.00016
23;3;1995/1996-1999/2000;0.00025;0.00019
24;4;1995/1996;0.00021;0.00017
25;4;1996/1997;0.00014;0.00021
26;4;1997/1998;0.00011;0.00012
27;4;1998/1999;0.00027;8e-05
28;4;1999/2000;0.00018;0.00019
29;4;1995/1996-1999/2000;0.00018;0.00016
30;5;1995/1996;0.00022;0.00018
31;5;1996/1997;0.00029;0.00012
32;5;1997/1998;0.00016;0.00013
33;5;1998/1999;0.00023;0.00011
34;5;1999/2000;0.00019;8e-05
35;5;1995/1996-1999/2000;0.00022;0.00013
36;6;1995/1996;0.00018;0.00014
37;6;1996/1997;0.00014;0.00012
38;6;1997/1998;0.00017;7e-05
39;6;1998/1999;0.00016;0.00012
40;6;1999/2000;0.0002;8e-05
41;6;1995/1996-1999/2000;0.00017;0.00011
42;7;1995/1996;0.00014;0.0001
43;7;1996/1997;0.00022;8e-05
44;7;1997/1998;0.00019;9e-05
45;7;1998/1999;0.00015;0.0001
46;7;1999/2000;0.00015;0.00013
47;7;1995/1996-1999/2000;0.00017;0.0001
48;8;1995/1996;0.00018;9e-05
49;8;1996/1997;0.00014;0.0001
50;8;1997/1998;0.00011;9e-05
51;8;1998/1999;0.00014;0.00012
52;8;1999/2000;0.00013;0.0001
53;8;1995/1996-1999/2000;0.00014;0.0001
54;9;1995/1996;9e-05;0.00011
55;9;1996/1997;0.00019;9e-05
56;9;1997/1998;0.0001;0.00011
57;9;1998/1999;0.00013;7e-05
58;9;1999/2000;0.00011;0.00012
59;9;1995/1996-1999/2000;0.00013;0.0001
60;10;1995/1996;0.00013;0.00011
