ID;Branches;Perioden;Koplopers_1;Achterblijvers_2;Betrouwbaarheidsmarge_3;Koplopers_4;Achterblijvers_5;Betrouwbaarheidsmarge_6;Koplopers_7;Achterblijvers_8;Betrouwbaarheidsmarge_9;Koplopers_10;Achterblijvers_11;Betrouwbaarheidsmarge_12;Koplopers_13;Achterblijvers_14;Betrouwbaarheidsmarge_15;Koplopers_16;Achterblijvers_17;Betrouwbaarheidsmarge_18;Koplopers_19;Achterblijvers_20;Betrouwbaarheidsmarge_21;Koplopers_22;Achterblijvers_23;Betrouwbaarheidsmarge_24;Koplopers_25;Achterblijvers_26;Betrouwbaarheidsmarge_27;Koplopers_28;Achterblijvers_29;Betrouwbaarheidsmarge_30;Koplopers_31;Achterblijvers_32;Betrouwbaarheidsmarge_33;Koplopers_34;Achterblijvers_35;Betrouwbaarheidsmarge_36;Koplopers_37;Achterblijvers_38;Betrouwbaarheidsmarge_39
0;28 Machine-industrie;2009;70;73;0.89;34390;36330;0.42;230;290;0.52;13760;17095;0.64;1720;-1525;0.0;1545;-1950;0.0;0.144;-0.154;0.0;1345;315;0.02;13005;20395;0.53;25;35;0.11;23;-20;0;0.63;0.72;0.05;135;80;0.0
1;28 Machine-industrie;2010;79;75;0.84;33380;36365;0.15;260;275;0.91;17795;19335;0.83;1675;340;0.12;1755;-65;0.03;0.107;-0.038;0.0;1425;430;0.01;17415;22990;0.66;25;32;0.26;23;-16;0;0.64;0.69;0.23;105;100;0.76
2;46 Groothandel;2009;24;23;0.77;37500;35050;0.04;215;170;0.07;12145;9750;0.1;950;-160;0.0;960;-280;0.0;;;;620;420;0.06;5935;8245;0.24;19;29;0.0;33;-12;0;0.65;0.68;0.07;220;100;0.0
3;46 Groothandel;2010;34;29;0.03;38750;35525;0.01;255;185;0.01;21595;15690;0.04;1365;335;0.0;1495;270;0.0;0.112;-0.159;0.0;1115;815;0.37;9815;14135;0.21;22;31;0.0;26;-10;0;0.67;0.67;0.57;180;110;0.0
4;47 Detailhandel;2009;71;61;0.43;18485;20460;0.12;75;70;0.77;31755;11395;0.01;1310;-245;0.0;1285;-350;0.0;0.082;-0.029;0.0;1745;435;0.09;7220;6030;0.53;25;36;0.0;27;-11;0;0.66;0.72;0.04;100;95;0.56
5;47 Detailhandel;2010;76;48;0.01;17945;20810;0.04;40;45;0.64;30075;9665;0.01;1515;-125;0.0;1505;-210;0.0;0.07;-0.018;0.0;1720;350;0.09;6015;4905;0.5;30;42;0.0;25;-9;0;0.71;0.75;0.15;100;70;0.0
6;49 Vervoer over land;2009;65;65;0.99;30370;31640;0.46;90;95;0.77;9210;6720;0.28;655;-230;0.0;675;-340;0.0;;;;540;95;0.03;5355;5340;0.99;41;59;0.0;16;-12;0;0.72;0.86;0.0;125;100;0.01
7;49 Vervoer over land;2010;76;72;0.83;30065;31130;0.57;125;105;0.57;10615;8545;0.45;735;-85;0.0;665;-175;0.0;0.073;-0.038;0.0;575;210;0.16;4990;5970;0.54;46;55;0.04;13;-11;0;0.75;0.83;0.01;120;105;0.14
8;62 IT-dienstverlening;2009;29;29;0.94;42530;38560;0.12;410;310;0.15;3935;5015;0.64;740;-640;0.0;760;-600;0.0;0.222;-0.094;0.0;450;1290;0.27;1675;10670;0.14;8;15;0.0;42;-19;0;0.62;0.65;0.45;130;105;0.17
9;62 IT-dienstverlening;2010;32;27;0.22;41725;37485;0.09;355;355;1.0;4940;7280;0.53;580;60;0.0;585;-20;0.0;0.171;-0.199;0.0;420;1260;0.24;3775;8705;0.36;10;17;0.0;41;-17;0;0.64;0.66;0.56;140;100;0.05
