ID;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
0;J Information and communication;2005 1st quarter;85.2;
1;J Information and communication;2005 2nd quarter;86.9;
2;J Information and communication;2005 3rd quarter;84.9;
3;J Information and communication;2005 4th quarter;99.2;
4;J Information and communication;2005;89.1;
5;J Information and communication;2006 1st quarter;91.0;6.8
6;J Information and communication;2006 2nd quarter;91.1;4.8
7;J Information and communication;2006 3rd quarter;90.1;6.1
8;J Information and communication;2006 4th quarter;107.9;8.8
9;J Information and communication;2006;95.0;6.7
10;J Information and communication;2007 1st quarter;98.1;7.7
11;J Information and communication;2007 2nd quarter;98.9;8.6
12;J Information and communication;2007 3rd quarter;96.1;6.7
13;J Information and communication;2007 4th quarter;111.9;3.7
14;J Information and communication;2007;101.2;6.5
15;J Information and communication;2008 1st quarter;99.4;1.3
16;J Information and communication;2008 2nd quarter;101.4;2.5
17;J Information and communication;2008 3rd quarter;98.2;2.2
18;J Information and communication;2008 4th quarter;114.7;2.5
19;J Information and communication;2008;103.4;2.2
20;J Information and communication;2009 1st quarter;101.0;1.7
21;J Information and communication;2009 2nd quarter;99.2;-2.2
22;J Information and communication;2009 3rd quarter;92.9;-5.4
23;J Information and communication;2009 4th quarter;108.6;-5.3
24;J Information and communication;2009;100.4;-2.9
25;J Information and communication;2010 1st quarter;98.4;-2.6
26;J Information and communication;2010 2nd quarter;96.4;-2.8
27;J Information and communication;2010 3rd quarter;94.8;2.1
28;J Information and communication;2010 4th quarter;110.3;1.6
29;J Information and communication;2010;100.0;-0.4
30;J Information and communication;2011 1st quarter;98.0;-0.4
31;J Information and communication;2011 2nd quarter;98.4;2.1
32;J Information and communication;2011 3rd quarter;96.2;1.5
33;J Information and communication;2011 4th quarter;110.8;0.4
34;J Information and communication;2011;100.9;0.9
35;J Information and communication;2012 1st quarter;97.6;-0.4
36;J Information and communication;2012 2nd quarter;96.0;-2.5
37;J Information and communication;2012 3rd quarter;93.4;-3.0
38;J Information and communication;2012 4th quarter;104.3;-5.8
39;J Information and communication;2012;97.8;-3.0
40;J Information and communication;2013 1st quarter;93.4;-4.4
