ID;Perioden;TotaalMisdrijven_1;WetboekVanStrafrechtTotaal_2;Geweldsmisdrijven_3;Vermogensmisdrijven_4;VernielingEnOpenbareOrde_5;WegenverkeerswetTotaal_6;WegenverkeerswetRijdenOnderInvloed_7;WegenverkeerswetDoorrijdenNaOngeval_8;OpgehelderdeMisdrijven_9;TotaalVerdachten_10;MannenVan18JaarOfOuder_11;VrouwenVan18JaarOfOuder_12;JongensJongerDan18Jaar_13;MeisjesJongerDan18Jaar_14;DoorHetOMSepot_15;DoorHetOMTransactie_16;DoorDeRechter_17;DoorHetOMTotaal_18;DoorHetOMSepot_19;DoorDeRechter_20;TotaalSchuldigverklaringen_21;WetboekVanStrafrechtTotaal_22;MisdrijvenTegenDeOpenbareOrde_23;MisdrijvenTegenHetOpenbaarGezag_24;MoordEnDoodslag_25;Mishandeling_26;Vernieling_27;SeksueleMisdrijven_28;Diefstal_29;Verduistering_30;Bedrog_31;Heling_32;TelegraafEnTelefoonwet_33;Vuurwapenwet_34;Opiumwet_35;WegenverkeerswetTotaal_36;WegenverkeerswetRijdenOnderInvloed_37;WegenverkeerswetDoorrijdenNaOngeval_38;WegensOvertredingen_39;OnvoorwaardelijkeGevangenisstraf_40;DeelsVoorwaardelijkeGevangenisstraf_41;VoorwaardelijkeGevangenisstraf_42;GeldboeteMetVoorwaardVrijheidsstraf_43;UitsluitendGeldboete_44;OpnemingenInStrafinrichtingen_45;BevolkingHuisVanBewaring_46;BevolkingGevangenis_47;BevolkingGecombineerdeInrichting_48;BevolkingRijkswerkinrichting_49;AantalIngeschrevenAdvocaten_50;GewoneRechtspraakInclMilitaire_51;AdministratieveRechtspraak_52;TotaalBegroteUitgaven_53;Rechtshandhaving_54;WetgevingRechtsplegingEnBijstand_55;Gevangeniswezen_56;TbrEnReclassering_57;BurgerrechtelijkOndertoezichtstelling_58;StrafrechtelijkOndertoezichtstelling_59;ToevertrouwingAanDeKinderbescherming_60;OntzettingOuderlijkeMachtOfVoogdij_61;OntheffingOuderlijkeMachtOfVoogdij_62;Adoptie_63;BurgerlijkeRechtspraak_64;TotaalGefailleerden_65;OndernemingenTotaal_66;LandbouwEnVisserij_67;Industrie_68;BouwnijverheidEnInstallatiebedrijven_69;Handel_70;TransportOpslagEnCommunicatie_71;OverigeWaaronderDienstverlening_72;TotaalUitgesprokenFaillissementen_73;BedrijvenEnInstellingenTotaal_74;LandEnBosbouwJachtEnVisserij_75;WinningVanDelfstoffenEnIndustrie_76;Bouwnijverheid_77;ReparatieConsumentenartEnHandel_78;Horeca_79;VervoerOpslagEnCommunicatie_80;FinInstVerhuurEnZakDienstverl_81;OnderwGezondhMilieuOvDienstVerl_82;TotaalBranden_83;BrandenWoonhuizen_84;BrandenMetOpgegevenSchadebedrag_85;SchadebedragTotaal_86;SchadebedragWoonhuizen_87
0;1900;;;;;;;;;;;;;;;;;96.7;;;14.6;13169.0;13169.0;420.0;1190.0;17.0;4144.0;860.0;192.0;2381.0;309.0;114.0;82.0;;;;;;;96.1;7843.0;;;;3849.0;39850.0;774.0;2149.0;;3569.0;907.0;;;3.0;0.0;1.0;1.0;;;;;;;;;1096.0;;;;;;;;;;;;;;;;;;;;;;
1;1905;;;;;;;;;;;;;;;;;142.7;;;15.4;13330.0;13327.0;319.0;1151.0;26.0;3691.0;790.0;291.0;2735.0;370.0;112.0;122.0;;;;;;;140.3;8162.0;;;;4202.0;36003.0;930.0;2259.0;;3671.0;911.0;;;3.0;0.0;1.0;1.0;;;;;;;;;1473.0;;;;;;;;;;;;;;;;;;;;;;
2;1910;;;;;;;;;;;;;;;;;158.2;;;20.3;14154.0;14148.0;312.0;1365.0;35.0;3514.0;714.0;336.0;3483.0;546.0;175.0;202.0;;;;;;;158.9;7684.0;;;;5250.0;29915.0;1011.0;2167.0;;2274.0;951.0;;;5.0;1.0;1.0;1.0;0.0;;;;;;;;1770.0;;;;;;;;;;;;;;;;;;;;;;
3;1915;;;;;;;;;;;;;;;;;156.2;;;19.1;14233.0;14222.0;330.0;1346.0;28.0;2928.0;717.0;349.0;3848.0;595.0;147.0;265.0;;;;;;;145.1;7536.0;;;;6161.0;25630.0;1045.0;1931.0;;1081.0;984.0;;;5.0;1.0;1.0;1.0;0.0;;;441.0;989.0;380.0;;;1293.0;;;;;;;;;;;;;;;;;;;;;;
4;1920;;;;;;;;;;;;;;;;2.8;244.5;;;27.2;24356.0;24316.0;265.0;1411.0;51.0;3387.0;863.0;644.0;9722.0;1369.0;438.0;1220.0;;;;;;;250.8;12846.0;;2751.0;;12574.0;23474.0;1482.0;2617.0;;2269.0;1021.0;;;12.0;2.0;2.0;3.0;0.0;;;752.0;1288.0;631.0;;;1283.0;;;;;;;;;;;;;;;;;;;;;;
5;1925;;;;;;;;;;;;;;;;61.5;214.0;;;25.4;18728.0;18618.0;274.0;1219.0;36.0;3932.0;946.0;912.0;4691.0;1242.0;435.0;599.0;;;;;;;277.8;5711.0;;1856.0;;8609.0;18063.0;1068.0;2136.0;0.0;1523.0;1368.0;0.0;0.0;12.0;3.0;3.0;2.0;0.0;735.0;294.0;517.0;930.0;539.0;;;3765.0;;;;;;;;;;;;;;;;;;;;;;
6;1930;;;;;;;;;;;;;;;;143.2;191.0;;;26.6;17206.0;17075.0;305.0;985.0;28.0;4258.0;1075.0;1194.0;3710.0;1043.0;344.0;308.0;;;40.0;;;;327.2;4059.0;52.0;1620.0;69.0;9324.0;16087.0;801.0;1593.0;0.0;1411.0;1516.0;;;13.0;3.0;4.0;3.0;0.0;1537.0;378.0;968.0;1234.0;759.0;;;2895.0;;;;;;;;;;;;;;;;;;;;;;
7;1935;;;;;;;;;;;;;;;;247.9;237.5;;;39.1;22091.0;21771.0;459.0;913.0;31.0;3824.0;949.0;1382.0;6302.0;1167.0;720.0;692.0;;0.0;23.0;;;;479.5;6142.0;590.0;2619.0;894.0;8834.0;39660.0;1474.0;2060.0;;1536.0;1819.0;;;12.0;3.0;3.0;2.0;0.0;1304.0;615.0;408.0;783.0;557.0;;;4563.0;3125.0;265.0;709.0;425.0;1517.0;175.0;34.0;;;;;;;;;;;;;;;
8;1936;;;;;;;;;;;;;;;;276.9;236.2;;;38.3;23320.0;22875.0;359.0;879.0;39.0;3567.0;820.0;1529.0;7213.0;1350.0;815.0;847.0;;0.0;24.0;;;;508.2;6608.0;703.0;3082.0;1044.0;8786.0;34966.0;1554.0;2135.0;;1514.0;;;;12.0;3.0;3.0;2.0;0.0;1436.0;642.0;578.0;840.0;593.0;;;4322.0;3148.0;204.0;836.0;425.0;1444.0;204.0;35.0;;;;;;;;;;;;;;;
9;1937;;;;;;;;;;;;;;;;298.1;228.4;;;37.7;24681.0;24382.0;430.0;818.0;30.0;3572.0;872.0;1558.0;8222.0;1327.0;853.0;1032.0;;0.0;34.0;;;;521.2;6906.0;748.0;3507.0;1292.0;8819.0;31213.0;1500.0;2185.0;;1502.0;;;;12.0;3.0;3.0;2.0;0.0;1450.0;602.0;630.0;1009.0;721.0;;;3006.0;2092.0;125.0;541.0;300.0;961.0;141.0;24.0;;;;;;;;;;;;;;;
10;1938;;;;;;;;;;;;;;;;321.6;228.0;;;36.2;23756.0;23293.0;349.0;766.0;32.0;3597.0;831.0;1729.0;7110.0;1445.0;872.0;866.0;;0.0;25.0;;;;548.5;6824.0;603.0;3310.0;1377.0;8461.0;28770.0;1397.0;2269.0;;1501.0;1926.0;;;12.0;3.0;3.0;2.0;0.0;1793.0;591.0;900.0;1014.0;861.0;;;2395.0;1676.0;99.0;429.0;240.0;776.0;113.0;19.0;;;;;;;;;;;;;;;
