ID;AreasOfCivilEngineeringWorks;Periods;InputPriceIndex_1;ChangesComparedWithOneYearEarlier_2
0;42/43 Civil engineering works;1979 February;;
1;42/43 Civil engineering works;1979 August;;
2;42/43 Civil engineering works;1980 February;;
3;42/43 Civil engineering works;1980 August;;
4;42/43 Civil engineering works;1981 February;;
5;42/43 Civil engineering works;1981 August;;
6;42/43 Civil engineering works;1982 February;;
7;42/43 Civil engineering works;1982 August;;
8;42/43 Civil engineering works;1983 February;;
9;42/43 Civil engineering works;1983 August;;
10;42/43 Civil engineering works;1984 February;;
11;42/43 Civil engineering works;1984 August;;
12;42/43 Civil engineering works;1985 February;;
13;42/43 Civil engineering works;1985 August;;
14;42/43 Civil engineering works;1986 February;;
15;42/43 Civil engineering works;1986 August;;
16;42/43 Civil engineering works;1987 February;;
17;42/43 Civil engineering works;1987 August;;
18;42/43 Civil engineering works;1988 February;;
19;42/43 Civil engineering works;1988 August;;
20;42/43 Civil engineering works;1989 February;;
21;42/43 Civil engineering works;1989 August;;
22;42/43 Civil engineering works;1990 February;;
23;42/43 Civil engineering works;1990 August;;
24;42/43 Civil engineering works;1991 February;;
25;42/43 Civil engineering works;1991 August;;
26;42/43 Civil engineering works;1992 February;;
27;42/43 Civil engineering works;1992 August;;
28;42/43 Civil engineering works;1993 February;;
29;42/43 Civil engineering works;1993 August;;
30;42/43 Civil engineering works;1994 February;;
31;42/43 Civil engineering works;1994 August;;
32;42/43 Civil engineering works;1995 February;;
33;42/43 Civil engineering works;1995 August;;
34;42/43 Civil engineering works;1996 February;;
35;42/43 Civil engineering works;1996 August;;
36;42/43 Civil engineering works;1997 February;;
37;42/43 Civil engineering works;1997 August;;
38;42/43 Civil engineering works;1998 January;;
39;42/43 Civil engineering works;1998 April;;
40;42/43 Civil engineering works;1998 July;;
41;42/43 Civil engineering works;1998 October;;
42;42/43 Civil engineering works;1999 January;;
43;42/43 Civil engineering works;1999 April;;
44;42/43 Civil engineering works;1999 July;;
45;42/43 Civil engineering works;1999 October;;
46;42/43 Civil engineering works;2000 January;97.8;
47;42/43 Civil engineering works;2000 April;99.6;
48;42/43 Civil engineering works;2000 July;100.8;
49;42/43 Civil engineering works;2000 October;101.9;
50;42/43 Civil engineering works;2001 January;102.5;4.8
51;42/43 Civil engineering works;2001 April;103.3;3.7
52;42/43 Civil engineering works;2001 July;103.5;2.8
53;42/43 Civil engineering works;2001 October;103.3;1.4
54;42/43 Civil engineering works;2002 January;104.3;1.8
55;42/43 Civil engineering works;2002 April;105.5;2.2
56;42/43 Civil engineering works;2002 July;105.8;2.2
57;42/43 Civil engineering works;2002 October;106.7;3.4
58;42/43 Civil engineering works;2003 January;106.3;1.9
59;42/43 Civil engineering works;2003 April;106.2;0.7
60;42/43 Civil engineering works;2003 July;105.6;-0.1
61;42/43 Civil engineering works;2003 October;106.2;-0.5
62;42/43 Civil engineering works;2004 January;107.2;0.9
63;42/43 Civil engineering works;2004 April;108.3;2.0
64;42/43 Civil engineering works;2004 July;109.7;3.9
65;42/43 Civil engineering works;2004 October;110.9;4.4
66;42/43 Civil engineering works;2005 January;110.7;3.2
67;42/43 Civil engineering works;2005 April;111.0;2.5
68;42/43 Civil engineering works;2005 July;112.4;2.4
69;42/43 Civil engineering works;2005 October;115.2;3.9
70;42/43 Civil engineering works;2006 January;117.1;5.8
71;42/43 Civil engineering works;2006 April;120.9;8.9
72;42/43 Civil engineering works;2006 July;125.1;11.3
73;42/43 Civil engineering works;2006 October;125.3;8.7
74;42/43 Civil engineering works;2007 January;125.1;6.8
75;42/43 Civil engineering works;2007 April;128.3;6.1
76;42/43 Civil engineering works;2007 July;130.3;4.2
77;42/43 Civil engineering works;2007 October;131.1;4.6
78;42/43 Civil engineering works;2008 January;133.9;7.0
79;42/43 Civil engineering works;2008 April;137.2;6.9
80;42/43 Civil engineering works;2008 July;143.8;10.3
81;42/43 Civil engineering works;2008 October;141.2;7.7
82;42/43 Civil engineering works;2009 January;133.0;-0.7
83;42/43 Civil engineering works;2009 April;132.2;-3.7
84;42/43 Civil engineering works;2009 July;134.1;-6.7
85;42/43 Civil engineering works;2009 October;135.2;-4.3
86;42/43 Civil engineering works;2010 January;136.8;2.9
87;42/43 Civil engineering works;2010 April;139.7;5.7
88;42/43 Civil engineering works;2010 July;140.1;4.4
89;42/43 Civil engineering works;2010 October;140.9;4.2
90;42/43 Civil engineering works;2011 January;143.7;5.1
91;42/43 Civil engineering works;2011 April;146.0;4.5
92;42/43 Civil engineering works;2011 July;146.2;4.4
93;42/43 Civil engineering works;2011 October;146.3;3.8
94;42/43 Civil engineering works;2012 January;148.2;3.1
95;42/43 Civil engineering works;2012 April;149.6;2.5
96;42/43 Civil engineering works;2012 July;149.8;2.5
97;42/43 Civil engineering works;2012 October;150.7;3.0
98;42/43 Civil engineering works;2013 January;150.7;1.7
99;42/43 Civil engineering works;2013 April;149.8;0.2
100;42/43 Civil engineering works;2013 July;149.9;0.0
101;42/43 Civil engineering works;2013 October;149.6;-0.7
102;42/43 Civil engineering works;2014 January;150.3;-0.2
103;42/43 Civil engineering works;2014 April;149.7;-0.1
104;42/43 Civil engineering works;2014 July;150.0;0.1
105;42/43 Civil engineering works;2014 October;150.1;0.4
106;42/43 Civil engineering works;2015 January;146.3;-2.6
107;42/43 Civil engineering works;2015 April;147.8;-1.3
108;42/43 Civil engineering works;2015 July;148.4;-1.1
109;42/43 Civil engineering works;2015 October;146.3;-2.5
110;42/43 Civil engineering works;2016 January;143.9;-1.7
111;42/43 Civil engineering works;2016 April;144.5;-2.2
112;42/43 Civil engineering works;2016 July;147.6;-0.5
113;42/43 Civil engineering works;2016 October;148.6;1.5
114;42/43 Civil engineering works;2017 January;151.3;5.2
115;42/43 Civil engineering works;2017 April;151.0;4.5
116;42/43 Civil engineering works;2017 July;149.5;1.3
117;42/43 Civil engineering works;2017 October;150.9;1.5
118;42/43 Civil engineering works;2018 January;154.2;1.9
119;42/43 Civil engineering works;2018 April;153.5;1.7
120;42/43 Civil engineering works;2018 July;157.1;5.0
121;42/43 Civil engineering works;2018 October;160.0;6.1
122;42/43 Civil engineering works;2019 January;157.4;2.1
123;42/43 Civil engineering works;2019 April;160.0;4.3
124;42/43 Civil engineering works;2019 July;161.4;2.7
125;42/43 Civil engineering works;2019 October;160.4;0.3
126;42/43 Civil engineering works;2020 January;162.5;3.3
127;42/43 Civil engineering works;2020 April;158.6;-0.9
128;42/43 Civil engineering works;2020 July;161.3;-0.1
129;42/43 Civil engineering works;2020 October;160.5;0.0
130;42/43 Civil engineering works;2021 January;162.7;0.1
131;42/43 Civil engineering works;2021 April;167.8;5.8
132;42/43 Civil engineering works;2021 July;172.0;6.6
133;42/43 Civil engineering works;2021 October;174.0;8.4
134;42/43 Civil engineering works;2022 January;181.0;11.3
135;42/43 Civil engineering works;2022 April;200.9;19.7
136;42/43 Civil engineering works;2022 July;201.9;17.4
137;42/43 Civil engineering works;2022 October;200.2;15.1
138;42/43 Civil engineering works;2023 January;197.8;9.3
139;42/43 Civil engineering works;2023 April;199.4;-0.7
140;42/43 Civil engineering works;2023 July;202.9;0.5
141;42/43 Civil engineering works;2023 October;208.1;3.9
142;42/43 Civil engineering works;2024 January;206.4;4.3
143;42/43 Civil engineering works;2024 February;207.6;
144;42/43 Civil engineering works;2024 March;207.1;
145;42/43 Civil engineering works;2024 April;208.0;4.3
146;42/43 Civil engineering works;2024 May;208.1;
147;42/43 Civil engineering works;2024 June;207.3;
148;42/43 Civil engineering works;2024 July;211.1;4.0
149;42/43 Civil engineering works;2024 August;211.0;
150;42/43 Civil engineering works;2024 September;208.0;
151;42/43 Civil engineering works;2024 October;208.1;0.0
152;42/43 Civil engineering works;2024 November;209.7;
153;42/43 Civil engineering works;2024 December;208.7;
154;42/43 Civil engineering works;2025 January;210.7;2.1
155;"4211a Road construction; brick paving";1979 February;54.4;
156;"4211a Road construction; brick paving";1979 August;56.9;
157;"4211a Road construction; brick paving";1980 February;59.6;9.5
158;"4211a Road construction; brick paving";1980 August;60.7;6.7
159;"4211a Road construction; brick paving";1981 February;63.1;5.9
160;"4211a Road construction; brick paving";1981 August;64.4;6.2
161;"4211a Road construction; brick paving";1982 February;65.7;4.1
162;"4211a Road construction; brick paving";1982 August;66.0;2.4
163;"4211a Road construction; brick paving";1983 February;65.4;-0.5
164;"4211a Road construction; brick paving";1983 August;65.8;-0.2
165;"4211a Road construction; brick paving";1984 February;65.8;0.7
166;"4211a Road construction; brick paving";1984 August;66.8;1.5
167;"4211a Road construction; brick paving";1985 February;67.2;2.1
168;"4211a Road construction; brick paving";1985 August;68.1;2.0
169;"4211a Road construction; brick paving";1986 February;69.2;2.9
170;"4211a Road construction; brick paving";1986 August;69.7;2.3
171;"4211a Road construction; brick paving";1987 February;70.8;2.4
172;"4211a Road construction; brick paving";1987 August;71.1;2.0
173;"4211a Road construction; brick paving";1988 February;72.2;1.9
174;"4211a Road construction; brick paving";1988 August;72.4;1.8
175;"4211a Road construction; brick paving";1989 February;73.6;2.0
176;"4211a Road construction; brick paving";1989 August;75.0;3.7
