ID;Periods;YachtPassengers_1;NumberOfYachts_2;AverageNumberOfMooringDays_3
0;2014 January;310;90;8.6
1;2014 February;160;50;11.4
2;2014 March;250;80;10.8
3;2014 1st quarter;730;220;10.3
4;2014 April;190;60;7.3
5;2014 May;200;70;9.6
6;2014 June;140;50;9.9
7;2014 2nd quarter;530;180;8.9
8;2014 July;170;50;10.6
9;2014 August;150;50;13.2
10;2014 September;150;50;10.9
11;2014 3rd quarter;470;160;11.6
12;2014 October;380;110;8.2
13;2014 November;270;90;9.2
14;2014 December;250;80;9.1
15;2014 4th quarter;900;280;8.8
16;2014;2620;830;9.9
17;2015 January;230;70;9.3
18;2015 February;330;90;11.4
19;2015 March;230;70;10.5
20;2015 1st quarter;790;230;10.4
21;2015 April;190;50;7.0
22;2015 May;160;60;15.0
23;2015 June;110;40;15.0
24;2015 2nd quarter;460;140;12.3
25;2015 July;200;50;11.5
26;2015 August;220;60;10.4
27;2015 September;130;50;10.1
28;2015 3rd quarter;550;170;10.6
29;2015 October;320;100;9.1
30;2015 November;200;70;13.5
31;2015 December;190;60;9.6
32;2015 4th quarter;720;230;10.7
33;2015;2520;780;11.0
34;2016 January;430;100;7.0
35;2016 February;180;50;15.9
36;2016 March;280;80;5.9
37;2016 1st quarter;890;240;9.6
38;2016 April;250;60;4.4
39;2016 May;170;60;12.0
40;2016 June;110;40;11.8
41;2016 2nd quarter;530;160;9.4
42;2016 July;160;50;13.8
43;2016 August;180;60;6.9
44;2016 September;120;40;7.5
45;2016 3rd quarter;460;150;9.4
46;2016 October;410;120;9.7
47;2016 November;200;70;9.3
48;2016 December;180;60;10.2
49;2016 4th quarter;800;260;9.7
50;2016;2670;800;9.5
51;2017 January;420;110;10.1
52;2017 February;300;80;6.0
53;2017 March;220;80;4.9
54;2017 1st quarter;940;260;7.0
55;2017 April;380;90;7.1
56;2017 May;230;80;10.1
57;2017 June;140;60;13.5
58;2017 2nd quarter;740;230;10.2
59;2017 July;240;80;14.0
60;2017 August;420;100;15.9
61;2017 September;280;70;12.1
62;2017 3rd quarter;930;250;14.0
63;2017 October;820;160;7.0
64;2017 November;250;90;10.8
65;2017 December;350;100;7.8
66;2017 4th quarter;1420;340;8.5
67;2017;4040;1080;9.9
68;2018 January;370;100;11.1
69;2018 February;300;80;10.1
70;2018 March;340;90;11.0
71;2018 1st quarter;1010;280;10.7
72;2018 April;680;130;7.6
73;2018 May;340;110;13.5
74;2018 June;250;80;7.7
75;2018 2nd quarter;1270;320;9.6
76;2018 July;250;60;12.0
77;2018 August;190;60;12.5
78;2018 September;220;60;12.0
79;2018 3rd quarter;660;190;12.2
80;2018 October;810;170;9.6
81;2018 November;270;80;13.3
82;2018 December;210;70;9.1
83;2018 4th quarter;1290;320;10.7
84;2018;4230;1110;10.8
85;2019 January;340;90;14.0
86;2019 February;330;80;8.9
87;2019 March;180;50;8.9
88;2019 1st quarter;850;220;10.6
89;2019 April;280;70;8.6
90;2019 May;180;70;9.1
91;2019 June;190;70;5.2
92;2019 2nd quarter;650;210;7.6
93;2019 July;170;50;15.9
94;2019 August;180;60;10.6
95;2019 September;150;40;9.0
96;2019 3rd quarter;500;150;11.8
97;2019 October;570;120;9.8
98;2019 November;200;80;12.3
99;2019 December;240;70;10.6
100;2019 4th quarter;1010;270;10.9
101;2019;3010;850;10.2
102;2020 January;380;100;8.6
103;2020 February;180;60;7.2
104;2020 March;140;50;8.8
105;2020 1st quarter;700;200;8.2
106;2020 April;0;0;0.0
107;2020 May;10;0;0.0
108;2020 June;70;30;1.7
109;2020 2nd quarter;90;30;0.6
110;2020 July;230;60;7.1
111;2020 August;150;40;7.5
112;2020 September;10;0;11.0
113;2020 3rd quarter;390;110;8.5
114;2020 October;20;10;26.5
115;2020 November;90;30;17.0
116;2020 December;40;20;7.2
117;2020 4th quarter;150;60;16.9
118;2020;1320;400;8.5
119;2021 January;40;10;17.7
120;2021 February;60;20;12.0
121;2021 March;90;20;21.1
122;2021 1st quarter;190;50;16.9
123;2021 April;40;20;29.0
124;2021 May;70;30;18.6
125;2021 June;170;60;12.9
126;2021 2nd quarter;280;100;20.2
127;2021 July;170;40;17.4
128;2021 August;100;30;12.9
129;2021 September;140;30;7.2
130;2021 3rd quarter;410;110;12.5
131;2021 October;100;30;9.3
132;2021 November;90;40;22.4
133;2021 December;90;40;15.1
134;2021 4th quarter;280;100;15.6
135;2021;1170;360;16.3
136;2022 January;160;50;8.2
137;2022 February;160;40;7.8
138;2022 March;190;60;8.4
139;2022 1st quarter;510;150;8.1
140;2022 April;450;100;6.5
141;2022 May;180;60;15.0
142;2022 June;240;60;13.3
143;2022 2nd quarter;870;230;11.6
144;2022 July;180;50;8.5
145;2022 August;210;50;9.5
146;2022 September;200;60;11.3
147;2022 3rd quarter;580;160;9.7
148;2022 October;600;120;11.3
149;2022 November;250;80;8.3
150;2022 December;220;60;9.9
151;2022 4th quarter;1070;260;9.8
152;2022;3030;790;9.8
153;2023 January;360;90;7.8
154;2023 February;260;60;9.2
155;2023 March;170;50;11.8
156;2023 1st quarter;790;200;9.6
157;2023 April;560;90;3.7
158;2023 May;320;80;7.9
159;2023 June;110;40;9.6
160;2023 2nd quarter;980;210;7.0
161;2023 July;110;40;12.6
162;2023 August;200;50;7.4
163;2023 September;70;30;5.0
164;2023 3rd quarter;380;110;8.3
165;2023 October;480;100;5.2
166;2023 November;180;60;13.4
167;2023 December;230;60;9.4
168;2023 4th quarter;890;220;9.3
169;2023;3050;740;8.6
170;2024 January;330;80;6.9
171;2024 February;160;40;8.1
172;2024 March;160;40;9.2
173;2024 1st quarter;650;150;8.1
174;2024 April;500;100;7.8
175;2024 May;190;60;11.4
176;2024 June;110;40;14.8
177;2024 2nd quarter;800;200;11.3
178;2024 July;200;50;15.5
179;2024 August;160;50;8.5
180;2024 September;110;40;5.8
181;2024 3rd quarter;470;140;9.9
182;2024 October;560;120;8.4
183;2024 November;190;70;11.0
184;2024 December;220;60;6.8
185;2024 4th quarter;970;250;8.8
186;2024;2900;740;9.5
