ID;RegioS;Geslacht;Leeftijd;AantalPersonenMet52WekenInkomen_1;GemiddeldBesteedbaarInkomen_2
0;Nederland;Totaal mannen en vrouwen;Totaal leeftijd;10876.6;18.2
1;Nederland;Totaal mannen en vrouwen;15 tot 25 jaar;983.9;8.9
2;Nederland;Totaal mannen en vrouwen;25 tot 45 jaar;4014.8;19.0
3;Nederland;Totaal mannen en vrouwen;45 tot 65 jaar;3597.6;21.3
4;Nederland;Totaal mannen en vrouwen;65 jaar en ouder;2280.4;16.1
5;Nederland;Man;Totaal leeftijd;5699.2;22.3
6;Nederland;Man;15 tot 25 jaar;503.3;9.3
7;Nederland;Man;25 tot 45 jaar;2149.7;22.4
8;Nederland;Man;45 tot 65 jaar;2067.0;26.3
9;Nederland;Man;65 jaar en ouder;979.2;20.2
10;Nederland;Vrouw;Totaal leeftijd;5177.5;13.7
11;Nederland;Vrouw;15 tot 25 jaar;480.6;8.4
12;Nederland;Vrouw;25 tot 45 jaar;1865.0;14.9
13;Nederland;Vrouw;45 tot 65 jaar;1530.6;14.4
14;Nederland;Vrouw;65 jaar en ouder;1301.2;13.0
15;Noord-Nederland (LD);Totaal mannen en vrouwen;Totaal leeftijd;1131.1;16.7
16;Noord-Nederland (LD);Totaal mannen en vrouwen;15 tot 25 jaar;100.9;8.4
17;Noord-Nederland (LD);Totaal mannen en vrouwen;25 tot 45 jaar;397.0;17.1
18;Noord-Nederland (LD);Totaal mannen en vrouwen;45 tot 65 jaar;377.2;19.6
19;Noord-Nederland (LD);Totaal mannen en vrouwen;65 jaar en ouder;256.1;15.0
20;Noord-Nederland (LD);Man;Totaal leeftijd;600.0;20.2
21;Noord-Nederland (LD);Man;15 tot 25 jaar;51.8;9.0
22;Noord-Nederland (LD);Man;25 tot 45 jaar;215.3;20.0
23;Noord-Nederland (LD);Man;45 tot 65 jaar;221.8;23.7
24;Noord-Nederland (LD);Man;65 jaar en ouder;111.1;18.7
25;Noord-Nederland (LD);Vrouw;Totaal leeftijd;531.1;12.7
26;Noord-Nederland (LD);Vrouw;15 tot 25 jaar;49.1;7.8
27;Noord-Nederland (LD);Vrouw;25 tot 45 jaar;181.7;13.6
28;Noord-Nederland (LD);Vrouw;45 tot 65 jaar;155.3;13.6
29;Noord-Nederland (LD);Vrouw;65 jaar en ouder;145.0;12.1
30;Oost-Nederland (LD);Totaal mannen en vrouwen;Totaal leeftijd;2277.4;17.5
31;Oost-Nederland (LD);Totaal mannen en vrouwen;15 tot 25 jaar;220.3;8.8
32;Oost-Nederland (LD);Totaal mannen en vrouwen;25 tot 45 jaar;844.3;18.2
33;Oost-Nederland (LD);Totaal mannen en vrouwen;45 tot 65 jaar;746.2;20.5
34;Oost-Nederland (LD);Totaal mannen en vrouwen;65 jaar en ouder;466.6;15.7
35;Oost-Nederland (LD);Man;Totaal leeftijd;1204.3;21.6
36;Oost-Nederland (LD);Man;15 tot 25 jaar;114.3;9.4
37;Oost-Nederland (LD);Man;25 tot 45 jaar;456.3;21.8
38;Oost-Nederland (LD);Man;45 tot 65 jaar;433.0;25.4
39;Oost-Nederland (LD);Man;65 jaar en ouder;200.8;19.7
40;Oost-Nederland (LD);Vrouw;Totaal leeftijd;1073.1;12.9
41;Oost-Nederland (LD);Vrouw;15 tot 25 jaar;106.0;8.1
42;Oost-Nederland (LD);Vrouw;25 tot 45 jaar;388.0;13.9
43;Oost-Nederland (LD);Vrouw;45 tot 65 jaar;313.3;13.7
44;Oost-Nederland (LD);Vrouw;65 jaar en ouder;265.8;12.6
45;West-Nederland (LD);Totaal mannen en vrouwen;Totaal leeftijd;5059.4;19.1
46;West-Nederland (LD);Totaal mannen en vrouwen;15 tot 25 jaar;446.1;9.2
47;West-Nederland (LD);Totaal mannen en vrouwen;25 tot 45 jaar;1915.1;19.9
48;West-Nederland (LD);Totaal mannen en vrouwen;45 tot 65 jaar;1657.8;22.3
49;West-Nederland (LD);Totaal mannen en vrouwen;65 jaar en ouder;1040.4;16.8
50;West-Nederland (LD);Man;Totaal leeftijd;2616.9;23.4
51;West-Nederland (LD);Man;15 tot 25 jaar;224.7;9.6
52;West-Nederland (LD);Man;25 tot 45 jaar;1016.3;23.4
53;West-Nederland (LD);Man;45 tot 65 jaar;934.5;27.7
54;West-Nederland (LD);Man;65 jaar en ouder;441.4;21.1
55;West-Nederland (LD);Vrouw;Totaal leeftijd;2442.5;14.5
56;West-Nederland (LD);Vrouw;15 tot 25 jaar;221.4;8.7
57;West-Nederland (LD);Vrouw;25 tot 45 jaar;898.8;16.0
58;West-Nederland (LD);Vrouw;45 tot 65 jaar;723.3;15.3
59;West-Nederland (LD);Vrouw;65 jaar en ouder;599.1;13.6
60;Zuid-Nederland (LD);Totaal mannen en vrouwen;Totaal leeftijd;2408.7;17.7
61;Zuid-Nederland (LD);Totaal mannen en vrouwen;15 tot 25 jaar;216.6;8.5
62;Zuid-Nederland (LD);Totaal mannen en vrouwen;25 tot 45 jaar;858.4;18.4
63;Zuid-Nederland (LD);Totaal mannen en vrouwen;45 tot 65 jaar;816.4;20.7
64;Zuid-Nederland (LD);Totaal mannen en vrouwen;65 jaar en ouder;517.2;15.6
65;Zuid-Nederland (LD);Man;Totaal leeftijd;1277.9;21.9
66;Zuid-Nederland (LD);Man;15 tot 25 jaar;112.5;9.0
67;Zuid-Nederland (LD);Man;25 tot 45 jaar;461.9;22.1
68;Zuid-Nederland (LD);Man;45 tot 65 jaar;477.7;25.8
69;Zuid-Nederland (LD);Man;65 jaar en ouder;225.9;19.5
70;Zuid-Nederland (LD);Vrouw;Totaal leeftijd;1130.7;13.0
71;Zuid-Nederland (LD);Vrouw;15 tot 25 jaar;104.2;8.1
72;Zuid-Nederland (LD);Vrouw;25 tot 45 jaar;396.5;14.2
73;Zuid-Nederland (LD);Vrouw;45 tot 65 jaar;338.7;13.5
74;Zuid-Nederland (LD);Vrouw;65 jaar en ouder;291.3;12.6
75;Groningen (PV);Totaal mannen en vrouwen;Totaal leeftijd;380.6;16.5
76;Groningen (PV);Totaal mannen en vrouwen;15 tot 25 jaar;37.2;8.3
77;Groningen (PV);Totaal mannen en vrouwen;25 tot 45 jaar;136.5;17.0
78;Groningen (PV);Totaal mannen en vrouwen;45 tot 65 jaar;123.8;19.5
79;Groningen (PV);Totaal mannen en vrouwen;65 jaar en ouder;83.0;14.7
80;Groningen (PV);Man;Totaal leeftijd;200.9;19.6
81;Groningen (PV);Man;15 tot 25 jaar;18.6;8.7
82;Groningen (PV);Man;25 tot 45 jaar;74.1;19.4
83;Groningen (PV);Man;45 tot 65 jaar;72.8;23.2
84;Groningen (PV);Man;65 jaar en ouder;35.4;18.1
85;Groningen (PV);Vrouw;Totaal leeftijd;179.7;13.0
86;Groningen (PV);Vrouw;15 tot 25 jaar;18.7;7.9
87;Groningen (PV);Vrouw;25 tot 45 jaar;62.4;14.2
88;Groningen (PV);Vrouw;45 tot 65 jaar;50.9;14.1
89;Groningen (PV);Vrouw;65 jaar en ouder;47.6;12.2
90;Friesland (PV);Totaal mannen en vrouwen;Totaal leeftijd;423.2;16.6
91;Friesland (PV);Totaal mannen en vrouwen;15 tot 25 jaar;37.9;8.7
92;Friesland (PV);Totaal mannen en vrouwen;25 tot 45 jaar;149.7;17.0
93;Friesland (PV);Totaal mannen en vrouwen;45 tot 65 jaar;140.3;19.5
94;Friesland (PV);Totaal mannen en vrouwen;65 jaar en ouder;95.3;14.9
95;Friesland (PV);Man;Totaal leeftijd;226.5;20.3
96;Friesland (PV);Man;15 tot 25 jaar;19.8;9.4
97;Friesland (PV);Man;25 tot 45 jaar;82.0;20.1
98;Friesland (PV);Man;45 tot 65 jaar;83.0;23.7
99;Friesland (PV);Man;65 jaar en ouder;41.6;18.8
100;Friesland (PV);Vrouw;Totaal leeftijd;196.7;12.5
101;Friesland (PV);Vrouw;15 tot 25 jaar;18.1;7.9
102;Friesland (PV);Vrouw;25 tot 45 jaar;67.7;13.3
103;Friesland (PV);Vrouw;45 tot 65 jaar;57.2;13.4
104;Friesland (PV);Vrouw;65 jaar en ouder;53.6;12.0
105;Drenthe (PV);Totaal mannen en vrouwen;Totaal leeftijd;327.4;16.9
106;Drenthe (PV);Totaal mannen en vrouwen;15 tot 25 jaar;25.7;8.3
107;Drenthe (PV);Totaal mannen en vrouwen;25 tot 45 jaar;110.7;17.2
108;Drenthe (PV);Totaal mannen en vrouwen;45 tot 65 jaar;113.1;19.8
109;Drenthe (PV);Totaal mannen en vrouwen;65 jaar en ouder;77.8;15.3
110;Drenthe (PV);Man;Totaal leeftijd;172.6;20.8
111;Drenthe (PV);Man;15 tot 25 jaar;13.4;8.9
