ID;Regions;LeisureAccommodation;Periods;AllCountries_1;Netherlands_2;ForeignCountries_3;AllCountries_4;Netherlands_5;ForeignCountries_6
0;The Netherlands;All leisure accommodation;1998;9194.9;7315.7;1879.2;49178.7;38904.5;10274.1
1;The Netherlands;All leisure accommodation;1999;10396.9;8072.6;2324.4;53978.2;41762.7;12215.5
2;The Netherlands;All leisure accommodation;2000;10337.5;8072.8;2264.7;52849.1;41283.1;11566.0
3;The Netherlands;All leisure accommodation;2001;10139.9;8085.1;2054.9;51911.5;41364.6;10546.9
4;The Netherlands;All leisure accommodation;2002;10216.4;8053.9;2162.5;53856.9;42410.7;11446.2
5;The Netherlands;All leisure accommodation;2003;10632.4;8382.3;2250.1;54023.7;42480.5;11543.2
6;The Netherlands;All leisure accommodation;2004;10155.4;8110.3;2045.1;52525.9;41757.8;10768.1
7;The Netherlands;All leisure accommodation;2005;9812.4;7881.3;1931.1;50642.2;40575.4;10066.8
8;The Netherlands;All leisure accommodation;2006;10473.1;8301.6;2171.4;52184.1;41273.7;10910.4
9;The Netherlands;All leisure accommodation;2007;11031.3;8736.5;2294.8;54108.5;42484.0;11624.5
10;The Netherlands;All leisure accommodation;2008;10606.3;8536.7;2069.6;51833.7;41527.6;10306.1
11;The Netherlands;All leisure accommodation;2009;11113.3;8946.8;2166.5;53035.1;42450.0;10585.1
12;The Netherlands;All leisure accommodation;2010;10783.1;8626.6;2156.5;51165.7;40540.8;10624.9
13;The Netherlands;Camp sites;1998;3176.7;2449.8;726.8;20507.1;17010.5;3496.6
14;The Netherlands;Camp sites;1999;3825.7;2824.5;1001.2;22839.0;18187.2;4651.8
15;The Netherlands;Camp sites;2000;3518.0;2593.2;924.9;20933.8;16877.5;4056.3
16;The Netherlands;Camp sites;2001;3369.5;2561.5;808.0;20418.8;16748.1;3670.7
17;The Netherlands;Camp sites;2002;3482.0;2583.2;898.7;21468.2;17377.8;4090.3
18;The Netherlands;Camp sites;2003;4007.1;2966.6;1040.4;23146.3;18367.0;4779.3
19;The Netherlands;Camp sites;2004;3538.9;2714.8;824.1;22508.8;18505.9;4002.8
20;The Netherlands;Camp sites;2005;3472.7;2700.8;771.9;22116.9;18375.5;3741.4
