ID;Bestedingspatroon;Reisduur;SoortCijfers;Perioden;TotaalInterneToeristischeBestedingen_1;TotaalBestedingenDoorNietIngezetenen_2;ZakelijkMotief_3;RecreatiefMotief_4;TotaalBestedingenDoorIngezetenen_5;TotaalBestemmingNederland_6;ZakelijkMotief_7;RecreatiefMotief_8;TotaalBestemmingBuitenland_9;ZakelijkMotief_10;RecreatiefMotief_11;DuurzameRecreatiegoederen_12;SocialeOverdrachten_13
0;Totaal interne toeristische bestedingen;Totaal eendaags en meerdaags;Prijsniveau 2005;2001;32339.0;6245;1188;5055;21924;18560;2543;16021;3390;586;2802;2490.0;1713.0
1;Totaal interne toeristische bestedingen;Totaal eendaags en meerdaags;Prijsniveau 2005;2002;32001.0;6292;1182;5109;21530;18110;2489;15625;3437;578;2858;2495.0;1711.0
2;Totaal interne toeristische bestedingen;Totaal eendaags en meerdaags;Prijsniveau 2005;2003;31209.0;6101;1126;4974;21050;17583;2428;15158;3476;596;2878;2429.0;1657.0
3;Totaal interne toeristische bestedingen;Totaal eendaags en meerdaags;Prijsniveau 2005;2004;31482.0;6081;1134;4947;21222;17616;2438;15180;3608;577;3031;2566.0;1621.0
4;Totaal interne toeristische bestedingen;Totaal eendaags en meerdaags;Prijsniveau 2005;2005;32161.0;6166;1159;5007;21697;17973;2549;15424;3724;590;3134;2669.0;1629.0
5;Totaal interne toeristische bestedingen;Totaal eendaags en meerdaags;Prijsniveau 2005;2006;33288.0;6496;1203;5294;22393;18619;2650;15968;3778;584;3195;2732.0;1670.0
6;Totaal interne toeristische bestedingen;Totaal eendaags en meerdaags;Prijsniveau 2005;2007;34471.0;6796;1236;5561;23185;19121;2731;16388;4074;627;3446;2801.0;1698.0
7;Totaal interne toeristische bestedingen;Totaal eendaags en meerdaags;Prijsniveau 2005;2008;34470.0;6833;1237;5597;23098;18926;2730;16194;4183;643;3540;2850.0;1700.0
8;Totaal interne toeristische bestedingen;Totaal eendaags en meerdaags;Prijsniveau 2005;2009;32684.0;6543;1172;5371;21916;17977;2578;15397;3949;607;3343;2560.0;1668.0
9;Totaal interne toeristische bestedingen;Totaal eendaags en meerdaags;Prijsniveau 2005;2010;32768.0;6786;1188;5598;21869;17865;2590;15274;4018;617;3402;2445.0;1666.0
10;Totaal interne toeristische bestedingen;Totaal eendaags en meerdaags;Prijsniveau 2005;2011;33310.0;7048;1225;5823;22203;18086;2627;15458;4136;633;3504;2385.0;1667.0
11;Totaal interne toeristische bestedingen;Totaal eendaags en meerdaags;Lopende prijzen;2001;29662.0;5725;1109;4616;19794;16549;2307;14242;3245;584;2661;2631.0;1512.0
12;Totaal interne toeristische bestedingen;Totaal eendaags en meerdaags;Lopende prijzen;2002;30674.0;6026;1162;4864;20384;16950;2350;14600;3434;582;2852;2689.0;1575.0
13;Totaal interne toeristische bestedingen;Totaal eendaags en meerdaags;Lopende prijzen;2003;30404.0;5919;1109;4810;20316;16916;2343;14573;3400;589;2811;2579.0;1590.0
14;Totaal interne toeristische bestedingen;Totaal eendaags en meerdaags;Lopende prijzen;2004;30976.0;5989;1119;4870;20767;17265;2386;14879;3502;571;2931;2643.0;1577.0
15;Totaal interne toeristische bestedingen;Totaal eendaags en meerdaags;Lopende prijzen;2005;32161.0;6166;1159;5007;21697;17973;2549;15424;3724;590;3134;2669.0;1629.0
