ID;Leeftijdsklassen;Herkomst;Perioden;TotaalAdopties_1;AdoptiesViaDeRechtbanken_2;AdoptiesViaHetHaagsAdoptieverdrag_3
0;Totaal leeftijden;Totaal kinderen;1995;708;708;0
1;Totaal leeftijden;Totaal kinderen;1996;682;682;0
2;Totaal leeftijden;Totaal kinderen;1997;745;745;0
3;Totaal leeftijden;Totaal kinderen;1998;665;665;0
4;Totaal leeftijden;Totaal kinderen;1999;1041;769;272
5;Totaal leeftijden;Totaal kinderen;2000;1170;860;310
6;Totaal leeftijden;Totaal kinderen;2001;1195;924;271
7;Totaal leeftijden;Totaal kinderen;2002;1134;869;265
8;Totaal leeftijden;Totaal kinderen;2003;1099;862;237
9;Totaal leeftijden;Totaal kinderen;2004;1381;1116;265
10;Totaal leeftijden;Totaal kinderen;2005;1474;1205;269
11;Totaal leeftijden;Totaal kinderen;2006;994;763;231
12;Totaal leeftijden;Kinderen uit Nederland;1995;54;54;0
13;Totaal leeftijden;Kinderen uit Nederland;1996;44;44;0
14;Totaal leeftijden;Kinderen uit Nederland;1997;48;48;0
15;Totaal leeftijden;Kinderen uit Nederland;1998;37;37;0
16;Totaal leeftijden;Kinderen uit Nederland;1999;39;39;0
17;Totaal leeftijden;Kinderen uit Nederland;2000;23;23;0
18;Totaal leeftijden;Kinderen uit Nederland;2001;68;68;0
19;Totaal leeftijden;Kinderen uit Nederland;2002;34;34;0
20;Totaal leeftijden;Kinderen uit Nederland;2003;29;29;0
21;Totaal leeftijden;Kinderen uit Nederland;2004;76;76;0
22;Totaal leeftijden;Kinderen uit Nederland;2005;54;54;0
23;Totaal leeftijden;Kinderen uit Nederland;2006;42;42;0
24;Totaal leeftijden;Kinderen uit het buitenland;1995;654;654;0
25;Totaal leeftijden;Kinderen uit het buitenland;1996;638;638;0
26;Totaal leeftijden;Kinderen uit het buitenland;1997;697;697;0
27;Totaal leeftijden;Kinderen uit het buitenland;1998;628;628;0
28;Totaal leeftijden;Kinderen uit het buitenland;1999;1002;730;272
29;Totaal leeftijden;Kinderen uit het buitenland;2000;1147;837;310
30;Totaal leeftijden;Kinderen uit het buitenland;2001;1127;856;271
31;Totaal leeftijden;Kinderen uit het buitenland;2002;1100;835;265
32;Totaal leeftijden;Kinderen uit het buitenland;2003;1070;833;237
33;Totaal leeftijden;Kinderen uit het buitenland;2004;1305;1040;265
34;Totaal leeftijden;Kinderen uit het buitenland;2005;1420;1151;269
35;Totaal leeftijden;Kinderen uit het buitenland;2006;952;721;231
36;0 jaar;Totaal kinderen;1995;381;381;0
37;0 jaar;Totaal kinderen;1996;369;369;0
38;0 jaar;Totaal kinderen;1997;376;376;0
39;0 jaar;Totaal kinderen;1998;292;292;0
40;0 jaar;Totaal kinderen;1999;428;329;99
41;0 jaar;Totaal kinderen;2000;461;366;95
42;0 jaar;Totaal kinderen;2001;539;425;114
43;0 jaar;Totaal kinderen;2002;534;423;111
44;0 jaar;Totaal kinderen;2003;387;322;65
45;0 jaar;Totaal kinderen;2004;504;420;84
46;0 jaar;Totaal kinderen;2005;421;343;78
47;0 jaar;Totaal kinderen;2006;305;243;62
48;0 jaar;Kinderen uit Nederland;1995;43;43;0
49;0 jaar;Kinderen uit Nederland;1996;35;35;0
50;0 jaar;Kinderen uit Nederland;1997;33;33;0
51;0 jaar;Kinderen uit Nederland;1998;25;25;0
52;0 jaar;Kinderen uit Nederland;1999;30;30;0
