ID;Geslacht;Diplomasoort;Studierichting;Vooropleiding;Herkomstgroepering;Opleidingsvorm;Perioden;TotaalGediplomeerden_1;StudieduurInMaanden_2
52;Totaal mannen en vrouwen;Master;0;VWO;Totaal herkomstgroepering;Deeltijd;2011/'12;527;110.0
53;Totaal mannen en vrouwen;Master;0;VWO;Totaal herkomstgroepering;Deeltijd;2012/'13;337;108.0
54;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Totaal opleidingsvorm;1995/'96;17919;72.0
55;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Totaal opleidingsvorm;1996/'97;16131;71.0
56;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Totaal opleidingsvorm;1997/'98;14225;71.0
57;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Totaal opleidingsvorm;1998/'99;13188;72.0
58;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Totaal opleidingsvorm;1999/'00;13053;71.0
59;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Totaal opleidingsvorm;2000/'01;12929;72.0
60;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Totaal opleidingsvorm;2001/'02;13131;73.0
61;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Totaal opleidingsvorm;2002/'03;13165;73.0
62;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Totaal opleidingsvorm;2003/'04;13499;73.0
63;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Totaal opleidingsvorm;2004/'05;14266;74.0
64;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Totaal opleidingsvorm;2005/'06;15569;75.0
65;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Totaal opleidingsvorm;2006/'07;16085;77.0
66;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Totaal opleidingsvorm;2007/'08;14165;75.0
67;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Totaal opleidingsvorm;2008/'09;14323;75.0
68;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Totaal opleidingsvorm;2009/'10;14717;76.0
69;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Totaal opleidingsvorm;2010/'11;15695;76.0
70;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Totaal opleidingsvorm;2011/'12;16981;76.0
71;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Totaal opleidingsvorm;2012/'13;14476;74.0
72;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Voltijd;1995/'96;17691;71.0
73;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Voltijd;1996/'97;15607;71.0
74;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Voltijd;1997/'98;13741;71.0
75;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Voltijd;1998/'99;12769;71.0
76;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Voltijd;1999/'00;12599;71.0
77;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Voltijd;2000/'01;12372;71.0
78;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Voltijd;2001/'02;12579;71.0
79;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Voltijd;2002/'03;12591;72.0
80;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Voltijd;2003/'04;12972;72.0
81;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Voltijd;2004/'05;13687;73.0
82;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Voltijd;2005/'06;14970;74.0
83;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Voltijd;2006/'07;15323;76.0
84;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Voltijd;2007/'08;13616;74.0
85;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Voltijd;2008/'09;13925;74.0
86;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Voltijd;2009/'10;14247;75.0
87;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Voltijd;2010/'11;15297;75.0
88;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Voltijd;2011/'12;16547;75.0
89;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Voltijd;2012/'13;14189;73.0
90;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Deeltijd;1995/'96;228;87.0
91;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Deeltijd;1996/'97;524;86.0
92;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Deeltijd;1997/'98;484;88.0
93;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Deeltijd;1998/'99;419;93.0
94;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Deeltijd;1999/'00;454;93.0
95;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Deeltijd;2000/'01;557;95.0
96;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Deeltijd;2001/'02;552;99.0
97;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Deeltijd;2002/'03;574;100.0
98;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Deeltijd;2003/'04;527;104.0
99;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Deeltijd;2004/'05;579;108.0
100;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Deeltijd;2005/'06;599;106.0
101;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Deeltijd;2006/'07;762;107.0
102;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Deeltijd;2007/'08;549;114.0
103;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Deeltijd;2008/'09;398;110.0
104;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Deeltijd;2009/'10;470;117.0
105;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Deeltijd;2010/'11;398;112.0
106;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Deeltijd;2011/'12;434;110.0
107;Totaal mannen en vrouwen;Master;0;VWO;Autochtoon;Deeltijd;2012/'13;287;109.0
108;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Totaal opleidingsvorm;1995/'96;2474;74.0
109;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Totaal opleidingsvorm;1996/'97;2328;75.0
110;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Totaal opleidingsvorm;1997/'98;2077;76.0
111;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Totaal opleidingsvorm;1998/'99;2002;76.0
112;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Totaal opleidingsvorm;1999/'00;1958;76.0
113;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Totaal opleidingsvorm;2000/'01;1972;76.0
114;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Totaal opleidingsvorm;2001/'02;2092;76.0
115;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Totaal opleidingsvorm;2002/'03;2153;76.0
116;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Totaal opleidingsvorm;2003/'04;2269;77.0
117;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Totaal opleidingsvorm;2004/'05;2533;78.0
118;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Totaal opleidingsvorm;2005/'06;2755;78.0
119;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Totaal opleidingsvorm;2006/'07;2956;81.0
120;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Totaal opleidingsvorm;2007/'08;2708;79.0
121;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Totaal opleidingsvorm;2008/'09;2779;78.0
122;Totaal mannen en vrouwen;Master;0;VWO;Allochtoon;Totaal opleidingsvorm;2009/'10;2948;80.0
