ID;Persoonskenmerken;WerkzameBeroepsbevolking_1;NietCursusdeelnemers_2;Cursusdeelnemers_3;CursusdeelnemersRelatief_4;TenMinsteEenCursus_5;TenMinsteEenCursusRelatief_6
0;Totaal personen;9217.0;5480.0;3737.0;40.5;3035.0;81.2
1;Geslacht: mannen;4916.0;2979.0;1937.0;39.4;1597.0;82.5
2;Geslacht: vrouwen;4300.0;2500.0;1800.0;41.9;1438.0;79.9
3;Leeftijd: 18 tot 25 jaar;1234.0;925.0;309.0;25.1;215.0;69.4
4;Leeftijd: 25 tot 35 jaar;2010.0;1131.0;878.0;43.7;733.0;83.5
5;Leeftijd: 35 tot 45 jaar;1883.0;1005.0;878.0;46.6;749.0;85.3
6;Leeftijd: 45 tot 55 jaar;2012.0;1128.0;884.0;43.9;731.0;82.7
7;Leeftijd: 55 tot 65 jaar;1771.0;1082.0;688.0;38.9;539.0;78.3
8;Leeftijd: 65 tot 70 jaar;307.0;208.0;99.0;32.1;;
9;Leeftijd: 25 tot 65 jaar;7676.0;4347.0;3329.0;43.4;2752.0;82.7
10;Basisonderwijs, vmbo, mbo1;1656.0;1266.0;391.0;23.6;320.0;82.0
11;Havo, vwo, mbo2-4;3375.0;2253.0;1123.0;33.3;937.0;83.5
12;Hbo, wo;4047.0;1899.0;2148.0;53.1;1718.0;80.0
13;Onbekend;139.0;;76.0;;;
14;Werkkring: vaste arbeidsrelatie;5595.0;3090.0;2505.0;44.8;2191.0;87.5
15;Werkkring: flexibele arbeidsrelatie;2134.0;1484.0;649.0;30.4;518.0;79.8
16;Werkkring: zelfstandige;1489.0;906.0;583.0;39.2;326.0;56.0
17;Werkkring: positie onbekend;;;;;;
18;Arbeidsduur: deeltijd;5350.0;2975.0;2375.0;44.4;1975.0;83.1
19;Arbeidsduur: voltijd;3614.0;2306.0;1308.0;36.2;1038.0;79.4
20;Anciënniteit: korter dan 2 jaar;2376.0;1568.0;808.0;34.0;627.0;77.6
21;Anciënniteit: 2 tot 5 jaar;2173.0;1268.0;906.0;41.7;725.0;80.0
22;Anciënniteit: 5 tot 10 jaar;1664.0;923.0;741.0;44.5;621.0;83.8
23;Anciënniteit: 10 jaar of langer;3004.0;1721.0;1283.0;42.7;1063.0;82.9
24;Anciënniteit: onbekend;;;;;;
