ID;TypeOfEducation;IdeologicalBasisOfTheSchool;Schoolsize;Periods;SchoolsInstitutions_1;EnrolledPupilsStudents_2
0;Total primary schools;Total;Total;1990/91;9332;1529513
1;Total primary schools;Total;Total;1991/92;9315;1494392
2;Total primary schools;Total;Total;1992/93;9199;1501585
3;Total primary schools;Total;Total;1993/94;9003;1515330
4;Total primary schools;Total;Total;1994/95;8719;1541810
5;Total primary schools;Total;Total;1995/96;8262;1569616
6;Total primary schools;Total;Total;1996/97;8131;1593978
7;Total primary schools;Total;Total;1997/98;7957;1613655
8;Total primary schools;Total;Total;1998/99;7893;1628595
9;Total primary schools;Total;Total;1999/00;7843;1638695
10;Total primary schools;Total;Total;2000/01;7759;1643930
11;Total primary schools;Total;Total;2001/02;7728;1652537
12;Total primary schools;Total;Total;2002/03;7722;1653739
13;Total primary schools;Total;Total;2003/04;7679;1653280
14;Total primary schools;Total;Total;2004/05;7638;1654970
15;Total primary schools;Total;Total;2005/06;7619;1656831
16;Total primary schools;Total;Total;2006/07;7584;1657199
17;Total primary schools;Total;Total;2007/08;7552;1662138
18;Total primary schools;Total;Total;2008/09;7546;1663651
19;Total primary schools;Total;Total;2009/10;7533;1659397
20;Total primary schools;Total;Total;2010/11;7484;1646613
21;Total primary schools;Total;Total;2011/12;7435;1629419
22;Total primary schools;Total;Total;2012/13;7361;1608350
23;Total primary schools;Total;Total;2013/14;7262;1586085
24;Total primary schools;Total;Total;2014/15;7157;1565375
25;Total primary schools;Total;Total;2015/16;6986;1546049
26;Total primary schools;Total;Total;2016/17;6894;1528206
27;Total primary schools;Total;Total;2017/18;6805;1515489
28;Total primary schools;Total;Total;2018/19;6741;1508854
29;Total primary schools;Total;Total;2019/20;6707;1501997
30;Total primary schools;Total;Total;2020/21;6661;1491988
31;Total primary schools;Total;Total;2021/22;6608;1477879
32;Total primary schools;Total;Total;2022/23;6581;1476215
33;Total primary schools;Total;Total;2023/24;6562;1466729
34;Total primary schools;Total;Total;2024/25;6534;1461439
35;Total primary schools;Total;Less than 101 pupils/students;1990/91;2542;168484
36;Total primary schools;Total;Less than 101 pupils/students;1991/92;2638;174852
37;Total primary schools;Total;Less than 101 pupils/students;1992/93;2547;171543
38;Total primary schools;Total;Less than 101 pupils/students;1993/94;2402;161008
39;Total primary schools;Total;Less than 101 pupils/students;1994/95;2165;146166
40;Total primary schools;Total;Less than 101 pupils/students;1995/96;1877;126406
41;Total primary schools;Total;Less than 101 pupils/students;1996/97;1787;121042
42;Total primary schools;Total;Less than 101 pupils/students;1997/98;1639;111553
43;Total primary schools;Total;Less than 101 pupils/students;1998/99;1562;106030
44;Total primary schools;Total;Less than 101 pupils/students;1999/00;1536;103786
45;Total primary schools;Total;Less than 101 pupils/students;2000/01;1471;101504
46;Total primary schools;Total;Less than 101 pupils/students;2001/02;1414;97468
47;Total primary schools;Total;Less than 101 pupils/students;2002/03;1413;96381
48;Total primary schools;Total;Less than 101 pupils/students;2003/04;1378;94839
49;Total primary schools;Total;Less than 101 pupils/students;2004/05;1347;92586
50;Total primary schools;Total;Less than 101 pupils/students;2005/06;1356;93842
51;Total primary schools;Total;Less than 101 pupils/students;2006/07;1351;94080
52;Total primary schools;Total;Less than 101 pupils/students;2007/08;1322;90742
53;Total primary schools;Total;Less than 101 pupils/students;2008/09;1368;93275
54;Total primary schools;Total;Less than 101 pupils/students;2009/10;1418;96848
55;Total primary schools;Total;Less than 101 pupils/students;2010/11;1446;99194
56;Total primary schools;Total;Less than 101 pupils/students;2011/12;1443;98271
57;Total primary schools;Total;Less than 101 pupils/students;2012/13;1429;96993
58;Total primary schools;Total;Less than 101 pupils/students;2013/14;1420;96845
59;Total primary schools;Total;Less than 101 pupils/students;2014/15;1399;95714
60;Total primary schools;Total;Less than 101 pupils/students;2015/16;1337;92771
61;Total primary schools;Total;Less than 101 pupils/students;2016/17;1307;90801
62;Total primary schools;Total;Less than 101 pupils/students;2017/18;1262;87967
63;Total primary schools;Total;Less than 101 pupils/students;2018/19;1217;84950
64;Total primary schools;Total;Less than 101 pupils/students;2019/20;1223;85688
65;Total primary schools;Total;Less than 101 pupils/students;2020/21;1212;84566
66;Total primary schools;Total;Less than 101 pupils/students;2021/22;1171;82046
67;Total primary schools;Total;Less than 101 pupils/students;2022/23;1172;81303
68;Total primary schools;Total;Less than 101 pupils/students;2023/24;1155;80420
