ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzetPerFte_25;LoonkostenPerFte_26;NettoOmzet_27;NieuwePersonenautoS_28;NieuweVrachtautoS_29;NieuweAanhangwagensEnOpleggers_30;GebruiktePersonenautoS_31;GebruikteVrachtautoS_32;GebruikteAanhangwagensEnOpleggers_33;AccessoiresEnOnderdelen_34;MotorbrandstoffenEnOlie_35;Banden_36;OverigeHandelsactiviteiten_37;ReparatiesInclGebruikteOnderdelen_38;Verhuur_39;OperationalLease_40;UitbesteedWerk_41;OverigeDienstverlening_42;OntvangstenVoorUitleenEnSubsidie_43;TotaalPersoneelskosten_44;BrutoLonenEnSalarissen_45;SocialeLasten_46;Pensioenpremies_47;KostenUitzendkrachten_48;KostenIngeleendPersoneel_49;OverigePersoneelskosten_50;TotaalOverigeBedrijfslasten_51;TotaalHuisvestingskosten_52;BetaaldeHurenPachtenEDVanLeasing_53;OnroerendeZaakbelastingMilieuheffing_54;Energiekosten_55;ReparatieEnOnderhoudskosten_56;Verzekeringen_57;OverigeHuisvestingskosten_58;TotaalInventarisEnMachinekosten_59;BetaaldeHurenEnKostenVanOperLease_60;Onderhoudskosten_61;OverigeInventarisEnMachinekosten_62;TotaalAutokosten_63;BetaaldeHurenEnKostenVanOperLease_64;Brandstof_65;OverigeAutokosten_66;TotaalVerkoopkosten_67;ReclameEnAdvertentiekosten_68;ReisVerblijfsEnRepresentatiekosten_69;OverigeVerkoopkosten_70;TotaalAndereKosten_71;AccountantsEnAdviesdiensten_72;KantoorbenodigdhDrukwerkVakliteratuur_73;OverigeVerzekeringen_74;OverigeKostprijsverhogendeBelastingen_75;Communicatiekosten_76;Beheerskosten_77;OverigeAutomatiseringskosten_78;NogNietEerderGenoemdeBedrijfskosten_79;TotaalAantalWerkzamePersonen_80;WerknemersOpDeLoonlijst_81;WerknemersNietOpLoonlijst_82;OverigPersoneel_83;AantalVte_84;TotaalInvesteringen_85;TotaalMaterieleVasteActiva_86;Bedrijfsruimten_87;Vervoermiddelen_88;Computers_89;OverigeMachinesApparatenED_90;OverigeMaterieleVasteActiva_91;TotaalImmaterieleVasteActiva_92
0;Totaal SBI 50101,50103,50105;1996;6.3;2756;2748;493;2254;8;2645;83.8;9.2;1.0;5.9;157;39;12;16;38;52;111;-17;94;19.3;3.3;3.4;4.5;361.8;33.4;2748;1.4;50.1;3.2;1.1;12.7;1.8;9.8;0.6;0.1;1.2;13.6;0.5;1.8;1.3;0.7;0.6;244;81.4;7.0;3.9;1.4;1.8;5.1;157;39;53.2;2.2;16.1;15.6;2.0;10.9;12;8.2;37.1;54.7;16;25.3;25.6;49.2;38;40.4;16.7;42.9;52;11.5;7.0;8.3;1.1;13.2;31.5;6.7;20.7;80;93.8;4.3;1.9;76;123;99.7;10.7;77.8;1.5;5.6;4.1;0.3
1;Totaal SBI 50101,50103,50105;1997;7.1;2920;2910;538;2370;10;2797;83.6;9.4;1.1;5.9;166;43;12;17;35;59;124;-20;104;19.7;3.6;3.6;4.2;357.4;33.9;2910;0.9;43.9;3.2;1.5;18.1;2.2;9.3;0.6;0.1;1.7;13.9;0.6;2.2;1.1;0.7;1.0;262;81.8;6.6;4.0;1.2;1.6;5.7;166;43;56.6;2.4;15.4;13.9;1.6;10.2;12;6.9;38.9;54.2;17;24.5;26.3;49.2;35;36.5;18.8;44.7;59;15.2;7.2;8.3;0.4;12.9;24.0;7.2;24.6;87;93.5;5.1;1.4;81;124;99.9;8.8;77.3;2.0;6.9;4.9;0.1
2;Totaal SBI 50101,50103,50105;1998;7.8;3333;3322;588;2732;11;3195;84.1;9.1;1.0;5.8;185;46;14;19;42;64;138;-16;122;19.1;3.5;3.7;4.5;;;3322;1.6;45.0;3.8;1.5;17.5;1.7;8.7;0.6;0.1;1.7;13.1;0.7;2.2;1.1;0.6;0.9;289;78.2;9.8;4.3;1.5;1.9;5.2;185;46;;;;;;;14;;;;19;;;;42;;;;64;;;;;;;;;90;93.2;5.0;1.8;85;149;99.0;5.1;83.0;1.7;4.3;5.0;1.0
3;Totaal SBI 50101,50103,50105;1999;9.0;3447;3438;661;2775;9;3310;83.7;9.4;1.2;5.7;189;50;15;22;35;67;138;-20;118;19.4;3.4;3.4;3.7;;;3438;1.6;43.0;3.9;1.9;17.1;2.6;8.5;0.6;0.0;1.3;14.4;0.0;0.4;1.2;1.2;1.0;312;77.9;10.1;4.5;1.6;1.5;5.4;189;50;;;;;;;15;;;;22;;;;35;;;;67;;;;;;;;;97;92.7;5.7;1.7;89;128;98.8;13.0;68.0;2.7;6.9;8.2;1.2
4;Tot 500 000 euro;1996;2.8;50;50;11;39;0;48;76.1;8.0;2.0;13.9;7;2;0;1;1;3;2;-1;1;26.5;1.9;1.8;3.2;112.2;20.1;50;0.3;3.9;10.1;3.1;48.7;3.8;3.2;0.1;0.5;4.9;17.1;0.5;0.1;1.6;2.1;0.4;4;85.4;7.3;2.5;3.8;0.1;1.3;7;2;69.2;1.5;11.7;10.3;1.0;6.3;0;11.9;57.2;30.9;1;22.4;36.5;41.0;1;31.9;39.3;28.9;3;24.9;6.0;10.8;0.2;17.7;15.5;1.5;23.3;5;46.4;50.2;3.3;4;2;85.6;0.1;27.6;1.3;16.4;40.0;14.4
5;Tot 500 000 euro;1997;3.2;70;69;13;56;1;67;77.2;7.5;2.0;13.3;9;2;0;1;2;3;3;-1;2;25.9;3.4;3.3;3.0;126.0;20.3;69;1.5;3.0;5.8;4.4;53.2;5.3;2.5;0.1;0.4;5.4;15.6;0.4;0.0;1.3;1.3;0.6;5;84.8;7.3;2.4;0.4;1.0;4.6;9;2;72.9;2.6;14.7;5.4;1.3;3.1;0;28.7;37.9;33.5;1;27.5;35.2;37.4;2;42.9;29.8;27.6;3;29.5;5.4;9.7;0.4;15.5;11.5;1.6;26.4;6;51.9;47.5;0.6;6;2;100.0;4.9;21.0;3.0;12.2;58.9;0.0
6;Tot 500 000 euro;1998;3.8;77;76;17;60;1;71;77.4;7.9;1.9;12.7;9;2;0;1;1;4;6;-1;5;28.0;6.2;6.5;1.6;;;76;0.0;2.4;6.2;9.7;45.2;5.7;1.2;0.1;0.0;7.8;19.8;0.8;0.0;0.2;0.9;4.3;6;80.0;11.2;7.9;0.9;0.2;4.1;9;2;;;;;;;0;;;;1;;;;1;;;;4;;;;;;;;;7;49.6;49.3;1.1;6;1;92.5;8.7;31.2;5.8;38.4;8.5;7.5
7;Tot 500 000 euro;1999;4.3;82;82;17;65;0;75;78.4;7.3;2.0;12.3;9;2;1;2;1;3;7;-1;6;27.9;7.2;7.3;2.8;;;82;0.2;5.3;9.1;8.6;41.2;6.1;2.5;0.1;0.2;5.6;18.7;0.0;0.0;0.0;0.2;5.7;5;83.1;12.6;2.8;0.5;0.4;6.3;9;2;;;;;;;1;;;;2;;;;1;;;;3;;;;;;;;;8;52.3;48.0;-0.3;7;2;96.9;4.6;62.9;3.1;20.8;5.4;3.1
8;500 000 tot 1 000 000 euro;1996;0.7;55;54;13;42;1;52;78.0;11.8;1.9;8.3;4;1;0;1;1;2;3;-1;2;25.1;3.2;3.2;1.3;202.4;25.4;54;3.9;3.6;22.2;6.0;19.9;9.0;6.7;0.1;0.0;5.4;17.0;1.0;0.0;0.5;4.6;1.1;6;83.1;7.2;5.4;0.8;0.6;4.0;4;1;55.5;2.0;18.6;10.9;3.9;9.1;0;0.0;38.7;61.3;1;21.3;23.7;55.1;1;47.0;21.9;31.1;2;21.7;9.7;11.1;0.1;17.0;20.2;2.0;18.2;3;91.2;8.5;0.3;3;1;97.8;4.8;48.1;3.5;20.8;20.6;2.2
9;500 000 tot 1 000 000 euro;1997;0.9;65;64;12;53;1;61;77.8;10.8;2.1;9.3;6;2;0;1;1;2;4;-1;3;25.8;4.0;4.1;2.4;216.9;27.6;64;1.1;3.2;17.9;2.6;37.0;5.4;2.4;0.1;0.0;12.0;15.6;0.7;0.0;0.8;1.2;0.6;7;85.5;7.0;2.1;0.7;0.6;4.7;6;2;64.4;2.3;12.0;8.6;2.0;10.8;0;0.0;33.1;66.9;1;21.1;33.9;45.0;1;49.4;30.2;20.4;2;24.4;16.7;9.7;0.2;13.6;17.0;1.3;17.3;3;82.9;16.8;0.3;3;2;100.0;13.3;23.9;2.3;5.0;55.5;0.0
