ID;BestemmingVanInvoer;Perioden;InvoerVanGoederenEnDiensten_1;InvoerVanGoederen_2;InvoerVanDiensten_3;InvoerVanGoederenEnDiensten_4;InvoerVanGoederen_5;InvoerVanDiensten_6;InvoerVanGoederenEnDiensten_7;InvoerVanGoederen_8;InvoerVanDiensten_9;InvoerVanGoederenEnDiensten_10;InvoerVanGoederen_11;InvoerVanDiensten_12
0;A-U Alle economische activiteiten;1995;75961;54658;21303;111528.0;85719.0;27770.0;;;;68.1;63.8;76.7
1;A-U Alle economische activiteiten;1996;81395;58559;22836;116066.0;88452.0;29527.0;4.1;3.2;6.3;70.1;66.2;77.3
2;A-U Alle economische activiteiten;1997;90436;63437;26999;126030.0;93197.0;34500.0;8.6;5.4;16.8;71.8;68.1;78.3
3;A-U Alle economische activiteiten;1998;92755;62248;30507;133278.0;96305.0;38443.0;5.8;3.3;11.4;69.6;64.6;79.4
4;A-U Alle economische activiteiten;1999;99283;65096;34187;139475.0;98416.0;42159.0;4.6;2.2;9.7;71.2;66.1;81.1
5;A-U Alle economische activiteiten;2000;117695;78573;39122;148006.0;101985.0;46736.0;6.1;3.6;10.9;79.5;77.0;83.7
6;A-U Alle economische activiteiten;2001;119727;76918;42809;150604.0;101166.0;49958.0;1.8;-0.8;6.9;79.5;76.0;85.7
7;A-U Alle economische activiteiten;2002;120053;74675;45378;152528.0;101814.0;51167.0;1.3;0.6;2.4;78.7;73.3;88.7
8;A-U Alle economische activiteiten;2003;118242;72138;46104;150264.0;99983.0;50672.0;-1.5;-1.8;-1.0;78.7;72.2;91.0
9;A-U Alle economische activiteiten;2004;126017;77089;48928;154324.0;101594.0;52906.0;2.7;1.6;4.4;81.7;75.9;92.5
10;A-U Alle economische activiteiten;2005;137732;85420;52312;158338.0;102697.0;55546.0;2.6;1.1;5.0;87.0;83.2;94.2
11;A-U Alle economische activiteiten;2006;149103;94944;54159;163404.0;106360.0;56989.0;3.2;3.6;2.6;91.2;89.3;95.0
12;A-U Alle economische activiteiten;2007;158073;101059;57014;167239.0;108354.0;58799.0;2.3;1.9;3.2;94.5;93.3;97.0
13;A-U Alle economische activiteiten;2008;168657;109138;59519;165908.0;105524.0;60224.0;-0.8;-2.6;2.4;101.7;103.4;98.8
14;A-U Alle economische activiteiten;2009;144433;86151;58282;157597.0;98304.0;59230.0;-5.0;-6.8;-1.6;91.6;87.6;98.4
15;A-U Alle economische activiteiten;2010;162901;102203;60698;162901.0;102203.0;60698.0;3.4;4.0;2.5;100.0;100.0;100.0
16;A-U Alle economische activiteiten;2011;185957;120811;65146;170674.0;106123.0;64551.0;4.8;3.8;6.3;109.0;113.8;100.9
17;A-U Alle economische activiteiten;2012;191513;125901;65612;170810.0;106234.0;64573.0;0.1;0.1;0.0;112.1;118.5;101.6
18;A-U Alle economische activiteiten;2013;190201;123318;66883;172791.0;107553.0;65220.0;1.2;1.2;1.0;110.1;114.7;102.5
19;A-U Alle economische activiteiten;2014;190537;120922;69615;177780.0;110272.0;67535.0;2.9;2.5;3.5;107.2;109.7;103.1
20;A-U Alle economische activiteiten;2015;195844;115472;80372;192177.0;117614.0;74694.0;8.1;6.7;10.6;101.9;98.2;107.6
21;A-U Alle economische activiteiten;2016;194642;112697;81945;198342.0;122828.0;75776.0;3.2;4.4;1.4;98.1;91.8;108.1
22;A Landbouw, bosbouw en visserij;1995;1271;1070;201;1810.0;1618.0;216.0;;;;70.2;66.1;93.0
23;A Landbouw, bosbouw en visserij;1996;1516;1324;192;1998.0;1824.0;212.0;10.4;12.7;-2.0;75.9;72.6;90.7
24;A Landbouw, bosbouw en visserij;1997;1507;1288;219;1927.0;1711.0;243.0;-3.6;-6.2;14.6;78.2;75.3;90.3
25;A Landbouw, bosbouw en visserij;1998;1457;1228;229;1950.0;1724.0;251.0;1.2;0.8;3.7;74.7;71.2;91.1
26;A Landbouw, bosbouw en visserij;1999;1454;1218;236;1952.0;1726.0;251.0;0.1;0.1;0.0;74.5;70.6;93.8
27;A Landbouw, bosbouw en visserij;2000;1657;1387;270;2137.0;1889.0;276.0;9.5;9.4;9.7;77.5;73.4;97.8
28;A Landbouw, bosbouw en visserij;2001;1642;1364;278;1982.0;1714.0;284.0;-7.2;-9.2;3.0;82.8;79.6;97.8
29;A Landbouw, bosbouw en visserij;2002;1727;1425;302;2065.0;1785.0;297.0;4.2;4.1;4.7;83.6;79.8;101.5
30;A Landbouw, bosbouw en visserij;2003;1662;1348;314;1988.0;1695.0;304.0;-3.8;-5.1;2.3;83.6;79.5;103.2
31;A Landbouw, bosbouw en visserij;2004;1602;1296;306;1945.0;1657.0;299.0;-2.2;-2.2;-1.9;82.4;78.2;102.5
32;A Landbouw, bosbouw en visserij;2005;1636;1318;318;1952.0;1657.0;304.0;0.4;0.0;2.0;83.8;79.5;104.5
33;A Landbouw, bosbouw en visserij;2006;1799;1463;336;1985.0;1671.0;321.0;1.7;0.8;5.3;90.6;87.6;104.8
