ID;BeroepsEnEigenVervoer;Vervoerstromen;Perioden;VervoerdGewicht_1;Ladingtonkilometers_2;VoertuigkilometersTotaal_3;VoertuigkilometersBeladen_4;RittenBeladen_5
0;Beroeps- en eigen vervoer;0;1997;532645;76533;;;
1;Beroeps- en eigen vervoer;0;1998;545663;78459;;;
2;Beroeps- en eigen vervoer;0;1999;608419;83648;;;
3;Beroeps- en eigen vervoer;0;2000;584595;79605;;;
4;Beroeps- en eigen vervoer;0;2001;593388;78544;;;
5;Beroeps- en eigen vervoer;0;2002;569825;77095;;;
6;Beroeps- en eigen vervoer;0;2003;622322;79423;;;
7;Beroeps- en eigen vervoer;0;2004;614860;87265;;7337.0;49273.0
8;Beroeps- en eigen vervoer;0;2005;615798;84264;;7034.0;49933.0
9;Beroeps- en eigen vervoer;0;2006;620498;83430;;7032.0;52815.0
10;Beroeps- en eigen vervoer;0;2007;638902;78117;;6541.0;54731.0
11;Beroeps- en eigen vervoer;0;2008;622601;78209;;6886.0;51988.0
12;Beroeps- en eigen vervoer;0;2009;616915;72672;;6525.0;48466.0
13;Beroeps- en eigen vervoer;0;2010;564790;75781;8171.0;6371.0;42151.0
14;Beroeps- en eigen vervoer;0;2011;560998;73711;8176.0;6420.0;43156.0
15;Beroeps- en eigen vervoer;0;2012;538418;67802;7645.0;5993.0;41441.0
16;Beroeps- en eigen vervoer;1;1997;513159;67547;;;
17;Beroeps- en eigen vervoer;1;1998;524837;68866;;;
18;Beroeps- en eigen vervoer;1;1999;585623;73751;;;
19;Beroeps- en eigen vervoer;1;2000;562310;69434;;;
20;Beroeps- en eigen vervoer;1;2001;569392;68504;;;
21;Beroeps- en eigen vervoer;1;2002;546492;66715;;;
22;Beroeps- en eigen vervoer;1;2003;595593;68952;;;
23;Beroeps- en eigen vervoer;1;2004;582575;73700;;6525.0;47418.0
24;Beroeps- en eigen vervoer;1;2005;584893;72683;;6317.0;47970.0
25;Beroeps- en eigen vervoer;1;2006;592343;72202;;6364.0;51097.0
26;Beroeps- en eigen vervoer;1;2007;612011;68706;;5941.0;52921.0
27;Beroeps- en eigen vervoer;1;2008;593320;68253;;6265.0;50063.0
28;Beroeps- en eigen vervoer;1;2009;591864;63498;;5944.0;46821.0
29;Beroeps- en eigen vervoer;1;2010;534994;65578;7323.0;5723.0;40240.0
30;Beroeps- en eigen vervoer;1;2011;532353;64879;7403.0;5828.0;41306.0
31;Beroeps- en eigen vervoer;1;2012;511413;60028;6948.0;5459.0;39699.0
32;Beroeps- en eigen vervoer;2;1997;417251;28325;;;
33;Beroeps- en eigen vervoer;2;1998;427989;29230;;;
34;Beroeps- en eigen vervoer;2;1999;481303;32723;;;
35;Beroeps- en eigen vervoer;2;2000;464746;31560;;;
36;Beroeps- en eigen vervoer;2;2001;470452;31031;;;
37;Beroeps- en eigen vervoer;2;2002;447445;30088;;;
38;Beroeps- en eigen vervoer;2;2003;493672;31590;;;
39;Beroeps- en eigen vervoer;2;2004;469356;32453;;3686.0;40742.0
40;Beroeps- en eigen vervoer;2;2005;474483;31952;;3524.0;41171.0
41;Beroeps- en eigen vervoer;2;2006;480446;31202;;3552.0;43997.0
42;Beroeps- en eigen vervoer;2;2007;501372;30800;;3331.0;45832.0
43;Beroeps- en eigen vervoer;2;2008;485880;32056;;3651.0;43281.0
44;Beroeps- en eigen vervoer;2;2009;494293;31337;;3539.0;40609.0
45;Beroeps- en eigen vervoer;2;2010;441276;33830;4732.0;3537.0;34416.0
46;Beroeps- en eigen vervoer;2;2011;436979;33776;4799.0;3630.0;35319.0
47;Beroeps- en eigen vervoer;2;2012;420661;31408;4522.0;3428.0;33988.0
48;Beroeps- en eigen vervoer;3;1997;115394;48208;;;
49;Beroeps- en eigen vervoer;3;1998;117674;49229;;;
50;Beroeps- en eigen vervoer;3;1999;127116;50925;;;
51;Beroeps- en eigen vervoer;3;2000;119849;48045;;;
52;Beroeps- en eigen vervoer;3;2001;122936;47513;;;
53;Beroeps- en eigen vervoer;3;2002;122380;47007;;;
54;Beroeps- en eigen vervoer;3;2003;128650;47833;;;
55;Beroeps- en eigen vervoer;3;2004;145504;54812;;3651.0;8531.0
56;Beroeps- en eigen vervoer;3;2005;141315;52312;;3510.0;8762.0
57;Beroeps- en eigen vervoer;3;2006;140052;52228;;3480.0;8818.0
58;Beroeps- en eigen vervoer;3;2007;137530;47317;;3210.0;8899.0
59;Beroeps- en eigen vervoer;3;2008;136721;46153;;3235.0;8707.0
60;Beroeps- en eigen vervoer;3;2009;122622;41335;;2986.0;7857.0
61;Beroeps- en eigen vervoer;3;2010;123514;41950;3439.0;2834.0;7735.0
62;Beroeps- en eigen vervoer;3;2011;124018;39935;3376.0;2790.0;7837.0
63;Beroeps- en eigen vervoer;3;2012;117757;36394;3124.0;2565.0;7453.0
64;Beroeps- en eigen vervoer;4;1997;95908;39222;;;
65;Beroeps- en eigen vervoer;4;1998;96848;39636;;;
66;Beroeps- en eigen vervoer;4;1999;104320;41028;;;
67;Beroeps- en eigen vervoer;4;2000;97564;37874;;;
68;Beroeps- en eigen vervoer;4;2001;98940;37473;;;
69;Beroeps- en eigen vervoer;4;2002;99047;36627;;;
70;Beroeps- en eigen vervoer;4;2003;101921;37362;;;
71;Beroeps- en eigen vervoer;4;2004;113219;41247;;2839.0;6676.0
72;Beroeps- en eigen vervoer;4;2005;110410;40731;;2793.0;6799.0
73;Beroeps- en eigen vervoer;4;2006;111897;41000;;2812.0;7100.0
74;Beroeps- en eigen vervoer;4;2007;110639;37906;;2610.0;7089.0
75;Beroeps- en eigen vervoer;4;2008;107440;36197;;2614.0;6782.0
76;Beroeps- en eigen vervoer;4;2009;97571;32161;;2405.0;6212.0
77;Beroeps- en eigen vervoer;4;2010;93718;31748;2591.0;2186.0;5824.0
78;Beroeps- en eigen vervoer;4;2011;95374;31103;2604.0;2198.0;5988.0
79;Beroeps- en eigen vervoer;4;2012;90752;28620;2426.0;2030.0;5711.0
80;Beroeps- en eigen vervoer;5;1997;7967;1359;;;
81;Beroeps- en eigen vervoer;5;1998;8543;1468;;;
82;Beroeps- en eigen vervoer;5;1999;9885;1638;;;
83;Beroeps- en eigen vervoer;5;2000;9566;1691;;;
84;Beroeps- en eigen vervoer;5;2001;11603;2004;;;
85;Beroeps- en eigen vervoer;5;2002;9910;1805;;;
86;Beroeps- en eigen vervoer;5;2003;13047;2331;;;
87;Beroeps- en eigen vervoer;5;2004;14938;2845;;198.0;918.0
88;Beroeps- en eigen vervoer;5;2005;16905;2745;;204.0;1176.0
89;Beroeps- en eigen vervoer;5;2006;14142;2205;;150.0;921.0
90;Beroeps- en eigen vervoer;5;2007;13689;1999;;168.0;1069.0
91;Beroeps- en eigen vervoer;5;2008;16291;2562;;199.0;1196.0
92;Beroeps- en eigen vervoer;5;2009;12947;2264;;174.0;954.0
93;Beroeps- en eigen vervoer;5;2010;15861;2681;352.0;220.0;1138.0
94;Beroeps- en eigen vervoer;5;2011;16037;2506;340.0;217.0;1143.0
95;Beroeps- en eigen vervoer;5;2012;16255;2432;326.0;211.0;1138.0
96;Beroeps- en eigen vervoer;6;1997;11519;7627;;;
97;Beroeps- en eigen vervoer;6;1998;12283;8125;;;
98;Beroeps- en eigen vervoer;6;1999;12911;8259;;;
99;Beroeps- en eigen vervoer;6;2000;12719;8480;;;
100;Beroeps- en eigen vervoer;6;2001;12393;8036;;;
101;Beroeps- en eigen vervoer;6;2002;13423;8575;;;
102;Beroeps- en eigen vervoer;6;2003;13682;8140;;;
103;Beroeps- en eigen vervoer;6;2004;17347;10720;;614.0;937.0
104;Beroeps- en eigen vervoer;6;2005;14000;8836;;513.0;787.0
105;Beroeps- en eigen vervoer;6;2006;14013;9023;;518.0;797.0
106;Beroeps- en eigen vervoer;6;2007;13202;7412;;432.0;741.0
107;Beroeps- en eigen vervoer;6;2008;12990;7394;;422.0;729.0
108;Beroeps- en eigen vervoer;6;2009;12104;6910;;407.0;691.0
109;Beroeps- en eigen vervoer;6;2010;13935;7521;496.0;428.0;774.0
110;Beroeps- en eigen vervoer;6;2011;12608;6326;433.0;375.0;707.0
111;Beroeps- en eigen vervoer;6;2012;10750;5342;372.0;323.0;604.0
112;Beroepsvervoer;0;1997;403023;68481;;4391.0;
113;Beroepsvervoer;0;1998;415350;70498;;4539.0;
114;Beroepsvervoer;0;1999;455860;74022;;4855.0;
115;Beroepsvervoer;0;2000;431150;69823;;4812.0;
116;Beroepsvervoer;0;2001;444197;69209;;4900.0;
117;Beroepsvervoer;0;2002;424625;68414;;5045.0;
118;Beroepsvervoer;0;2003;429274;67584;;5119.0;
119;Beroepsvervoer;0;2004;452782;75378;;5601.0;29886.0
120;Beroepsvervoer;0;2005;439993;72050;;5422.0;30258.0
121;Beroepsvervoer;0;2006;450875;71751;;5450.0;31993.0
122;Beroepsvervoer;0;2007;477671;65123;;4964.0;34586.0
123;Beroepsvervoer;0;2008;483847;67028;;5416.0;34544.0
124;Beroepsvervoer;0;2009;442618;61496;;5013.0;29502.0
125;Beroepsvervoer;0;2010;436860;66408;6600.0;5194.0;29691.0
126;Beroepsvervoer;0;2011;428032;63972;6530.0;5165.0;30065.0
127;Beroepsvervoer;0;2012;412078;58261;6047.0;4778.0;28860.0
128;Beroepsvervoer;1;1997;384078;59562;;3900.0;
129;Beroepsvervoer;1;1998;394930;60974;;4012.0;
130;Beroepsvervoer;1;1999;433822;64301;;4301.0;
131;Beroepsvervoer;1;2000;409664;59863;;4236.0;
132;Beroepsvervoer;1;2001;420796;59313;;4318.0;
133;Beroepsvervoer;1;2002;401800;58120;;4431.0;
134;Beroepsvervoer;1;2003;403187;57234;;4506.0;
135;Beroepsvervoer;1;2004;421741;62108;;4816.0;28123.0
136;Beroepsvervoer;1;2005;411221;60932;;4740.0;28464.0
137;Beroepsvervoer;1;2006;424926;61022;;4813.0;30433.0
138;Beroepsvervoer;1;2007;453207;56485;;4417.0;32950.0
139;Beroepsvervoer;1;2008;457241;57874;;4843.0;32804.0
140;Beroepsvervoer;1;2009;418827;52700;;4462.0;27965.0
141;Beroepsvervoer;1;2010;407936;56369;5776.0;4563.0;27855.0
142;Beroepsvervoer;1;2011;400576;55393;5789.0;4597.0;28307.0
143;Beroepsvervoer;1;2012;386719;50846;5386.0;4273.0;27233.0
144;Beroepsvervoer;2;1997;294760;21975;;1740.0;
145;Beroepsvervoer;2;1998;304643;22914;;1831.0;
146;Beroepsvervoer;2;1999;337474;25447;;2037.0;
147;Beroepsvervoer;2;2000;320181;24141;;2074.0;
148;Beroepsvervoer;2;2001;330160;23936;;2132.0;
149;Beroepsvervoer;2;2002;309802;23231;;2208.0;
150;Beroepsvervoer;2;2003;312210;22935;;2279.0;
151;Beroepsvervoer;2;2004;322482;24199;;2348.0;22499.0
152;Beroepsvervoer;2;2005;314338;23736;;2298.0;22766.0
153;Beroepsvervoer;2;2006;326917;23500;;2339.0;24471.0
154;Beroepsvervoer;2;2007;358481;23557;;2252.0;27171.0
155;Beroepsvervoer;2;2008;362146;25423;;2573.0;27039.0
156;Beroepsvervoer;2;2009;333660;23735;;2385.0;22780.0
157;Beroepsvervoer;2;2010;323115;26917;3463.0;2594.0;22707.0
158;Beroepsvervoer;2;2011;314965;26697;3481.0;2639.0;23084.0
159;Beroepsvervoer;2;2012;304969;24545;3251.0;2471.0;22256.0
160;Beroepsvervoer;3;1997;108263;46506;;2651.0;
161;Beroepsvervoer;3;1998;110707;47584;;2708.0;
162;Beroepsvervoer;3;1999;118386;48575;;2818.0;
163;Beroepsvervoer;3;2000;110969;45682;;2738.0;
164;Beroepsvervoer;3;2001;114037;45273;;2768.0;
165;Beroepsvervoer;3;2002;114823;45183;;2837.0;
166;Beroepsvervoer;3;2003;117064;44649;;2840.0;
167;Beroepsvervoer;3;2004;130300;51179;;3253.0;7387.0
168;Beroepsvervoer;3;2005;125655;48314;;3124.0;7492.0
169;Beroepsvervoer;3;2006;123958;48251;;3111.0;7522.0
170;Beroepsvervoer;3;2007;119190;41566;;2712.0;7415.0
171;Beroepsvervoer;3;2008;121701;41605;;2843.0;7505.0
172;Beroepsvervoer;3;2009;108958;37761;;2628.0;6722.0
173;Beroepsvervoer;3;2010;113746;39491;3137.0;2600.0;6984.0
174;Beroepsvervoer;3;2011;113067;37274;3049.0;2527.0;6981.0
175;Beroepsvervoer;3;2012;107109;33715;2796.0;2308.0;6605.0
176;Beroepsvervoer;4;1997;89318;37587;;2160.0;
177;Beroepsvervoer;4;1998;90287;38060;;2181.0;
178;Beroepsvervoer;4;1999;96348;38854;;2264.0;
