ID;Sectoren;Perioden;TotaalInkomsten_1;TotaalBelastingen_2;TotaalBelastingenOpProdEnInvoer_3;TotaalProductgebondenBelastingen_4;BTWBelastingOverToegevoegdeWaarde_5;OverigeProductgebondenBelastingen_6;NietProductgebondenBelastingen_7;TotaalBelastOpInkomenEnVermogen_8;BelastingenOpInkomen_9;BelastingenOpVermogen_10;Vermogensheffingen_11;WettelijkeSocialeVerzekeringspremies_12;VerkopenVanGoederenEnDiensten_13;TotaalInkomenUitVermogen_14;Rente_15;Winstuitkeringen_16;InkomenUitGrondEnMineraleReserves_17;TotaalInkomensoverdrachten_18;InkomensoverdrachtenBinnenDeOverheid_19;InkomensoverdrIvmInternationSamenw_20;OverigeInkomensoverdrachten_21;TotaalKapitaaloverdrExclVermogen_22;Investeringsbijdragen_23;OverigeKapitaaloverdrachten_24;TotaalOverigeInkomsten_25;InvesteringenInEigenBeheer_26;Subsidies_27;ToegerekendeSocialePremies_28;TotaalUitgaven_29;TotaalBeloningVanWerknemers_30;Lonen_31;SocialePremiesTLVWerkgevers_32;AankopenGoederenEnDiensten_33;TotaalNettoInvesteringen_34;TotaalNettoInvestInVasteActiva_35;TotaalBrutoInvestInVasteActiva_36;AankopenInvesteringsgoederen_37;VerkopenInvesteringsgoederen_38;Afschrijvingen_39;VeranderingenInVoorradenInclKos_40;Afschrijvingen_41;SaldoAanEnVerkopenVanNietGepro_42;TotaalInkomenUitVermogen_43;Rente_44;InkomenUitGrondEnMineraleReserves_45;TotaalUitkeringen_46;TotaalSocialeUitkeringenInGeld_47;UitkeringenWettSocVerzInGeld_48;UitkeringenSocialeVoorzieningInGeld_49;TotaalSocialeUitkeringenInNatura_50;UitkeringenWettSocVerzInNatura_51;UitkeringenSocVoorzieningInNatura_52;TotaalSubsidies_53;ProductgebondenSubsidies_54;NietProductgebondenSubsidies_55;TotaalInkomensoverdrachten_56;InkomensoverdrachtenBinnenDeOverheid_57;InkomensoverdrIvmInternationSamenw_58;OverigeInkomensoverdrachten_59;TotaalKapitaaloverdrachten_60;Investeringsbijdragen_61;OverigeKapitaaloverdrachten_62;TotaalOverigeUitgaven_63;BelastingenOpProductieEnInvoer_64;UitkSocVerzRechtstrDoorWerkgevers_65;TotaalVorderingensaldo_66;Inkomsten_67;Uitgaven_68;TotaalExploitatiesaldo_69;Vorderingensaldo_70;NettoInvesteringen_71;SaldoAanEnVerkopenVanNiet_72;TotaalAardgasbaten_73;Dividenden_74;InkomenUitGrondEnMineraleReserves_75;Vennootschapsbelasting_76;WerkelijkeRenteInkomsten_77;WerkelijkeRenteUitgaven_78;BNIAfdrachten_79
0;Overheid;1969;21205.0;11606.0;4714.0;4324.0;2583.0;1741.0;390.0;6779.0;6294.0;485.0;113.0;6131.0;1179.0;1163.0;441.0;413.0;309.0;193.0;0.0;30.0;163.0;135.0;;;798.0;133.0;0.0;665.0;21793.0;6467.0;4909.0;1558.0;2130.0;1789.0;1786.0;2770.0;;;-984.0;3.0;984.0;-91.0;1416.0;1416.0;0.0;7101.0;5571.0;4834.0;737.0;1530.0;1319.0;211.0;423.0;337.0;86.0;278.0;0.0;146.0;132.0;588.0;;;708.0;43.0;665.0;-588.0;21205.0;-21793.0;-2286.0;-588.0;-1789.0;91.0;190.0;;;;432.0;1433.0;
1;Overheid;1970;24202.0;13086.0;5563.0;5147.0;3238.0;1909.0;416.0;7400.0;6862.0;538.0;123.0;7118.0;1302.0;1367.0;518.0;482.0;367.0;222.0;0.0;34.0;188.0;131.0;;;976.0;160.0;0.0;816.0;25087.0;7229.0;5461.0;1768.0;2454.0;1990.0;1986.0;3130.0;;;-1144.0;4.0;1144.0;-33.0;1675.0;1675.0;0.0;8227.0;6376.0;5481.0;895.0;1851.0;1621.0;230.0;525.0;420.0;105.0;305.0;0.0;166.0;139.0;706.0;;;865.0;49.0;816.0;-885.0;24202.0;-25087.0;-2842.0;-885.0;-1990.0;33.0;270.0;;;;507.0;1696.0;
2;Overheid;1971;28325.0;15485.0;6452.0;5998.0;4026.0;1972.0;454.0;8897.0;8320.0;577.0;136.0;8464.0;1478.0;1370.0;474.0;490.0;406.0;219.0;0.0;11.0;208.0;153.0;;;1156.0;180.0;0.0;976.0;29367.0;8372.0;6292.0;2080.0;2832.0;2253.0;2249.0;3599.0;;;-1350.0;4.0;1350.0;-74.0;1868.0;1868.0;0.0;9951.0;7563.0;6506.0;1057.0;2388.0;2058.0;330.0;624.0;504.0;120.0;468.0;0.0;313.0;155.0;693.0;;;1030.0;54.0;976.0;-1042.0;28325.0;-29367.0;-3221.0;-1042.0;-2253.0;74.0;410.0;;;;462.0;1894.0;
3;Overheid;1972;32603.0;17967.0;7412.0;6855.0;4551.0;2304.0;557.0;10423.0;9752.0;671.0;132.0;9662.0;1619.0;1650.0;553.0;599.0;498.0;266.0;0.0;33.0;233.0;121.0;;;1318.0;168.0;0.0;1150.0;33116.0;9635.0;7187.0;2448.0;2956.0;1990.0;1986.0;3539.0;;;-1553.0;4.0;1553.0;-295.0;1986.0;1986.0;0.0;11972.0;8988.0;7631.0;1357.0;2984.0;2584.0;400.0;791.0;653.0;138.0;518.0;0.0;349.0;169.0;801.0;;;1209.0;59.0;1150.0;-513.0;32603.0;-33116.0;-2208.0;-513.0;-1990.0;295.0;550.0;;;;539.0;2017.0;
4;Overheid;1973;38311.0;20655.0;8454.0;7794.0;5173.0;2621.0;660.0;12038.0;11341.0;697.0;163.0;12086.0;1735.0;1906.0;609.0;701.0;596.0;278.0;0.0;68.0;210.0;154.0;;;1497.0;171.0;0.0;1326.0;37849.0;10971.0;8140.0;2831.0;3130.0;1866.0;1862.0;3644.0;;;-1782.0;4.0;1782.0;-381.0;2276.0;2276.0;0.0;14110.0;10620.0;8902.0;1718.0;3490.0;3040.0;450.0;929.0;784.0;145.0;657.0;0.0;483.0;174.0;1118.0;;;1391.0;65.0;1326.0;462.0;38311.0;-37849.0;-1023.0;462.0;-1866.0;381.0;770.0;;;;591.0;2315.0;
5;Overheid;1974;44551.0;23233.0;9116.0;8355.0;5609.0;2746.0;761.0;13926.0;13075.0;851.0;191.0;14544.0;2023.0;2568.0;824.0;898.0;846.0;249.0;0.0;109.0;140.0;170.0;;;1764.0;198.0;0.0;1566.0;44806.0;12866.0;9549.0;3317.0;3754.0;2002.0;1998.0;4080.0;;;-2082.0;4.0;2082.0;-282.0;2775.0;2775.0;0.0;17059.0;12869.0;10691.0;2178.0;4190.0;3635.0;555.0;1186.0;1013.0;173.0;678.0;0.0;451.0;227.0;1041.0;;;1645.0;79.0;1566.0;-255.0;44551.0;-44806.0;-1975.0;-255.0;-2002.0;282.0;1270.0;;;;803.0;2823.0;
6;Overheid;1975;51287.0;26365.0;10247.0;9476.0;6393.0;3083.0;771.0;15955.0;15073.0;882.0;163.0;16526.0;2196.0;3764.0;1104.0;1265.0;1395.0;107.0;0.0;96.0;11.0;233.0;;;2096.0;232.0;0.0;1864.0;54304.0;14965.0;11064.0;3901.0;4310.0;2573.0;2569.0;4963.0;;;-2394.0;4.0;2394.0;-262.0;3123.0;3123.0;0.0;20912.0;15785.0;12753.0;3032.0;5127.0;4414.0;713.0;1499.0;1268.0;231.0;1100.0;0.0;820.0;280.0;1737.0;;;1953.0;89.0;1864.0;-3017.0;51287.0;-54304.0;-5328.0;-3017.0;-2573.0;262.0;2360.0;;;;1077.0;3183.0;
7;Overheid;1976;59552.0;30111.0;12086.0;11104.0;7578.0;3526.0;982.0;17835.0;16785.0;1050.0;190.0;18397.0;2465.0;5266.0;1566.0;1745.0;1955.0;302.0;0.0;129.0;173.0;568.0;;;2443.0;268.0;0.0;2175.0;62016.0;16844.0;12386.0;4458.0;4965.0;2727.0;2723.0;5459.0;;;-2736.0;4.0;2736.0;-395.0;3575.0;3575.0;0.0;24267.0;18303.0;14688.0;3615.0;5964.0;5012.0;952.0;2058.0;1682.0;376.0;969.0;0.0;665.0;304.0;1986.0;;;2284.0;109.0;2175.0;-2464.0;59552.0;-62016.0;-4796.0;-2464.0;-2727.0;395.0;3360.0;;;;1535.0;3644.0;
8;Overheid;1977;65954.0;34012.0;14283.0;13119.0;8980.0;4139.0;1164.0;19493.0;18242.0;1251.0;236.0;19981.0;2741.0;6047.0;1704.0;2029.0;2314.0;381.0;0.0;169.0;212.0;81.0;;;2711.0;282.0;0.0;2429.0;66943.0;18533.0;13663.0;4870.0;5711.0;2214.0;2209.0;5269.0;;;-3060.0;5.0;3060.0;-534.0;3943.0;3943.0;0.0;26848.0;20139.0;16426.0;3713.0;6709.0;5629.0;1080.0;2228.0;1950.0;278.0;1186.0;0.0;850.0;336.0;1198.0;;;2556.0;127.0;2429.0;-989.0;65954.0;-66943.0;-2669.0;-989.0;-2214.0;534.0;3950.0;;;;1670.0;4020.0;
9;Overheid;1978;71666.0;36890.0;15442.0;14173.0;9771.0;4402.0;1269.0;21181.0;19744.0;1437.0;267.0;21957.0;2965.0;6328.0;1897.0;2107.0;2324.0;411.0;0.0;177.0;234.0;140.0;;;2975.0;311.0;0.0;2664.0;74646.0;20123.0;14826.0;5297.0;6325.0;2377.0;2372.0;5770.0;;;-3398.0;5.0;3398.0;-607.0;4474.0;4474.0;0.0;29985.0;22566.0;18636.0;3930.0;7419.0;6252.0;1167.0;2575.0;2214.0;361.0;1696.0;0.0;1356.0;340.0;1483.0;;;2817.0;153.0;2664.0;-2980.0;71666.0;-74646.0;-4750.0;-2980.0;-2377.0;607.0;3950.0;;;;1858.0;4564.0;
