ID;Perioden;TotaalLevendgeborenen_1;AutochtoneMoedersIncl2eGeneratie_2;Totaal1eGeneratieMoeders_3;TotaalNietWesters_4;Afrika_5;Azie_6;LatijnsAmerika_7;Marokko_8;NederlandseAntillenEnAruba_9;Suriname_10;Turkije_11;TotaalWesters_12;k_24EULanden_13;OverigEuropa_14;Indonesie_15;OverigBuitenEuropa_16
0;2004;194123;160160;33963;26320;3924;4751;1156;6992;1596;3055;4845;7643;4332;2193;572;546
1;2005;190551;157138;33413;25752;3754;4829;1175;6893;1533;2890;4677;7661;4360;2204;554;542
2;2006;187185;154342;32843;25147;3586;4893;1191;6757;1481;2733;4506;7696;4401;2212;540;544
3;2007;184399;152105;32294;24527;3428;4944;1205;6589;1443;2582;4337;7767;4465;2219;529;553
4;2008;182126;150338;31788;23906;3278;4991;1217;6388;1420;2441;4171;7882;4562;2228;520;574
5;2009;180313;148981;31332;23287;3140;5028;1227;6161;1413;2309;4009;8045;4691;2235;513;605
6;2010;178973;148033;30941;22684;3010;5060;1237;5917;1416;2190;3854;8257;4855;2244;508;649
7;2011;177940;147327;30612;22102;2890;5087;1247;5661;1426;2081;3711;8510;5046;2253;506;704
8;2012;177408;147068;30340;21549;2777;5110;1256;5395;1441;1988;3582;8791;5255;2261;507;768
9;2013;177396;147284;30111;21023;2675;5130;1266;5127;1454;1903;3470;9088;5471;2268;511;837
10;2014;177729;147817;29912;20529;2582;5141;1277;4860;1467;1830;3371;9383;5681;2276;518;909
11;2015;178342;148603;29739;20070;2497;5149;1288;4601;1481;1768;3286;9669;5882;2282;527;978
12;2016;179183;149596;29587;19650;2418;5152;1299;4352;1495;1717;3217;9937;6071;2288;539;1040
13;2017;180220;150764;29456;19265;2344;5154;1312;4115;1511;1674;3157;10190;6252;2294;552;1093
14;2018;181384;152040;29344;18917;2276;5153;1324;3891;1527;1638;3109;10426;6423;2300;566;1137
15;2019;182572;153324;29248;18602;2214;5150;1337;3682;1545;1605;3069;10647;6587;2304;581;1174
16;2020;183714;154534;29180;18326;2158;5148;1350;3492;1565;1577;3035;10855;6747;2309;596;1203
17;2021;184762;155637;29125;18080;2109;5144;1362;3319;1586;1553;3007;11045;6897;2313;611;1224
18;2022;185695;156605;29090;17868;2067;5141;1376;3163;1608;1532;2982;11222;7042;2317;625;1238
19;2023;186513;157443;29070;17682;2030;5138;1388;3023;1630;1514;2959;11388;7183;2320;639;1246
20;2024;187209;158140;29069;17525;1999;5136;1401;2899;1651;1499;2939;11544;7321;2323;651;1249
21;2025;187792;158705;29087;17396;1974;5136;1415;2791;1671;1487;2922;11691;7457;2324;662;1248
22;2026;188239;159113;29126;17291;1954;5139;1428;2695;1691;1478;2905;11836;7595;2326;672;1243
23;2027;188579;159396;29183;17210;1939;5144;1442;2612;1709;1473;2890;11974;7731;2326;681;1235
24;2028;188807;159546;29261;17149;1928;5154;1456;2539;1726;1469;2877;12111;7870;2328;689;1224
25;2029;188915;159555;29360;17110;1921;5167;1471;2476;1742;1469;2865;12250;8013;2328;697;1212
26;2030;188878;159401;29477;17088;1917;5185;1486;2420;1758;1470;2852;12390;8159;2329;703;1198
27;2031;188688;159078;29610;17081;1916;5207;1500;2371;1774;1473;2839;12529;8307;2331;708;1183
28;2032;188326;158567;29759;17086;1918;5233;1516;2326;1790;1476;2826;12674;8461;2331;713;1168
29;2033;187790;157864;29926;17105;1923;5264;1531;2286;1807;1482;2812;12821;8618;2333;717;1152
30;2034;187084;156984;30100;17132;1929;5298;1547;2249;1824;1487;2798;12968;8777;2334;721;1136
31;2035;186265;155980;30285;17167;1937;5335;1562;2215;1842;1493;2782;13118;8939;2336;724;1120
32;2036;185371;154893;30478;17207;1947;5373;1578;2183;1861;1500;2766;13271;9105;2337;726;1103
33;2037;184473;153794;30679;17252;1959;5411;1593;2154;1881;1507;2748;13427;9273;2338;729;1087
34;2038;183603;152720;30883;17300;1972;5451;1607;2127;1901;1514;2729;13583;9442;2339;731;1071
35;2039;182820;151734;31086;17351;1986;5491;1621;2102;1920;1521;2710;13735;9607;2339;733;1056
36;2040;182149;150856;31293;17403;2001;5532;1635;2079;1941;1527;2689;13890;9775;2339;734;1042
37;2041;181633;150132;31501;17457;2017;5572;1648;2059;1960;1534;2668;14043;9942;2339;736;1027
38;2042;181279;149575;31704;17511;2034;5612;1661;2040;1979;1540;2646;14193;10104;2338;737;1014
39;2043;181116;149209;31907;17563;2051;5650;1673;2024;1997;1545;2623;14343;10266;2337;738;1002
40;2044;181141;149039;32102;17615;2069;5686;1684;2010;2015;1550;2600;14487;10423;2335;739;990
41;2045;181343;149052;32291;17665;2088;5723;1695;1998;2032;1555;2576;14626;10574;2334;739;979
42;2046;181706;149230;32475;17713;2106;5756;1705;1988;2048;1558;2551;14762;10721;2331;740;969
43;2047;182196;149546;32650;17759;2125;5789;1714;1981;2063;1562;2526;14891;10861;2329;740;960
44;2048;182775;149961;32814;17800;2144;5820;1722;1975;2076;1564;2499;15014;10994;2327;741;953
45;2049;183463;150496;32967;17841;2163;5847;1730;1972;2089;1567;2472;15126;11116;2323;741;946
