ID;Niveau;SectorenEnDomeinen;CaribischNederland;Perioden;MboStudenten_1
0;Totaal;Totaal;Caribisch Nederland;2009/'10;209.0
1;Totaal;Totaal;Caribisch Nederland;2010/'11;216.0
2;Totaal;Totaal;Caribisch Nederland;2011/'12;340.0
3;Totaal;Totaal;Caribisch Nederland;2012/'13;393.0
4;Totaal;Totaal;Caribisch Nederland;2013/'14;564.0
5;Totaal;Totaal;Caribisch Nederland;2014/'15;667.0
6;Totaal;Totaal;Caribisch Nederland;2015/'16;665.0
7;Totaal;Totaal;Caribisch Nederland;2016/'17;588.0
8;Totaal;Totaal;Caribisch Nederland;2017/'18;549.0
9;Totaal;Totaal;Caribisch Nederland;2018/'19;506.0
10;Totaal;Totaal;Caribisch Nederland;2019/'20;565.0
11;Totaal;Totaal;Caribisch Nederland;2020/'21;700.0
12;Totaal;Totaal;Caribisch Nederland;2021/'22;725.0
13;Totaal;Totaal;Caribisch Nederland;2022/'23;748.0
14;Totaal;Totaal;Caribisch Nederland;2023/'24;756.0
15;Totaal;Totaal;Caribisch Nederland;2024/'25;855.0
16;Totaal;Totaal;Bonaire;2009/'10;209.0
17;Totaal;Totaal;Bonaire;2010/'11;216.0
18;Totaal;Totaal;Bonaire;2011/'12;340.0
19;Totaal;Totaal;Bonaire;2012/'13;350.0
20;Totaal;Totaal;Bonaire;2013/'14;505.0
21;Totaal;Totaal;Bonaire;2014/'15;610.0
22;Totaal;Totaal;Bonaire;2015/'16;624.0
23;Totaal;Totaal;Bonaire;2016/'17;570.0
24;Totaal;Totaal;Bonaire;2017/'18;520.0
25;Totaal;Totaal;Bonaire;2018/'19;493.0
26;Totaal;Totaal;Bonaire;2019/'20;542.0
27;Totaal;Totaal;Bonaire;2020/'21;646.0
28;Totaal;Totaal;Bonaire;2021/'22;725.0
29;Totaal;Totaal;Bonaire;2022/'23;748.0
30;Totaal;Totaal;Bonaire;2023/'24;756.0
31;Totaal;Totaal;Bonaire;2024/'25;855.0
32;Totaal;Totaal;Sint Eustatius;2009/'10;
33;Totaal;Totaal;Sint Eustatius;2010/'11;
34;Totaal;Totaal;Sint Eustatius;2011/'12;
35;Totaal;Totaal;Sint Eustatius;2012/'13;31.0
36;Totaal;Totaal;Sint Eustatius;2013/'14;39.0
37;Totaal;Totaal;Sint Eustatius;2014/'15;43.0
38;Totaal;Totaal;Sint Eustatius;2015/'16;35.0
39;Totaal;Totaal;Sint Eustatius;2016/'17;11.0
40;Totaal;Totaal;Sint Eustatius;2017/'18;23.0
41;Totaal;Totaal;Sint Eustatius;2018/'19;10.0
42;Totaal;Totaal;Sint Eustatius;2019/'20;8.0
43;Totaal;Totaal;Sint Eustatius;2020/'21;25.0
44;Totaal;Totaal;Sint Eustatius;2021/'22;
45;Totaal;Totaal;Sint Eustatius;2022/'23;
