ID;Achtergrondkenmerken;Perioden;Totaal50Tot75Jaar_1;ParticiperendOpDeArbeidsmarkt_2;GestoptMetWerken_3;NooitGewerkt_4;VUTPrepensioen_5;GeenVUTPrepensioen_6;NietVanToepassing_7
0;1;2006;4381;1965;1336;1080;430.0;2687.0;1264.0
1;2;2006;2171;1203;805;163;294.0;1274.0;603.0
2;3;2006;2209;761;532;917;136.0;1413.0;660.0
3;4;2006;1120;895;53;171;14.0;1106.0;
4;5;2006;1122;733;173;216;93.0;1029.0;
5;6;2006;875;239;393;243;323.0;552.0;
6;7;2006;713;67;400;246;;;
7;8;2006;552;30;317;204;;;
8;9;2006;1837;566;557;714;132.0;1047.0;658.0
9;Onderwijsniveau: middelbaar;2006;1503;766;470;267;163.0;964.0;376.0
10;Onderwijsniveau: hoog;2006;1012;620;302;89;132.0;655.0;225.0
11;Onderwijsniveau: onbekend;2006;30;12;8;10;2.0;21.0;7.0
12;Eenpersoonshuishouden;2006;833;308;272;254;89.0;419.0;325.0
13;Alleenstaande ouder;2006;134;85;15;35;9.0;110.0;15.0
14;Lid van ouderpaar;2006;891;652;101;137;39.0;803.0;49.0
15;Lid van een paar (geen ouder);2006;2474;897;937;640;289.0;1326.0;859.0
16;Overig lid huishouden;2006;48;23;11;14;5.0;30.0;13.0
17;Autochtonen;2006;3765;1657;1177;932;374.0;2268.0;1123.0
18;Westerse allochtonen;2006;436;215;129;92;45.0;280.0;111.0
19;Niet-westerse allochtonen;2006;179;92;30;57;10.0;139.0;30.0
20;Herkomst: onbekend;2006;0;0;0;0;0.0;0.0;0.0
