ID;BedrijfstakkenBranchesSBI2008;Perioden;Omzet_1;TotaalUitzenduren_2;UitzendurenFaseA_3;UitzendurenFaseBC_4;Omzet_5;TotaalUitzenduren_6;UitzendurenFaseA_7;UitzendurenFaseBC_8;Omzet_9;TotaalUitzenduren_10;UitzendurenFaseA_11;UitzendurenFaseBC_12;Omzet_13;TotaalUitzenduren_14;UitzendurenFaseA_15;UitzendurenFaseBC_16
0;78 Uitzendbureaus en arbeidsbemiddeling;2005 1e kwartaal;59.8;65.9;70.6;59.6;;;;;65.3;73.6;80.0;64.9;;;;
1;78 Uitzendbureaus en arbeidsbemiddeling;2005 2e kwartaal;69.3;76.9;83.7;67.8;;;;;69.0;77.0;84.0;67.5;5.7;4.6;5.0;4.0
2;78 Uitzendbureaus en arbeidsbemiddeling;2005 3e kwartaal;72.6;86.2;95.4;73.7;;;;;71.7;81.3;89.3;70.6;3.9;5.6;6.3;4.6
3;78 Uitzendbureaus en arbeidsbemiddeling;2005 4e kwartaal;78.5;86.5;96.5;73.0;;;;;74.3;83.6;92.9;71.0;3.6;2.8;4.0;0.6
4;78 Uitzendbureaus en arbeidsbemiddeling;2005;70.1;78.9;86.5;68.5;;;;;;;;;;;;
5;78 Uitzendbureaus en arbeidsbemiddeling;2006 1e kwartaal;75.1;81.5;88.9;71.4;25.5;23.6;25.9;19.8;80.7;89.3;98.5;76.8;8.6;6.8;6.0;8.2
6;78 Uitzendbureaus en arbeidsbemiddeling;2006 2e kwartaal;85.3;92.2;100.3;81.4;23.0;19.9;19.8;20.0;85.0;92.3;100.6;81.2;5.3;3.4;2.1;5.7
7;78 Uitzendbureaus en arbeidsbemiddeling;2006 3e kwartaal;91.2;101.0;110.4;88.3;25.6;17.2;15.7;19.9;90.2;96.1;104.1;85.2;6.1;4.1;3.5;4.9
8;78 Uitzendbureaus en arbeidsbemiddeling;2006 4e kwartaal;98.8;104.5;113.5;92.3;26.0;20.8;17.7;26.4;94.5;101.5;109.9;90.1;4.8;5.6;5.6;5.8
9;78 Uitzendbureaus en arbeidsbemiddeling;2006;87.6;94.8;103.3;83.4;25.0;20.2;19.3;21.7;;;;;;;;
