ID;SoortToevoeging;Perioden;TotaalAfgegevenToevoegingen_1;TotaalBestuursrecht_2;Ambtenarenrecht_3;FiscaalRecht_4;Milieurecht_5;SocialeVerzekeringen_6;SocialeVoorzieningen_7;VreemdelingenrechtAsielrecht_8;VreemdelingenrechtBewaring_9;VreemdelingenrechtOverig_10;Woonrecht_11;BestuursrechtOverigEnOnbekend_12;TotaalCivielRecht_13;Arbeidsrecht_14;BOPZ_15;Erfrecht_16;Faillissementsrecht_17;Goederenrecht_18;Huurrecht_19;PersonenEnFamilierecht_20;Verbintenissenrecht_21;CivielRechtOverigEnOnbekend_22;Strafrecht_23;Onbekend_24
0;Totaal toevoegingen;2007;405830.0;116040.0;660.0;1200.0;0.0;16140.0;24630.0;16020.0;23350.0;26090.0;1460.0;6500.0;177340.0;18210.0;18080.0;840.0;940.0;240.0;10380.0;94020.0;33220.0;1410.0;111760.0;690.0
1;Totaal toevoegingen;2008;422530.0;116570.0;690.0;1390.0;400.0;14990.0;23630.0;19230.0;23430.0;24530.0;1250.0;7020.0;189270.0;19040.0;19200.0;980.0;930.0;270.0;10590.0;101210.0;35510.0;1540.0;115870.0;820.0
2;Totaal toevoegingen;2009;435590.0;120400.0;670.0;1400.0;320.0;14250.0;23580.0;25220.0;21120.0;24070.0;1290.0;8480.0;200340.0;21430.0;20320.0;990.0;860.0;290.0;10700.0;106280.0;37930.0;1550.0;114640.0;210.0
3;Totaal toevoegingen;2010;429970.0;120410.0;620.0;1560.0;250.0;13000.0;22810.0;29850.0;20360.0;21580.0;1130.0;9240.0;202410.0;17920.0;20960.0;1100.0;620.0;300.0;10520.0;110380.0;38930.0;1690.0;107110.0;50.0
4;Totaal toevoegingen;2011;414010.0;114990.0;610.0;1100.0;210.0;12020.0;22660.0;29120.0;16900.0;23600.0;740.0;8050.0;192260.0;15450.0;22020.0;1040.0;350.0;240.0;10310.0;106510.0;34100.0;2250.0;106720.0;40.0
5;Totaal toevoegingen;2012;449690.0;119380.0;630.0;1000.0;220.0;13110.0;28860.0;24930.0;14280.0;25980.0;710.0;9650.0;212950.0;17120.0;23210.0;1110.0;430.0;270.0;12240.0;118190.0;37580.0;2820.0;117310.0;60.0
6;Totaal toevoegingen;2013;453120.0;115400.0;500.0;1210.0;250.0;12720.0;29000.0;21120.0;9830.0;24320.0;830.0;15630.0;215630.0;16590.0;23750.0;1290.0;830.0;520.0;12230.0;119510.0;35810.0;5100.0;121890.0;200.0
7;Totaal toevoegingen;2014;444450.0;117580.0;420.0;1270.0;250.0;12840.0;29870.0;27930.0;7280.0;21710.0;810.0;15200.0;202370.0;14220.0;25060.0;1190.0;910.0;570.0;12360.0;109430.0;33250.0;5380.0;124410.0;80.0
8;Totaal toevoegingen;2015;434810.0;112580.0;400.0;1410.0;220.0;13340.0;28180.0;32260.0;5030.0;17940.0;760.0;13030.0;196420.0;13420.0;26000.0;1220.0;680.0;670.0;11720.0;107500.0;30600.0;4630.0;125790.0;30.0
9;Totaal toevoegingen;2016;445710.0;122820.0;380.0;1160.0;200.0;12900.0;26470.0;46060.0;5170.0;18330.0;760.0;11400.0;200450.0;12720.0;26950.0;1420.0;500.0;590.0;12400.0;110860.0;30740.0;4270.0;122420.0;20.0
10;Licht advies;2007;;;;;;;;;;;;;;;;;;;;;;;;
11;Licht advies;2008;;;;;;;;;;;;;;;;;;;;;;;;
12;Licht advies;2009;;;;;;;;;;;;;;;;;;;;;;;;
13;Licht advies;2010;;;;;;;;;;;;;;;;;;;;;;;;
14;Licht advies;2011;;;;;;;;;;;;;;;;;;;;;;;;
15;Licht advies;2012;10580.0;3420.0;20.0;90.0;0.0;470.0;960.0;190.0;0.0;900.0;60.0;730.0;6490.0;1110.0;10.0;60.0;40.0;10.0;880.0;1300.0;2690.0;400.0;660.0;0.0
16;Licht advies;2013;9990.0;3210.0;20.0;80.0;0.0;390.0;1020.0;150.0;0.0;810.0;40.0;720.0;6070.0;1030.0;10.0;80.0;40.0;10.0;790.0;1510.0;2190.0;410.0;700.0;0.0
