ID;Perioden;TurnoverIndices_1;TurnoverChange_2
0;2005 January;80.0;-14.5
1;2005 February;88.5;3.0
2;2005 March;108.6;-1.7
3;2005 1st quarter;92.4;-4.4
4;2005 April;100.5;5.5
5;2005 May;95.4;4.8
6;2005 June;117.6;5.3
7;2005 2nd quarter;104.5;5.2
8;2005 July;88.2;-3.4
9;2005 August;74.3;1.2
10;2005 September;106.4;10.0
11;2005 3rd quarter;89.6;2.9
12;2005 October;97.1;-3.2
13;2005 November;86.8;-2.2
14;2005 December;127.0;1.8
15;2005 4th quarter;103.7;-0.9
16;2005;97.5;0.6
17;2006 January;92.6;15.7
18;2006 February;100.2;13.2
19;2006 March;110.0;1.3
20;2006 1st quarter;100.9;9.3
21;2006 April;99.6;-0.9
22;2006 May;112.6;18.1
23;2006 June;119.6;1.7
24;2006 2nd quarter;110.6;5.8
25;2006 July;91.8;4.0
26;2006 August;82.2;10.6
27;2006 September;108.2;1.7
28;2006 3rd quarter;94.1;4.9
29;2006 October;99.6;2.5
30;2006 November;93.9;8.1
31;2006 December;126.5;-0.3
32;2006 4th quarter;106.7;2.9
33;2006;103.1;5.7
34;2007 January;95.3;2.9
35;2007 February;100.1;-0.2
36;2007 March;121.2;10.1
37;2007 1st quarter;105.5;4.5
38;2007 April;102.6;3.0
39;2007 May;113.0;0.4
40;2007 June;125.5;4.9
41;2007 2nd quarter;113.7;2.8
42;2007 July;104.8;14.1
43;2007 August;85.2;3.7
44;2007 September;104.9;-3.0
45;2007 3rd quarter;98.3;4.5
46;2007 October;118.9;19.4
47;2007 November;100.7;7.3
48;2007 December;107.4;-15.2
49;2007 4th quarter;109.0;2.2
50;2007;106.6;3.4
51;2008 January;115.0;20.7
52;2008 February;103.7;3.7
53;2008 March;108.4;-10.6
54;2008 1st quarter;109.0;3.3
55;2008 April;100.7;-1.9
56;2008 May;105.2;-6.9
57;2008 June;113.0;-9.9
58;2008 2nd quarter;106.3;-6.5
59;2008 July;96.7;-7.7
60;2008 August;76.3;-10.4
61;2008 September;104.1;-0.8
62;2008 3rd quarter;92.4;-6.0
63;2008 October;90.0;-24.3
64;2008 November;73.0;-27.5
65;2008 December;90.0;-16.1
66;2008 4th quarter;84.3;-22.6
67;2008;98.0;-8.1
68;2009 January;61.7;-46.3
69;2009 February;78.7;-24.1
70;2009 March;83.1;-23.3
71;2009 1st quarter;74.5;-31.6
72;2009 April;67.2;-33.2
73;2009 May;66.8;-36.5
74;2009 June;79.5;-29.6
75;2009 2nd quarter;71.2;-33.0
76;2009 July;69.3;-28.4
77;2009 August;56.4;-26.1
78;2009 September;75.8;-27.2
79;2009 3rd quarter;67.1;-27.3
80;2009 October;73.3;-18.6
81;2009 November;65.3;-10.6
82;2009 December;82.8;-8.0
83;2009 4th quarter;73.8;-12.5
84;2009;71.7;-26.9
85;2010 January;65.7;6.4
86;2010 February;73.2;-7.0
87;2010 March;101.9;22.6
88;2010 1st quarter;80.3;7.7
89;2010 April;78.2;16.3
90;2010 May;81.9;22.5
91;2010 June;96.0;20.8
92;2010 2nd quarter;85.3;19.9
93;2010 July;81.4;17.6
94;2010 August;70.8;25.6
95;2010 September;95.2;25.6
96;2010 3rd quarter;82.5;22.9
97;2010 October;92.5;26.3
98;2010 November;82.9;27.1
99;2010 December;106.4;28.5
100;2010 4th quarter;93.9;27.3
101;2010;85.5;19.3
102;2011 January;84.9;29.3
103;2011 February;100.6;37.4
104;2011 March;112.5;10.3
105;2011 1st quarter;99.3;23.7
106;2011 April;97.6;24.9
107;2011 May;99.9;22.0
108;2011 June;99.6;3.7
109;2011 2nd quarter;99.0;16.0
110;2011 July;90.1;10.7
111;2011 August;76.2;7.6
112;2011 September;99.0;4.0
113;2011 3rd quarter;88.5;7.3
114;2011 October;95.3;3.0
115;2011 November;91.0;9.7
116;2011 December;109.8;3.2
117;2011 4th quarter;98.7;5.0
118;2011;96.4;12.7
119;2012 January;92.1;8.5
120;2012 February;94.9;-5.6
121;2012 March;111.0;-1.3
122;2012 1st quarter;99.4;0.0
123;2012 April;111.6;14.3
124;2012 May;122.2;22.3
125;2012 June;136.7;37.3
126;2012 2nd quarter;123.5;24.7
127;2012 July;71.9;-20.2
128;2012 August;64.1;-15.9
129;2012 September;86.1;-13.0
130;2012 3rd  quarter;74.1;-16.3
131;2012 October;91.3;-4.2
132;2012 November;83.3;-8.5
133;2012 December;96.6;-12.0
134;2012 4th quarter;90.4;-8.4
135;2012;96.8;0.5
136;2013 January;65.8;-28.6
137;2013 February;74.7;-21.4
138;2013 March;88.7;-20.1
139;2013 1st quarter;76.4;-23.1
140;2013 April;78.7;-29.4
141;2013 May;79.4;-35.0
142;2013 June;95.9;-29.8
143;2013 2nd quarter;84.7;-31.4
144;2013 July;75.9;5.5
145;2013 August;63.8;-0.5
146;2013 September;86.8;0.7
147;2013 3rd quarter;75.5;1.9
148;2013 October;102.3;12.1
149;2013 November;103.2;23.9
150;2013 December;131.3;35.9
151;2013 4th quarter;112.3;24.2
152;2013;87.2;-9.9
153;2014 January;65.0;-1.1
154;2014 February;76.4;2.3
155;2014 March;90.0;1.5
156;2014 1st quarter;77.1;1.0
157;2014 April;83.6;6.1
158;2014 May;80.7;1.6
159;2014 June;88.5;-7.8
160;2014 2nd quarter;84.3;-0.5
161;2014 July;76.3;0.5
162;2014 August;59.6;-6.6
163;2014 September;88.1;1.6
164;2014 3rd quarter;74.7;-1.1
165;2014 October;92.0;-10.1
166;2014 November;86.5;-16.2
167;2014 December;124.4;-5.2
168;2014 4th quarter;101.0;-10.1
169;2014;84.3;-3.4
170;2015 January;64.4;-1.0
171;2015 February;70.9;-7.1
172;2015 March;90.5;0.5
173;2015 1st quarter;75.3;-2.4
174;2015 April;81.0;-3.1
175;2015 May;86.5;7.2
176;2015 June;106.7;20.6
177;2015 2nd quarter;91.4;8.5
178;2015 July;93.1;22.1
179;2015 August;70.8;18.8
180;2015 September;110.5;25.4
181;2015 3rd quarter;91.5;22.5
182;2015 October;120.1;30.5
183;2015 November;135.2;56.3
184;2015 December;170.3;36.9
185;2015 4th quarter;141.9;40.5
186;2015;100.0;18.7
187;2016 January;64.9;0.7
188;2016 February;82.2;15.9
189;2016 March;97.8;8.2
190;2016 1st quarter;81.6;8.5
191;2016 April;86.1;6.4
192;2016 May;88.0;1.7
193;2016 June;112.0;4.9
194;2016 2nd quarter;95.4;4.3
195;2016 July;74.7;-19.8
196;2016 August;70.5;-0.4
197;2016 September;103.4;-6.4
198;2016 3rd quarter;82.9;-9.4
199;2016 October;95.3;-20.6
200;2016 November;105.9;-21.7
201;2016 December;156.0;-8.4
202;2016 4th quarter;119.1;-16.1
203;2016;94.7;-5.3
204;2017 January;67.5;4.1
205;2017 February;85.4;3.9
206;2017 March;106.9;9.3
207;2017 1st quarter;86.6;6.1
208;2017 April;87.8;2.0
209;2017 May;106.3;20.8
210;2017 June;121.4;8.4
211;2017 2nd quarter;105.2;10.3
212;2017 July;84.9;13.7
213;2017 August;78.7;11.7
214;2017 September;102.0;-1.4
215;2017 3rd quarter;88.5;6.9
216;2017 October;107.8;13.2
217;2017 November;109.4;3.3
218;2017 December;142.1;-9.0
219;2017 4th quarter;119.8;0.6
220;2017;100.0;5.6
221;2018 January;73.0;8.2
222;2018 February;89.2;4.4
223;2018 March;121.5;13.7
224;2018 1st quarter;94.6;9.2
225;2018 April;104.8;19.3
226;2018 May;117.1;10.2
227;2018 June;127.2;4.8
228;2018 2nd quarter;116.4;10.6
229;2018 July;94.3;11.1
230;2018 August;82.7;5.1
231;2018 September;83.9;-17.8
232;2018 3rd quarter;87.0;-1.8
233;2018 October;102.0;-5.4
234;2018 November;105.5;-3.6
235;2018 December;123.8;-12.9
236;2018 4th quarter;110.4;-7.8
237;2018;102.1;2.1
238;2019 January;87.9;20.3
239;2019 February;95.6;7.2
240;2019 March;116.4;-4.2
241;2019 1st quarter;100.0;5.7
242;2019 April;105.2;0.4
243;2019 May;107.8;-8.0
244;2019 June;111.9;-12.0
245;2019 2nd quarter;108.3;-6.9
246;2019 July;92.7;-1.7
247;2019 August;79.2;-4.2
248;2019 September;107.2;27.8
249;2019 3rd quarter;93.0;7.0
250;2019 October;114.9;12.6
251;2019 November;106.2;0.6
252;2019 December;161.1;30.2
253;2019 4th quarter;127.4;15.3
254;2019;107.2;5.0
255;2020 January;82.9;-5.7
256;2020 February;90.1;-5.7
257;2020 March;95.4;-18.1
258;2020 1st quarter;89.5;-10.5
259;2020 April;40.1;-61.9
260;2020 May;54.5;-49.5
261;2020 June;98.3;-12.2
262;2020 2nd quarter;64.3;-40.6
263;2020 July;94.0;1.4
264;2020 August;74.4;-6.1
265;2020 September;106.8;-0.4
266;2020 3rd quarter;91.7;-1.4
267;2020 October;111.9;-2.6
268;2020 November;112.4;5.9
269;2020 December;158.3;-1.7
270;2020 4th quarter;127.5;0.1
271;2020;93.2;-13.0
272;2021 January;73.6;-11.2
273;2021 February;72.4;-19.6
274;2021 March;101.9;6.9
275;2021 1st quarter;82.7;-7.6
276;2021 April;92.9;131.5
277;2021 May;94.8;73.9
278;2021 June;104.5;6.3
279;2021 2nd quarter;97.4;51.4
280;2021 July;87.7;-6.7
281;2021 August;74.6;0.2
282;2021 September;91.7;-14.1
283;2021 3rd quarter;84.6;-7.7
284;2021 October;99.3;-11.2
285;2021 November;102.1;-9.2
286;2021 December;150.6;-4.8
287;2021 4th quarter;117.4;-8.0
288;2021;95.5;2.4
289;2022 January;78.7;6.8
290;2022 February;86.4;19.3
291;2022 March;103.5;1.6
292;2022 1st quarter;89.5;8.3
293;2022 April;96.0;3.4
294;2022 May;99.3;4.8
295;2022 June;120.1;14.9
296;2022 2nd quarter;105.1;8.0
297;2022 July;89.5;2.1
298;2022 August;89.5;20.0
299;2022 September;121.8;32.8
300;2022 3rd quarter;100.3;18.4
301;2022 October;130.4;31.2
302;2022 November;137.3;34.5
303;2022 December;177.3;17.7
304;2022 4th quarter;148.3;26.4
305;2022;110.8;16.0
306;2023 January;109.2;38.9
307;2023 February;127.9;48.0
308;2023 March;150.2;45.1
309;2023 1st quarter;129.1;44.2
310;2023 April;121.2;26.3
311;2023 May;137.6;38.6
312;2023 June;148.6;23.7
313;2023 2nd quarter;135.8;29.2
314;2023 July;112.0;25.2
315;2023 August;105.6;18.0
316;2023 September;119.7;-1.7
317;2023 3rd quarter;112.4;12.2
318;2023 October;128.1;-1.7
319;2023 November;123.5;-10.1
320;2023 December;160.9;-9.2
321;2023 4th quarter;137.5;-7.3
322;2023;128.7;16.2
