ID;SectorNietFinancieleVennootschappen;Perioden;Totaal_1;Output_2;SubsidiesNietProductgebonden_3;Totaal_4;RenteConformNationaleRekeningen_5;CorrectieVoorIGDFI_6;WerkelijkBetaaldeOntvangenRente_7;Totaal_8;Dividenden_9;InkomenOnttrokkenAanQuasiVennootsch_10;HerbelegdeWinstenOpDirBuitenlInv_11;Totaal_12;InkomenToegerekendAanPolishouders_13;InkTeBetalenAanPensioengerechtigden_14;InkomenToegerekendAanAandeelhouders_15;InkomenUitNatuurlijkeHulpbronnen_16;ToegSocialePremiesTLVWerkgevers_17;Totaal_18;UitkeringenSchadeverzekeringen_19;OverigeInkomensoverdrachtenNEG_20;Totaal_21;Investeringsbijdragen_22;OverigeKapitaaloverdrachten_23;Totaal_24;IntermediairVerbruik_25;Totaal_26;Lonen_27;SocialePremiesTLVWerkgevers_28;NietProductgebondenBelastingen_29;Totaal_30;RenteConformNationaleRekeningen_31;CorrectieVoorIGDFI_32;WerkelijkBetaaldeOntvangenRente_33;Totaal_34;Dividenden_35;InkomenOnttrokkenAanQuasiVennootsch_36;HerbelegdeWinstenOpDirBuitenlInv_37;InkTeBetalenAanPensioengerechtigden_38;InkomenUitNatuurlijkeHulpbronnen_39;BelastingenOpInkomen_40;UitkeringenOverigeSocialeVerzekering_41;Totaal_42;PremiesSchadeverzekeringNetto_43;OverigeInkomensoverdrachtenNEG_44;Totaal_45;Vermogensheffingen_46;OverigeKapitaaloverdrachten_47;Totaal_48;Totaal_49;VerbruikVanVasteActiva_50;InvesteringenInVasteActivaNetto_51;Totaal_52;VeranderingenInVoorraden_53;SaldoAanEnVerkopenKostbaarheden_54;SaldoAanEnVerkopenVanNietGeprod_55;BrutoToegevoegdeWaarde_56;NettoToegevoegdeWaarde_57;BrutoExploitatieoverschot_58;NettoExploitatieoverschot_59;SaldoPrimaireInkomensBruto_60;SaldoPrimaireInkomensNetto_61;BrutoBeschikbaarInkomen_62;NettoBeschikbaarInkomen_63;BrutoBesparingen_64;NettoBesparingen_65;SaldoNettoBespEnKapitaaloverdr_66;Vorderingensaldo_67
0;Niet-financiële vennootschappen;2015;1068150;954551;6306;95113;20756;-586;21342;71413;71040;373;2720;211;93;0;118;13;7038;3700;3540;160;1442;591;851;1074369;555796;237175;189181;47994;5581;136326;21679;-10871;32550;73125;71724;1401;37710;0;3812;13436;7038;5873;3555;2318;164;159;5;91587;89101;61710;27391;2486;2276;210;21393;398755;337045;162305;100595;121092;59382;105483;43773;105483;43773;45051;-6219
1;Niet-financiële vennootschappen;2016;1088356;978847;6770;89199;20193;-1181;21374;73668;72934;734;-4788;114;80;0;34;12;7978;3880;3688;192;1682;1216;466;1067797;566809;246931;196406;50525;5785;138963;20595;-10461;31056;88527;86843;1684;27427;0;2414;18342;7978;6283;3555;2728;175;158;17;74992;71537;63246;8291;3455;3300;155;1539;412038;348792;166092;102846;116328;53082;95583;32337;95583;32337;33844;20559
2;Niet-financiële vennootschappen;2017;1159602;1042614;7077;96217;20105;-650;20755;77067;76511;556;-1166;196;147;0;49;15;9182;3922;3728;194;590;241;349;1124047;611104;256523;204391;52132;5976;137597;22080;-9082;31162;86329;84176;2153;26936;0;2252;17731;9182;6296;3726;2570;180;165;15;77181;73934;64744;9190;3247;3118;129;2277;431510;366766;176088;111344;134708;69964;114603;49859;114603;49859;50269;35555
3;Niet-financiële vennootschappen;2018;1262326;1114226;7431;125040;22132;-140;22272;101417;100737;680;1227;253;194;0;59;11;9928;3947;3758;189;1754;345;1409;1237006;661877;271972;215395;56577;6495;169086;21866;-7680;29546;124051;121660;2391;21062;0;2107;19582;9928;6204;3680;2524;157;157;0;80706;76644;67457;9187;4062;3951;111;10999;452349;384892;181313;113856;137267;69810;115428;47971;115428;47971;49568;25320
4;Niet-financiële vennootschappen;2019;1302566;1159562;7893;118968;21879;-1058;22937;106420;104122;2298;-9539;195;136;0;59;13;10627;3880;3719;161;1636;749;887;1281947;681253;287472;226217;61255;6757;172190;22320;-8305;30625;108099;105417;2682;40471;0;1300;22595;10627;6591;3726;2865;189;180;9;91666;84998;70266;14732;6668;6649;19;2607;478309;408043;191973;121707;138751;68485;113445;43179;113445;43179;44626;20619
5;Niet-financiële vennootschappen;2020;1250922;1114963;26032;91721;19374;-1351;20725;81327;78273;3054;-9177;186;143;0;43;11;11627;4651;3936;715;1928;432;1496;1218141;649618;295871;231678;64193;7621;144512;20033;-8575;28608;100667;98116;2551;22767;0;1045;19437;11627;6366;3763;2603;209;203;6;81424;81290;72858;8432;134;-42;176;1456;465345;392487;187885;115027;135094;62236;113942;41084;113942;41084;42803;32781
6;Niet-financiële vennootschappen;2021;1422001;1248716;24174;131127;19559;-1362;20921;96668;94794;1874;14730;156;107;0;49;14;12370;4363;3812;551;1251;451;800;1367080;733196;308529;242092;66437;7587;171387;21022;-8228;29250;103911;101407;2504;45485;0;969;25840;12370;6455;3751;2704;212;203;9;100795;87856;76497;11359;12939;12770;169;709;515520;439023;223578;147081;183318;106821;155386;78889;155386;78889;79928;54921
7;Niet-financiële vennootschappen;2022;1687242;1473530;17407;174239;27464;3414;24050;89081;87147;1934;57392;284;74;0;210;18;14501;4287;4064;223;3278;2464;814;1558196;895749;331491;257709;73782;7456;252933;32765;-3988;36753;123502;119815;3687;92735;0;3931;35303;14501;6579;3807;2772;380;175;205;119690;98429;83047;15382;21261;21111;150;-105886;577781;494734;256241;173194;177547;94500;139952;56905;139952;56905;59803;129046
8;Ondern. onder Nederlandse zeggenschap;2015;644795;592496;4579;38727;8816;-370;9186;27899;27837;62;1868;131;58;0;73;13;5335;2307;2207;100;1351;583;768;626730;314754;177241;140860;36381;4155;48136;9077;-6868;15945;34336;34303;33;1216;0;3507;7982;5335;3661;2216;1445;164;159;5;47238;44979;39539;5440;2259;2115;144;18064;277742;238203;100925;61386;91516;51977;82180;42641;82180;42641;43828;18065
9;Ondern. onder Nederlandse zeggenschap;2016;652366;606779;4798;30835;8875;-743;9618;30493;29944;549;-8616;71;50;0;21;12;5976;2424;2304;120;1554;1184;370;632362;321896;182756;144910;37846;4278;51413;8812;-6581;15393;40212;40199;13;274;0;2115;11548;5976;3925;2221;1704;175;158;17;49553;47342;40179;7163;2211;2100;111;842;284883;244704;102647;62468;82069;41890;69020;28841;69020;28841;30220;20004
