ID;Geslacht;Leeftijd;GeneesmiddelengroepATC;RegioS;Perioden;PersonenMetVerstrekteGeneesmiddelen_1;PersonenMetGeneesmiddelenRelatief_2;GedefinieerdeDagdosesDDD_3;GedefinieerdeDagdosesDDDRelatief_4
51;Totaal mannen en vrouwen;10000;Totaal;Zuid-Nederland (LD);2020;2434865.0;64.73;2047903.0;544468.0
52;Totaal mannen en vrouwen;10000;Totaal;Zuid-Nederland (LD);2021;2464090.0;65.18;2078468.0;549809.0
53;Totaal mannen en vrouwen;10000;Totaal;Zuid-Nederland (LD);2022;2519225.0;65.78;2090130.0;545759.0
54;Totaal mannen en vrouwen;10000;Totaal;Zuid-Nederland (LD);2023;2541955.0;65.79;1995098.0;516367.0
55;Totaal mannen en vrouwen;10000;Totaal;Groningen (PV);2013;391790.0;66.03;;
56;Totaal mannen en vrouwen;10000;Totaal;Groningen (PV);2014;390895.0;65.44;;
57;Totaal mannen en vrouwen;10000;Totaal;Groningen (PV);2015;391730.0;65.16;;
58;Totaal mannen en vrouwen;10000;Totaal;Groningen (PV);2016;392605.0;65.29;;
59;Totaal mannen en vrouwen;10000;Totaal;Groningen (PV);2017;389295.0;65.12;;
60;Totaal mannen en vrouwen;10000;Totaal;Groningen (PV);2018;391905.0;64.78;;
61;Totaal mannen en vrouwen;10000;Totaal;Groningen (PV);2019;390085.0;64.42;;
62;Totaal mannen en vrouwen;10000;Totaal;Groningen (PV);2020;376140.0;62.19;323558.0;535007.0
63;Totaal mannen en vrouwen;10000;Totaal;Groningen (PV);2021;382795.0;62.26;327653.0;532927.0
64;Totaal mannen en vrouwen;10000;Totaal;Groningen (PV);2022;391840.0;62.82;333187.0;534191.0
65;Totaal mannen en vrouwen;10000;Totaal;Groningen (PV);2023;394235.0;62.84;322871.0;514622.0
66;Totaal mannen en vrouwen;10000;Totaal;Fryslân (PV);2013;431130.0;65.64;;
67;Totaal mannen en vrouwen;10000;Totaal;Fryslân (PV);2014;428870.0;65.34;;
68;Totaal mannen en vrouwen;10000;Totaal;Fryslân (PV);2015;430565.0;65.64;;
69;Totaal mannen en vrouwen;10000;Totaal;Fryslân (PV);2016;432395.0;65.95;;
70;Totaal mannen en vrouwen;10000;Totaal;Fryslân (PV);2017;430070.0;65.53;;
71;Totaal mannen en vrouwen;10000;Totaal;Fryslân (PV);2018;432560.0;65.83;;
72;Totaal mannen en vrouwen;10000;Totaal;Fryslân (PV);2019;431590.0;65.58;;
73;Totaal mannen en vrouwen;10000;Totaal;Fryslân (PV);2020;416215.0;63.13;341862.0;518521.0
74;Totaal mannen en vrouwen;10000;Totaal;Fryslân (PV);2021;419375.0;63.43;347558.0;525687.0
75;Totaal mannen en vrouwen;10000;Totaal;Fryslân (PV);2022;430755.0;64.49;350913.0;525343.0
76;Totaal mannen en vrouwen;10000;Totaal;Fryslân (PV);2023;433900.0;64.62;336172.0;500688.0
77;Totaal mannen en vrouwen;10000;Totaal;Drenthe (PV);2013;339805.0;68.44;;
78;Totaal mannen en vrouwen;10000;Totaal;Drenthe (PV);2014;337410.0;68.08;;
79;Totaal mannen en vrouwen;10000;Totaal;Drenthe (PV);2015;338685.0;68.21;;
80;Totaal mannen en vrouwen;10000;Totaal;Drenthe (PV);2016;340590.0;67.41;;
81;Totaal mannen en vrouwen;10000;Totaal;Drenthe (PV);2017;343185.0;66.61;;
82;Totaal mannen en vrouwen;10000;Totaal;Drenthe (PV);2018;340615.0;68.3;;
83;Totaal mannen en vrouwen;10000;Totaal;Drenthe (PV);2019;340150.0;68.16;;
84;Totaal mannen en vrouwen;10000;Totaal;Drenthe (PV);2020;328995.0;65.82;280898.0;561996.0
85;Totaal mannen en vrouwen;10000;Totaal;Drenthe (PV);2021;333240.0;66.49;286258.0;571138.0
86;Totaal mannen en vrouwen;10000;Totaal;Drenthe (PV);2022;341635.0;67.29;290899.0;573009.0
87;Totaal mannen en vrouwen;10000;Totaal;Drenthe (PV);2023;343820.0;67.38;281331.0;551369.0
88;Totaal mannen en vrouwen;10000;Totaal;Overijssel (PV);2013;761335.0;65.7;;
89;Totaal mannen en vrouwen;10000;Totaal;Overijssel (PV);2014;760300.0;65.6;;
90;Totaal mannen en vrouwen;10000;Totaal;Overijssel (PV);2015;761725.0;65.58;;
91;Totaal mannen en vrouwen;10000;Totaal;Overijssel (PV);2016;767685.0;65.93;;
92;Totaal mannen en vrouwen;10000;Totaal;Overijssel (PV);2017;763820.0;65.45;;
93;Totaal mannen en vrouwen;10000;Totaal;Overijssel (PV);2018;772085.0;65.9;;
94;Totaal mannen en vrouwen;10000;Totaal;Overijssel (PV);2019;769205.0;65.31;;
95;Totaal mannen en vrouwen;10000;Totaal;Overijssel (PV);2020;743230.0;62.88;605494.0;512263.0
96;Totaal mannen en vrouwen;10000;Totaal;Overijssel (PV);2021;754750.0;63.58;612404.0;515898.0
97;Totaal mannen en vrouwen;10000;Totaal;Overijssel (PV);2022;773920.0;64.47;618863.0;515530.0
98;Totaal mannen en vrouwen;10000;Totaal;Overijssel (PV);2023;781230.0;64.7;585894.0;485230.0
99;Totaal mannen en vrouwen;10000;Totaal;Flevoland (PV);2013;266595.0;65.27;;
100;Totaal mannen en vrouwen;10000;Totaal;Flevoland (PV);2014;268400.0;65.24;;
101;Totaal mannen en vrouwen;10000;Totaal;Flevoland (PV);2015;268485.0;64.83;;
102;Totaal mannen en vrouwen;10000;Totaal;Flevoland (PV);2016;270375.0;65.02;;
103;Totaal mannen en vrouwen;10000;Totaal;Flevoland (PV);2017;269550.0;64.54;;
104;Totaal mannen en vrouwen;10000;Totaal;Flevoland (PV);2018;272925.0;64.65;;
105;Totaal mannen en vrouwen;10000;Totaal;Flevoland (PV);2019;274725.0;64.14;;
106;Totaal mannen en vrouwen;10000;Totaal;Flevoland (PV);2020;265660.0;61.35;199742.0;461258.0
107;Totaal mannen en vrouwen;10000;Totaal;Flevoland (PV);2021;272400.0;62.04;205101.0;467114.0
108;Totaal mannen en vrouwen;10000;Totaal;Flevoland (PV);2022;280755.0;62.31;207976.0;461549.0
109;Totaal mannen en vrouwen;10000;Totaal;Flevoland (PV);2023;282770.0;61.83;199767.0;436839.0
110;Totaal mannen en vrouwen;10000;Totaal;Gelderland (PV);2013;1355650.0;66.16;;
111;Totaal mannen en vrouwen;10000;Totaal;Gelderland (PV);2014;1351500.0;65.81;;
112;Totaal mannen en vrouwen;10000;Totaal;Gelderland (PV);2015;1356475.0;65.78;;
113;Totaal mannen en vrouwen;10000;Totaal;Gelderland (PV);2016;1363995.0;65.74;;
114;Totaal mannen en vrouwen;10000;Totaal;Gelderland (PV);2017;1359595.0;65.23;;
115;Totaal mannen en vrouwen;10000;Totaal;Gelderland (PV);2018;1374240.0;65.49;;
116;Totaal mannen en vrouwen;10000;Totaal;Gelderland (PV);2019;1374290.0;65.05;;
117;Totaal mannen en vrouwen;10000;Totaal;Gelderland (PV);2020;1329085.0;62.59;1104141.0;519929.0
118;Totaal mannen en vrouwen;10000;Totaal;Gelderland (PV);2021;1350720.0;63.23;1120392.0;524462.0
119;Totaal mannen en vrouwen;10000;Totaal;Gelderland (PV);2022;1388585.0;64.16;1137522.0;525583.0
120;Totaal mannen en vrouwen;10000;Totaal;Gelderland (PV);2023;1402345.0;64.32;1082420.0;496479.0
121;Totaal mannen en vrouwen;10000;Totaal;Utrecht (PV);2013;824365.0;64.87;;
122;Totaal mannen en vrouwen;10000;Totaal;Utrecht (PV);2014;825350.0;64.49;;
123;Totaal mannen en vrouwen;10000;Totaal;Utrecht (PV);2015;828920.0;64.24;;
124;Totaal mannen en vrouwen;10000;Totaal;Utrecht (PV);2016;835980.0;64.26;;
125;Totaal mannen en vrouwen;10000;Totaal;Utrecht (PV);2017;834425.0;63.62;;
126;Totaal mannen en vrouwen;10000;Totaal;Utrecht (PV);2018;844270.0;63.79;;
127;Totaal mannen en vrouwen;10000;Totaal;Utrecht (PV);2019;870655.0;63.45;;
128;Totaal mannen en vrouwen;10000;Totaal;Utrecht (PV);2020;839150.0;60.73;624234.0;451798.0
129;Totaal mannen en vrouwen;10000;Totaal;Utrecht (PV);2021;852575.0;61.33;631005.0;453893.0
130;Totaal mannen en vrouwen;10000;Totaal;Utrecht (PV);2022;872800.0;62.05;637475.0;453215.0
131;Totaal mannen en vrouwen;10000;Totaal;Utrecht (PV);2023;883140.0;62.26;606954.0;427870.0
132;Totaal mannen en vrouwen;10000;Totaal;Noord-Holland (PV);2013;1803950.0;64.54;;
133;Totaal mannen en vrouwen;10000;Totaal;Noord-Holland (PV);2014;1807760.0;64.17;;
134;Totaal mannen en vrouwen;10000;Totaal;Noord-Holland (PV);2015;1816145.0;63.94;;
135;Totaal mannen en vrouwen;10000;Totaal;Noord-Holland (PV);2016;1832850.0;63.94;;
136;Totaal mannen en vrouwen;10000;Totaal;Noord-Holland (PV);2017;1829880.0;63.23;;
137;Totaal mannen en vrouwen;10000;Totaal;Noord-Holland (PV);2018;1850370.0;63.28;;
138;Totaal mannen en vrouwen;10000;Totaal;Noord-Holland (PV);2019;1853930.0;62.8;;
139;Totaal mannen en vrouwen;10000;Totaal;Noord-Holland (PV);2020;1782175.0;60.19;1342328.0;453378.0
140;Totaal mannen en vrouwen;10000;Totaal;Noord-Holland (PV);2021;1805775.0;60.66;1364508.0;458371.0
141;Totaal mannen en vrouwen;10000;Totaal;Noord-Holland (PV);2022;1845865.0;60.97;1379801.0;455791.0
142;Totaal mannen en vrouwen;10000;Totaal;Noord-Holland (PV);2023;1866290.0;61.12;1300588.0;425913.0
143;Totaal mannen en vrouwen;10000;Totaal;Zuid-Holland (PV);2013;2477720.0;67.81;;
144;Totaal mannen en vrouwen;10000;Totaal;Zuid-Holland (PV);2014;2476145.0;67.44;;
145;Totaal mannen en vrouwen;10000;Totaal;Zuid-Holland (PV);2015;2485350.0;67.28;;
146;Totaal mannen en vrouwen;10000;Totaal;Zuid-Holland (PV);2016;2499430.0;67.23;;
147;Totaal mannen en vrouwen;10000;Totaal;Zuid-Holland (PV);2017;2494450.0;66.55;;
