ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzet_25;TotaalUitzendenVanPersFase1En2_26;AdministratiefFase1En2_27;ParaMedischFase1En2_28;IndustrieelFase1En2_29;TechnischFase1En2_30;OverigFase1En2_31;TotaalUitzendenVanPersFase3En4_32;AdministratiefFase3En4_33;ParaMedischFase3En4_34;IndustrieelFase3En4_35;TechnischFase3En4_36;OverigFase3En4_37;UitlenenEnDetacherenVanPersoneel_38;Arbeidsbemiddeling_39;TestenWervenEnSelecterenPersoneel_40;DetacherenVanGesubsidieerdPersoneel_41;OverigeDiensten_42;TotaalVerleendeDiensten_43;OntvangstenVoorUitleenEnSubsidie_44;TotaalPersoneelskosten_45;BrutoLonenEnSalarissen_46;WVBrutoLonenEnSalGedetachPers_47;SocialeLasten_48;WVSocLastenGedetacheerdPersoneel_49;Pensioenpremies_50;WVPensioenpremiesGedetacheerdPers_51;KostenUitzendkrachten_52;KostenIngeleendPersoneel_53;OverigePersoneelskosten_54;WVOverigePersKstGedetachPers_55;TotaalPersoneelskostenUitgezPers_56;BrutoLonenEnSalarissenUitgezPers_57;SocialeLastenUitgezPersoneel_58;OverigePersKostenUitgezPersoneel_59;TotaalOverigeBedrijfslasten_60;TotaalHuisvestingskosten_61;BetaaldeHurenPachtenEDVanLeasing_62;OnroerendeZaakbelastingMilieuheffing_63;Energiekosten_64;ReparatieEnOnderhoudskosten_65;Verzekeringen_66;OverigeHuisvestingskosten_67;TotaalInventarisEnMachinekosten_68;BetaaldeHurenEnKostenVanOperLease_69;Onderhoudskosten_70;OverigeInventarisEnMachinekosten_71;TotaalAutokosten_72;BetaaldeHurenEnKostenVanOperLease_73;Brandstof_74;OverigeAutokosten_75;TotaalVerkoopkosten_76;ReclameEnAdvertentiekosten_77;ReisVerblijfsEnRepresentatiekosten_78;OverigeVerkoopkosten_79;TotaalAndereKosten_80;AccountantsEnAdviesdiensten_81;KantoorbenodigdhDrukwerkVakliteratuur_82;OverigeVerzekeringen_83;OverigeKostprijsverhogendeBelastingen_84;Communicatiekosten_85;Beheerskosten_86;OverigeAutomatiseringskosten_87;NogNietEerderGenoemdeBedrijfskosten_88;TotaalAantalWerkzamePersonen_89;WerknemersOpDeLoonlijst_90;WerknemersNietOpLoonlijst_91;OverigPersoneel_92;AantalVte_93;TotaalInvesteringen_94;TotaalMaterieleVasteActiva_95;Bedrijfsruimten_96;Vervoermiddelen_97;Computers_98;OverigeMachinesApparatenED_99;OverigeMaterieleVasteActiva_100;TotaalImmaterieleVasteActiva_101
10;250 000 tot 1 000 000 euro;1998;2.4;131.0;131.0;131.0;0.0;0.0;126.0;68.4;18.0;1.0;12.6;16.0;2.0;0.0;2.0;3.0;8.0;5.0;0.0;5.0;34.2;3.8;3.5;1.8;131.0;84.8;17.6;2.0;24.4;27.6;13.2;;;;;;;13.0;1.1;0.5;0.0;0.6;100.0;0.8;23.0;76.1;;10.3;;1.3;;0.6;6.4;6.1;;84.0;79.4;14.9;5.6;16.0;2.0;;;;;;;0.0;;;;2.0;;;;3.0;;;;8.0;;;;;;;;;13.0;89.9;7.2;2.9;5.0;2.0;89.6;12.0;31.2;15.8;9.2;21.3;10.4
11;250 000 tot 1 000 000 euro;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1 000 000 tot 3 000 000 euro;1996;1.1;195.0;195.0;194.0;0.0;0.0;183.0;81.2;8.5;1.0;9.3;17.0;2.0;0.0;2.0;3.0;10.0;12.0;-1.0;11.0;23.6;6.0;5.8;1.0;195.0;97.4;17.3;0.5;32.0;31.6;15.9;;;;;;;1.3;0.1;0.0;0.0;0.7;99.5;1.9;16.0;78.4;;7.6;;2.1;;0.6;6.8;6.4;;148.0;83.5;11.9;4.6;17.0;2.0;74.2;0.9;8.5;7.9;1.2;7.2;0.0;9.9;41.9;48.2;2.0;36.6;24.2;39.2;3.0;57.1;19.4;23.5;10.0;18.6;10.3;3.5;0.2;8.6;45.7;2.2;11.0;6.0;86.1;7.1;6.8;6.0;2.0;96.4;13.3;32.1;18.8;14.2;18.1;3.6
13;1 000 000 tot 3 000 000 euro;1997;1.5;272.0;271.0;271.0;0.0;1.0;256.0;78.7;10.2;0.9;10.2;26.0;3.0;0.0;3.0;5.0;15.0;15.0;-1.0;14.0;25.6;5.3;5.2;1.3;271.0;95.1;15.6;1.8;33.1;30.2;14.4;;;;;;;3.5;1.0;0.2;0.0;0.2;100.0;0.3;26.0;72.0;;7.5;;1.4;;1.2;12.6;5.5;;198.0;83.3;11.5;5.2;26.0;3.0;74.8;0.7;7.0;7.3;0.9;9.4;0.0;19.6;29.5;50.9;3.0;44.5;22.7;32.8;5.0;62.9;17.7;19.4;15.0;22.0;10.4;2.4;0.1;8.6;42.6;2.5;11.4;10.0;86.8;5.3;7.9;8.0;3.0;94.4;17.0;27.3;19.1;15.4;15.5;5.6
14;1 000 000 tot 3 000 000 euro;1998;1.8;321.0;320.0;320.0;0.0;1.0;305.0;74.6;14.0;1.0;10.4;32.0;4.0;1.0;4.0;6.0;17.0;16.0;-1.0;15.0;28.9;4.7;4.7;1.7;320.0;90.3;15.8;1.9;31.3;27.3;13.9;;;;;;;7.9;0.2;0.4;0.6;0.5;99.9;0.8;43.0;68.5;;9.3;;1.4;;0.9;13.9;6.8;;223.0;78.3;15.3;6.3;32.0;4.0;;;;;;;1.0;;;;4.0;;;;6.0;;;;17.0;;;;;;;;;15.0;87.1;4.5;8.4;9.0;5.0;97.8;30.2;20.5;16.3;9.7;21.1;2.2
15;1 000 000 tot 3 000 000 euro;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;3 000 000 euro en meer;1996;1.1;4236.0;4208.0;4208.0;0.0;28.0;3964.0;77.0;15.9;0.7;6.4;255.0;53.0;8.0;20.0;79.0;95.0;272.0;-19.0;253.0;27.5;6.4;6.0;1.2;4208.0;91.8;28.5;3.7;42.4;11.1;6.0;;;;;;;6.8;0.4;0.0;0.3;0.7;100.0;0.7;629.0;80.9;;6.6;;3.2;;2.2;2.4;5.4;;3047.0;85.6;11.4;3.0;255.0;53.0;68.7;1.9;8.0;4.2;0.4;16.8;8.0;43.4;45.1;11.5;20.0;71.9;11.3;16.9;79.0;64.8;18.2;17.0;95.0;13.8;13.7;2.4;0.1;27.3;19.2;12.4;11.1;251.0;97.7;0.2;2.1;107.0;49.0;99.0;38.5;4.0;22.9;4.1;29.5;1.0
17;3 000 000 euro en meer;1997;1.1;4913.0;4881.0;4881.0;0.0;32.0;4634.0;75.3;17.1;0.8;6.8;315.0;65.0;11.0;24.0;103.0;113.0;280.0;4.0;284.0;28.5;5.7;5.8;1.3;4881.0;90.2;28.5;2.4;43.9;9.0;6.4;;;;;;;8.3;0.4;0.1;0.6;0.3;100.0;1.0;794.0;82.6;;5.4;;2.7;;2.3;2.1;5.9;;3480.0;84.7;12.2;3.2;315.0;65.0;66.5;1.6;8.1;4.2;0.3;19.2;11.0;38.1;51.4;10.6;24.0;69.0;11.8;19.1;103.0;63.6;21.7;14.7;113.0;12.3;13.4;2.5;0.0;27.7;23.7;11.9;8.5;327.0;96.3;0.1;3.6;145.0;64.0;99.4;40.0;4.0;19.4;5.3;30.7;0.6
18;3 000 000 euro en meer;1998;1.3;5864.0;5804.0;5804.0;0.0;60.0;5536.0;71.7;19.9;0.8;7.6;421.0;82.0;20.0;30.0;127.0;163.0;327.0;-8.0;319.0;31.7;5.5;5.4;1.3;5804.0;86.3;28.6;3.0;42.8;7.6;4.3;;;;;;;11.1;0.3;0.4;0.9;1.1;100.0;0.8;1102.0;75.8;;13.2;;1.7;;1.8;2.4;5.9;;3895.0;76.8;20.3;2.9;421.0;82.0;;;;;;;20.0;;;;30.0;;;;127.0;;;;163.0;;;;;;;;;444.0;97.2;0.1;2.8;168.0;78.0;96.0;41.2;2.4;20.6;4.7;27.0;4.0
19;3 000 000 euro en meer;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
