ID;Perioden;TotaalBaten_1;TotaalBatenLopendeRekening_2;Heffingen_3;OverigeBaten_4;BatenKapitaalrekening_5;TotaalLasten_6;LastenLopendeRekening_7;LastenKapitaalrekening_8;SaldoVanBatenEnLasten_9;TotaalSchuldPer31December_10;VasteSchuld_11;VlottendeSchuld_12
0;1900;3;2;;;1;3;2;1;0;;7.0;
1;1901;3;2;;;1;3;3;1;0;;;
2;1902;4;2;;;2;4;3;1;0;;;
3;1903;4;2;;;2;4;3;1;0;;;
4;1904;5;3;;;2;5;4;1;0;;;
5;1905;5;3;;;2;5;4;1;0;;8.0;
6;1906;6;3;;;3;6;5;1;0;;;
7;1907;6;3;;;3;7;5;2;0;;;
8;1908;7;4;;;3;7;6;2;0;;;
9;1909;8;4;;;3;8;6;2;0;;;
10;1910;9;5;;;4;9;7;2;-1;;11.0;
11;1911;10;6;;;4;10;8;2;-1;;;
12;1912;11;6;;;5;12;9;3;-1;;;
13;1913;12;7;;;5;13;10;3;-1;;;
14;1914;14;8;;;6;15;11;4;-1;;;
15;1915;16;13;;;3;18;15;3;-2;;17.0;
16;1916;18;11;;;7;20;14;5;-2;;;
17;1917;20;13;;;7;22;16;6;-2;;;
18;1918;23;15;;;7;25;18;7;-2;;;
19;1919;24;17;;;7;27;19;9;-3;;;
20;1920;26;22;;;4;30;17;14;-4;;66.0;
21;1921;30;21;;;9;34;25;10;-4;;;
22;1922;34;23;;;11;39;30;9;-5;;;
23;1923;38;26;;;12;44;35;9;-6;;;
24;1924;43;30;;;13;50;40;10;-7;;;
25;1925;48;39;;;9;57;48;9;-8;;78.0;
26;1926;54;39;;;15;64;51;13;-10;;;
27;1927;60;43;;;17;72;57;15;-11;;;
28;1928;39;26;;;14;44;30;14;-5;;;
29;1929;44;28;;;15;49;36;13;-5;;;
30;1930;48;40;;;9;54;37;17;-6;120.0;109.0;11.0
31;1931;54;35;;;19;60;47;14;-6;;;
32;1932;61;40;;;21;68;53;15;-6;;;
33;1933;68;45;;;24;76;59;17;-8;;;
34;1934;77;48;;;29;84;68;16;-7;;;
35;1935;86;62;;;24;80;52;28;5;158.0;134.0;24.0
36;1936;78;56;;;22;79;50;28;-1;166.0;138.0;28.0
37;1937;106;57;;;50;98;56;42;8;175.0;134.0;41.0
38;1938;98;60;;;39;92;57;36;6;172.0;134.0;38.0
39;1939;82;56;;;27;74;52;22;8;174.0;135.0;39.0
40;1940;78;56;;;22;73;52;21;5;169.0;130.0;39.0
41;1941;78;57;;;21;79;53;26;-1;178.0;134.0;44.0
42;1942;82;60;;;22;71;53;18;11;199.0;132.0;67.0
43;1943;94;62;;;31;79;56;23;15;220.0;129.0;91.0
44;1944;92;64;;;28;86;61;25;6;211.0;126.0;85.0
45;1945;94;72;;;22;91;67;24;3;214.0;125.0;89.0
46;1946;101;73;;;28;98;71;27;3;213.0;120.0;93.0
47;1947;127;90;;;37;130;84;46;-3;215.0;123.0;92.0
48;1948;79;51;;;28;92;55;37;-13;224.0;130.0;94.0
49;1949;86;56;;;30;100;61;39;-14;230.0;142.0;88.0
50;1950;94;56;;;37;94;52;41;0;231.0;144.0;87.0
51;1951;101;61;;;40;94;58;36;8;239.0;145.0;94.0
52;1952;106;63;;;43;115;66;49;-9;247.0;160.0;87.0
53;1953;133;67;;;66;127;69;58;6;240.0;167.0;73.0
54;1954;128;70;;;57;128;74;54;0;241.0;167.0;74.0
55;1955;122;77;;;45;129;79;49;-6;248.0;167.0;81.0
56;1956;135;83;;;52;141;88;53;-6;284.0;183.0;101.0
57;1957;147;94;;;54;153;97;56;-5;306.0;193.0;113.0
58;1958;156;93;;;63;162;103;60;-6;313.0;207.0;106.0
59;1959;164;89;;;75;172;108;63;-7;308.0;207.0;101.0
60;1960;173;93;;;79;181;114;67;-9;350.0;246.0;104.0
