ID;Perioden;TotaalBedrijven_1;TotaalExclusiefKlasseABELM_2;k_0Werknemers_3;k_1Tot5Werknemers_4;k_5Tot10Werknemers_5;k_10Tot20Werknemers_6;k_20Tot50Werknemers_7;k_50Tot100Werknemers_8;k_100Tot200Werknemers_9;k_200Tot500Werknemers_10;k_500EnMeerWerknemers_11;TotaalLandbouwJachtEnBosbouw_12;k_01LandbouwEnJacht_13;k_02BosbouwDienstverleningTbvBosbouw_14;k_05VisserijKwekenVanVisSchaaldieren_15;TotaalDelfstoffenwinning_16;k_10Turfwinning_17;k_11AardolieEnAardgaswinning_18;k_14ZandGrindKleiZoutwinning_19;TotaalIndustrie_20;k_15VoedingsmiddelenEnDrankenindustrie_21;k_16TabakverwerkendeIndustrie_22;k_17Textielindustrie_23;k_18KledingEnBontindustrie_24;k_19LeerLederwarenEnSchoenindustrie_25;k_20HoutKurkRietindustrie_26;k_21PapierWarenEnKartonWaren_27;k_22UitgeverijenDrukkerijenReprod_28;k_23AardolieEnSteenkoolverwInd_29;k_24ChemischeIndustrie_30;k_25RubberEnKunststofverwerkendeInd_31;k_26GlasAardewerkCementKalkind_32;k_27Basismetaalindustrie_33;k_28Metaalproduktenindustrie_34;k_29MachineEnApparatenindustrie_35;k_30KantoormachineEnComputerindustrie_36;k_31OverigeElektrischeApparatenind_37;k_32AudioVideoTelecomApparatenind_38;k_33MedischeEnOptischeApparatenind_39;k_34AutoAanhangwagenEnOpleggerind_40;k_35OverigeTransportmiddelenindustrie_41;k_36MeubelEnOverigeIndustrieNEG_42;k_37VoorbereidingTotRecycling_43;TotaalEnergie_44;k_40OpenbareEnergievoorzieningsbedr_45;k_41Waterleidingbedrijven_46;k_45Bouwnijverheid_47;TotaalHandelEnReparatie_48;k_50HandelRepAutoSEnMotorfietsen_49;k_51GroothandelEnHandelsbemiddeling_50;k_52DetailhandelInclReparatie_51;k_55Horeca_52;TotaalVervoerEnCommunicatie_53;k_60VervoerOverLand_54;k_61VervoerOverWater_55;k_62VervoerDoorDeLucht_56;k_63DienstverleningTBVHetVervoer_57;k_64PostEnTelecommunicatie_58;TotaalFinancieleInstellingen_59;k_65FinancieleInstelExVerzekeringen_60;k_66VerzekeringswezenEnPensioenfondsen_61;k_67ActiviteitenTbvFinancieleInstel_62;TotaalVerhuur_63;k_70VerhuurEnHandelInOnroerendGoed_64;k_71VerhuurVanRoerendeGoederen_65;k_72ComputerserviceInformatietechnol_66;k_73SpeurEnOntwikkelingswerk_67;k_74OverigeZakelijkeDienstverlening_68;LOpenbaarBestuurSocVerzekeringen_69;MOnderwijs_70;NGezondheidsEnWelzijnszorg_71;TotaalMilieuCultuurEnRecreatie_72;k_90Milieudienstverlening_73;k_91IdeeleEnBelangenorganisaties_74;k_92CultuurSportEnRecreatie_75;k_93OverigeDienstverlening_76;TotaalFaillissementen_77;BedrijvenEnInstellingenTotaal_78;LandEnBosbouwJachtEnVisserij_79;WinningVanDelfstoffenEnIndustrie_80;Bouwnijverheid_81;ReparatieConsumentenartEnHandel_82;Horeca_83;VervoerOpslagEnCommunicatie_84;FinInstVerhuurEnZakDienstverl_85;OnderwGezondhMilieuOvDienstVerl_86;TotaalBedrijven_87;Delfstoffenwinning_88;Industrie_89;BouwnijverheidEnInstallatiebedrijven_90;HandelHorecaReparatiebedrijven_91;TransportOpslagEnCommunicatie_92;BankVerzekeringZakelijkeDiensten_93;OverigeDienstverlening_94;TotaalBedrijven_95;Delfstoffenwinning_96;Industrie_97;BouwnijverheidEnInstallatiebedrijven_98;HandelHorecaReparatiebedrijven_99;TransportOpslagEnCommunicatie_100;BankVerzekeringZakelijkeDiensten_101;OverigeDienstverlening_102;TotaalBedrijven_103;Delfstoffenwinning_104;Industrie_105;BouwnijverheidEnInstallatiebedrijven_106;HandelHorecaReparatiebedrijven_107;TransportOpslagEnCommunicatie_108;BankVerzekeringZakelijkeDiensten_109;OverigeDienstverlening_110;TotaalBedrijven_111;Delfstoffenwinning_112;Industrie_113;BouwnijverheidEnInstallatiebedrijven_114;HandelHorecaReparatiebedrijven_115;TransportOpslagEnCommunicatie_116;BankVerzekeringZakelijkeDiensten_117;OverigeDienstverlening_118
0;1983;;394850;184850;138750;30390;19010;13530;4360;2045;1290;630;;;;;305;15;140;150;39810;7535;30;1210;2085;550;1810;300;5565;35;790;835;1700;185;5930;3210;190;550;150;1320;545;1260;3995;30;;;;40600;158760;18365;43770;96625;35405;19085;10410;4115;65;4065;430;8805;1035;510;7260;48590;10690;2695;3830;325;31050;;;21220;22270;265;1605;6790;13610;7693;6341;129;824;1051;2174;701;259;906;288;441827.0;319.0;44167.0;39876.0;205088.0;20207.0;80459.0;51711.0;399665.0;258.0;34955.0;32389.0;192787.0;17532.0;76007.0;45737.0;38165.0;53.0;7883.0;7080.0;11708.0;2499.0;4017.0;4925.0;3997.0;8.0;1329.0;407.0;593.0;176.0;435.0;1049.0
1;1984;;392035;183630;138580;30410;18355;12995;4195;1945;1310;615;;;;;290;15;130;145;38720;7305;30;1245;2060;535;1780;290;5380;30;765;835;1595;175;5590;3125;190;565;150;1330;520;1210;3985;30;;;;39340;156745;18360;43390;94995;34455;18985;10415;3990;60;4060;460;8920;1050;485;7385;49895;11255;2775;3880;325;31660;;;22125;22570;275;1570;6995;13730;6224;5191;97;632;788;1912;600;214;701;230;445400.0;322.0;43586.0;38900.0;204584.0;20387.0;85101.0;52520.0;404583.0;262.0;34585.0;32211.0;192631.0;17770.0;80666.0;46458.0;36905.0;50.0;7703.0;6311.0;11380.0;2439.0;4012.0;5010.0;3912.0;10.0;1298.0;378.0;573.0;178.0;423.0;1052.0
2;1985;;399495;187580;143555;30190;17685;12670;4000;1915;1265;640;;;;;260;10;115;135;39285;7070;30;1285;2250;525;1755;290;5635;30;760;890;1515;170;5515;3235;210;650;170;1440;520;1205;4100;35;;;;39325;157495;18840;43640;95015;35055;18490;9940;3900;60;4075;515;9155;1195;470;7490;53265;11635;2970;4180;370;34110;;;23475;23705;290;1710;7405;14300;5378;4500;106;546;637;1627;491;184;643;238;459899.0;300.0;44846.0;39244.0;208843.0;20089.0;91517.0;55060.0;420189.0;239.0;35943.0;33208.0;197258.0;17491.0;87045.0;49005.0;35887.0;50.0;7621.0;5709.0;11042.0;2436.0;4045.0;4984.0;3823.0;11.0;1282.0;327.0;543.0;162.0;427.0;1071.0
3;1986;;398410;184930;146045;29595;17525;12590;3990;1855;1280;605;;;;;240;10;105;125;38650;6900;25;1290;2205;510;1755;275;5595;25;710;915;1450;160;5450;3175;210;680;170;1430;505;1175;4010;30;;;;38540;155990;18815;43970;93205;34485;19025;9995;4245;65;4150;570;9410;1180;510;7720;53300;11910;3070;4100;405;33815;;;24735;24035;295;1835;7715;14190;4448;3733;92;526;507;1324;401;155;526;188;464201.0;286.0;44742.0;38711.0;209661.0;20949.0;93586.0;56266.0;424782.0;227.0;35814.0;32936.0;198286.0;18312.0;89084.0;50123.0;35671.0;48.0;7696.0;5463.0;10856.0;2484.0;4054.0;5070.0;3748.0;11.0;1232.0;312.0;519.0;153.0;448.0;1073.0
4;1987;;398370;185925;144260;29710;17785;12810;4050;1960;1260;600;;;;;240;10;105;125;38920;6775;25;1295;2245;505;1760;280;5730;25;695;940;1390;165;5485;3210;215;735;180;1440;510;1185;4095;35;;;;38015;154875;18735;44230;91910;34190;18795;10015;3920;65;4140;655;9385;1145;505;7735;53390;12310;2350;4105;400;34225;;;26060;24500;305;1770;8030;14395;3786;3202;67;447;447;1111;311;160;459;188;471107.0;304.0;45735.0;38444.0;211428.0;20957.0;96473.0;57766.0;430883.0;235.0;36551.0;32542.0;199863.0;18192.0;91919.0;51581.0;36386.0;60.0;7940.0;5575.0;11044.0;2614.0;4079.0;5074.0;3838.0;9.0;1244.0;327.0;521.0;151.0;475.0;1111.0
5;1988;;402660;190700;142160;29925;17940;13570;4280;2090;1365;630;;;;;225;10;100;115;39150;6630;25;1300;2245;505;1795;285;5800;25;685;975;1375;160;5520;3245;215;780;185;1485;505;1180;4195;35;;;;38905;154205;18760;44255;91190;34545;18855;9965;4000;60;4120;710;9225;1040;510;7675;55830;12440;2590;4330;440;36030;;;27090;24630;320;1830;7915;14565;3849;3303;83;443;470;1114;274;166;533;186;482966.0;305.0;46736.0;39754.0;214400.0;21297.0;102053.0;58421.0;441251.0;240.0;37157.0;33411.0;202470.0;18398.0;97393.0;52182.0;37639.0;52.0;8250.0;5996.0;11381.0;2728.0;4157.0;5075.0;4076.0;13.0;1329.0;347.0;549.0;171.0;503.0;1164.0
6;1989;;411630;191225;147700;30750;18925;14175;4485;2210;1425;735;;;;;225;10;100;115;39640;6520;25;1315;2225;500;1830;280;5970;25;650;1015;1350;155;5615;3305;220;825;190;1535;505;1190;4360;35;;;;39535;154995;18915;45260;90820;34960;19325;9975;4275;60;4270;745;9185;955;525;7705;60005;12845;2800;4725;485;39150;;;29135;24620;340;1860;7550;14870;3678;3104;65;407;439;1039;246;164;571;158;500083.0;331.0;48215.0;40741.0;218778.0;21764.0;110541.0;59713.0;456344.0;264.0;38315.0;33969.0;206195.0;18703.0;105497.0;53401.0;39385.0;53.0;8517.0;6380.0;11970.0;2850.0;4486.0;5129.0;4354.0;14.0;1383.0;392.0;613.0;211.0;558.0;1183.0
7;1990;;423275;196470;152960;31300;18770;14605;4695;2310;1445;725;;;;;230;10;100;120;39845;6405;25;1295;2280;490;1850;270;6060;25;645;1045;1325;155;5600;3335;215;850;190;1545;500;1200;4505;35;;;;40010;155630;19030;46170;90430;35115;20590;10140;5285;70;4240;855;9595;1085;510;8000;64435;13630;3025;5060;565;42155;;;31425;26400;350;2125;8620;15305;3519;2961;77;390;394;983;201;159;563;177;528127.0;384.0;49240.0;41607.0;223297.0;23949.0;120219.0;69431.0;484066.0;320.0;39262.0;34686.0;210434.0;20837.0;115683.0;62844.0;39673.0;52.0;8568.0;6539.0;12201.0;2898.0;4059.0;5356.0;4388.0;12.0;1410.0;382.0;662.0;214.0;477.0;1231.0
8;1991;;438490;204545;157335;31935;19600;15415;4950;2435;1540;740;;;;;225;10;100;115;40405;6275;25;1275;2265;480;1880;270;6240;30;645;1080;1345;155;5785;3365;215;890;190;1580;500;1195;4685;35;;;;40705;155685;19140;47260;89285;35855;20980;10265;5425;75;4285;930;10570;1280;535;8755;70900;15080;3325;5540;640;46315;;;34880;28280;370;2315;9855;15740;4075;3534;86;495;447;1094;220;199;792;180;558761.0;413.0;50798.0;42768.0;228364.0;24703.0;138031.0;73684.0;512367.0;345.0;40331.0;35469.0;214798.0;21381.0;133022.0;67021.0;41795.0;52.0;9009.0;6916.0;12852.0;3096.0;4460.0;5410.0;4599.0;16.0;1458.0;383.0;714.0;226.0;549.0;1253.0
9;1992;;449015;205095;164210;33115;20285;16150;5200;2525;1645;790;;;;;210;10;90;110;40510;6100;20;1240;2245;460;1890;265;6280;25;625;1130;1310;160;5895;3415;210;920;190;1600;505;1205;4785;35;;;;40795;154800;19155;47900;87745;36400;21105;10390;5390;85;4310;930;11485;1480;570;9435;76565;16315;3520;5970;740;50020;;;37590;29575;385;2555;10525;16110;5045;4369;96;575;550;1428;243;231;1001;210;581360.0;421.0;51661.0;43226.0;231297.0;25233.0;152895.0;76627.0;532794.0;351.0;40765.0;35586.0;217009.0;21680.0;147472.0;69931.0;43751.0;57.0;9378.0;7217.0;13541.0;3300.0;4826.0;5432.0;4815.0;13.0;1518.0;423.0;747.0;253.0;597.0;1264.0
