ID;Bedrijfsomvang;BedrijfstakkenBranchesSBI2008;FinancieleBedrijfsgegevens;Perioden;BenedengrensWaarde_1;GemiddeldeWaarde_2;BovengrensWaarde_3;BenedengrensWaarde_4;GemiddeldeWaarde_5;BovengrensWaarde_6
58;1 werkzame persoon;011 Teelt van eenjarige gewassen;Bedrijfsresultaat;2009;;;;;;
59;1 werkzame persoon;011 Teelt van eenjarige gewassen;Bedrijfsresultaat;2010;;;;;;
60;1 werkzame persoon;011 Teelt van eenjarige gewassen;Afschrijvingen;2008;;;;;;
61;1 werkzame persoon;011 Teelt van eenjarige gewassen;Afschrijvingen;2009;;;;;;
62;1 werkzame persoon;011 Teelt van eenjarige gewassen;Afschrijvingen;2010;;;;;;
63;1 werkzame persoon;0111 Teelt van granen en peulvruchten;Totale bedrijfsopbrengsten;2008;;;;;;
64;1 werkzame persoon;0111 Teelt van granen en peulvruchten;Totale bedrijfsopbrengsten;2009;;;;;;
65;1 werkzame persoon;0111 Teelt van granen en peulvruchten;Totale bedrijfsopbrengsten;2010;;;;;;
66;1 werkzame persoon;0111 Teelt van granen en peulvruchten;Totale bedrijfslasten;2008;;;;;;
67;1 werkzame persoon;0111 Teelt van granen en peulvruchten;Totale bedrijfslasten;2009;;;;;;
68;1 werkzame persoon;0111 Teelt van granen en peulvruchten;Totale bedrijfslasten;2010;;;;;;
69;1 werkzame persoon;0111 Teelt van granen en peulvruchten;Inkoopwaarde omzet;2008;;;;;;
70;1 werkzame persoon;0111 Teelt van granen en peulvruchten;Inkoopwaarde omzet;2009;;;;;;
71;1 werkzame persoon;0111 Teelt van granen en peulvruchten;Inkoopwaarde omzet;2010;;;;;;
72;1 werkzame persoon;0111 Teelt van granen en peulvruchten;Personele kosten;2008;;;;;;
73;1 werkzame persoon;0111 Teelt van granen en peulvruchten;Personele kosten;2009;;;;;;
74;1 werkzame persoon;0111 Teelt van granen en peulvruchten;Personele kosten;2010;;;;;;
75;1 werkzame persoon;0111 Teelt van granen en peulvruchten;Overige bedrijfslasten;2008;;;;;;
76;1 werkzame persoon;0111 Teelt van granen en peulvruchten;Overige bedrijfslasten;2009;;;;;;
77;1 werkzame persoon;0111 Teelt van granen en peulvruchten;Overige bedrijfslasten;2010;;;;;;
78;1 werkzame persoon;0111 Teelt van granen en peulvruchten;Bedrijfsresultaat;2008;;;;;;
79;1 werkzame persoon;0111 Teelt van granen en peulvruchten;Bedrijfsresultaat;2009;;;;;;
80;1 werkzame persoon;0111 Teelt van granen en peulvruchten;Bedrijfsresultaat;2010;;;;;;
81;1 werkzame persoon;0111 Teelt van granen en peulvruchten;Afschrijvingen;2008;;;;;;
82;1 werkzame persoon;0111 Teelt van granen en peulvruchten;Afschrijvingen;2009;;;;;;
83;1 werkzame persoon;0111 Teelt van granen en peulvruchten;Afschrijvingen;2010;;;;;;
84;1 werkzame persoon;0113 Teelt van groenten en knolgewassen;Totale bedrijfsopbrengsten;2008;;;;;;
85;1 werkzame persoon;0113 Teelt van groenten en knolgewassen;Totale bedrijfsopbrengsten;2009;;;;;;
86;1 werkzame persoon;0113 Teelt van groenten en knolgewassen;Totale bedrijfsopbrengsten;2010;;;;;;
87;1 werkzame persoon;0113 Teelt van groenten en knolgewassen;Totale bedrijfslasten;2008;;;;;;
88;1 werkzame persoon;0113 Teelt van groenten en knolgewassen;Totale bedrijfslasten;2009;;;;;;
89;1 werkzame persoon;0113 Teelt van groenten en knolgewassen;Totale bedrijfslasten;2010;;;;;;
90;1 werkzame persoon;0113 Teelt van groenten en knolgewassen;Inkoopwaarde omzet;2008;;;;;;
91;1 werkzame persoon;0113 Teelt van groenten en knolgewassen;Inkoopwaarde omzet;2009;;;;;;
92;1 werkzame persoon;0113 Teelt van groenten en knolgewassen;Inkoopwaarde omzet;2010;;;;;;
93;1 werkzame persoon;0113 Teelt van groenten en knolgewassen;Personele kosten;2008;;;;;;
94;1 werkzame persoon;0113 Teelt van groenten en knolgewassen;Personele kosten;2009;;;;;;
95;1 werkzame persoon;0113 Teelt van groenten en knolgewassen;Personele kosten;2010;;;;;;
96;1 werkzame persoon;0113 Teelt van groenten en knolgewassen;Overige bedrijfslasten;2008;;;;;;
97;1 werkzame persoon;0113 Teelt van groenten en knolgewassen;Overige bedrijfslasten;2009;;;;;;
98;1 werkzame persoon;0113 Teelt van groenten en knolgewassen;Overige bedrijfslasten;2010;;;;;;
99;1 werkzame persoon;0113 Teelt van groenten en knolgewassen;Bedrijfsresultaat;2008;;;;;;
100;1 werkzame persoon;0113 Teelt van groenten en knolgewassen;Bedrijfsresultaat;2009;;;;;;
101;1 werkzame persoon;0113 Teelt van groenten en knolgewassen;Bedrijfsresultaat;2010;;;;;;
102;1 werkzame persoon;0113 Teelt van groenten en knolgewassen;Afschrijvingen;2008;;;;;;
103;1 werkzame persoon;0113 Teelt van groenten en knolgewassen;Afschrijvingen;2009;;;;;;
104;1 werkzame persoon;0113 Teelt van groenten en knolgewassen;Afschrijvingen;2010;;;;;;
105;1 werkzame persoon;0116 Teelt van vezelgewassen;Totale bedrijfsopbrengsten;2008;;;;;;
106;1 werkzame persoon;0116 Teelt van vezelgewassen;Totale bedrijfsopbrengsten;2009;;;;;;
107;1 werkzame persoon;0116 Teelt van vezelgewassen;Totale bedrijfsopbrengsten;2010;;;;;;
108;1 werkzame persoon;0116 Teelt van vezelgewassen;Totale bedrijfslasten;2008;;;;;;
109;1 werkzame persoon;0116 Teelt van vezelgewassen;Totale bedrijfslasten;2009;;;;;;
110;1 werkzame persoon;0116 Teelt van vezelgewassen;Totale bedrijfslasten;2010;;;;;;
111;1 werkzame persoon;0116 Teelt van vezelgewassen;Inkoopwaarde omzet;2008;;;;;;
112;1 werkzame persoon;0116 Teelt van vezelgewassen;Inkoopwaarde omzet;2009;;;;;;
113;1 werkzame persoon;0116 Teelt van vezelgewassen;Inkoopwaarde omzet;2010;;;;;;
114;1 werkzame persoon;0116 Teelt van vezelgewassen;Personele kosten;2008;;;;;;
115;1 werkzame persoon;0116 Teelt van vezelgewassen;Personele kosten;2009;;;;;;
116;1 werkzame persoon;0116 Teelt van vezelgewassen;Personele kosten;2010;;;;;;
117;1 werkzame persoon;0116 Teelt van vezelgewassen;Overige bedrijfslasten;2008;;;;;;
118;1 werkzame persoon;0116 Teelt van vezelgewassen;Overige bedrijfslasten;2009;;;;;;
119;1 werkzame persoon;0116 Teelt van vezelgewassen;Overige bedrijfslasten;2010;;;;;;
120;1 werkzame persoon;0116 Teelt van vezelgewassen;Bedrijfsresultaat;2008;;;;;;
121;1 werkzame persoon;0116 Teelt van vezelgewassen;Bedrijfsresultaat;2009;;;;;;
122;1 werkzame persoon;0116 Teelt van vezelgewassen;Bedrijfsresultaat;2010;;;;;;
123;1 werkzame persoon;0116 Teelt van vezelgewassen;Afschrijvingen;2008;;;;;;
124;1 werkzame persoon;0116 Teelt van vezelgewassen;Afschrijvingen;2009;;;;;;
125;1 werkzame persoon;0116 Teelt van vezelgewassen;Afschrijvingen;2010;;;;;;
126;1 werkzame persoon;0119 Teelt van andere eenjarige gewassen;Totale bedrijfsopbrengsten;2008;;;;;;
127;1 werkzame persoon;0119 Teelt van andere eenjarige gewassen;Totale bedrijfsopbrengsten;2009;;;;;;
128;1 werkzame persoon;0119 Teelt van andere eenjarige gewassen;Totale bedrijfsopbrengsten;2010;;;;;;
129;1 werkzame persoon;0119 Teelt van andere eenjarige gewassen;Totale bedrijfslasten;2008;;;;;;
130;1 werkzame persoon;0119 Teelt van andere eenjarige gewassen;Totale bedrijfslasten;2009;;;;;;
131;1 werkzame persoon;0119 Teelt van andere eenjarige gewassen;Totale bedrijfslasten;2010;;;;;;
132;1 werkzame persoon;0119 Teelt van andere eenjarige gewassen;Inkoopwaarde omzet;2008;;;;;;
133;1 werkzame persoon;0119 Teelt van andere eenjarige gewassen;Inkoopwaarde omzet;2009;;;;;;
134;1 werkzame persoon;0119 Teelt van andere eenjarige gewassen;Inkoopwaarde omzet;2010;;;;;;
135;1 werkzame persoon;0119 Teelt van andere eenjarige gewassen;Personele kosten;2008;;;;;;
136;1 werkzame persoon;0119 Teelt van andere eenjarige gewassen;Personele kosten;2009;;;;;;
137;1 werkzame persoon;0119 Teelt van andere eenjarige gewassen;Personele kosten;2010;;;;;;
138;1 werkzame persoon;0119 Teelt van andere eenjarige gewassen;Overige bedrijfslasten;2008;;;;;;
139;1 werkzame persoon;0119 Teelt van andere eenjarige gewassen;Overige bedrijfslasten;2009;;;;;;
140;1 werkzame persoon;0119 Teelt van andere eenjarige gewassen;Overige bedrijfslasten;2010;;;;;;
141;1 werkzame persoon;0119 Teelt van andere eenjarige gewassen;Bedrijfsresultaat;2008;;;;;;
142;1 werkzame persoon;0119 Teelt van andere eenjarige gewassen;Bedrijfsresultaat;2009;;;;;;
143;1 werkzame persoon;0119 Teelt van andere eenjarige gewassen;Bedrijfsresultaat;2010;;;;;;
144;1 werkzame persoon;0119 Teelt van andere eenjarige gewassen;Afschrijvingen;2008;;;;;;
145;1 werkzame persoon;0119 Teelt van andere eenjarige gewassen;Afschrijvingen;2009;;;;;;
146;1 werkzame persoon;0119 Teelt van andere eenjarige gewassen;Afschrijvingen;2010;;;;;;
147;1 werkzame persoon;012 Teelt van meerjarige gewassen;Totale bedrijfsopbrengsten;2008;;;;;;
148;1 werkzame persoon;012 Teelt van meerjarige gewassen;Totale bedrijfsopbrengsten;2009;;;;;;
149;1 werkzame persoon;012 Teelt van meerjarige gewassen;Totale bedrijfsopbrengsten;2010;;;;;;
150;1 werkzame persoon;012 Teelt van meerjarige gewassen;Totale bedrijfslasten;2008;;;;;;
151;1 werkzame persoon;012 Teelt van meerjarige gewassen;Totale bedrijfslasten;2009;;;;;;
152;1 werkzame persoon;012 Teelt van meerjarige gewassen;Totale bedrijfslasten;2010;;;;;;
153;1 werkzame persoon;012 Teelt van meerjarige gewassen;Inkoopwaarde omzet;2008;;;;;;
154;1 werkzame persoon;012 Teelt van meerjarige gewassen;Inkoopwaarde omzet;2009;;;;;;
155;1 werkzame persoon;012 Teelt van meerjarige gewassen;Inkoopwaarde omzet;2010;;;;;;
156;1 werkzame persoon;012 Teelt van meerjarige gewassen;Personele kosten;2008;;;;;;
157;1 werkzame persoon;012 Teelt van meerjarige gewassen;Personele kosten;2009;;;;;;
158;1 werkzame persoon;012 Teelt van meerjarige gewassen;Personele kosten;2010;;;;;;
