ID;Sex;CharacteristicHouseholdsPersons;CaribbeanNetherlands;Periods;LabourForceAndNotInTheLabourForce_1;EmployedLabourForce_2;WantToWorkMoreHoursAvailable_3;DoesnTWantMoreHoursOrNotAvailable_4;NotEmployedLabourForce_5;UnemployedLabourForce_6;NotInTheLabourForce_7;AvailableToWorkButNotSeeking_8;SeekingWorkButNotAvailable_9;NotSeekingWorkNotAvailable_10;WantToWork_11;DoesnTWantToOrCanTWork_12;BecauseOfFamilyHouseholdCare_13;BecauseOfEducation_14;BecauseOfRetirementOldAge_15;BecauseOfIllnessDisability_16;BecauseOfOtherReason_17
0;Total male and female;Total persons;Caribbean Netherlands;2012;17490;11940;2360;9580;5550;660;4890;810;80;4000;200;3810;300;1230;1370;410;490
1;Total male and female;Total persons;Caribbean Netherlands;2014;19220;13060;2710;10350;6160;910;5250;690;150;4410;250;4170;390;1420;1470;490;390
2;Total male and female;Total persons;Caribbean Netherlands;2016;19320;13290;1330;11960;6030;930;5100;590;60;4460;200;4260;370;1420;1610;570;290
3;Total male and female;Total persons;Caribbean Netherlands;2018;19760;14270;1770;12500;5500;480;5020;580;120;4320;200;4120;310;1330;1710;470;300
4;Total male and female;Total persons;Caribbean Netherlands;2020;20400;14330;1970;12370;6070;630;5450;690;110;4650;270;4380;420;1170;1870;550;370
5;Total male and female;Total persons;Caribbean Netherlands;2022;21710;15670;1830;13840;6040;490;5550;420;40;5080;270;4820;390;1150;2100;740;440
6;Total male and female;Total persons;Bonaire;2012;12860;8810;1770;7050;4050;550;3500;650;40;2810;130;2680;210;710;1040;340;390
7;Total male and female;Total persons;Bonaire;2014;14460;9960;2080;7880;4500;680;3820;400;130;3300;130;3170;310;940;1220;360;340
8;Total male and female;Total persons;Bonaire;2016;15300;10700;940;9760;4600;770;3830;370;50;3420;140;3280;290;1010;1280;460;240
9;Total male and female;Total persons;Bonaire;2018;15390;11240;1410;9830;4150;370;3780;430;100;3250;150;3090;240;840;1340;410;270
10;Total male and female;Total persons;Bonaire;2020;16450;11490;1610;9880;4960;550;4410;510;100;3810;250;3550;380;890;1460;480;340
11;Total male and female;Total persons;Bonaire;2022;17710;12840;1630;11220;4870;390;4480;290;30;4160;250;3910;350;810;1750;650;340
12;Total male and female;Total persons;St. Eustatius;2012;2980;2090;340;1750;890;70;820;110;30;690;40;650;60;240;240;40;70
13;Total male and female;Total persons;St. Eustatius;2014;3250;2200;440;1760;1050;210;840;250;20;570;100;470;50;120;160;100;40
14;Total male and female;Total persons;St. Eustatius;2016;2430;1610;270;1350;820;120;700;170;10;510;40;470;50;140;200;60;20
15;Total male and female;Total persons;St. Eustatius;2018;2600;1860;190;1670;740;80;660;130;10;520;30;490;40;180;230;20;20
