ID;Perioden;TotaleBedrijfsopbrengsten_1;TotaalNettoOmzet_2;Detailhandelsomzet_3;OverigeNettoOmzet_4;OverigeBedrijfsopbrengsten_5;TotaleBedrijfslasten_6;InkoopwaardeOmzet_7;TotaalArbeidskosten_8;BrutoLonenEnSalarissen_9;Pensioenlasten_10;SocialeLasten_11;AfschrijvingenOpVasteActiva_12;TotaalOverigeBedrijfslasten_13;AnderePersoneelskosten_14;Verkoopkosten_15;Huisvestingskosten_16;KostenDienstverleningDoorDerden_17;KostenInventaris_18;KostenVervoermiddelen_19;OverigeBedrijfslastenNietEerderGe_20;Bedrijfsresultaat_21;FinancieleBaten_22;FinancieleLasten_23;FinancieelResultaat_24;OnttrekkingenVrijvalVanVoorzieningen_25;ToevoegingenAanVoorzieningen_26;SaldoVoorzieningen_27;BuitengewoneBaten_28;BuitengewoneLasten_29;BuitengewoonResultaat_30;ResultaatVoorBelastingen_31;Brutowinst_32;InvesteringenInVasteActiva_33;WerkzamePersonenAantallen_34;WerkzamePersonenArbeidsjaren_35;WerknemersEigenLoonlijstAantallen_36;WerknemersEigenLoonlijstArbeidsjaren_37
0;1994;2332;2325;2325.0;0.0;7;2185;1685;277;240;15;23;99;124;;;36;;;;88;147;14.0;42.0;-28;;;;9.0;4.0;5;124;640.0;;16.2;;15.1;
1;1995;2547;2538;2538.0;0.0;9;2358;1833;294;256;15;23;102;129;;;38;;;;91;189;14.0;41.0;-27;;;;9.0;5.0;5;167;704.0;;17.2;;16.1;
2;1996;2587;2578;2578.0;0.0;9;2399;1858;307;261;15;31;101;133;;;37;;;;96;188;16.0;33.0;-17;;;;13.0;6.0;7;178;720.0;;;;;
3;1997;2680;2670;2670.0;0.0;10;2509;1942;326;279;18;29;100;141;;;39;;;;101;171;14.0;31.0;-17;;;;14.0;6.0;8;162;728.0;;;;15.3;
4;1998;2943;2930;2930.0;0.0;14;2759;2155;349;284;19;46;106;150;;;42;;;;108;184;15.0;31.0;-16;;;;16.0;3.0;12;181;775.0;;;;16.0;
5;1999;3273;3258;3258.0;0.0;15;3033;2371;382;313;20;48;116;164;;;47;;;;117;240;14.0;36.0;-22;;;;26.0;8.0;18;236;887.0;;;;;
6;2000;3509;3491;3491.0;0.0;18;3265;2535;426;335;23;68;132;172;;;53;;;;119;244;28.0;43.0;-15;;;;13.0;5.0;8;238;957.0;;;;;
7;2001;3872;3847;3847.0;0.0;26;3564;2726;461;376;28;57;162;214;34.0;;53;;;;127;309;33.0;52.0;-19;;;;35.0;3.0;32;321;1120.0;;;;;
8;2002;3981;3957;3948.0;9.0;24;3656;2775;468;382;29;57;155;257;38.0;12.0;66;31.0;22.0;9.0;79;325;12.0;52.0;-40;5.0;1.0;3.0;8.0;5.0;3;291;1182.0;56.0;20.8;14.7;20.3;13.9
9;2003;4164;4137;4130.0;6.0;27;3801;2849;523;423;38;62;174;255;35.0;16.0;63;27.0;22.0;8.0;84;363;23.0;54.0;-30;1.0;1.0;0.0;11.0;4.0;7;339;1288.0;50.0;22.1;15.6;21.4;15.0
10;2004;4023;3999;3991.0;8.0;23;3722;2798;526;423;42;61;149;250;38.0;13.0;63;32.0;20.0;7.0;76;300;21.0;53.0;-31;0.0;2.0;-1.0;13.0;2.0;12;280;1201.0;;21.8;14.9;20.9;14.2
11;2005;4277;4253;4240.0;13.0;24;3960;2959;574;460;49;65;136;291;47.0;13.0;74;32.0;22.0;11.0;92;317;17.0;49.0;-32;1.0;1.0;0.0;4.0;6.0;-2;283;1294.0;;23.2;15.5;22.5;14.9
12;2006 oud;4565;4534;;;31;4210;3128;597;479;50;68;159;328;53.0;16.0;77;52.0;12.0;10.0;108;355;;;-39;;;-1.0;;;15;330;;;23.7;15.9;22.9;15.3
13;2006 nieuw;4948;4914;;;34;4563;3390;647;519;54;74;172;355;57.0;17.0;84;56.0;13.0;11.0;117;385;;;-42;;;-1.0;;;16;358;;;25.7;17.2;24.8;16.6
14;2007;5149;5103;;;46;4788;3556;692;554;59;79;154;386;59.0;22.0;95;62.0;14.0;13.0;121;361;;;-46;;;-3.0;;;-6;307;;;26.6;17.6;25.5;16.7
15;2008;5247;5211;;;35;5078;3770;721;576;58;87;177;410;60.0;26.0;93;69.0;12.0;13.0;137;168;;;-62;;;-2.0;;;-11;93;;;27.2;17.8;26.1;17.1
16;2009;5270;5226;;;44;5058;3707;747;601;61;85;173;432;56.0;36.0;83;66.0;12.0;13.0;166;213;;;-44;;;1.0;;;-94;75;;;25.6;16.7;26.9;17.5
17;2010;5416;5372;;;43;5134;3786;768;618;62;88;176;406;53.0;23.0;86;71.0;12.0;15.0;146;281;;;-43;;;2.0;;;-1;240;;;26.6;17.6;25.6;16.9
18;2011;5059;5028;;;31;4849;3492;794;642;60;92;149;415;55.0;32.0;87;72.0;15.0;15.0;139;210;;;-47;;;1.0;;;-3;160;;;28.0;18.2;26.9;17.4
