ID;BiologicalControl;Crops;Periods;CompaniesWithBiologicalControlAgents_1;CompaniesWithBiologicalControlAgents_2;AreaSizeWithDeploymentOfMacrobials_3;AreaSizeWithDeploymentOfMacrobials_4;DeployedMacrobiologicalControlAgents_5;CropArea_6;AreaWithBiologicalControlAgents_7
0;Total biological, control agents;Total crops/cultivation sectors;2012;;;4926.0;77.6;;;
1;Total biological, control agents;Total crops/cultivation sectors;2016;;;5579.0;92.0;;;
2;Total biological, control agents;Total crops/cultivation sectors;2020;;;6356.0;94.4;;;
3;Total biological, control agents;Strawberries, under glass;2012;152.0;54.0;197.0;68.3;;;
4;Total biological, control agents;Strawberries, under glass;2016;127.0;50.2;193.0;57.5;;;
5;Total biological, control agents;Strawberries, under glass;2020;208.0;86.5;493.0;97.8;;;
6;Total biological, control agents;Foliage plants under glass;2012;105.0;33.1;246.0;50.7;;;
7;Total biological, control agents;Foliage plants under glass;2016;178.0;73.8;337.0;86.0;;;
8;Total biological, control agents;Foliage plants under glass;2020;173.0;71.1;372.0;80.8;;;
9;Total biological, control agents;Chrysantinum under glass;2012;84.0;43.4;305.0;60.5;;;
10;Total biological, control agents;Chrysantinum under glass;2016;74.0;65.1;308.0;80.5;;;
11;Total biological, control agents;Chrysantinum under glass;2020;93.0;81.2;415.0;93.2;;;
12;Total biological, control agents;Gerberas under glass;2012;55.0;80.8;150.0;88.0;;;
13;Total biological, control agents;Gerberas under glass;2016;47.0;84.5;138.0;73.1;;;
14;Total biological, control agents;Gerberas under glass;2020;43.0;92.6;160.0;97.5;;;
15;Total biological, control agents;Cucumbers;2012;198.0;78.4;540.0;86.8;;;
16;Total biological, control agents;Cucumbers;2016;209.0;99.7;554.0;99.9;;;
17;Total biological, control agents;Cucumbers;2020;190.0;88.9;594.0;100.0;;;
18;Total biological, control agents;Peppers (total);2012;250.0;86.6;1180.0;89.9;;;
19;Total biological, control agents;Peppers (total);2016;252.0;99.5;1314.0;99.7;;;
20;Total biological, control agents;Peppers (total);2020;248.0;98.1;1532.0;100.0;;;
21;Total biological, control agents;Pot plants for flowering;2012;183.0;39.5;411.0;47.4;;;
22;Total biological, control agents;Pot plants for flowering;2016;303.0;77.2;815.0;87.1;;;
23;Total biological, control agents;Pot plants for flowering;2020;242.0;59.6;714.0;74.5;;;
24;Total biological, control agents;Roses under glass;2012;112.0;60.8;271.0;66.5;;;
25;Total biological, control agents;Roses under glass;2016;78.0;76.8;221.0;86.2;;;
26;Total biological, control agents;Roses under glass;2020;60.0;100.0;204.0;100.0;;;
27;Total biological, control agents;Tomatoes (total);2012;318.0;96.0;1626.0;96.2;;;
28;Total biological, control agents;Tomatoes (total);2016;266.0;97.0;1700.0;99.7;;;
29;Total biological, control agents;Tomatoes (total);2020;235.0;89.5;1872.0;100.0;;;
30;A Predatory mite and trips total;Total crops/cultivation sectors;2012;;;3255.0;51.3;16383247.0;2581.0;5034.0
31;A Predatory mite and trips total;Total crops/cultivation sectors;2016;;;3989.0;65.8;10605321.0;1748.0;2659.0
32;A Predatory mite and trips total;Total crops/cultivation sectors;2020;;;4668.0;69.3;52344193.0;7772.0;11213.0
33;A Predatory mite and trips total;Strawberries, under glass;2012;147.0;52.3;189.0;65.5;952103.0;3304.0;5047.0
34;A Predatory mite and trips total;Strawberries, under glass;2016;124.0;49.0;180.0;53.8;329383.0;981.0;1825.0
35;A Predatory mite and trips total;Strawberries, under glass;2020;202.0;83.9;493.0;97.7;3614875.0;7169.0;7335.0
36;A Predatory mite and trips total;Foliage plants under glass;2012;80.0;25.2;196.0;40.6;514935.0;1063.0;2621.0
37;A Predatory mite and trips total;Foliage plants under glass;2016;162.0;67.4;309.0;79.0;710575.0;1814.0;2296.0
38;A Predatory mite and trips total;Foliage plants under glass;2020;139.0;57.2;309.0;67.2;4558508.0;9914.0;14762.0
39;A Predatory mite and trips total;Chrysantinum under glass;2012;84.0;43.4;305.0;60.5;2819521.0;5592.0;9240.0
40;A Predatory mite and trips total;Chrysantinum under glass;2016;68.0;60.2;296.0;77.3;1590762.0;4155.0;5376.0
41;A Predatory mite and trips total;Chrysantinum under glass;2020;93.0;81.2;415.0;93.2;22365278.0;50241.0;53932.0
42;A Predatory mite and trips total;Gerberas under glass;2012;48.0;71.3;131.0;76.8;727048.0;4270.0;5557.0
43;A Predatory mite and trips total;Gerberas under glass;2016;43.0;76.9;128.0;67.9;475086.0;2526.0;3720.0
44;A Predatory mite and trips total;Gerberas under glass;2020;43.0;92.6;160.0;97.5;1958927.0;11920.0;12221.0
45;A Predatory mite and trips total;Cucumbers;2012;195.0;77.2;539.0;86.7;2710291.0;4358.0;5027.0
46;A Predatory mite and trips total;Cucumbers;2016;204.0;96.9;543.0;98.0;1666436.0;3007.0;3067.0
47;A Predatory mite and trips total;Cucumbers;2020;182.0;84.9;592.0;99.5;4230455.0;7113.0;7151.0
48;A Predatory mite and trips total;Peppers (total);2012;242.0;84.1;1140.0;86.8;1570616.0;1196.0;1378.0
49;A Predatory mite and trips total;Peppers (total);2016;232.0;91.6;1249.0;94.8;656085.0;498.0;525.0
50;A Predatory mite and trips total;Peppers (total);2020;245.0;97.0;1525.0;99.5;2381047.0;1554.0;1561.0
51;A Predatory mite and trips total;Pot plants for flowering;2012;170.0;36.6;367.0;42.3;1448746.0;1671.0;3948.0
52;A Predatory mite and trips total;Pot plants for flowering;2016;258.0;65.6;746.0;79.7;3399651.0;3634.0;4558.0
53;A Predatory mite and trips total;Pot plants for flowering;2020;206.0;50.8;641.0;66.9;8489278.0;8859.0;13236.0
54;A Predatory mite and trips total;Roses under glass;2012;107.0;58.0;268.0;65.8;5624459.0;13804.0;20963.0
55;A Predatory mite and trips total;Roses under glass;2016;75.0;73.1;210.0;82.0;1729214.0;6741.0;8220.0
56;A Predatory mite and trips total;Roses under glass;2020;60.0;100.0;204.0;100.0;4711647.0;23066.0;23066.0
57;A Predatory mite and trips total;Tomatoes (total);2012;44.0;13.4;120.0;7.1;15529.0;9.0;130.0
58;A Predatory mite and trips total;Tomatoes (total);2016;52.0;18.9;327.0;19.2;48129.0;28.0;147.0
59;A Predatory mite and trips total;Tomatoes (total);2020;38.0;14.4;329.0;17.6;34178.0;18.0;104.0
60;A01 Amblydromalus limonicus;Total crops/cultivation sectors;2012;;;329.0;5.2;471080.0;74.0;1430.0
61;A01 Amblydromalus limonicus;Total crops/cultivation sectors;2016;;;327.0;5.4;257438.0;42.0;788.0
62;A01 Amblydromalus limonicus;Total crops/cultivation sectors;2020;;;470.0;7.0;281417.0;42.0;599.0
63;A01 Amblydromalus limonicus;Strawberries, under glass;2012;;;;;;;
64;A01 Amblydromalus limonicus;Strawberries, under glass;2016;20.0;7.8;30.0;9.1;17016.0;51.0;559.0
65;A01 Amblydromalus limonicus;Strawberries, under glass;2020;72.0;29.9;269.0;53.4;87179.0;173.0;324.0
66;A01 Amblydromalus limonicus;Foliage plants under glass;2012;;;;;;;
67;A01 Amblydromalus limonicus;Foliage plants under glass;2016;;;;;;;
68;A01 Amblydromalus limonicus;Foliage plants under glass;2020;4.0;1.5;4.0;0.8;2861.0;6.0;765.0
69;A01 Amblydromalus limonicus;Chrysantinum under glass;2012;0.0;0.0;0.0;0.0;0.0;0.0;
70;A01 Amblydromalus limonicus;Chrysantinum under glass;2016;0.0;0.0;0.0;0.0;0.0;0.0;
71;A01 Amblydromalus limonicus;Chrysantinum under glass;2020;0.0;0.0;0.0;0.0;0.0;0.0;
72;A01 Amblydromalus limonicus;Gerberas under glass;2012;10.0;14.4;32.0;18.9;5331.0;31.0;165.0
73;A01 Amblydromalus limonicus;Gerberas under glass;2016;;;;;;;
74;A01 Amblydromalus limonicus;Gerberas under glass;2020;3.0;6.8;13.0;7.8;8823.0;54.0;686.0
75;A01 Amblydromalus limonicus;Cucumbers;2012;29.0;11.5;119.0;19.1;2698.0;4.0;23.0
76;A01 Amblydromalus limonicus;Cucumbers;2016;13.0;6.2;38.0;6.8;4082.0;7.0;108.0
77;A01 Amblydromalus limonicus;Cucumbers;2020;6.0;2.7;28.0;4.7;185.0;0.0;7.0
78;A01 Amblydromalus limonicus;Peppers (total);2012;;;;;;;
79;A01 Amblydromalus limonicus;Peppers (total);2016;;;;;;;
80;A01 Amblydromalus limonicus;Peppers (total);2020;4.0;1.8;43.0;2.8;2458.0;2.0;58.0
81;A01 Amblydromalus limonicus;Pot plants for flowering;2012;;;;;;;
82;A01 Amblydromalus limonicus;Pot plants for flowering;2016;;;;;;;
83;A01 Amblydromalus limonicus;Pot plants for flowering;2020;2.0;0.6;15.0;1.6;705.0;1.0;47.0
84;A01 Amblydromalus limonicus;Roses under glass;2012;51.0;27.3;134.0;32.8;459699.0;1128.0;3438.0
85;A01 Amblydromalus limonicus;Roses under glass;2016;19.0;18.1;77.0;29.9;222091.0;866.0;2897.0
86;A01 Amblydromalus limonicus;Roses under glass;2020;24.0;40.2;98.0;48.2;179205.0;877.0;1821.0
87;A01 Amblydromalus limonicus;Tomatoes (total);2012;0.0;0.0;0.0;0.0;0.0;0.0;
88;A01 Amblydromalus limonicus;Tomatoes (total);2016;0.0;0.0;0.0;0.0;0.0;0.0;
89;A01 Amblydromalus limonicus;Tomatoes (total);2020;0.0;0.0;0.0;0.0;0.0;0.0;
90;A02 Amblyseius degenerans;Total crops/cultivation sectors;2012;;;439.0;6.9;12847.0;2.0;29.0
