ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;AantalInstallatiesBijWoningen_5;OpgesteldVermogenVanZonnepanelen_6
0;Nederland;Nederland                               ;Land      ;NL00      ;.;720522.0;2328666.0
1;Aa en Hunze;Aa en Hunze                             ;Gemeente  ;GM1680    ;.;2020.0;7637.0
2;Wijk 00 Annen;Aa en Hunze                             ;Wijk      ;WK168000  ;1;319.0;1119.0
3;Annen;Aa en Hunze                             ;Buurt     ;BU16800000;1;308.0;1068.0
4;Verspreide huizen Annen;Aa en Hunze                             ;Buurt     ;BU16800009;1;11.0;51.0
5;Wijk 01 Eext;Aa en Hunze                             ;Wijk      ;WK168001  ;1;120.0;431.0
6;Eext;Aa en Hunze                             ;Buurt     ;BU16800100;1;108.0;374.0
7;Verspreide huizen Eext;Aa en Hunze                             ;Buurt     ;BU16800109;1;12.0;57.0
8;Wijk 02 Anloo;Aa en Hunze                             ;Wijk      ;WK168002  ;1;31.0;138.0
9;Anloo;Aa en Hunze                             ;Buurt     ;BU16800200;1;24.0;103.0
10;Verspreide huizen Anloo;Aa en Hunze                             ;Buurt     ;BU16800209;1;7.0;35.0
11;Wijk 03 Gasteren;Aa en Hunze                             ;Wijk      ;WK168003  ;1;38.0;144.0
12;Gasteren;Aa en Hunze                             ;Buurt     ;BU16800300;1;38.0;144.0
13;Verspreide huizen Gasteren;Aa en Hunze                             ;Buurt     ;BU16800309;1;;
14;Wijk 04 Anderen;Aa en Hunze                             ;Wijk      ;WK168004  ;1;22.0;91.0
15;Anderen;Aa en Hunze                             ;Buurt     ;BU16800400;1;;
16;Verspreide huizen Anderen;Aa en Hunze                             ;Buurt     ;BU16800409;1;;
17;Wijk 05 Schipborg;Aa en Hunze                             ;Wijk      ;WK168005  ;1;62.0;232.0
18;Schipborg;Aa en Hunze                             ;Buurt     ;BU16800500;1;59.0;219.0
19;Verspreide huizen Schipborg;Aa en Hunze                             ;Buurt     ;BU16800509;1;3.0;13.0
20;Wijk 06 Eexterveen;Aa en Hunze                             ;Wijk      ;WK168006  ;1;55.0;221.0
21;Eexterveen;Aa en Hunze                             ;Buurt     ;BU16800600;1;52.0;210.0
22;Verspreide huizen Eexterveen;Aa en Hunze                             ;Buurt     ;BU16800609;1;3.0;11.0
23;Wijk 07 Spijkerboor;Aa en Hunze                             ;Wijk      ;WK168007  ;1;17.0;66.0
24;Spijkerboor;Aa en Hunze                             ;Buurt     ;BU16800700;1;17.0;66.0
25;Verspreide huizen Spijkerboor;Aa en Hunze                             ;Buurt     ;BU16800709;1;;
26;Wijk 08 Nieuw-Annerveen;Aa en Hunze                             ;Wijk      ;WK168008  ;1;12.0;46.0
27;Nieuw-Annerveen;Aa en Hunze                             ;Buurt     ;BU16800800;1;;
28;Verspreide huizen Nieuw-Annerveen;Aa en Hunze                             ;Buurt     ;BU16800809;1;;
29;Wijk 09 Oud-Annerveen;Aa en Hunze                             ;Wijk      ;WK168009  ;1;7.0;50.0
30;Oud-Annerveen;Aa en Hunze                             ;Buurt     ;BU16800900;1;7.0;50.0
31;Verspreide huizen Oud-Annerveen;Aa en Hunze                             ;Buurt     ;BU16800909;1;;
32;Wijk 11 Annerveenschekanaal;Aa en Hunze                             ;Wijk      ;WK168011  ;1;32.0;122.0
33;Annerveenschekanaal;Aa en Hunze                             ;Buurt     ;BU16801100;1;32.0;122.0
34;Verspreide huizen Annerveenschekanaal;Aa en Hunze                             ;Buurt     ;BU16801109;1;;
35;Wijk 12 Eexterveenschekanaal;Aa en Hunze                             ;Wijk      ;WK168012  ;1;19.0;65.0
36;Eexterveenschekanaal;Aa en Hunze                             ;Buurt     ;BU16801200;1;19.0;65.0
37;Verspreide huizen Eexterveenschekanaal;Aa en Hunze                             ;Buurt     ;BU16801209;1;;
38;Wijk 13 Eexterzandvoort;Aa en Hunze                             ;Wijk      ;WK168013  ;1;8.0;37.0
39;Eexterzandvoort;Aa en Hunze                             ;Buurt     ;BU16801300;1;5.0;18.0
40;Verspreide huizen Eexterzandvoort;Aa en Hunze                             ;Buurt     ;BU16801309;1;3.0;20.0
41;Wijk 14 Gasselte;Aa en Hunze                             ;Wijk      ;WK168014  ;1;118.0;480.0
42;Gasselte;Aa en Hunze                             ;Buurt     ;BU16801400;1;96.0;366.0
43;Kostvlies;Aa en Hunze                             ;Buurt     ;BU16801401;1;12.0;76.0
44;Verspreide huizen Gasselte;Aa en Hunze                             ;Buurt     ;BU16801409;1;10.0;38.0
45;Wijk 15 Gasselternijveen;Aa en Hunze                             ;Wijk      ;WK168015  ;1;140.0;440.0
46;Gasselternijveen;Aa en Hunze                             ;Buurt     ;BU16801500;1;137.0;420.0
47;Gasselterboerveen;Aa en Hunze                             ;Buurt     ;BU16801501;1;3.0;19.0
48;Verspreide huizen Gasselternijveen;Aa en Hunze                             ;Buurt     ;BU16801509;1;;
49;Wijk 16 Gasselternijveenschemond;Aa en Hunze                             ;Wijk      ;WK168016  ;1;48.0;193.0
50;Gasselternijveenschemond;Aa en Hunze                             ;Buurt     ;BU16801600;1;;
51;Gasselterboerveenschemond;Aa en Hunze                             ;Buurt     ;BU16801601;1;;
52;Verspr.h. Gasselternijveenschemond;Aa en Hunze                             ;Buurt     ;BU16801609;1;;
53;Wijk 17 Gieten;Aa en Hunze                             ;Wijk      ;WK168017  ;1;365.0;1322.0
54;Gieten;Aa en Hunze                             ;Buurt     ;BU16801700;1;354.0;1257.0
55;Verspreide huizen Gieten;Aa en Hunze                             ;Buurt     ;BU16801709;1;11.0;65.0
56;Wijk 18 Gieterveen;Aa en Hunze                             ;Wijk      ;WK168018  ;1;84.0;435.0
57;Gieterveen;Aa en Hunze                             ;Buurt     ;BU16801800;1;43.0;156.0
58;Bonnerveen;Aa en Hunze                             ;Buurt     ;BU16801801;1;6.0;42.0
59;Nieuwediep;Aa en Hunze                             ;Buurt     ;BU16801802;1;13.0;111.0
60;Verspreide huizen Gieterveen;Aa en Hunze                             ;Buurt     ;BU16801809;1;22.0;127.0
61;Wijk 19 Rolde;Aa en Hunze                             ;Wijk      ;WK168019  ;1;418.0;1528.0
62;Rolde;Aa en Hunze                             ;Buurt     ;BU16801900;1;;
63;Ballo;Aa en Hunze                             ;Buurt     ;BU16801901;1;12.0;52.0
64;Nijlande;Aa en Hunze                             ;Buurt     ;BU16801902;1;;
65;Deurze;Aa en Hunze                             ;Buurt     ;BU16801903;1;9.0;63.0
66;Verspreide huizen Nooitgedacht;Aa en Hunze                             ;Buurt     ;BU16801908;1;67.0;236.0
67;Verspreide huizen Rolde;Aa en Hunze                             ;Buurt     ;BU16801909;1;14.0;90.0
68;Wijk 20 Grolloo;Aa en Hunze                             ;Wijk      ;WK168020  ;1;68.0;300.0
69;Grolloo;Aa en Hunze                             ;Buurt     ;BU16802000;1;;
70;Schoonloo;Aa en Hunze                             ;Buurt     ;BU16802001;1;11.0;40.0
71;Verspreide huizen Papenvoort;Aa en Hunze                             ;Buurt     ;BU16802008;1;;
