ID;PrognoseInterval;Perioden;TotaalMannenEnVrouwen_1;Mannen_2;Vrouwen_3;TotaalMannenEnVrouwen_4;Mannen_5;Vrouwen_6;TotaalMannenEnVrouwen_7;Mannen_8;Vrouwen_9;TotaalMannenEnVrouwen_10;Mannen_11;Vrouwen_12;TotaalMannenEnVrouwen_13;Mannen_14;Vrouwen_15;TotaalMannenEnVrouwen_16;Mannen_17;Vrouwen_18;TotaalMannenEnVrouwen_19;Mannen_20;Vrouwen_21;TotaalHuishoudens_22;GemiddeldeHuishoudensgrootte_23
0;1;2007;16353976;8084924;8269052;2556158;1184707;1371451;8281830;4148002;4133828;4581352;2463059;2118293;461096;73590;387506;267403;138155;129248;206137;77410;128727;7199519;2.24
1;1;2008;16376899;8094659;8282240;2599016;1207833;1391183;8276130;4145152;4130978;4562390;2452828;2109562;468372;75038;393334;269022;138638;130384;201971;75172;126799;7246923;2.23
2;1;2009;16403023;8106768;8296255;2642463;1230920;1411543;8274524;4144348;4130176;4543238;2443048;2100190;474470;76322;398148;271001;139336;131665;197327;72794;124533;7295896;2.22
3;1;2010;16432521;8121346;8311175;2686473;1254111;1432362;8276983;4145578;4131405;4523999;2433685;2090314;479470;77407;402063;273258;140229;133029;192338;70336;122002;7346498;2.21
4;1;2011;16464311;8137747;8326564;2730781;1277488;1453293;8282439;4148307;4134132;4504573;2424503;2080070;483744;78331;405413;275624;141261;134363;187151;67857;119294;7398130;2.2
5;1;2012;16497262;8155247;8342015;2775203;1301003;1474200;8290057;4152115;4137942;4484762;2415260;2069502;487292;79100;408192;278017;142352;135665;181932;65417;116515;7450228;2.19
6;1;2013;16530454;8173082;8357372;2819248;1324295;1494953;8299290;4156731;4142559;4464591;2405827;2058764;490087;79700;410387;280370;143446;136924;176870;63083;113787;7502024;2.18
7;1;2014;16563253;8190734;8372519;2862350;1347031;1515319;8309443;4161808;4147635;4444611;2396328;2048283;492122;80129;411993;282583;144511;138072;172144;60927;111217;7552532;2.17
8;1;2015;16595407;8208026;8387381;2904430;1369235;1535195;8319788;4166982;4152806;4425192;2386879;2038313;493425;80383;413042;284626;145520;139106;167946;59027;108919;7601347;2.16
9;1;2016;16626986;8224951;8402035;2945584;1390868;1554716;8329922;4172048;4157874;4406349;2377592;2028757;494053;80462;413591;286599;146513;140086;164479;57467;107012;7648479;2.15
10;1;2017;16657931;8241445;8416486;2986117;1412056;1574061;8339351;4176763;4162588;4387863;2368419;2019444;494085;80362;413723;288573;147520;141053;161945;56327;105618;7694052;2.14
