ID;PersoonsEnBuurtkenmerken;Cijfersoort;Perioden;ContactenBurgersEnPolitieTotaal_1;ContactenVanwegeHandhaving_2;Bekeuring_3;Waarschuwing_4;Controle_5;ContactenVanwegeAangifteMelding_6;AangifteMeldingMisdrijf_7;MeldingVerdachteSituatie_8;GetuigeVanMisdrijf_9;AndereContacten_10;Hulpvraag_11;Vergunningaanvraag_12;InformatieEnAdvies_13;OpenDag_14;OverigeContacten_15;Ontevreden_16;Tevreden_17;Handhaving_18;AangifteMelding_19;AndereContacten_20
0;110;Waarde;2005;27.7;13.4;7.4;2.3;3.7;49.5;35.3;11.9;2.4;37.0;6.1;0.9;4.1;0.3;25.7;28.1;52.4;50.5;44.3;63.9
1;110;Waarde;2006;28.5;13.1;6.8;2.4;3.9;49.6;36.8;9.8;3.0;37.4;7.9;0.9;4.4;0.5;23.6;28.4;55.0;51.2;48.2;65.1
2;110;Waarde;2007;28.4;12.3;7.0;2.1;3.2;51.5;37.1;11.7;2.7;36.2;8.3;1.1;4.1;0.5;22.2;26.3;56.9;50.6;50.6;68.0
3;110;Waarde;2008;27.5;12.0;5.7;2.4;3.9;49.4;33.7;13.0;2.7;38.6;6.7;1.1;4.9;0.7;25.2;26.8;57.0;50.3;51.1;66.7
4;110;Betrouwbaarheidsmarge;2005;1.2;1.8;1.4;0.8;1.0;2.6;2.5;1.7;0.8;2.5;1.3;0.5;1.0;0.3;2.3;2.4;2.6;7.0;3.7;4.2
5;110;Betrouwbaarheidsmarge;2006;0.7;0.9;0.7;0.4;0.5;1.4;1.4;0.9;0.5;1.4;0.8;0.3;0.6;0.2;1.2;1.3;1.4;4.0;2.0;2.2
6;110;Betrouwbaarheidsmarge;2007;0.7;1.0;0.8;0.4;0.5;1.5;1.4;1.0;0.5;1.4;0.8;0.3;0.6;0.2;1.2;1.3;1.5;4.1;2.1;2.3
7;110;Betrouwbaarheidsmarge;2008;0.7;1.0;0.7;0.5;0.6;1.5;1.4;1.0;0.5;1.4;0.7;0.3;0.7;0.3;1.3;1.3;1.5;4.3;2.1;2.3
8;100;Waarde;2005;29.0;48.2;24.2;12.8;11.3;37.7;24.2;10.2;;14.1;;;;;11.4;29.1;41.7;;;
9;100;Waarde;2006;32.2;43.8;20.8;13.3;9.6;31.9;25.5;3.8;2.6;24.3;2.6;;3.2;;17.6;34.3;49.5;51.7;43.2;53.3
