ID;Geslacht;Vooropleiding;Studierichting;Opleidingsvorm;Herkomstgroepering;Perioden;TotaalAantalStudenten_1;Na3Jaar_2;Na4Jaar_3;Na5Jaar_4;Na6Jaar_5;Na7Jaar_6;Na8Jaar_7;Na9Jaar_8;Na3Jaar_9;Na4Jaar_10;Na5Jaar_11;Na6Jaar_12;Na7Jaar_13;Na8Jaar_14;Na9Jaar_15;Na3Jaar_16;Na4Jaar_17;Na5Jaar_18;Na6Jaar_19;Na7Jaar_20;Na8Jaar_21;Na9Jaar_22;Na1Jaar_23;Na2Jaar_24;Na3Jaar_25;Na4Jaar_26;Na5Jaar_27;Na6Jaar_28;Na7Jaar_29;Na8Jaar_30;InJaar2_31;InJaar3_32;InJaar4_33;InJaar5_34;InJaar6_35;InJaar7_36;InJaar8_37;InJaar9_38;InJaar2_39;InJaar3_40;InJaar4_41;InJaar5_42;InJaar6_43;InJaar7_44;InJaar8_45;InJaar9_46;InJaar2_47;InJaar3_48;InJaar4_49;InJaar5_50;InJaar6_51;InJaar7_52;InJaar8_53;InJaar9_54
0;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Totaal herkomstgroepering;Startjaar 1995;30023.0;7.0;12.0;31.0;49.0;60.0;67.0;72.0;6.0;10.0;26.0;42.0;53.0;59.0;64.0;1.0;2.0;4.0;6.0;8.0;8.0;8.0;11.0;14.0;16.0;18.0;19.0;20.0;21.0;22.0;89.0;84.0;77.0;70.0;50.0;31.0;19.0;11.0;83.0;76.0;69.0;62.0;45.0;28.0;16.0;10.0;6.0;8.0;8.0;8.0;5.0;3.0;2.0;2.0
1;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Totaal herkomstgroepering;Startjaar 1996;29498.0;6.0;12.0;30.0;48.0;60.0;67.0;73.0;5.0;10.0;26.0;42.0;53.0;60.0;65.0;1.0;2.0;4.0;6.0;7.0;8.0;8.0;10.0;13.0;15.0;17.0;17.0;18.0;19.0;20.0;90.0;85.0;79.0;71.0;52.0;34.0;20.0;13.0;84.0;77.0;71.0;64.0;47.0;30.0;18.0;11.0;6.0;7.0;8.0;7.0;5.0;4.0;3.0;2.0
2;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Totaal herkomstgroepering;Startjaar 1997;30517.0;7.0;13.0;31.0;49.0;62.0;69.0;75.0;5.0;11.0;26.0;43.0;55.0;62.0;67.0;1.0;2.0;5.0;6.0;7.0;8.0;8.0;10.0;13.0;15.0;16.0;17.0;17.0;18.0;18.0;90.0;84.0;78.0;71.0;52.0;34.0;20.0;12.0;85.0;77.0;71.0;64.0;47.0;30.0;18.0;10.0;5.0;7.0;7.0;7.0;5.0;4.0;3.0;2.0
3;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Totaal herkomstgroepering;Startjaar 1998;32378.0;7.0;14.0;32.0;51.0;63.0;71.0;77.0;6.0;12.0;28.0;44.0;56.0;63.0;69.0;1.0;2.0;5.0;6.0;7.0;8.0;8.0;10.0;13.0;15.0;16.0;16.0;16.0;17.0;18.0;89.0;85.0;78.0;70.0;52.0;33.0;20.0;11.0;83.0;77.0;70.0;63.0;46.0;29.0;17.0;9.0;6.0;8.0;8.0;7.0;6.0;4.0;3.0;2.0
4;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Totaal herkomstgroepering;Startjaar 1999;33367.0;8.0;16.0;35.0;53.0;66.0;73.0;78.0;7.0;14.0;30.0;47.0;59.0;66.0;71.0;1.0;2.0;5.0;6.0;7.0;7.0;7.0;10.0;13.0;14.0;15.0;15.0;16.0;16.0;17.0;90.0;85.0;78.0;69.0;50.0;31.0;17.0;9.0;84.0;78.0;70.0;62.0;45.0;28.0;15.0;8.0;6.0;7.0;8.0;7.0;5.0;4.0;2.0;2.0
5;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Totaal herkomstgroepering;Startjaar 2000;33067.0;9.0;21.0;40.0;58.0;71.0;76.0;80.0;8.0;19.0;36.0;52.0;64.0;69.0;73.0;1.0;2.0;4.0;6.0;7.0;7.0;7.0;9.0;11.0;12.0;13.0;14.0;15.0;15.0;16.0;91.0;86.0;78.0;66.0;46.0;27.0;14.0;8.0;85.0;79.0;71.0;59.0;41.0;24.0;12.0;6.0;5.0;7.0;8.0;7.0;5.0;3.0;2.0;2.0
6;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Totaal herkomstgroepering;Startjaar 2001;35442.0;13.0;27.0;49.0;65.0;73.0;78.0;81.0;12.0;25.0;45.0;59.0;66.0;70.0;73.0;1.0;2.0;4.0;6.0;7.0;7.0;7.0;9.0;11.0;12.0;12.0;13.0;14.0;15.0;15.0;91.0;86.0;76.0;60.0;37.0;21.0;12.0;7.0;85.0;78.0;68.0;53.0;32.0;17.0;9.0;5.0;6.0;8.0;8.0;8.0;5.0;4.0;3.0;2.0
7;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Totaal herkomstgroepering;Startjaar 2002;35493.0;22.0;42.0;59.0;69.0;76.0;79.0;82.0;21.0;40.0;55.0;64.0;69.0;73.0;75.0;1.0;2.0;4.0;6.0;7.0;7.0;7.0;8.0;10.0;11.0;12.0;13.0;14.0;14.0;15.0;92.0;87.0;67.0;45.0;28.0;17.0;10.0;6.0;86.0;80.0;59.0;38.0;23.0;14.0;8.0;4.0;6.0;7.0;8.0;7.0;5.0;3.0;2.0;2.0
8;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Totaal herkomstgroepering;Startjaar 2003;35876.0;23.0;43.0;59.0;70.0;76.0;80.0;82.0;22.0;41.0;55.0;64.0;70.0;73.0;75.0;1.0;2.0;4.0;6.0;7.0;7.0;7.0;8.0;10.0;11.0;12.0;13.0;13.0;14.0;14.0;92.0;87.0;66.0;44.0;28.0;17.0;10.0;6.0;86.0;79.0;58.0;37.0;23.0;14.0;7.0;4.0;6.0;8.0;8.0;7.0;5.0;3.0;2.0;2.0
9;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Totaal herkomstgroepering;Startjaar 2004;37244.0;23.0;44.0;61.0;71.0;77.0;81.0;82.0;22.0;42.0;56.0;64.0;70.0;73.0;75.0;1.0;2.0;5.0;6.0;7.0;7.0;8.0;8.0;10.0;11.0;12.0;13.0;13.0;14.0;14.0;92.0;86.0;66.0;44.0;27.0;16.0;9.0;5.0;86.0;78.0;58.0;36.0;21.0;13.0;7.0;3.0;6.0;8.0;9.0;8.0;5.0;4.0;3.0;2.0
10;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Totaal herkomstgroepering;Startjaar 2005;37671.0;24.0;46.0;63.0;73.0;80.0;82.0;;23.0;44.0;58.0;67.0;72.0;75.0;;1.0;2.0;5.0;6.0;7.0;7.0;;8.0;10.0;11.0;11.0;12.0;12.0;13.0;14.0;92.0;87.0;65.0;43.0;26.0;15.0;7.0;4.0;86.0;79.0;56.0;34.0;20.0;11.0;5.0;3.0;7.0;9.0;9.0;8.0;6.0;4.0;2.0;2.0
11;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Totaal herkomstgroepering;Startjaar 2006;37623.0;24.0;47.0;65.0;76.0;80.0;;;23.0;46.0;61.0;70.0;74.0;;;1.0;2.0;4.0;6.0;7.0;;;7.0;9.0;10.0;10.0;11.0;12.0;12.0;;93.0;88.0;66.0;42.0;24.0;12.0;7.0;;86.0;80.0;57.0;34.0;18.0;8.0;5.0;;7.0;8.0;9.0;8.0;6.0;4.0;3.0;
12;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Totaal herkomstgroepering;Startjaar 2007;38668.0;25.0;51.0;70.0;77.0;;;;24.0;49.0;65.0;71.0;;;;1.0;2.0;4.0;6.0;;;;7.0;9.0;9.0;10.0;11.0;11.0;;;93.0;89.0;66.0;39.0;19.0;11.0;;;86.0;80.0;56.0;31.0;13.0;7.0;;;7.0;9.0;9.0;9.0;6.0;4.0;;
13;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Totaal herkomstgroepering;Startjaar 2008;40395.0;27.0;57.0;72.0;;;;;26.0;55.0;67.0;;;;;1.0;2.0;4.0;;;;;6.0;8.0;9.0;10.0;10.0;;;;93.0;90.0;64.0;33.0;19.0;;;;86.0;81.0;55.0;25.0;12.0;;;;7.0;9.0;9.0;9.0;6.0;;;
14;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Totaal herkomstgroepering;Startjaar 2009;44019.0;30.0;58.0;;;;;;29.0;56.0;;;;;;1.0;1.0;;;;;;6.0;8.0;9.0;10.0;;;;;94.0;89.0;61.0;32.0;;;;;87.0;80.0;52.0;24.0;;;;;7.0;9.0;9.0;9.0;;;;
15;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Totaal herkomstgroepering;Startjaar 2010;43504.0;32.0;;;;;;;32.0;;;;;;;0.0;;;;;;;7.0;9.0;9.0;;;;;;93.0;89.0;58.0;;;;;;87.0;81.0;50.0;;;;;;6.0;8.0;8.0;;;;;
16;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Totaal herkomstgroepering;Startjaar 2011;45193.0;;;;;;;;;;;;;;;;;;;;;;7.0;9.0;;;;;;;93.0;88.0;;;;;;;86.0;80.0;;;;;;;7.0;8.0;;;;;;
17;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Totaal herkomstgroepering;Startjaar 2012;43948.0;;;;;;;;;;;;;;;;;;;;;;7.0;;;;;;;;93.0;;;;;;;;87.0;;;;;;;;6.0;;;;;;;
18;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Autochtoon;Startjaar 1995;24143.0;7.0;12.0;32.0;52.0;64.0;71.0;75.0;6.0;11.0;28.0;45.0;56.0;62.0;67.0;1.0;2.0;5.0;7.0;8.0;9.0;8.0;9.0;12.0;14.0;15.0;16.0;17.0;18.0;19.0;91.0;87.0;79.0;72.0;51.0;31.0;18.0;11.0;85.0;78.0;70.0;64.0;46.0;28.0;16.0;9.0;6.0;8.0;9.0;8.0;5.0;3.0;2.0;2.0
19;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Autochtoon;Startjaar 1996;23331.0;6.0;13.0;32.0;51.0;64.0;71.0;77.0;5.0;10.0;27.0;44.0;56.0;63.0;68.0;1.0;2.0;5.0;7.0;8.0;8.0;8.0;8.0;11.0;13.0;14.0;14.0;15.0;16.0;16.0;92.0;87.0;81.0;73.0;53.0;34.0;20.0;12.0;86.0;80.0;73.0;66.0;48.0;30.0;17.0;10.0;6.0;8.0;8.0;8.0;5.0;4.0;3.0;2.0
20;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Autochtoon;Startjaar 1997;23867.0;7.0;14.0;33.0;53.0;66.0;74.0;79.0;5.0;11.0;28.0;46.0;58.0;65.0;71.0;1.0;2.0;5.0;7.0;8.0;8.0;8.0;7.0;10.0;12.0;13.0;13.0;14.0;14.0;15.0;92.0;87.0;81.0;73.0;54.0;34.0;20.0;12.0;86.0;80.0;73.0;66.0;49.0;30.0;17.0;10.0;6.0;8.0;8.0;7.0;5.0;4.0;3.0;2.0
21;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Autochtoon;Startjaar 1998;24984.0;7.0;15.0;34.0;54.0;67.0;75.0;80.0;6.0;12.0;29.0;47.0;59.0;66.0;72.0;1.0;3.0;5.0;7.0;8.0;8.0;8.0;8.0;11.0;12.0;13.0;13.0;13.0;14.0;15.0;92.0;88.0;81.0;73.0;53.0;33.0;19.0;11.0;85.0;79.0;73.0;65.0;47.0;29.0;16.0;9.0;6.0;8.0;8.0;8.0;6.0;4.0;3.0;2.0
22;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Autochtoon;Startjaar 1999;26118.0;8.0;17.0;36.0;55.0;69.0;76.0;81.0;6.0;14.0;31.0;49.0;61.0;68.0;73.0;1.0;2.0;5.0;7.0;7.0;8.0;8.0;9.0;11.0;12.0;13.0;13.0;14.0;15.0;15.0;91.0;87.0;80.0;70.0;51.0;31.0;17.0;9.0;85.0;79.0;72.0;63.0;45.0;27.0;14.0;7.0;6.0;8.0;8.0;8.0;5.0;4.0;2.0;2.0
23;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Autochtoon;Startjaar 2000;25633.0;9.0;21.0;42.0;61.0;74.0;79.0;82.0;8.0;19.0;37.0;54.0;66.0;71.0;75.0;1.0;2.0;5.0;6.0;7.0;8.0;7.0;8.0;10.0;11.0;11.0;12.0;12.0;13.0;14.0;92.0;88.0;80.0;68.0;46.0;27.0;13.0;7.0;87.0;81.0;72.0;60.0;41.0;23.0;11.0;6.0;5.0;7.0;8.0;8.0;5.0;3.0;2.0;2.0
24;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Autochtoon;Startjaar 2001;26935.0;12.0;28.0;51.0;68.0;76.0;81.0;83.0;11.0;26.0;46.0;61.0;69.0;72.0;75.0;1.0;2.0;5.0;7.0;8.0;8.0;8.0;8.0;9.0;10.0;11.0;11.0;12.0;12.0;13.0;92.0;89.0;78.0;62.0;38.0;20.0;11.0;7.0;86.0;80.0;69.0;54.0;32.0;17.0;9.0;5.0;6.0;8.0;9.0;8.0;5.0;4.0;3.0;2.0
25;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Autochtoon;Startjaar 2002;27044.0;22.0;43.0;61.0;72.0;79.0;82.0;84.0;21.0;41.0;56.0;65.0;71.0;74.0;77.0;1.0;2.0;5.0;6.0;7.0;7.0;7.0;7.0;9.0;10.0;11.0;12.0;12.0;13.0;13.0;93.0;89.0;68.0;46.0;27.0;16.0;9.0;5.0;87.0;81.0;60.0;38.0;22.0;13.0;7.0;4.0;6.0;8.0;8.0;7.0;5.0;3.0;2.0;2.0
26;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Autochtoon;Startjaar 2003;27249.0;23.0;45.0;61.0;72.0;79.0;82.0;84.0;22.0;43.0;57.0;66.0;71.0;75.0;77.0;1.0;2.0;5.0;7.0;7.0;7.0;7.0;7.0;9.0;10.0;11.0;11.0;12.0;12.0;13.0;93.0;88.0;67.0;45.0;27.0;16.0;9.0;5.0;86.0;79.0;58.0;37.0;22.0;13.0;7.0;3.0;6.0;8.0;9.0;8.0;5.0;3.0;2.0;2.0
27;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Autochtoon;Startjaar 2004;28210.0;22.0;45.0;62.0;73.0;80.0;83.0;85.0;22.0;43.0;57.0;66.0;72.0;75.0;76.0;1.0;2.0;5.0;7.0;8.0;8.0;8.0;7.0;9.0;10.0;11.0;11.0;11.0;12.0;12.0;93.0;87.0;68.0;44.0;27.0;16.0;8.0;4.0;86.0;79.0;58.0;36.0;21.0;12.0;6.0;3.0;7.0;9.0;9.0;8.0;6.0;4.0;3.0;2.0
28;Totaal mannen en vrouwen;Vooropleidingen totaal;0;Totaal opleidingsvorm;Autochtoon;Startjaar 2005;28462.0;24.0;47.0;65.0;75.0;82.0;84.0;;23.0;45.0;60.0;68.0;74.0;76.0;;1.0;2.0;5.0;7.0;8.0;8.0;;7.0;9.0;10.0;10.0;10.0;11.0;11.0;12.0;93.0;88.0;67.0;43.0;25.0;14.0;7.0;4.0;86.0;79.0;57.0;34.0;19.0;10.0;4.0;2.0;7.0;9.0;10.0;9.0;6.0;4.0;3.0;2.0
