ID;Voertuigsoort;BedrijfstakkenSBI2008;KenmerkenVrachtautoSEnTrekkers;Perioden;AantalVoertuigenInGebruik_1
0;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Totaal;2009;166650
1;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Totaal;2010;161780
2;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Totaal;2011;160080
3;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Leeftijd: jonger dan 1 jaar;2009;11350
4;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Leeftijd: jonger dan 1 jaar;2010;9480
5;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Leeftijd: jonger dan 1 jaar;2011;12460
6;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Leeftijd: 1 of 2 jaar;2009;31900
7;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Leeftijd: 1 of 2 jaar;2010;28280
8;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Leeftijd: 1 of 2 jaar;2011;19880
9;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Leeftijd: 3 of 4 jaar;2009;30530
10;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Leeftijd: 3 of 4 jaar;2010;32680
11;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Leeftijd: 3 of 4 jaar;2011;31980
12;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Leeftijd: 5 of 6 jaar;2009;22030
13;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Leeftijd: 5 of 6 jaar;2010;22990
14;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Leeftijd: 5 of 6 jaar;2011;28510
15;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Leeftijd: 7 of 8 jaar;2009;20510
16;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Leeftijd: 7 of 8 jaar;2010;17460
17;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Leeftijd: 7 of 8 jaar;2011;17460
18;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Leeftijd: 9 tot 12 jaar;2009;22950
19;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Leeftijd: 9 tot 12 jaar;2010;22130
20;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Leeftijd: 9 tot 12 jaar;2011;20360
21;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Leeftijd: 12 tot 15 jaar;2009;10370
22;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Leeftijd: 12 tot 15 jaar;2010;11410
23;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Leeftijd: 12 tot 15 jaar;2011;11930
24;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Leeftijd: 15 tot 20 jaar;2009;8680
25;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Leeftijd: 15 tot 20 jaar;2010;8460
26;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Leeftijd: 15 tot 20 jaar;2011;8440
27;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Leeftijd: 20 jaar of ouder;2009;8330
28;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Leeftijd: 20 jaar of ouder;2010;8880
29;Vrachtauto's en trekkers;A-U Alle economische activiteiten;Leeftijd: 20 jaar of ouder;2011;9060
