ID;SIC2008;Periods;HighGrowthEnterprisePopulation_1;EmployeesInHighGrowthEnterprises_2;YoungFastGrowingCompanies_3;EmployeesYoungFastGrowingCompanies_4
0;B Mining and quarrying;2010;9.0;788.0;;
1;B Mining and quarrying;2011;10.0;648.0;;
2;B Mining and quarrying;2012;5.0;603.0;;
3;B Mining and quarrying;2013;8.0;2337.0;;
4;B Mining and quarrying;2014;14.0;3058.0;;
5;B Mining and quarrying;2015;13.0;1871.0;;
6;B Mining and quarrying;2016;10.0;973.0;;
7;B Mining and quarrying;2017;4.0;;;
8;B Mining and quarrying;2018;7.0;523.0;;
9;B Mining and quarrying;2019;7.0;568.0;;
10;B Mining and quarrying;2020;11.0;681.0;;
11;B Mining and quarrying;2021;7.0;478.0;0.0;0.0
12;B Mining and quarrying;2022;5.0;325.0;0.0;0.0
13;Business Economy, B-N, excl. K, incl. 95;2010;6025.0;592188.0;;
14;Business Economy, B-N, excl. K, incl. 95;2011;5616.0;540458.0;;
15;Business Economy, B-N, excl. K, incl. 95;2012;5868.0;619678.0;;
16;Business Economy, B-N, excl. K, incl. 95;2013;5794.0;611985.0;;
17;Business Economy, B-N, excl. K, incl. 95;2014;5528.0;637410.0;;
18;Business Economy, B-N, excl. K, incl. 95;2015;6128.0;699160.0;;
19;Business Economy, B-N, excl. K, incl. 95;2016;7279.0;830332.0;;
20;Business Economy, B-N, excl. K, incl. 95;2017;8498.0;945515.0;;
21;Business Economy, B-N, excl. K, incl. 95;2018;10206.0;1263069.0;;
22;Business Economy, B-N, excl. K, incl. 95;2019;9278.0;1063392.0;;
23;Business Economy, B-N, excl. K, incl. 95;2020;7746.0;732159.0;;
24;Business Economy, B-N, excl. K, incl. 95;2021;;;;
25;Business Economy, B-N, excl. K, incl. 95;2022;;;;
26;06 Extraction of crude petroleum and gas;2010;2.0;;;
27;06 Extraction of crude petroleum and gas;2011;2.0;;;
28;06 Extraction of crude petroleum and gas;2012;1.0;;;
29;06 Extraction of crude petroleum and gas;2013;0.0;0.0;;
30;06 Extraction of crude petroleum and gas;2014;2.0;;;
31;06 Extraction of crude petroleum and gas;2015;2.0;;;
32;06 Extraction of crude petroleum and gas;2016;2.0;;;
33;06 Extraction of crude petroleum and gas;2017;0.0;0.0;;
34;06 Extraction of crude petroleum and gas;2018;0.0;0.0;;
35;06 Extraction of crude petroleum and gas;2019;0.0;0.0;;
36;06 Extraction of crude petroleum and gas;2020;2.0;;;
