ID;Einddiploma;Perioden;TotaleUitgaven_1;UitgavenBasisonderwijsBao_2;TotaalSecundairOnderwijs_3;TotaalVoortgezetOnderwijs_4;AlgemeenVormendOnderwijsAvo_5;Vmbo_6;Havo_7;Vwo_8;TotaalBve_9;MboBbl_10;MboBol_11;TotaalTertiairOnderwijs_12;HboVoltijd_13;WoVoltijd_14
0;Primair onderwijs;1998;25.7;25.7;;;;;;;;;;;;
1;Primair onderwijs;1999;27.2;27.2;;;;;;;;;;;;
2;Primair onderwijs;2000;30.3;30.3;;;;;;;;;;;;
3;Primair onderwijs;2001;34.3;34.3;;;;;;;;;;;;
4;Primair onderwijs;2002;37.7;37.7;;;;;;;;;;;;
5;Primair onderwijs;2003;40.8;40.8;;;;;;;;;;;;
6;Primair onderwijs;2004;40.6;40.6;;;;;;;;;;;;
7;Primair onderwijs;2005;42.4;42.4;;;;;;;;;;;;
8;Primair onderwijs;2006;42.9;42.9;;;;;;;;;;;;
9;Primair onderwijs;2007;43.2;43.2;;;;;;;;;;;;
10;Primair onderwijs;2008;45.7;45.7;;;;;;;;;;;;
11;Primair onderwijs;2009;48.2;48.2;;;;;;;;;;;;
12;Primair onderwijs;2010;48.6;48.6;;;;;;;;;;;;
13;Primair onderwijs;2011;48.4;48.4;;;;;;;;;;;;
14;Primair onderwijs;2012;48.8;48.8;;;;;;;;;;;;
15;Primair onderwijs;2013;50.7;50.7;;;;;;;;;;;;
16;Primair onderwijs;2014;49.9;49.9;;;;;;;;;;;;
17;Primair onderwijs;2015;51.6;51.6;;;;;;;;;;;;
18;Vmbo;1998;45.0;25.9;19.1;19.1;9.5;9.6;;;;;;;;
19;Vmbo;1999;48.5;27.5;21.0;21.0;10.4;10.6;;;;;;;;
20;Vmbo;2000;53.5;30.7;22.8;22.8;11.3;11.5;;;;;;;;
21;Vmbo;2001;59.9;34.7;25.2;25.2;12.5;12.7;;;;;;;;
22;Vmbo;2002;64.3;38.1;26.2;26.2;13.0;13.2;;;;;;;;
23;Vmbo;2003;67.6;41.2;26.4;26.4;13.1;13.3;;;;;;;;
24;Vmbo;2004;68.4;41.0;27.3;27.3;13.6;13.8;;;;;;;;
25;Vmbo;2005;70.8;42.9;28.0;28.0;13.9;14.1;;;;;;;;
26;Vmbo;2006;71.1;43.3;27.7;27.7;13.8;14.0;;;;;;;;
27;Vmbo;2007;73.0;43.6;29.3;29.3;14.6;14.8;;;;;;;;
28;Vmbo;2008;76.5;46.2;30.4;30.4;15.1;15.3;;;;;;;;
29;Vmbo;2009;81.8;48.7;33.1;33.1;16.4;16.6;;;;;;;;
30;Vmbo;2010;82.9;49.1;33.8;33.8;16.8;17.0;;;;;;;;
31;Vmbo;2011;82.1;48.9;33.3;33.3;16.5;16.7;;;;;;;;
32;Vmbo;2012;83.0;49.3;33.7;33.7;16.7;17.0;;;;;;;;
33;Vmbo;2013;86.0;51.3;34.7;34.7;17.2;17.5;;;;;;;;
34;Vmbo;2014;83.9;50.4;33.5;33.5;16.6;16.9;;;;;;;;
35;Vmbo;2015;86.2;52.1;34.1;34.1;16.9;17.2;;;;;;;;
36;Havo;1998;50.2;25.4;24.7;24.7;9.9;0.0;14.8;;;;;;;
37;Havo;1999;54.2;27.0;27.2;27.2;10.9;0.0;16.3;;;;;;;
38;Havo;2000;59.6;30.1;29.5;29.5;11.8;0.0;17.7;;;;;;;
39;Havo;2001;66.6;34.0;32.6;32.6;13.0;0.0;19.5;;;;;;;
40;Havo;2002;71.3;37.4;33.9;33.9;13.6;0.0;20.3;;;;;;;
41;Havo;2003;74.6;40.4;34.1;34.1;13.7;0.0;20.5;;;;;;;
42;Havo;2004;75.6;40.2;35.4;35.4;14.2;0.0;21.2;;;;;;;
43;Havo;2005;78.2;42.0;36.2;36.2;14.5;0.0;21.7;;;;;;;
44;Havo;2006;78.4;42.5;35.9;35.9;14.4;0.0;21.5;;;;;;;
45;Havo;2007;80.8;42.8;38.0;38.0;15.2;0.0;22.8;;;;;;;
46;Havo;2008;84.6;45.3;39.3;39.3;15.7;0.0;23.6;;;;;;;
47;Havo;2009;90.6;47.8;42.8;42.8;17.1;0.0;25.7;;;;;;;
48;Havo;2010;91.8;48.1;43.7;43.7;17.5;0.0;26.2;;;;;;;
49;Havo;2011;91.0;47.9;43.1;43.1;17.2;0.0;25.8;;;;;;;
50;Havo;2012;92.0;48.4;43.6;43.6;17.5;0.0;26.2;;;;;;;
51;Havo;2013;95.2;50.3;44.9;44.9;18.0;0.0;27.0;;;;;;;
52;Havo;2014;92.8;49.4;43.3;43.3;17.3;;26.0;;;;;;;
53;Havo;2015;95.2;51.1;44.1;44.1;17.7;;26.5;;;;;;;
54;Vwo;1998;53.6;25.1;28.6;28.6;9.6;;;19.0;;;;;;
55;Vwo;1999;58.0;26.6;31.5;31.5;10.6;;;20.9;;;;;;
56;Vwo;2000;63.7;29.6;34.1;34.1;11.4;;;22.6;;;;;;
57;Vwo;2001;71.2;33.5;37.6;37.6;12.6;;;25.0;;;;;;
58;Vwo;2002;76.0;36.8;39.2;39.2;13.1;;;26.0;;;;;;
59;Vwo;2003;79.3;39.8;39.5;39.5;13.2;;;26.2;;;;;;
60;Vwo;2004;80.5;39.6;40.9;40.9;13.7;;;27.2;;;;;;
61;Vwo;2005;83.2;41.4;41.8;41.8;14.0;;;27.8;;;;;;
62;Vwo;2006;83.4;41.9;41.5;41.5;13.9;;;27.6;;;;;;
63;Vwo;2007;86.1;42.2;43.9;43.9;14.7;;;29.2;;;;;;
64;Vwo;2008;90.1;44.6;45.5;45.5;15.3;;;30.2;;;;;;
65;Vwo;2009;96.5;47.1;49.5;49.5;16.6;;;32.9;;;;;;
66;Vwo;2010;97.9;47.4;50.5;50.5;16.9;;;33.6;;;;;;
67;Vwo;2011;97.0;47.2;49.8;49.8;16.7;;;33.1;;;;;;
68;Vwo;2012;98.1;47.7;50.4;50.4;16.9;;;33.5;;;;;;
69;Vwo;2013;101.5;49.5;52.0;52.0;17.4;;;34.5;;;;;;
70;Vwo;2014;98.8;48.7;50.1;50.1;16.8;;;33.3;;;;;;
71;Vwo;2015;101.4;50.3;51.0;51.0;17.1;;;33.9;;;;;;
72;Mbo-bbl2;1998;63.4;25.9;37.4;19.1;9.5;9.6;;;18.3;15.2;3.2;;;
73;Mbo-bbl2;1999;67.4;27.5;40.0;21.0;10.4;10.6;;;18.9;15.6;3.3;;;
74;Mbo-bbl2;2000;74.2;30.7;43.5;22.8;11.3;11.5;;;20.7;17.0;3.7;;;
75;Mbo-bbl2;2001;81.8;34.7;47.1;25.2;12.5;12.7;;;21.9;17.9;3.9;;;
76;Mbo-bbl2;2002;87.6;38.1;49.5;26.2;13.0;13.2;;;23.3;19.1;4.2;;;
77;Mbo-bbl2;2003;92.2;41.2;51.0;26.4;13.1;13.3;;;24.6;20.2;4.4;;;
78;Mbo-bbl2;2004;94.0;41.0;53.0;27.3;13.6;13.8;;;25.6;21.1;4.6;;;
79;Mbo-bbl2;2005;97.7;42.9;54.8;28.0;13.9;14.1;;;26.8;22.1;4.8;;;
80;Mbo-bbl2;2006;100.0;43.3;56.7;27.7;13.8;14.0;;;29.0;23.8;5.1;;;
81;Mbo-bbl2;2007;103.0;43.6;59.4;29.3;14.6;14.8;;;30.0;24.7;5.3;;;
82;Mbo-bbl2;2008;107.9;46.2;61.7;30.4;15.1;15.3;;;31.3;25.9;5.5;;;
83;Mbo-bbl2;2009;114.5;48.7;65.7;33.1;16.4;16.6;;;32.7;27.0;5.7;;;
84;Mbo-bbl2;2010;116.2;49.1;67.2;33.8;16.8;17.0;;;33.4;27.5;5.9;;;
85;Mbo-bbl2;2011;116.3;48.9;67.4;33.3;16.5;16.7;;;34.1;28.3;5.8;;;
86;Mbo-bbl2;2012;117.2;49.3;67.9;33.7;16.7;17.0;;;34.2;28.2;5.9;;;
