ID;Sex;Age;Nationality;Periods;TotalAsylumRequests_1;FirstAsylumRequestsPersons_2;SubsequentAsylumRequests_3;FamilyReunificationPersons_4
0;Total male and female ;Total;Total;2013 January;1060;735;325;465
1;Total male and female ;Total;Total;2013 February;945;675;265;160
2;Total male and female ;Total;Total;2013 March;985;695;290;170
3;Total male and female ;Total;Total;2013 1st Quarter;2990;2105;885;795
4;Total male and female ;Total;Total;2013 April;940;690;250;300
5;Total male and female ;Total;Total;2013 May;885;615;270;230
6;Total male and female ;Total;Total;2013 June;990;705;285;280
7;Total male and female ;Total;Total;2013 2nd Quarter;2815;2005;810;805
8;Total male and female ;Total;Total;2013 July;1065;765;305;340
9;Total male and female ;Total;Total;2013 August;1010;740;270;235
10;Total male and female ;Total;Total;2013 September;1235;1025;210;405
11;Total male and female ;Total;Total;2013 3rd Quarter;3310;2530;780;975
12;Total male and female ;Total;Total;2013 October;1510;1185;330;310
13;Total male and female ;Total;Total;2013 November;1290;1055;240;390
14;Total male and female ;Total;Total;2013 December;1180;960;220;350
15;Total male and female ;Total;Total;2013 4th Quarter;3985;3200;785;1055
16;Total male and female ;Total;Total;2013;13095;9840;3255;3630
17;Total male and female ;Total;Total;2014 January;1490;1380;110;230
18;Total male and female ;Total;Total;2014 February;1110;910;200;420
19;Total male and female ;Total;Total;2014 March;1160;960;195;310
20;Total male and female ;Total;Total;2014 1st Quarter;3760;3255;505;960
21;Total male and female ;Total;Total;2014 April;2430;2225;205;370
22;Total male and female ;Total;Total;2014 May;3445;3260;190;240
23;Total male and female ;Total;Total;2014 June;1940;1700;240;270
24;Total male and female ;Total;Total;2014 2nd Quarter;7815;7185;635;880
25;Total male and female ;Total;Total;2014 July;2260;2000;265;530
26;Total male and female ;Total;Total;2014 August;2410;2125;285;330
27;Total male and female ;Total;Total;2014 September;3120;2865;255;555
28;Total male and female ;Total;Total;2014 3rd Quarter;7795;6985;805;1415
29;Total male and female ;Total;Total;2014 October;2250;1905;345;560
