ID;RegioS;Perioden;TotaalInstallaties_1;MechanischeInstallaties_2;Oxidatiebedden_3;Aeratietanks_4;Oxidatietanks_5;Oxidatiesloten_6;Carrousels_7;DiscontinueSystemen_8;ParallelleInstallaties_9;Tweetrapsinstallaties_10;Compactinstallaties_11;Membraanbioreactors_12;NeredaKorrelslibReactor_13;HybrideNeredaActiefSlibSysteem_14;TotaalCapaciteitVervuilingseenheden_15;MechanischeInstallaties_16;Oxidatiebedden_17;Aeratietanks_18;Oxidatietanks_19;Oxidatiesloten_20;Carrousels_21;DiscontinueSystemen_22;ParallelleInstallaties_23;Tweetrapsinstallaties_24;Compactinstallaties_25;Membraanbioreactors_26;NeredaKorrelslibReactor_27;HybrideNeredaActiefSlibSysteem_28;TotaalCapaciteit_29;MechanischeInstallaties_30;Oxidatiebedden_31;Aeratietanks_32;Oxidatietanks_33;Oxidatiesloten_34;Carrousels_35;DiscontinueSystemen_36;ParallelleInstallaties_37;Tweetrapsinstallaties_38;Compactinstallaties_39;Membraanbioreactors_40;NeredaKorrelslibReactor_41;HybrideNeredaActiefSlibSysteem_42;VolumeAfvalwater_43;Vervuilingseenheden_44;ChemischZuurstofVerbruik_45;BiochemischZuurstofVerbruik_46;StikstofverbindingenAlsN_47;FosforverbindingenAlsP_48;Koper_49;Chroom_50;Zink_51;Lood_52;Cadmium_53;Nikkel_54;Kwik_55;Arseen_56;ChemischZuurstofVerbruik_57;BiochemischZuurstofVerbruik_58;StikstofverbindingenAlsN_59;FosforverbindingenAlsP_60;ZwevendStof_61;VolumeAfvalwater_62;Vervuilingseenheden_63;ChemischZuurstofVerbruik_64;BiochemischZuurstofVerbruik_65;StikstofverbindingenAlsN_66;FosforverbindingenAlsP_67;Koper_68;Chroom_69;Zink_70;Lood_71;Cadmium_72;Nikkel_73;Kwik_74;Arseen_75;ChemischZuurstofVerbruik_76;BiochemischZuurstofVerbruik_77;StikstofverbindingenAlsN_78;FosforverbindingenAlsP_79;ZwevendStof_80;TotaalNatSlib_81;Landbouw_82;NatteOxidatie_83;Composteren_84;Storten_85;Verbranden_86;Cementindustrie_87;Elektriciteitscentrale_88;OverigeBestemmingen_89;TotaalDrogeStof_90;Landbouw_91;NatteOxidatie_92;Composteren_93;Storten_94;Verbranden_95;Cementindustrie_96;Elektriciteitscentrale_97;OverigeBestemmingen_98;AsGloeirest_99;StikstofverbindingenAlsN_100;FosforverbindingenAlsP_101;Koper_102;Chroom_103;Zink_104;Lood_105;Cadmium_106;Nikkel_107;Kwik_108;Arseen_109
0;Nederland;1981;505.0;47.0;81.0;57.0;35.0;121.0;73.0;47.0;10.0;25.0;9.0;0.0;;;;;;;;;;;;;;;;;20034.0;1855.0;2200.0;7325.0;668.0;826.0;3803.0;54.0;596.0;2690.0;17.0;0.0;;;1247035.0;;694973.0;284775.0;60630.0;17365.0;132300.0;63965.0;469650.0;141352.0;2745.0;49449.0;892.0;2435.0;552.0;222.0;53.0;15.0;169.0;1247035.0;;144177.0;39901.0;33388.0;10064.0;39690.0;25586.0;140895.0;56541.0;1098.0;34614.0;268.0;1217.0;112.0;29.0;25.0;10.0;47.0;3622102.0;1407656.0;0.0;450225.0;1719789.0;34763.0;0.0;0.0;9669.0;179616.0;69101.0;0.0;39285.0;64946.0;5351.0;0.0;0.0;933.0;74866.0;8471.0;4216.0;88636.0;36332.0;312411.0;81582.0;1518.0;13919.0;587.0;1179.0
1;Nederland;1985;487.0;30.0;62.0;63.0;51.0;121.0;80.0;32.0;9.0;34.0;5.0;0.0;;;;;;;;;;;;;;;;;22676.0;1755.0;1960.0;8755.0;1007.0;888.0;4285.0;36.0;588.0;3391.0;12.0;0.0;;;1417433.0;;799991.0;304561.0;70165.0;18706.0;159682.0;53816.0;509507.0;143969.0;2378.0;42613.0;821.0;3342.0;573.0;220.0;54.0;15.0;246.0;1417433.0;;134253.0;28544.0;38405.0;10810.0;47905.0;21526.0;152852.0;57588.0;951.0;29829.0;246.0;1671.0;103.0;22.0;26.0;9.0;34.0;3749735.0;1481125.0;0.0;548298.0;1620268.0;51374.0;0.0;0.0;48670.0;227127.0;70313.0;0.0;70854.0;76980.0;6981.0;0.0;0.0;1999.0;96020.0;11523.0;4965.0;103825.0;33207.0;338380.0;82984.0;1377.0;12585.0;560.0;1540.0
2;Nederland;1990;469.0;14.0;48.0;65.0;57.0;119.0;97.0;22.0;9.0;34.0;4.0;0.0;;;;;;;;;;;;;;;;;23729.0;146.0;1730.0;10219.0;1216.0;1044.0;4894.0;33.0;618.0;3816.0;12.0;0.0;;;1642646.0;;932832.0;348630.0;81273.0;14357.0;177145.0;38733.0;497455.0;96356.0;2049.0;32675.0;1049.0;4943.0;595.0;222.0;52.0;9.0;214.0;1642646.0;;131495.0;23645.0;39292.0;6239.0;36492.0;13130.0;140282.0;25149.0;820.0;19474.0;315.0;2471.0;88.0;18.0;22.0;4.0;28.0;4859804.0;1621964.0;0.0;446575.0;2704575.0;78152.0;0.0;0.0;8538.0;315266.0;81602.0;0.0;63280.0;158107.0;11654.0;0.0;0.0;623.0;127156.0;15900.0;7066.0;140084.0;25553.0;351411.0;70674.0;1213.0;13030.0;691.0;2409.0
3;Nederland;1991;456.0;12.0;43.0;64.0;58.0;116.0;97.0;19.0;8.0;36.0;3.0;0.0;;;;;;;;;;;;;;;;;23909.0;144.0;1638.0;9969.0;1256.0;1056.0;4894.0;30.0;566.0;4346.0;11.0;0.0;;;1620705.0;;939533.0;351202.0;83912.0;14116.0;173611.0;35996.0;466408.0;85784.0;1974.0;27445.0;985.0;4459.0;606.0;226.0;55.0;9.0;223.0;1620705.0;;128225.0;22458.0;41488.0;5898.0;32465.0;11771.0;129662.0;19988.0;790.0;15781.0;296.0;2230.0;80.0;15.0;23.0;4.0;23.0;3013739.0;1504153.0;0.0;472660.0;959362.0;69389.0;0.0;0.0;8175.0;334504.0;84844.0;0.0;67679.0;170430.0;11230.0;0.0;0.0;321.0;139443.0;16770.0;7584.0;145467.0;25813.0;342127.0;69494.0;1194.0;11986.0;703.0;2240.0
4;Nederland;1992;449.0;12.0;39.0;65.0;58.0;114.0;100.0;16.0;9.0;35.0;1.0;0.0;;;;;;;;;;;;;;;;;23998.0;144.0;1449.0;10057.0;1263.0;1051.0;5140.0;25.0;616.0;4246.0;8.0;0.0;;;1773819.0;;947790.0;349195.0;84504.0;13905.0;169168.0;31386.0;499254.0;85479.0;2088.0;26608.0;880.0;4795.0;551.0;202.0;51.0;8.0;228.0;1773819.0;;124509.0;20228.0;40242.0;5745.0;28420.0;9855.0;136796.0;17609.0;835.0;14767.0;264.0;2397.0;75.0;13.0;20.0;3.0;19.0;2634785.0;1047653.0;1613.0;467600.0;1034372.0;70949.0;0.0;0.0;12598.0;322693.0;67749.0;616.0;65818.0;176204.0;11777.0;0.0;0.0;529.0;138839.0;15462.0;6496.0;136860.0;21401.0;353112.0;66464.0;1237.0;11734.0;609.0;2345.0
5;Nederland;1993;439.0;8.0;34.0;62.0;60.0;110.0;105.0;14.0;9.0;36.0;1.0;0.0;;;;;;;;;;;;;;;;;24450.0;89.0;1322.0;9740.0;1685.0;1039.0;5654.0;21.0;617.0;4276.0;8.0;0.0;;;1838696.0;;959719.0;349203.0;85570.0;14199.0;183594.0;33385.0;507530.0;81701.0;1892.0;38974.0;853.0;6870.0;546.0;198.0;49.0;8.0;234.0;1838696.0;;123412.0;19099.0;39358.0;5660.0;27979.0;9533.0;120852.0;12748.0;537.0;18830.0;210.0;3689.0;70.0;12.0;19.0;3.0;17.0;2057019.0;491374.0;50782.0;355028.0;1022969.0;133586.0;0.0;0.0;3280.0;336948.0;33198.0;2525.0;64991.0;209665.0;26459.0;0.0;0.0;108.0;154735.0;16158.0;6562.0;130688.0;22389.0;326532.0;64074.0;923.0;11502.0;646.0;2228.0
6;Nederland;1994;430.0;6.0;31.0;59.0;63.0;105.0;109.0;12.0;9.0;35.0;1.0;0.0;;;;;;;;;;;;;;;;;24492.0;79.0;1190.0;9450.0;1863.0;1025.0;6041.0;12.0;617.0;4207.0;8.0;0.0;;;2001231.0;;969587.0;350186.0;86565.0;14060.0;170798.0;42429.0;508884.0;76515.0;2139.0;40226.0;681.0;6437.0;500.0;183.0;46.0;7.0;376.0;2001231.0;;122013.0;17622.0;40086.0;5204.0;23949.0;7443.0;131259.0;10747.0;442.0;15243.0;176.0;3173.0;64.0;10.0;18.0;3.0;19.0;2144266.0;230593.0;207002.0;468129.0;807011.0;429992.0;0.0;0.0;1539.0;338888.0;13931.0;9751.0;81671.0;161264.0;72225.0;0.0;0.0;46.0;152965.0;16455.0;6740.0;126418.0;18647.0;331500.0;63178.0;717.0;12001.0;489.0;2553.0
7;Nederland;1995;424.0;4.0;27.0;59.0;61.0;102.0;113.0;12.0;10.0;35.0;1.0;0.0;;;;;;;;;;;;;;;;;24409.0;28.0;1143.0;9842.0;1742.0;1018.0;6222.0;12.0;618.0;3777.0;8.0;0.0;;;1854023.0;;920541.0;331103.0;83978.0;13756.0;183429.0;37098.0;450635.0;76552.0;1605.0;30951.0;710.0;5673.0;510.0;185.0;47.0;8.0;266.0;1854023.0;;100486.0;13490.0;36248.0;3529.0;22640.0;5934.0;119868.0;10293.0;380.0;13447.0;172.0;2618.0;60.0;9.0;17.0;2.0;18.0;2135432.0;0.0;440494.0;471847.0;764592.0;454476.0;0.0;0.0;4023.0;359843.0;0.0;21880.0;80312.0;178820.0;78602.0;0.0;0.0;229.0;160446.0;16455.0;10345.0;140468.0;19299.0;341367.0;63208.0;691.0;10932.0;538.0;2791.0
8;Nederland;1996;420.0;3.0;22.0;58.0;62.0;98.0;119.0;11.0;10.0;36.0;1.0;0.0;;;;;;;;;;;;;;;;;24610.0;13.0;1002.0;9789.0;1824.0;1000.0;6542.0;11.0;618.0;3801.0;8.0;0.0;;;1636762.0;;920624.0;346560.0;82910.0;13474.0;160207.0;24789.0;413666.0;60576.0;1628.0;30531.0;605.0;4731.0;603.0;229.0;55.0;9.0;298.0;1636762.0;;95570.0;14458.0;34982.0;3365.0;17341.0;5130.0;106044.0;6658.0;402.0;13111.0;160.0;2163.0;62.0;9.0;19.0;2.0;20.0;1753046.0;0.0;383726.0;369843.0;547554.0;450365.0;0.0;0.0;1558.0;364809.0;0.0;22064.0;66355.0;173982.0;102146.0;0.0;0.0;262.0;155254.0;17381.0;8346.0;140103.0;18794.0;317422.0;52013.0;612.0;11380.0;498.0;2493.0
9;Nederland;1997;412.0;2.0;18.0;59.0;59.0;95.0;123.0;11.0;12.0;32.0;1.0;0.0;;;;;;;;;;;;;;;;;24892.0;11.0;883.0;9832.0;1810.0;1079.0;6888.0;11.0;746.0;3623.0;8.0;0.0;;;1675265.0;;915547.0;359705.0;84739.0;13578.0;164240.0;19015.0;386272.0;51077.0;904.0;25041.0;550.0;5048.0;570.0;224.0;53.0;9.0;332.0;1675265.0;;89083.0;11968.0;32799.0;3204.0;21054.0;4607.0;87996.0;8604.0;308.0;12500.0;146.0;2364.0;57.0;9.0;16.0;2.0;19.0;1511818.0;0.0;366799.0;239516.0;470400.0;420916.0;0.0;0.0;14187.0;347210.0;0.0;22519.0;56312.0;164516.0;97800.0;0.0;0.0;6063.0;147078.0;15251.0;7284.0;135325.0;17484.0;300309.0;48484.0;627.0;11518.0;497.0;2608.0
