ID;Voertuigcategorie;BouwjaarVoertuig;Wegtype;CO_1;VOS_2;NOx_3;PM10_4
0;Totaal;Bouwjaargroep 1999 en ouder;Bebouwde kom;8.22;1.04;1.1;0.089
1;Totaal;Bouwjaargroep 1999 en ouder;Buitenwegen;3.82;0.39;0.79;0.051
2;Totaal;Bouwjaargroep 1999 en ouder;Autosnelwegen;3.6;0.27;1.22;0.06
3;Totaal;2000;Bebouwde kom;3.52;0.5;1.03;0.049
4;Totaal;2000;Buitenwegen;2.29;0.16;0.54;0.023
5;Totaal;2000;Autosnelwegen;1.44;0.05;1.06;0.05
6;Totaal;2001;Bebouwde kom;2.7;0.5;1.04;0.04
7;Totaal;2001;Buitenwegen;1.96;0.15;0.59;0.018
8;Totaal;2001;Autosnelwegen;1.09;0.05;1.23;0.042
9;Totaal;2002;Bebouwde kom;2.69;0.53;1.05;0.04
10;Totaal;2002;Buitenwegen;1.89;0.15;0.59;0.018
11;Totaal;2002;Autosnelwegen;1.06;0.05;1.18;0.04
12;Totaal;2003;Bebouwde kom;2.57;0.61;1.23;0.045
13;Totaal;2003;Buitenwegen;1.81;0.15;0.62;0.018
14;Totaal;2003;Autosnelwegen;0.91;0.04;1.12;0.041
15;Totaal;2004;Bebouwde kom;2.39;0.61;1.29;0.049
16;Totaal;2004;Buitenwegen;1.62;0.14;0.68;0.02
17;Totaal;2004;Autosnelwegen;0.82;0.04;1.21;0.045
18;Totaal;2005;Bebouwde kom;2.13;0.58;1.09;0.031
19;Totaal;2005;Buitenwegen;1.51;0.13;0.56;0.014
20;Totaal;2005;Autosnelwegen;0.75;0.03;0.98;0.031
21;Totaal;2006;Bebouwde kom;2.26;0.57;1.15;0.027
22;Totaal;2006;Buitenwegen;1.65;0.14;0.72;0.015
23;Totaal;2006;Autosnelwegen;0.71;0.02;0.74;0.025
24;Totaal;2007;Bebouwde kom;2.11;0.54;0.96;0.027
25;Totaal;2007;Buitenwegen;1.53;0.13;0.56;0.015
26;Totaal;2007;Autosnelwegen;0.65;0.01;0.53;0.026
27;Totaal;2008;Bebouwde kom;2.08;0.49;0.99;0.027
28;Totaal;2008;Buitenwegen;1.57;0.13;0.58;0.015
29;Totaal;2008;Autosnelwegen;0.69;0.01;0.55;0.025
30;Personenauto-benzine;Bouwjaargroep 1999 en ouder;Bebouwde kom;9.06;0.99;0.65;0.015
31;Personenauto-benzine;Bouwjaargroep 1999 en ouder;Buitenwegen;4.48;0.4;0.49;0.008
32;Personenauto-benzine;Bouwjaargroep 1999 en ouder;Autosnelwegen;3.73;0.24;0.8;0.008
33;Personenauto-benzine;2000;Bebouwde kom;4.53;0.43;0.23;0.008
34;Personenauto-benzine;2000;Buitenwegen;3.6;0.21;0.1;0.002
35;Personenauto-benzine;2000;Autosnelwegen;2.24;0.02;0.08;0.002
36;Personenauto-benzine;2001;Bebouwde kom;3.33;0.43;0.12;0.006
37;Personenauto-benzine;2001;Buitenwegen;3.17;0.21;0.06;0.002
38;Personenauto-benzine;2001;Autosnelwegen;1.57;0.01;0.03;0.002
39;Personenauto-benzine;2002;Bebouwde kom;3.33;0.43;0.12;0.006
40;Personenauto-benzine;2002;Buitenwegen;3.17;0.21;0.06;0.002
41;Personenauto-benzine;2002;Autosnelwegen;1.57;0.01;0.03;0.002
42;Personenauto-benzine;2003;Bebouwde kom;2.89;0.41;0.1;0.006
43;Personenauto-benzine;2003;Buitenwegen;2.92;0.2;0.04;0.002
44;Personenauto-benzine;2003;Autosnelwegen;1.44;0.01;0.02;0.002
45;Personenauto-benzine;2004;Bebouwde kom;2.67;0.41;0.09;0.007
46;Personenauto-benzine;2004;Buitenwegen;2.79;0.2;0.03;0.002
47;Personenauto-benzine;2004;Autosnelwegen;1.38;0.01;0.02;0.002
48;Personenauto-benzine;2005;Bebouwde kom;2.45;0.4;0.07;0.007
49;Personenauto-benzine;2005;Buitenwegen;2.67;0.19;0.02;0.002
50;Personenauto-benzine;2005;Autosnelwegen;1.31;0.01;0.01;0.002
51;Personenauto-benzine;2006;Bebouwde kom;2.45;0.4;0.07;0.007
52;Personenauto-benzine;2006;Buitenwegen;2.67;0.19;0.02;0.002
53;Personenauto-benzine;2006;Autosnelwegen;1.31;0.01;0.01;0.002
54;Personenauto-benzine;2007;Bebouwde kom;2.45;0.4;0.07;0.007
55;Personenauto-benzine;2007;Buitenwegen;2.67;0.19;0.02;0.002
56;Personenauto-benzine;2007;Autosnelwegen;1.31;0.01;0.01;0.002
57;Personenauto-benzine;2008;Bebouwde kom;2.45;0.4;0.07;0.007
58;Personenauto-benzine;2008;Buitenwegen;2.67;0.19;0.02;0.002
59;Personenauto-benzine;2008;Autosnelwegen;1.31;0.01;0.01;0.002
