ID;Periods;IndicesStocksOfFinishedGoods_1;YearOnYearChange_2
0;2012 January;94.9;
1;2012 February;96.8;
2;2012 March;96.2;
3;2012 1st quarter;96.0;
4;2012 April;97.5;
5;2012 May;104.2;
6;2012 June;98.6;
7;2012 2nd quarter;100.1;
8;2012 July;101.2;
9;2012 August;97.5;
10;2012 September;98.1;
11;2012 3rd quarter;98.9;
12;2012 October;92.4;
13;2012 November;97.7;
14;2012 December;95.3;
15;2012 4th quarter;95.1;
16;2012;97.5;
17;2013 January;100.3;5.7
18;2013 February;97.9;1.1
19;2013 March;99.4;3.3
20;2013 1st quarter;99.2;3.4
21;2013 April;99.1;1.6
22;2013 May;99.5;-4.5
23;2013 June;96.8;-1.8
24;2013 2nd quarter;98.5;-1.6
25;2013 July;94.7;-6.4
26;2013 August;96.5;-1.0
27;2013 September;97.0;-1.1
28;2013 3rd quarter;96.1;-2.9
29;2013 October;99.6;7.8
30;2013 November;100.5;2.9
31;2013 December;95.0;-0.3
32;2013 4th quarter;98.4;3.4
33;2013;98.0;0.5
34;2014 January;98.6;-1.7
35;2014 February;97.4;-0.5
36;2014 March;99.0;-0.4
37;2014 1st quarter;98.3;-0.9
38;2014 April;99.4;0.3
39;2014 May;100.1;0.6
40;2014 June;99.3;2.6
41;2014 2nd quarter;99.6;1.2
42;2014 July;100.6;6.2
43;2014 August;102.4;6.1
44;2014 September;99.7;2.8
45;2014 3rd quarter;100.9;5.0
46;2014 October;99.6;0.0
47;2014 November;101.9;1.4
48;2014 December;98.2;3.4
49;2014 4th quarter;99.9;1.6
50;2014;99.7;1.7
51;2015 January;102.8;4.3
52;2015 February;103.4;6.2
53;2015 March;99.9;0.9
54;2015 1st quarter;102.0;3.8
55;2015 April;100.3;0.9
56;2015 May;100.3;0.2
57;2015 June;97.8;-1.5
58;2015 2nd quarter;99.5;-0.1
59;2015 July;98.8;-1.8
60;2015 August;98.8;-3.5
61;2015 September;98.7;-1.0
62;2015 3rd quarter;98.8;-2.1
63;2015 October;101.0;1.4
64;2015 November;98.5;-3.3
65;2015 December;99.7;1.5
66;2015 4th quarter;99.7;-0.2
67;2015;100.0;0.3
68;2016 January;102.8;0.0
69;2016 February;105.3;1.8
70;2016 March;102.0;2.1
71;2016 1st quarter;103.4;1.3
72;2016 April;100.7;0.4
73;2016 May;98.7;-1.6
74;2016 June;94.6;-3.3
75;2016 2nd quarter;98.0;-1.5
76;2016 July;97.9;-0.9
77;2016 August;96.9;-1.9
78;2016 September;97.0;-1.7
79;2016 3rd quarter;97.3;-1.5
80;2016 October;100.1;-0.9
81;2016 November;100.6;2.1
82;2016 December;99.6;-0.1
83;2016 4th quarter;100.1;0.4
84;2016;99.7;-0.3
85;2017 January;102.2;-0.6
86;2017 February;100.1;-4.9
87;2017 March;100.0;-2.0
88;2017 1st quarter;100.8;-2.5
89;2017 April;101.9;1.2
90;2017 May;103.4;4.8
91;2017 June;101.0;6.8
92;2017 2nd quarter;102.1;4.2
93;2017 July;104.2;6.4
94;2017 August;103.7;7.0
95;2017 September;103.1;6.3
96;2017 3rd quarter;103.7;6.6
97;2017 October;106.0;5.9
98;2017 November;103.8;3.2
