ID;KenmerkenStartersDoorstromers;StarterDoorstromer;Perioden;TotaalPotentieleVerhuizers_1;Koopwoning_2;Huurwoning_3;KoopOfHuurwoningWeetNogNiet_4;Eengezinswoning_5;Meergezinswoning_6;k_3Kamers_7;k_4Kamers_8;k_4Kamers_9;Groter_10;Kleiner_11;Gelijk_12;k_182Euro_13;k_182Tot227Euro_14;k_227Tot272Euro_15;k_272Tot318Euro_16;k_318Tot363Euro_17;k_363Tot408Euro_18;k_408Tot454Euro_19;k_454Euro_20;k_68000Euro_21;k_68000Tot91000Euro_22;k_91000Tot113000Euro_23;k_113000Tot136000Euro_24;k_136000Tot159000Euro_25;k_159000Tot182000Euro_26;k_182000Tot204000Euro_27;k_204000Tot227000Euro_28;k_227000Tot272000Euro_29;k_272000Tot340000Euro_30;k_340000Euro_31;TotaalRespondentenOngewogen_32
0;Totaal potentiële verhuizers;Starters;1998;698.0;236.0;387.0;75.0;276.0;423.0;146.0;290.0;262.0;135.0;435.0;128.0;15.0;44.0;74.0;72.0;71.0;56.0;19.0;37.0;13.0;24.0;48.0;54.0;39.0;22.0;13.0;5.0;11.0;4.0;4.0;6691.0
1;Totaal potentiële verhuizers;Starters;1999;815.0;281.0;452.0;82.0;329.0;486.0;166.0;349.0;300.0;170.0;493.0;152.0;26.0;52.0;78.0;88.0;80.0;46.0;23.0;60.0;15.0;15.0;44.0;51.0;63.0;31.0;19.0;14.0;12.0;11.0;7.0;1288.0
2;Totaal potentiële verhuizers;Starters;2000;782.0;225.0;455.0;102.0;289.0;493.0;175.0;318.0;289.0;129.0;495.0;158.0;13.0;52.0;80.0;79.0;90.0;60.0;21.0;61.0;9.0;14.0;18.0;42.0;51.0;28.0;29.0;11.0;10.0;5.0;8.0;1075.0
3;Totaal potentiële verhuizers;Doorstromers;1998;1530.0;845.0;532.0;153.0;1009.0;521.0;109.0;472.0;949.0;585.0;476.0;469.0;15.0;29.0;64.0;83.0;135.0;108.0;38.0;60.0;17.0;39.0;99.0;153.0;151.0;107.0;88.0;45.0;74.0;44.0;29.0;22022.0
4;Totaal potentiële verhuizers;Doorstromers;1999;1641.0;886.0;616.0;139.0;1055.0;586.0;116.0;496.0;1029.0;640.0;513.0;488.0;13.0;33.0;74.0;83.0;150.0;100.0;45.0;120.0;8.0;21.0;74.0;128.0;141.0;110.0;106.0;65.0;97.0;76.0;60.0;3668.0
5;Totaal potentiële verhuizers;Doorstromers;2000;1535.0;777.0;585.0;173.0;955.0;579.0;103.0;463.0;968.0;612.0;450.0;473.0;9.0;42.0;48.0;77.0;112.0;136.0;49.0;113.0;6.0;12.0;53.0;87.0;109.0;94.0;97.0;66.0;110.0;94.0;47.0;3221.0
6;Koopwoning;Starters;1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Koopwoning;Starters;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Koopwoning;Starters;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Koopwoning;Doorstromers;1998;550.0;451.0;59.0;40.0;438.0;111.0;20.0;119.0;410.0;168.0;219.0;163.0;1.0;2.0;5.0;8.0;13.0;14.0;4.0;12.0;6.0;12.0;32.0;61.0;75.0;64.0;57.0;31.0;54.0;34.0;24.0;10652.0
