ID;Perioden;Algemeen_1;AlgemeenExclKonOlie_2;Internationals_3;LokaleOndernemingen_4;FinancieleInstellingen_5;NietFinancieleInstellingen_6;Consumentengoederenindustrie_7;Kapitaalgoederenindustrie_8;Basisgoederenindustrie_9;BouwnijverheidEnInstallatie_10;TransportOpslagEnCommunicatie_11;NietFinancieleDienstverlening_12;Handel_13;BankenFinancieleDienstverlening_14;Verzekeraars_15;MIT_16;MITS_17;KoersindexNietAEXFondsen_18;BeleggingsinstellingenAlgemeen_19;AandelenfondsenAlgemeen_20;BeleggingenInNederland_21;BeleggingenInEuropa_22;BeleggingenInHetVerreOosten_23;BeleggingenInNoordAmerika_24;BeleggingenWereldwijd_25;ObligatiefondsenAlgemeen_26;DividendObligatiefondsen_27;FictiefRendementObligatiefondsen_28;Geldmarktfondsen_29;GemengdeFondsen_30;VastgoedfondsenAlgemeen_31;Direct_32;Nederland_33;Wereldwijd_34;Indirect_35;Algemeen_36;AlgemeenExclKonOlie_37;Internationals_38;LokaleOndernemingen_39;FinancieleInstellingen_40;NietFinancieleInstellingen_41;Consumentengoederenindustrie_42;Kapitaalgoederenindustrie_43;Basisgoederenindustrie_44;BouwnijverheidEnInstallatie_45;TransportOpslagEnCommunicatie_46;NietFinancieleDienstverlening_47;Handel_48;BankenFinancieleDienstverlening_49;Verzekeraars_50;MIT_51;MITS_52;HerbeleggingsindexNietAEXFondsen_53;BeleggingsinstellingenAlgemeen_54;AandelenfondsenAlgemeen_55;BeleggingenInNederland_56;BeleggingenInEuropa_57;BeleggingenInHetVerreOosten_58;BeleggingenInNoordAmerika_59;BeleggingenWereldwijd_60;ObligatiefondsenAlgemeen_61;DividendObligatiefondsen_62;FictiefRendementObligatiefondsen_63;Geldmarktfondsen_64;GemengdeFondsen_65;VastgoedfondsenAlgemeen_66;Direct_67;Nederland_68;Wereldwijd_69;Indirect_70
0;2000 april;925.5;965.1;803.2;1041.9;996.2;1141.2;873.9;820.5;421.1;330.5;914.8;1927.1;1093.9;597.7;1314.9;885.6;1137.9;455.7;197.7;295.2;364.5;378.9;124.9;370.3;308.6;124.5;98.2;151.3;114.1;155.1;86.3;84.8;126.6;75.7;126.3;1712.9;1645.0;1593.6;1776.6;1994.3;1785.1;1448.0;1232.0;766.4;606.5;1533.2;2902.8;1709.1;1335.9;2462.6;1010.2;1230.7;523.4;214.0;323.2;384.2;397.8;133.1;385.7;342.7;132.5;129.9;151.3;114.9;184.1;124.8;124.9;185.1;111.8;148.7
1;2000 mei;934.7;953.7;865.5;1015.2;983.4;1102.7;911.2;864.5;420.1;335.2;833.0;1833.7;1144.5;583.2;1302.1;844.1;1000.4;435.1;196.5;292.5;369.7;378.7;119.3;370.0;304.9;124.7;97.5;152.3;114.3;154.7;88.3;86.5;116.6;80.8;133.2;1743.1;1636.9;1730.5;1743.9;1990.8;1733.9;1525.0;1298.3;773.7;633.2;1402.2;2775.7;1806.1;1322.9;2463.9;964.5;1082.3;503.0;213.4;321.3;390.5;397.9;127.1;385.5;340.0;133.0;130.3;152.4;115.1;185.1;130.1;129.8;176.7;120.8;157.9
2;2000 juni;953.7;979.9;881.7;1036.5;1029.9;1107.5;903.8;948.3;397.3;334.1;815.8;1823.6;1227.8;654.0;1336.4;866.6;992.7;434.7;196.7;293.0;379.0;379.5;116.1;365.0;304.7;124.4;97.3;151.1;114.5;155.8;92.0;90.9;122.2;85.1;129.7;1783.9;1686.6;1767.4;1786.6;2095.4;1745.1;1515.3;1425.2;733.2;645.6;1374.1;2764.5;1949.3;1496.2;2539.4;990.4;1074.6;505.0;213.8;322.1;402.3;399.0;123.7;380.4;339.8;132.8;130.4;151.2;115.3;186.6;137.0;137.9;185.2;129.1;155.9
3;2000 juli;952.7;985.3;862.0;1048.0;1072.2;1098.1;891.5;948.7;413.5;344.4;783.2;1802.2;1236.5;657.9;1405.7;842.1;999.3;442.3;199.0;297.8;378.5;382.9;117.3;372.2;310.9;124.6;97.1;151.7;114.7;156.9;96.5;95.5;126.0;90.0;135.4;1782.3;1696.1;1727.9;1806.8;2181.5;1730.9;1494.7;1425.7;766.3;665.4;1319.3;2732.1;1963.2;1505.3;2671.1;962.5;1081.7;514.2;216.3;327.4;402.9;402.5;125.0;388.0;346.8;133.0;130.3;151.8;115.6;188.1;147.1;148.6;192.7;141.2;162.8
4;2000 augustus;967.9;993.5;892.0;1054.0;1154.5;1050.8;938.3;917.8;436.4;355.7;657.8;1835.9;1292.4;722.1;1505.2;773.1;945.6;443.1;202.5;304.0;383.9;387.4;116.6;389.1;318.6;126.6;98.4;155.7;115.3;157.9;97.8;96.2;125.7;91.0;143.2;1816.0;1712.6;1797.3;1820.0;2356.9;1657.2;1573.7;1379.3;810.8;687.3;1107.9;2784.7;2052.0;1661.7;2867.5;883.6;1023.7;515.2;220.3;334.3;409.5;407.4;124.2;405.6;355.4;135.2;132.0;155.8;116.1;190.4;149.1;149.8;192.6;142.8;172.1
5;2000 september;964.9;975.6;923.7;1027.5;1128.9;1022.1;927.4;939.3;431.7;386.5;590.5;1846.7;1277.7;707.0;1471.1;757.5;957.9;450.8;207.2;312.3;383.3;388.9;115.8;405.2;330.0;129.0;100.3;159.2;117.8;159.2;95.4;93.2;122.2;88.1;145.2;1814.5;1686.2;1862.5;1780.2;2317.8;1613.9;1557.1;1411.7;802.2;746.8;995.5;2802.7;2036.3;1639.2;2817.4;865.7;1036.9;524.3;225.5;343.4;408.8;409.0;123.4;422.4;368.1;137.8;134.7;159.2;118.6;191.9;145.7;145.4;188.1;138.3;174.6
6;2000 oktober;945.6;947.5;911.8;1002.6;1160.8;955.2;999.5;800.7;451.6;381.1;499.7;1761.0;1287.9;675.5;1544.2;650.8;826.5;432.7;200.9;298.2;374.3;370.1;107.8;388.5;314.6;129.5;99.3;161.2;118.1;157.1;93.8;91.3;117.5;86.9;145.9;1778.6;1637.9;1838.6;1737.3;2383.2;1508.8;1679.0;1203.5;839.8;736.4;842.4;2672.8;2055.0;1566.2;2957.3;743.9;894.9;503.5;218.8;327.9;399.2;389.2;114.9;405.0;350.9;138.9;135.2;161.3;118.9;189.4;143.3;142.5;181.4;136.4;175.4
7;2000 november;952.9;962.6;908.5;1017.3;1236.7;927.7;1089.1;741.7;481.1;380.9;446.8;1709.0;1354.8;699.1;1657.9;585.1;742.7;417.5;197.1;289.7;378.0;365.5;107.2;378.7;302.8;129.9;99.6;161.6;118.5;157.5;94.2;91.8;117.1;87.7;145.3;1793.1;1665.0;1834.2;1762.8;2539.1;1465.5;1835.5;1114.9;897.8;736.1;753.2;2594.1;2161.9;1620.8;3175.0;668.8;804.3;485.7;214.7;318.7;403.2;384.8;114.2;394.8;337.8;139.4;136.1;161.6;119.3;189.9;144.3;143.8;181.2;138.1;174.6
8;2000 december;904.5;921.0;860.2;966.8;1209.2;858.2;1058.3;710.4;484.8;378.3;381.8;1591.7;1300.2;652.8;1640.1;518.8;638.1;386.9;187.2;268.5;360.3;347.8;99.6;349.4;277.7;130.1;100.3;160.6;118.9;155.1;93.3;90.7;117.6;86.2;145.8;1702.0;1593.0;1736.8;1675.4;2482.8;1355.6;1784.4;1067.8;904.7;730.9;643.6;2416.1;2074.8;1513.5;3141.0;593.0;691.0;450.1;204.0;295.4;384.5;366.4;106.2;364.4;309.8;139.7;137.3;160.7;119.7;187.4;143.0;142.2;182.0;135.9;175.4
9;2001 januari;892.9;909.0;844.4;957.7;1182.1;860.8;981.4;727.9;478.9;401.3;412.0;1572.5;1256.8;690.7;1570.6;540.1;657.3;388.2;181.3;256.0;357.0;336.6;94.5;327.1;262.1;130.6;101.5;159.2;119.1;153.9;95.2;93.1;120.1;88.5;142.4;1680.3;1572.4;1704.9;1659.6;2427.0;1359.8;1654.7;1094.2;893.7;775.5;694.6;2386.9;2005.4;1601.5;3007.9;617.4;711.8;451.7;197.7;281.8;381.0;355.0;100.9;341.5;292.5;140.2;138.9;159.3;120.2;185.9;146.2;146.1;185.8;139.9;171.6
