ID;KenmerkenPersonen;Perioden;PersonenMetEenAOWUitkering_1
0;Totaal personen;2013 januari;3120720.0
1;Totaal personen;2013 februari;3129420.0
2;Totaal personen;2013 maart;3137210.0
3;Totaal personen;2013 april;3145480.0
4;Totaal personen;2013 mei;3155340.0
5;Totaal personen;2013 juni;3166060.0
6;Totaal personen;2013 juli;3175100.0
7;Totaal personen;2013 augustus;3187030.0
8;Totaal personen;2013 september;3196560.0
9;Totaal personen;2013 oktober;3209380.0
10;Totaal personen;2013 november;3217980.0
11;Totaal personen;2013 december;3225730.0
12;Totaal personen;2014 januari;3215040.0
13;Totaal personen;2014 februari;3222330.0
14;Totaal personen;2014 maart;3231980.0
15;Totaal personen;2014 april;3239430.0
16;Totaal personen;2014 mei;3249390.0
17;Totaal personen;2014 juni;3257720.0
18;Totaal personen;2014 juli;3266810.0
19;Totaal personen;2014 augustus;3276330.0
20;Totaal personen;2014 september;3285220.0
21;Totaal personen;2014 oktober;3294190.0
22;Totaal personen;2014 november;3301230.0
23;Totaal personen;2014 december;3307290.0
24;Totaal personen;2015 januari;3290960.0
25;Totaal personen;2015 februari;3294490.0
26;Totaal personen;2015 maart;3300310.0
27;Totaal personen;2015 april;3308950.0
28;Totaal personen;2015 mei;3315870.0
29;Totaal personen;2015 juni;3323890.0
30;Totaal personen;2015 juli;3332890.0
31;Totaal personen;2015 augustus;3341740.0
32;Totaal personen;2015 september;3349280.0
33;Totaal personen;2015 oktober;3357960.0
34;Totaal personen;2015 november;3365110.0
35;Totaal personen;2015 december;3371730.0
36;Totaal personen;2016 januari;3360350.0
37;Totaal personen;2016 februari;3347560.0
38;Totaal personen;2016 maart;3336050.0
39;Totaal personen;2016 april;3342160.0
40;Totaal personen;2016 mei;3347580.0
41;Totaal personen;2016 juni;3353970.0
42;Totaal personen;2016 juli;3361810.0
43;Totaal personen;2016 augustus;3368450.0
44;Totaal personen;2016 september;3376680.0
45;Totaal personen;2016 oktober;3384320.0
46;Totaal personen;2016 november;3391680.0
47;Totaal personen;2016 december;3398110.0
48;Totaal personen;2017 januari;3384480.0
49;Totaal personen;2017 februari;3370280.0
50;Totaal personen;2017 maart;3358270.0
51;Totaal personen;2017 april;3367300.0
52;Totaal personen;2017 mei;3373050.0
53;Totaal personen;2017 juni;3380270.0
54;Totaal personen;2017 juli;3387610.0
55;Totaal personen;2017 augustus;3392690.0
56;Totaal personen;2017 september;3399190.0
57;Totaal personen;2017 oktober;3405460.0
58;Totaal personen;2017 november;3413160.0
59;Totaal personen;2017 december;3421470.0
60;Totaal personen;2018 januari;3407850.0
61;Totaal personen;2018 februari;3395470.0
62;Totaal personen;2018 maart;3379990.0
63;Totaal personen;2018 april;3386260.0
64;Totaal personen;2018 mei;3393840.0
65;Totaal personen;2018 juni;3400420.0
66;Totaal personen;2018 juli;3408590.0
67;Totaal personen;2018 augustus;3418250.0
68;Totaal personen;2018 september;3425000.0
69;Totaal personen;2018 oktober;3431170.0
70;Totaal personen;2018 november;3436730.0
71;Totaal personen;2018 december;3444450.0
72;Totaal personen;2019 januari;3433060.0
73;Totaal personen;2019 februari;3418890.0
74;Totaal personen;2019 maart;3408210.0
75;Totaal personen;2019 april;3396870.0
76;Totaal personen;2019 mei ;3403870.0
77;Totaal personen;2019 juni;3408310.0
78;Totaal personen;2019 juli;3417430.0
79;Totaal personen;2019 augustus;3424850.0
80;Totaal personen;2019 september;3432550.0
81;Totaal personen;2019 oktober;3439980.0
82;Totaal personen;2019 november;3448000.0
83;Totaal personen;2019 december;3452950.0
84;Totaal personen;2020 januari;3459050.0
85;Totaal personen;2020 februari;3463490.0
86;Totaal personen;2020 maart;3466300.0
87;Totaal personen;2020 april;3466240.0
88;Totaal personen;2020 mei;3471640.0
89;Totaal personen;2020 juni;3476650.0
90;Totaal personen;2020 juli;3485780.0
91;Totaal personen;2020 augustus;3493470.0
92;Totaal personen;2020 september;3500800.0
93;Totaal personen;2020 oktober;3506730.0
94;Totaal personen;2020 november;3511660.0
95;Totaal personen;2020 december;3516180.0
96;Totaal personen;2021 januari;3518770.0
97;Totaal personen;2021 februari;3519880.0
98;Totaal personen;2021 maart;3523690.0
99;Totaal personen;2021 april;3527910.0
100;Totaal personen;2021 mei;3537090.0
101;Totaal personen;2021 juni;3541390.0
102;Totaal personen;2021 juli;3550590.0
103;Totaal personen;2021 augustus;3556750.0
104;Totaal personen;2021 september;3565180.0
105;Totaal personen;2021 oktober;3572210.0
106;Totaal personen;2021 november;3576230.0
107;Totaal personen;2021 december;3578800.0
108;Totaal personen;2022 januari;3563600.0
109;Totaal personen;2022 februari;3550650.0
110;Totaal personen;2022 maart;3538410.0
111;Totaal personen;2022 april;3542930.0
112;Totaal personen;2022 mei;3547230.0
113;Totaal personen;2022 juni;3551930.0
114;Totaal personen;2022 juli;3556910.0
115;Totaal personen;2022 augustus;3563360.0
116;Totaal personen;2022 september;3569220.0
117;Totaal personen;2022 oktober;3576860.0
118;Totaal personen;2022 november;3582660.0
