ID;SIC93;Periods;Value_1;Price_2;Volume_3;Value_4;Price_5;Volume_6
0;52 Retail trade (including repairs);2000 January;86.0;98.0;88.0;;;
1;52 Retail trade (including repairs);2000 February;86.0;99.0;87.0;;;
2;52 Retail trade (including repairs);2000 March;98.0;100.0;98.0;;;
3;52 Retail trade (including repairs);2000 1st quarter;90.0;99.0;91.0;;;
4;52 Retail trade (including repairs);2000 April;98.0;100.0;98.0;;;
5;52 Retail trade (including repairs);2000 May;104.0;101.0;104.0;;;
6;52 Retail trade (including repairs);2000 June;102.0;100.0;102.0;;;
7;52 Retail trade (including repairs);2000 2nd quarter;102.0;100.0;101.0;;;
8;52 Retail trade (including repairs);2000 July;99.0;98.0;101.0;;;
9;52 Retail trade (including repairs);2000 August;97.0;99.0;98.0;;;
10;52 Retail trade (including repairs);2000 September;103.0;101.0;101.0;;;
11;52 Retail trade (including repairs);2000 3rd quarter;99.0;99.0;100.0;;;
12;52 Retail trade (including repairs);2000 October;100.0;102.0;99.0;;;
13;52 Retail trade (including repairs);2000 November;105.0;102.0;103.0;;;
14;52 Retail trade (including repairs);2000 December;121.0;101.0;120.0;;;
15;52 Retail trade (including repairs);2000 4th quarter;109.0;102.0;107.0;;;
16;52 Retail trade (including repairs);2000;100.0;100.0;100.0;;;
17;52 Retail trade (including repairs);2001 January;93.0;101.0;93.0;8.4;2.7;
18;52 Retail trade (including repairs);2001 February;89.0;102.0;87.0;3.7;3.6;
19;52 Retail trade (including repairs);2001 March;107.0;105.0;102.0;8.7;4.4;
20;52 Retail trade (including repairs);2001 1st quarter;96.0;102.0;94.0;7.0;3.6;
21;52 Retail trade (including repairs);2001 April;102.0;105.0;97.0;3.4;4.7;
22;52 Retail trade (including repairs);2001 May;113.0;105.0;107.0;8.7;4.8;
23;52 Retail trade (including repairs);2001 June;110.0;105.0;105.0;7.9;4.8;
24;52 Retail trade (including repairs);2001 2nd quarter;108.0;105.0;103.0;6.7;4.8;
25;52 Retail trade (including repairs);2001 July;102.0;103.0;99.0;3.7;5.1;
26;52 Retail trade (including repairs);2001 August;104.0;104.0;101.0;7.8;4.9;
27;52 Retail trade (including repairs);2001 September;107.0;106.0;100.0;4.1;5.1;
28;52 Retail trade (including repairs);2001 3rd quarter;105.0;104.0;100.0;5.1;5.0;
29;52 Retail trade (including repairs);2001 October;110.0;107.0;103.0;9.1;4.8;
30;52 Retail trade (including repairs);2001 November;113.0;107.0;106.0;7.5;4.5;
31;52 Retail trade (including repairs);2001 December;126.0;106.0;118.0;3.3;4.9;
32;52 Retail trade (including repairs);2001 4th quarter;116.0;106.0;109.0;6.5;4.7;
33;52 Retail trade (including repairs);2001;106.0;105.0;102.0;6.3;4.5;
34;52 Retail trade (including repairs);2002 January;98.0;106.0;92.0;5.1;5.2;
35;52 Retail trade (including repairs);2002 February;93.0;107.0;87.0;4.1;4.5;
36;52 Retail trade (including repairs);2002 March;110.0;109.0;101.0;2.7;3.9;
37;52 Retail trade (including repairs);2002 1st quarter;100.0;107.0;93.0;3.9;4.5;
38;52 Retail trade (including repairs);2002 April;109.0;109.0;100.0;6.6;3.3;
39;52 Retail trade (including repairs);2002 May;116.0;109.0;107.0;2.7;3.1;
40;52 Retail trade (including repairs);2002 June;111.0;108.0;103.0;0.7;2.9;
41;52 Retail trade (including repairs);2002 2nd quarter;112.0;108.0;103.0;3.2;3.1;
42;52 Retail trade (including repairs);2002 July;109.0;106.0;103.0;6.4;2.9;
43;52 Retail trade (including repairs);2002 August;110.0;106.0;103.0;5.0;2.7;
44;52 Retail trade (including repairs);2002 September;107.0;109.0;99.0;0.3;2.3;
45;52 Retail trade (including repairs);2002 3rd quarter;109.0;107.0;101.0;3.8;2.6;
46;52 Retail trade (including repairs);2002 October;115.0;108.0;106.0;5.2;1.7;
47;52 Retail trade (including repairs);2002 November;114.0;108.0;105.0;0.7;1.4;
48;52 Retail trade (including repairs);2002 December;126.0;107.0;118.0;0.3;1.0;
49;52 Retail trade (including repairs);2002 4th quarter;118.0;108.0;110.0;2.0;1.3;
50;52 Retail trade (including repairs);2002;110.0;108.0;102.0;3.2;2.9;
51;52 Retail trade (including repairs);2003 January;102.0;106.0;96.0;3.9;0.1;3.7
52;52 Retail trade (including repairs);2003 February;95.0;107.0;89.0;2.8;0.2;2.6
53;52 Retail trade (including repairs);2003 March;107.0;109.0;98.0;-3.0;0.6;-3.5
54;52 Retail trade (including repairs);2003 1st quarter;101.0;107.0;94.0;1.0;0.3;0.7
55;52 Retail trade (including repairs);2003 April;109.0;109.0;100.0;0.6;0.5;0.1
56;52 Retail trade (including repairs);2003 May;115.0;109.0;106.0;-0.6;0.7;-1.3
57;52 Retail trade (including repairs);2003 June;105.0;108.0;98.0;-5.1;0.2;-5.3
58;52 Retail trade (including repairs);2003 2nd quarter;110.0;109.0;101.0;-1.7;0.5;-2.1
59;52 Retail trade (including repairs);2003 July;107.0;106.0;100.0;-1.8;0.4;-2.1
60;52 Retail trade (including repairs);2003 August;103.0;107.0;97.0;-6.1;0.4;-6.5
61;52 Retail trade (including repairs);2003 September;105.0;109.0;96.0;-2.3;0.6;-2.9
62;52 Retail trade (including repairs);2003 3rd quarter;105.0;107.0;98.0;-3.4;0.5;-3.8
63;52 Retail trade (including repairs);2003 October;114.0;109.0;105.0;-1.1;0.4;-1.5
64;52 Retail trade (including repairs);2003 November;106.0;108.0;98.0;-7.3;0.2;-7.4
65;52 Retail trade (including repairs);2003 December;122.0;107.0;115.0;-2.8;-0.4;-2.5
66;52 Retail trade (including repairs);2003 4th quarter;114.0;108.0;106.0;-3.7;0.0;-3.8
67;52 Retail trade (including repairs);2003;107.0;108.0;100.0;-2.0;0.3;-2.3
68;52 Retail trade (including repairs);2004 January;100.0;105.0;96.0;-1.4;-1.0;-0.4
69;52 Retail trade (including repairs);2004 February;91.0;106.0;86.0;-4.4;-1.1;-3.4
70;52 Retail trade (including repairs);2004 March;104.0;108.0;96.0;-2.8;-1.5;-1.3
71;52 Retail trade (including repairs);2004 1st quarter;98.0;106.0;93.0;-2.8;-1.2;-1.7
72;52 Retail trade (including repairs);2004 April;109.0;108.0;101.0;-0.5;-1.3;0.9
73;52 Retail trade (including repairs);2004 May;108.0;108.0;100.0;-6.3;-1.5;-4.9
74;52 Retail trade (including repairs);2004 June;107.0;106.0;101.0;1.9;-1.5;3.5
75;52 Retail trade (including repairs);2004 2nd quarter;108.0;107.0;101.0;-1.8;-1.5;-0.3
76;52 Retail trade (including repairs);2004 July;108.0;104.0;104.0;1.6;-1.8;3.5
77;52 Retail trade (including repairs);2004 August;98.0;105.0;93.0;-5.0;-1.7;-3.4
78;52 Retail trade (including repairs);2004 September;104.0;107.0;97.0;-0.9;-2.1;1.3
79;52 Retail trade (including repairs);2004 3rd quarter;103.0;105.0;98.0;-1.4;-1.9;0.5
80;52 Retail trade (including repairs);2004 October;107.0;107.0;100.0;-5.9;-1.6;-4.4
81;52 Retail trade (including repairs);2004 November;103.0;107.0;96.0;-2.7;-1.4;-1.3
82;52 Retail trade (including repairs);2004 December;123.0;105.0;117.0;0.9;-1.4;2.4
83;52 Retail trade (including repairs);2004 4th quarter;111.0;106.0;105.0;-2.5;-1.5;-1.0
84;52 Retail trade (including repairs);2004;105.0;106.0;99.0;-2.1;-1.5;-0.6
85;52 Retail trade (including repairs);2005 January;92.0;104.0;89.0;-8.2;-1.4;-6.9
86;52 Retail trade (including repairs);2005 February;88.0;105.0;84.0;-3.2;-0.9;-2.2
87;52 Retail trade (including repairs);2005 March;105.0;107.0;98.0;1.2;-0.8;2.0
88;52 Retail trade (including repairs);2005 1st quarter;95.0;105.0;90.0;-3.3;-1.0;-2.3
89;52 Retail trade (including repairs);2005 April;105.0;107.0;98.0;-3.5;-1.2;-2.3
90;52 Retail trade (including repairs);2005 May;103.0;107.0;96.0;-4.9;-1.0;-4.0
91;52 Retail trade (including repairs);2005 June;109.0;105.0;103.0;1.1;-1.0;2.2
92;52 Retail trade (including repairs);2005 2nd quarter;105.0;106.0;99.0;-2.4;-1.1;-1.4
93;52 Retail trade (including repairs);2005 July;105.0;103.0;102.0;-3.1;-1.1;-2.1
94;52 Retail trade (including repairs);2005 August;101.0;104.0;97.0;3.2;-1.0;4.2
95;52 Retail trade (including repairs);2005 September;106.0;106.0;100.0;2.4;-1.1;3.5
96;52 Retail trade (including repairs);2005 3rd quarter;104.0;104.0;100.0;0.7;-1.1;1.8
97;52 Retail trade (including repairs);2005 October;108.0;106.0;102.0;0.5;-0.8;1.3
98;52 Retail trade (including repairs);2005 November;108.0;106.0;101.0;4.8;-0.5;5.3
99;52 Retail trade (including repairs);2005 December;128.0;105.0;122.0;3.7;-0.1;3.9
100;52 Retail trade (including repairs);2005 4th quarter;115.0;106.0;108.0;3.0;-0.5;3.5
101;52 Retail trade (including repairs);2005;105.0;105.0;99.0;-0.4;-0.9;0.5
102;52 Retail trade (including repairs);2006 January;97.0;104.0;93.0;5.2;0.1;5.1
103;52 Retail trade (including repairs);2006 February;92.0;105.0;88.0;4.4;-0.1;4.5
104;52 Retail trade (including repairs);2006 March;110.0;107.0;103.0;4.9;-0.1;5.1
105;52 Retail trade (including repairs);2006 1st quarter;100.0;105.0;95.0;4.8;-0.1;4.9
106;52 Retail trade (including repairs);2006 April;110.0;107.0;102.0;4.4;0.4;4.0
107;52 Retail trade (including repairs);2006 May;115.0;107.0;108.0;12.2;0.3;11.8
108;52 Retail trade (including repairs);2006 June;116.0;106.0;109.0;6.5;0.8;5.6
109;52 Retail trade (including repairs);2006 2nd quarter;114.0;107.0;106.0;7.7;0.5;7.1
110;52 Retail trade (including repairs);2006 July;107.0;104.0;103.0;1.9;0.8;1.1
111;52 Retail trade (including repairs);2006 August;111.0;106.0;105.0;9.6;1.7;7.8
112;52 Retail trade (including repairs);2006 September;111.0;108.0;103.0;4.7;1.7;3.0
113;52 Retail trade (including repairs);2006 3rd quarter;110.0;106.0;104.0;5.4;1.4;3.9
114;52 Retail trade (including repairs);2006 October;110.0;107.0;103.0;2.2;1.1;1.0
115;52 Retail trade (including repairs);2006 November;114.0;107.0;106.0;5.5;1.2;4.2
116;52 Retail trade (including repairs);2006 December;130.0;106.0;123.0;1.8;1.4;0.5
117;52 Retail trade (including repairs);2006 4th quarter;118.0;107.0;110.0;3.1;1.2;1.8
118;52 Retail trade (including repairs);2006;110.0;106.0;104.0;5.2;0.8;4.4
119;52 Retail trade (including repairs);2007 January;101.0;105.0;96.0;4.2;1.1;3.1
120;52 Retail trade (including repairs);2007 February;96.0;106.0;91.0;4.8;0.9;3.8
121;52 Retail trade (including repairs);2007 March;118.0;108.0;109.0;7.2;1.7;5.4
122;52 Retail trade (including repairs);2007 1st quarter;105.0;106.0;99.0;5.5;1.3;4.2
123;52 Retail trade (including repairs);2007 April;114.0;109.0;104.0;3.8;2.1;1.7
124;52 Retail trade (including repairs);2007 May;118.0;109.0;109.0;2.6;1.6;0.9
125;52 Retail trade (including repairs);2007 June;122.0;107.0;113.0;5.2;1.3;3.8
126;52 Retail trade (including repairs);2007 2nd quarter;118.0;108.0;109.0;3.9;1.7;2.2
127;52 Retail trade (including repairs);2007 July;111.0;106.0;105.0;4.1;1.9;2.2
128;52 Retail trade (including repairs);2007 August;114.0;106.0;107.0;2.5;0.7;1.8
129;52 Retail trade (including repairs);2007 September;113.0;108.0;104.0;1.5;0.4;1.1
130;52 Retail trade (including repairs);2007 3rd quarter;113.0;107.0;105.0;2.7;1.0;1.7
131;52 Retail trade (including repairs);2007 October;117.0;109.0;108.0;6.5;1.1;5.3
132;52 Retail trade (including repairs);2007 November;118.0;109.0;109.0;4.1;1.1;2.9
133;52 Retail trade (including repairs);2007 December;134.0;108.0;125.0;3.0;1.2;1.8
134;52 Retail trade (including repairs);2007 4th quarter;123.0;108.0;114.0;4.4;1.2;3.2
135;52 Retail trade (including repairs);2007;115.0;107.0;107.0;4.1;1.3;2.8
136;52 Retail trade (including repairs);2008 January;106.0;106.0;99.0;4.7;1.6;3.1
137;52 Retail trade (including repairs);2008 February;106.0;108.0;98.0;9.9;2.2;7.5
138;52 Retail trade (including repairs);2008 March;114.0;111.0;103.0;-3.1;2.3;-5.3
139;52 Retail trade (including repairs);2008 1st quarter;109.0;108.0;100.0;3.4;2.0;1.3
140;52 Retail trade (including repairs);2008 April;118.0;111.0;106.0;3.6;1.9;1.7
141;52 Retail trade (including repairs);2008 May;128.0;111.0;114.0;7.8;2.5;5.2
142;52 Retail trade (including repairs);2008 June;117.0;110.0;106.0;-3.8;2.5;-6.1
143;52 Retail trade (including repairs);2008 2nd quarter;121.0;111.0;109.0;2.5;2.3;0.2
144;52 Retail trade (including repairs);2008 July;117.0;108.0;109.0;5.3;2.1;3.1
145;52 Retail trade (including repairs);2008 August;115.0;109.0;106.0;1.3;2.5;-1.1
146;52 Retail trade (including repairs);2008 September;115.0;111.0;104.0;1.7;2.6;-0.9
147;52 Retail trade (including repairs);2008 3rd quarter;116.0;109.0;106.0;2.8;2.4;0.4
148;52 Retail trade (including repairs);2008 October;123.0;111.0;111.0;5.2;2.6;2.6
149;52 Retail trade (including repairs);2008 November;116.0;112.0;104.0;-1.5;2.6;-4.0
150;52 Retail trade (including repairs);2008 December;138.0;110.0;125.0;2.5;2.6;-0.1
151;52 Retail trade (including repairs);2008 4th quarter;126.0;111.0;113.0;2.1;2.6;-0.5
152;52 Retail trade (including repairs);2008;118.0;110.0;107.0;2.6;2.3;0.3
153;5210a Retail trade (excl. pharmacies);2000 January;86.0;98.0;88.0;;;
154;5210a Retail trade (excl. pharmacies);2000 February;86.0;99.0;87.0;;;
155;5210a Retail trade (excl. pharmacies);2000 March;98.0;100.0;98.0;;;
156;5210a Retail trade (excl. pharmacies);2000 1st quarter;90.0;99.0;91.0;;;
157;5210a Retail trade (excl. pharmacies);2000 April;99.0;100.0;98.0;;;
158;5210a Retail trade (excl. pharmacies);2000 May;104.0;101.0;103.0;;;
159;5210a Retail trade (excl. pharmacies);2000 June;102.0;100.0;102.0;;;
160;5210a Retail trade (excl. pharmacies);2000 2nd quarter;102.0;100.0;101.0;;;
161;5210a Retail trade (excl. pharmacies);2000 July;99.0;98.0;101.0;;;
162;5210a Retail trade (excl. pharmacies);2000 August;97.0;99.0;98.0;;;
163;5210a Retail trade (excl. pharmacies);2000 September;103.0;101.0;101.0;;;
164;5210a Retail trade (excl. pharmacies);2000 3rd quarter;99.0;99.0;100.0;;;
165;5210a Retail trade (excl. pharmacies);2000 October;100.0;102.0;99.0;;;
166;5210a Retail trade (excl. pharmacies);2000 November;105.0;102.0;103.0;;;
167;5210a Retail trade (excl. pharmacies);2000 December;122.0;101.0;120.0;;;
168;5210a Retail trade (excl. pharmacies);2000 4th quarter;109.0;102.0;107.0;;;
169;5210a Retail trade (excl. pharmacies);2000;100.0;100.0;100.0;;;
170;5210a Retail trade (excl. pharmacies);2001 January;93.0;101.0;92.0;8.4;2.7;
171;5210a Retail trade (excl. pharmacies);2001 February;89.0;102.0;87.0;3.7;3.6;
172;5210a Retail trade (excl. pharmacies);2001 March;107.0;105.0;102.0;8.6;4.4;
173;5210a Retail trade (excl. pharmacies);2001 1st quarter;96.0;102.0;94.0;7.0;3.6;
174;5210a Retail trade (excl. pharmacies);2001 April;102.0;105.0;97.0;3.2;4.7;
175;5210a Retail trade (excl. pharmacies);2001 May;113.0;105.0;107.0;8.7;4.8;
176;5210a Retail trade (excl. pharmacies);2001 June;110.0;105.0;105.0;7.9;4.8;
177;5210a Retail trade (excl. pharmacies);2001 2nd quarter;108.0;105.0;103.0;6.7;4.8;
178;5210a Retail trade (excl. pharmacies);2001 July;102.0;103.0;99.0;3.6;5.0;
179;5210a Retail trade (excl. pharmacies);2001 August;104.0;104.0;101.0;7.6;4.8;
180;5210a Retail trade (excl. pharmacies);2001 September;107.0;106.0;100.0;4.0;5.1;
181;5210a Retail trade (excl. pharmacies);2001 3rd quarter;104.0;104.0;100.0;5.1;5.0;
182;5210a Retail trade (excl. pharmacies);2001 October;110.0;107.0;103.0;9.0;4.8;
183;5210a Retail trade (excl. pharmacies);2001 November;113.0;107.0;106.0;7.4;4.5;
184;5210a Retail trade (excl. pharmacies);2001 December;125.0;106.0;118.0;3.2;4.9;
185;5210a Retail trade (excl. pharmacies);2001 4th quarter;116.0;106.0;109.0;6.3;4.7;
