ID;Geslacht;Leeftijd;Geboortejaar;JaarOverlijden;Overledenen_1;SaldoBuitenlandseMigratie_2;SaldoAdministratieveCorrecties_3
0;Jongens;Totaal jonger dan 2 jaar;Totaal per leeftijd;1995;654.0;607.0;28.0
1;Jongens;Totaal jonger dan 2 jaar;Totaal per leeftijd;1996;672.0;646.0;-57.0
2;Jongens;Totaal jonger dan 2 jaar;Totaal per leeftijd;1997;592.0;725.0;-72.0
3;Jongens;Totaal jonger dan 2 jaar;Totaal per leeftijd;1998;660.0;1060.0;-46.0
4;Jongens;Totaal jonger dan 2 jaar;Totaal per leeftijd;1999;609.0;1667.0;-54.0
5;Jongens;Totaal jonger dan 2 jaar;Totaal per leeftijd;2000;634.0;1600.0;-74.0
6;Jongens;Totaal jonger dan 2 jaar;Jaar overlijden minus leeftijd;1995;548.0;365.0;88.0
7;Jongens;Totaal jonger dan 2 jaar;Jaar overlijden minus leeftijd;1996;564.0;538.0;-29.0
8;Jongens;Totaal jonger dan 2 jaar;Jaar overlijden minus leeftijd;1997;503.0;500.0;-22.0
9;Jongens;Totaal jonger dan 2 jaar;Jaar overlijden minus leeftijd;1998;578.0;673.0;1.0
10;Jongens;Totaal jonger dan 2 jaar;Jaar overlijden minus leeftijd;1999;537.0;1017.0;21.0
11;Jongens;Totaal jonger dan 2 jaar;Jaar overlijden minus leeftijd;2000;551.0;978.0;19.0
12;Jongens;Totaal jonger dan 2 jaar;Jaar overlijden minus leeftijd - 1;1995;106.0;242.0;-60.0
13;Jongens;Totaal jonger dan 2 jaar;Jaar overlijden minus leeftijd - 1;1996;108.0;108.0;-28.0
14;Jongens;Totaal jonger dan 2 jaar;Jaar overlijden minus leeftijd - 1;1997;89.0;225.0;-50.0
15;Jongens;Totaal jonger dan 2 jaar;Jaar overlijden minus leeftijd - 1;1998;82.0;387.0;-47.0
16;Jongens;Totaal jonger dan 2 jaar;Jaar overlijden minus leeftijd - 1;1999;72.0;650.0;-75.0
17;Jongens;Totaal jonger dan 2 jaar;Jaar overlijden minus leeftijd - 1;2000;83.0;622.0;-93.0
18;Jongens;0 dagen;Totaal per leeftijd;1995;176.0;0.0;1.0
19;Jongens;0 dagen;Totaal per leeftijd;1996;205.0;1.0;2.0
20;Jongens;0 dagen;Totaal per leeftijd;1997;155.0;-2.0;0.0
21;Jongens;0 dagen;Totaal per leeftijd;1998;194.0;1.0;0.0
22;Jongens;0 dagen;Totaal per leeftijd;1999;183.0;40.0;0.0
23;Jongens;0 dagen;Totaal per leeftijd;2000;173.0;248.0;-1.0
24;Jongens;0 dagen;Jaar overlijden minus leeftijd;1995;176.0;0.0;1.0
25;Jongens;0 dagen;Jaar overlijden minus leeftijd;1996;205.0;1.0;2.0
26;Jongens;0 dagen;Jaar overlijden minus leeftijd;1997;155.0;-2.0;0.0
27;Jongens;0 dagen;Jaar overlijden minus leeftijd;1998;194.0;1.0;0.0
