ID;Perioden;Ruilvoet_1;Invoerprijs_2;Uitvoerprijs_3;Ruilvoet_4;Invoerprijs_5;Uitvoerprijs_6
0;1995 januari;93.2;93.0;86.7;;;
1;1995 februari;94.1;92.8;87.4;;;
2;1995 maart;96.1;93.0;89.4;;;
3;1995 1e kwartaal;94.5;92.9;87.9;;;
4;1995 april;94.2;92.9;87.5;;;
5;1995 mei;96.3;91.2;87.8;;;
6;1995 juni;96.9;90.3;87.5;;;
7;1995 2e kwartaal;95.8;91.4;87.6;;;
8;1995 juli;97.1;91.0;88.4;;;
9;1995 augustus;98.0;91.8;89.9;;;
10;1995 september;96.4;92.7;89.3;;;
11;1995 3e kwartaal;97.2;91.8;89.2;;;
12;1995 oktober;96.1;93.2;89.6;;;
13;1995 november;94.3;94.7;89.2;;;
14;1995 december;92.8;97.1;90.1;;;
15;1995 4e kwartaal;94.4;94.9;89.6;;;
16;1995;95.5;92.8;88.6;;;
17;1996 januari;93.5;91.3;85.3;0.3;-1.8;-1.6
18;1996 februari;94.7;90.9;86.1;0.6;-2.1;-1.5
19;1996 maart;96.0;93.0;89.2;-0.1;0.0;-0.2
20;1996 1e kwartaal;94.7;91.7;86.9;0.2;-1.3;-1.1
21;1996 april;94.3;93.7;88.4;0.1;0.9;1.0
22;1996 mei;97.4;91.2;88.8;1.1;0.0;1.1
23;1996 juni;97.5;90.3;88.0;0.6;0.0;0.6
24;1996 2e kwartaal;96.4;91.7;88.4;0.6;0.3;0.9
25;1996 juli;97.4;91.5;89.2;0.3;0.6;0.9
26;1996 augustus;98.3;92.0;90.5;0.4;0.2;0.6
27;1996 september;97.3;93.6;91.1;0.9;1.0;1.9
28;1996 3e kwartaal;97.7;92.4;90.2;0.5;0.6;1.1
29;1996 oktober;95.8;95.8;91.8;-0.4;2.8;2.4
30;1996 november;94.2;96.6;91.0;-0.1;2.0;1.9
31;1996 december;92.5;99.4;92.0;-0.3;2.4;2.1
32;1996 4e kwartaal;94.2;97.2;91.6;-0.3;2.4;2.1
33;1996;95.7;93.3;89.3;0.2;0.5;0.8
34;1997 januari;93.5;93.8;87.7;0.0;2.8;2.8
35;1997 februari;94.3;93.4;88.0;-0.4;2.7;2.3
36;1997 maart;96.7;93.9;90.8;0.8;1.0;1.8
37;1997 1e kwartaal;94.8;93.7;88.9;0.1;2.1;2.2
38;1997 april;95.7;93.8;89.8;1.5;0.1;1.6
39;1997 mei;98.3;92.2;90.7;1.0;1.2;2.1
40;1997 juni;98.2;91.7;90.0;0.7;1.5;2.3
41;1997 2e kwartaal;97.4;92.6;90.2;1.0;0.9;2.0
42;1997 juli;97.6;94.3;92.0;0.2;3.1;3.2
43;1997 augustus;99.1;95.3;94.4;0.8;3.6;4.4
44;1997 september;98.2;95.2;93.6;1.0;1.8;2.8
45;1997 3e kwartaal;98.3;95.0;93.3;0.6;2.8;3.4
46;1997 oktober;97.9;96.8;94.8;2.2;1.0;3.3
47;1997 november;96.7;97.4;94.2;2.7;0.8;3.6
48;1997 december;95.6;98.6;94.2;3.3;-0.8;2.5
49;1997 4e kwartaal;96.7;97.6;94.4;2.7;0.4;3.1
50;1997;96.8;94.7;91.7;1.2;1.5;2.7
51;1998 januari;95.6;93.1;88.9;2.2;-0.8;1.4
52;1998 februari;96.5;92.1;88.8;2.3;-1.3;0.9
53;1998 maart;98.4;92.9;91.3;1.7;-1.1;0.6
54;1998 1e kwartaal;96.8;92.7;89.8;2.1;-1.1;1.0
55;1998 april;96.8;92.8;89.8;1.2;-1.1;0.0
56;1998 mei;98.8;90.4;89.3;0.5;-2.0;-1.5
57;1998 juni;99.7;88.8;88.5;1.5;-3.1;-1.6
58;1998 2e kwartaal;98.4;90.6;89.2;1.1;-2.1;-1.0
59;1998 juli;100.4;89.7;90.1;2.9;-4.9;-2.1
60;1998 augustus;100.8;89.7;90.4;1.7;-5.9;-4.3
61;1998 september;99.5;89.9;89.4;1.3;-5.6;-4.4
62;1998 3e kwartaal;100.2;89.8;89.9;1.9;-5.5;-3.6
63;1998 oktober;98.5;90.7;89.3;0.6;-6.3;-5.8
64;1998 november;97.2;91.3;88.7;0.5;-6.3;-5.8
65;1998 december;96.2;92.0;88.5;0.7;-6.7;-6.0
66;1998 4e kwartaal;97.3;91.3;88.9;0.6;-6.4;-5.9
67;1998;98.2;91.1;89.4;1.4;-3.8;-2.5
68;1999 januari;96.9;85.2;82.6;1.4;-8.4;-7.1
69;1999 februari;97.2;85.1;82.7;0.7;-7.6;-6.9
70;1999 maart;98.3;87.6;86.1;0.0;-5.7;-5.7
71;1999 1e kwartaal;97.5;86.1;84.0;0.7;-7.1;-6.5
72;1999 april;97.0;88.5;85.8;0.2;-4.6;-4.5
73;1999 mei;99.4;86.8;86.2;0.5;-4.0;-3.5
74;1999 juni;99.6;87.1;86.8;-0.1;-1.9;-2.0
75;1999 2e kwartaal;98.6;87.5;86.3;0.2;-3.5;-3.3
76;1999 juli;98.8;88.9;87.8;-1.6;-0.9;-2.5
77;1999 augustus;99.9;89.7;89.6;-0.8;0.0;-0.8
78;1999 september;98.9;91.4;90.4;-0.6;1.7;1.1
79;1999 3e kwartaal;99.2;90.1;89.3;-1.0;0.3;-0.7
80;1999 oktober;97.9;91.0;89.1;-0.6;0.4;-0.2
81;1999 november;96.0;94.1;90.4;-1.2;3.1;1.9
82;1999 december;95.2;97.0;92.4;-1.0;5.4;4.3
83;1999 4e kwartaal;96.4;94.1;90.6;-0.9;3.0;2.0
84;1999;97.9;89.5;87.6;-0.3;-1.8;-2.1
85;2000 januari;95.0;91.3;86.7;-2.0;7.1;4.9
86;2000 februari;94.7;92.9;88.0;-2.5;9.1;6.3
87;2000 maart;95.5;94.2;90.0;-2.9;7.6;4.5
88;2000 1e kwartaal;95.1;92.9;88.3;-2.5;7.9;5.2
89;2000 april;97.4;92.8;90.3;0.4;4.8;5.2
90;2000 mei;98.4;93.5;91.9;-1.0;7.7;6.6
91;2000 juni;98.7;93.7;92.4;-1.0;7.5;6.5
92;2000 2e kwartaal;98.1;93.3;91.6;-0.5;6.7;6.1
93;2000 juli;99.3;93.6;93.0;0.5;5.3;5.8
94;2000 augustus;100.0;95.3;95.3;0.1;6.2;6.4
95;2000 september;99.3;98.5;97.8;0.4;7.7;8.2
96;2000 3e kwartaal;99.6;95.9;95.4;0.3;6.5;6.8
97;2000 oktober;97.2;99.4;96.6;-0.7;9.2;8.5
98;2000 november;95.3;101.5;96.8;-0.8;7.9;7.1
99;2000 december;98.8;98.0;96.9;3.8;1.0;4.9
100;2000 4e kwartaal;97.1;99.7;96.8;0.8;6.0;6.8
101;2000;97.5;95.5;93.1;-0.4;6.7;6.3
102;2001 januari;99.0;92.7;91.8;4.3;1.6;5.9
103;2001 februari;98.5;93.9;92.5;4.0;1.1;5.2
104;2001 maart;99.2;94.0;93.2;3.8;-0.3;3.6
105;2001 1e kwartaal;98.9;93.5;92.5;4.0;0.7;4.8
106;2001 april;99.5;93.6;93.2;2.2;0.9;3.1
107;2001 mei;100.1;93.8;93.9;1.7;0.4;2.2
108;2001 juni;99.5;94.2;93.8;0.9;0.6;1.5
109;2001 2e kwartaal;99.7;93.9;93.6;1.6;0.6;2.2
110;2001 juli;99.2;94.0;93.3;-0.1;0.5;0.4
111;2001 augustus;99.6;93.7;93.4;-0.4;-1.7;-2.1
112;2001 september;100.5;94.4;94.8;1.1;-4.2;-3.1
113;2001 3e kwartaal;99.8;94.0;93.8;0.2;-1.9;-1.7
114;2001 oktober;98.0;94.3;92.4;0.8;-5.2;-4.4
115;2001 november;97.7;94.8;92.6;2.5;-6.7;-4.3
116;2001 december;98.9;94.1;93.0;0.1;-4.1;-4.0
117;2001 4e kwartaal;98.2;94.4;92.7;1.1;-5.3;-4.2
118;2001;99.2;94.0;93.2;1.7;-1.6;0.1
119;2002 januari;99.8;88.1;87.9;0.8;-5.0;-4.2
120;2002 februari;99.0;89.0;88.0;0.5;-5.3;-4.8
121;2002 maart;98.4;90.4;89.0;-0.7;-3.8;-4.5
122;2002 1e kwartaal;99.1;89.2;88.3;0.2;-4.6;-4.5
123;2002 april;100.4;90.1;90.4;0.8;-3.8;-3.0
124;2002 mei;102.3;88.7;90.7;2.2;-5.5;-3.5
125;2002 juni;102.3;88.0;90.0;2.8;-6.6;-4.0
126;2002 2e kwartaal;101.6;88.9;90.4;1.9;-5.3;-3.5
127;2002 juli;100.9;88.8;89.7;1.7;-5.5;-3.9
128;2002 augustus;101.9;89.6;91.2;2.3;-4.4;-2.3
129;2002 september;102.0;90.8;92.6;1.6;-3.8;-2.3
130;2002 3e kwartaal;101.6;89.8;91.2;1.9;-4.6;-2.8
131;2002 oktober;100.1;91.5;91.6;2.2;-2.9;-0.8
132;2002 november;99.2;91.6;90.9;1.5;-3.3;-1.9
133;2002 december;100.6;91.6;92.1;1.7;-2.6;-1.0
134;2002 4e kwartaal;100.0;91.6;91.5;1.8;-3.0;-1.2
135;2002;100.6;89.9;90.4;1.4;-4.4;-3.0
136;2003 januari;100.2;88.2;88.3;0.3;0.1;0.5
137;2003 februari;100.3;88.9;89.1;1.3;-0.1;1.3
