ID;Achtergrondkenmerken;Perioden;TotaalWerknemers_1;Levensloopregeling_2;GeenLevensloopregeling_3;Spaarloonregeling_4;GeenSpaarloonregeling_5
0;1;2006;6135.0;230.0;5905.0;2467.0;3668.0
1;1;2007;6305.0;259.0;6045.0;2349.0;3956.0
2;1;2008;6463.0;270.0;6192.0;2192.0;4271.0
3;1;2009;6430.0;237.0;6193.0;2135.0;4296.0
4;1;2010;6342.0;239.0;6103.0;2113.0;4229.0
5;1;2011;6327.0;247.0;6080.0;2043.0;4283.0
6;Geslacht: mannen;2006;3438.0;133.0;3305.0;1479.0;1959.0
7;Geslacht: mannen;2007;3487.0;150.0;3336.0;1398.0;2088.0
8;Geslacht: mannen;2008;3560.0;156.0;3404.0;1307.0;2253.0
9;Geslacht: mannen;2009;3489.0;139.0;3350.0;1259.0;2229.0
10;Geslacht: mannen;2010;3409.0;140.0;3270.0;1234.0;2176.0
11;Geslacht: mannen;2011;3389.0;145.0;3244.0;1175.0;2214.0
12;Geslacht: vrouwen;2006;2698.0;98.0;2600.0;989.0;1709.0
13;Geslacht: vrouwen;2007;2818.0;109.0;2709.0;951.0;1867.0
14;Geslacht: vrouwen;2008;2903.0;114.0;2788.0;885.0;2018.0
15;Geslacht: vrouwen;2009;2942.0;98.0;2843.0;875.0;2066.0
16;Geslacht: vrouwen;2010;2933.0;99.0;2833.0;880.0;2053.0
17;Geslacht: vrouwen;2011;2937.0;102.0;2836.0;868.0;2069.0
18;Leeftijd: 15 tot 20 jaar;2006;190.0;;190.0;8.0;182.0
19;Leeftijd: 15 tot 20 jaar;2007;212.0;;212.0;6.0;207.0
20;Leeftijd: 15 tot 20 jaar;2008;227.0;;227.0;5.0;222.0
21;Leeftijd: 15 tot 20 jaar;2009;209.0;;209.0;6.0;203.0
22;Leeftijd: 15 tot 20 jaar;2010;188.0;;188.0;4.0;184.0
23;Leeftijd: 15 tot 20 jaar;2011;186.0;;186.0;4.0;182.0
24;Leeftijd: 20 tot 25 jaar;2006;542.0;5.0;537.0;67.0;474.0
25;Leeftijd: 20 tot 25 jaar;2007;560.0;3.0;557.0;62.0;499.0
26;Leeftijd: 20 tot 25 jaar;2008;573.0;2.0;571.0;53.0;519.0
27;Leeftijd: 20 tot 25 jaar;2009;560.0;2.0;559.0;56.0;505.0
28;Leeftijd: 20 tot 25 jaar;2010;531.0;;531.0;49.0;482.0
29;Leeftijd: 20 tot 25 jaar;2011;545.0;;543.0;42.0;503.0
