ID;Leeftijd;Geslacht;Perioden;WWUitkeringen_1;WWUitkeringenDuur0Tot6Maanden_2;WWUitkeringenDuur6Tot12Maanden_3;WWUitkeringenDuur12MaandenOfLanger_4
0;0;Mannen en vrouwen;1998;287040;90320;38010;158720
1;0;Mannen en vrouwen;1999;222990;64690;29040;129260
2;0;Mannen en vrouwen;2000;189350;58180;28490;102670
3;0;Mannen en vrouwen;2001;166010;53120;26570;86330
4;0;Mannen en vrouwen;2002;204000;78940;39940;85120
5;0;Mannen en vrouwen;2003;286630;107010;62350;117270
6;0;Mannen en vrouwen;2004;323400;105180;65170;153040
7;0;Mannen en vrouwen;2005;305140;90150;58770;156220
8;0;Mannen en vrouwen;2006;249140;69520;44760;134860
9;0;Mannen en vrouwen;2007;191970;65590;31950;94440
10;0;Mannen en vrouwen;2008;170830;71910;27940;70970
11;0;Mannen en vrouwen;2009;269860;144780;65750;59330
12;0;Mannen en vrouwen;2010;263740;128500;59190;76050
13;0;Mannen en vrouwen;2011;269900;135280;58130;76490
14;0;Mannen en vrouwen;2012;340170;179460;76690;84020
15;0;Mannen en vrouwen;2013;437730;225380;100250;112100
16;0;Mannen en vrouwen;2014;440830;212600;93620;134610
17;0;Mannen en vrouwen;2015;445880;258770;74110;113000
18;0;Mannen;1998;161790;54920;18330;88540
19;0;Mannen;1999;123770;36690;14240;72840
20;0;Mannen;2000;107500;32080;14390;61020
21;0;Mannen;2001;94060;30000;13800;50260
22;0;Mannen;2002;119950;46730;22910;50310
23;0;Mannen;2003;168420;61300;36330;70800
24;0;Mannen;2004;184590;57390;35420;91790
25;0;Mannen;2005;167530;46570;29820;91140
26;0;Mannen;2006;134050;35040;21640;77380
27;0;Mannen;2007;100550;32870;15180;52500
28;0;Mannen;2008;91320;39090;13800;38430
29;0;Mannen;2009;157110;85590;38700;32810
30;0;Mannen;2010;151110;73910;33060;44130
31;0;Mannen;2011;149410;75380;30220;43810
32;0;Mannen;2012;189600;101790;41250;46570
33;0;Mannen;2013;238960;123930;53030;62000
34;0;Mannen;2014;233690;114810;46640;72250
35;0;Mannen;2015;229040;137210;34260;57570
36;0;Vrouwen;1998;125140;35330;19670;70140
37;0;Vrouwen;1999;99130;27940;14790;56400
38;0;Vrouwen;2000;81840;26100;14100;41640
39;0;Vrouwen;2001;71940;23120;12760;36060
40;0;Vrouwen;2002;84040;32210;17030;34800
41;0;Vrouwen;2003;118190;45710;26020;46460
42;0;Vrouwen;2004;138790;47790;29750;61250
43;0;Vrouwen;2005;137600;43580;28950;65080
44;0;Vrouwen;2006;115060;34470;23120;57480
45;0;Vrouwen;2007;91030;32390;16720;41920
46;0;Vrouwen;2008;79500;32810;14150;32550
47;0;Vrouwen;2009;112750;59180;27050;26520
48;0;Vrouwen;2010;112590;54540;26130;31920
49;0;Vrouwen;2011;120470;59880;27910;32680
50;0;Vrouwen;2012;150570;77670;35440;37460
51;0;Vrouwen;2013;198770;101450;47220;50110
52;0;Vrouwen;2014;207140;97790;46980;62360
53;0;Vrouwen;2015;216830;121560;39850;55430
54;1;Mannen en vrouwen;1998;16870;11980;2360;2520
55;1;Mannen en vrouwen;1999;10030;6870;1570;1590
56;1;Mannen en vrouwen;2000;7550;5340;1220;980
57;1;Mannen en vrouwen;2001;6820;5240;1030;550
58;1;Mannen en vrouwen;2002;10730;8240;1710;780
59;1;Mannen en vrouwen;2003;18310;12710;3250;2350
60;1;Mannen en vrouwen;2004;17770;12430;2830;2500
61;1;Mannen en vrouwen;2005;12770;9360;2270;1150
62;1;Mannen en vrouwen;2006;7310;5310;1130;880
