ID;SBI93;Periode;TotaalWateraanvoerMinusAfleveringen_1;Grondwater_2;Oppervlaktewater_3;Leidingwater_4;WaterVanAndereBedrijven_5;TotaalVerbruikVoorKoeling_6;Grondwater_7;Oppervlaktewater_8;Leidingwater_9;WaterVanAndereBedrijven_10
0;C en D Delfstoffenwinning en industrie;1962;2006;436;1447;123.0;;;;;;
1;C en D Delfstoffenwinning en industrie;1967;2726;473;2085;168.0;;;275.0;1896.0;;
2;C en D Delfstoffenwinning en industrie;1972;3411;515;2678;218.0;;2900.0;317.0;2528.0;55.0;
3;C en D Delfstoffenwinning en industrie;1976;3621;433;2987;200.0;;3201.0;252.0;2895.0;54.0;
4;C en D Delfstoffenwinning en industrie;1981;3807;309;3328;171.0;;3431.0;179.0;3205.0;47.0;
5;C en D Delfstoffenwinning en industrie;1986;4309;318;3800;191.0;;3902.0;185.0;3666.0;51.0;
6;C en D Delfstoffenwinning en industrie;1991;3115;253;2640;222.0;;2695.0;134.0;2496.0;65.0;
7;C en D Delfstoffenwinning en industrie;1996;2529;209;2106;214.0;;2104.0;90.0;1966.0;49.0;
8;C en D Delfstoffenwinning en industrie;2001;3307;164;2796;215.0;132.0;3051.0;78.0;2757.0;70.0;147.0
9;40001 Elektriciteitscentrales;1962;3885;7;3878;;;3876.0;6.0;3870.0;;
10;40001 Elektriciteitscentrales;1967;5600;5;5592;3.0;;5588.0;4.0;5884.0;;
11;40001 Elektriciteitscentrales;1972;7936;4;7929;3.0;;7868.0;3.0;7895.0;0.0;
12;40001 Elektriciteitscentrales;1976;8590;4;8584;2.0;;8530.0;2.0;8528.0;0.0;
13;40001 Elektriciteitscentrales;1981;10097;2;10093;2.0;;10077.0;1.0;10076.0;0.0;
14;40001 Elektriciteitscentrales;1986;9203;1;9200;2.0;;9190.0;0.0;9190.0;0.0;
15;40001 Elektriciteitscentrales;1991;8393;2;8387;4.0;;8383.0;1.0;8383.0;0.0;
16;40001 Elektriciteitscentrales;1996;8051;1;8046;3.0;;8023.0;0.0;8023.0;0.0;
17;40001 Elektriciteitscentrales;2001;10586;1;10583;2.0;-1.0;10581.0;0.0;10581.0;0.0;0.0
