ID;Sex;Age;Periods;TotalInflowUnemploymentBenefits_1;InflowTradeAndIndustry_2;OtherInflow_3;TotalOutflowUnemploymentBenefits_4;OutflowDueToResumptionOfWork_5;OtherOutflow_6
0;Total men and women;15 to 65 years;1998 January;54870;51650;3220;40430;23020;17410
1;Total men and women;15 to 65 years;1998 February;43380;40670;2710;39270;26460;12810
2;Total men and women;15 to 65 years;1998 March;32480;30160;2320;44680;30660;14020
3;Total men and women;15 to 65 years;1998 April;32600;29380;3210;56730;39560;17170
4;Total men and women;15 to 65 years;1998 May;25420;22830;2590;40140;25180;14970
5;Total men and women;15 to 65 years;1998 June;25750;23250;2500;36160;21130;15030
6;Total men and women;15 to 65 years;1998 July;29720;26790;2940;36380;19270;17120
7;Total men and women;15 to 65 years;1998 August;28570;26570;2000;31730;19360;12370
8;Total men and women;15 to 65 years;1998 September;24980;22660;2320;32450;20830;11620
9;Total men and women;15 to 65 years;1998 October;30360;27420;2940;37870;22630;15250
10;Total men and women;15 to 65 years;1998 November;36660;34210;2450;29370;16050;13320
11;Total men and women;15 to 65 years;1998 December;38630;36140;2490;27540;13440;14100
12;Total men and women;15 to 65 years;1998 Annual figure;403410;371720;31690;452770;277600;175170
13;Total men and women;15 to 65 years;1999 January;38420;36030;2390;33970;18390;15580
14;Total men and women;15 to 65 years;1999 February;29560;27270;2290;33520;21400;12120
15;Total men and women;15 to 65 years;1999 March;32160;28980;3180;47360;32250;15110
16;Total men and women;15 to 65 years;1999 April;20190;17990;2190;35960;24440;11520
17;Total men and women;15 to 65 years;1999 May;18020;15990;2030;28400;15740;12670
18;Total men and women;15 to 65 years;1999 June;19900;17670;2230;28750;15790;12950
19;Total men and women;15 to 65 years;1999 July;20970;18670;2300;22430;11180;11240
20;Total men and women;15 to 65 years;1999 August;16780;15090;1690;19880;10580;9300
21;Total men and women;15 to 65 years;1999 September;22920;20380;2540;29610;18010;11600
22;Total men and women;15 to 65 years;1999 October;19790;17480;2300;24770;14240;10540
23;Total men and women;15 to 65 years;1999 November;23910;21620;2300;23080;12250;10820
24;Total men and women;15 to 65 years;1999 December;23250;21240;2010;22200;11010;11190
25;Total men and women;15 to 65 years;1999 Annual figure;285860;258400;27450;349910;205270;144640
26;Total men and women;15 to 65 years;2000 January;32720;30100;2620;22880;12620;10260
27;Total men and women;15 to 65 years;2000 February;25440;23120;2330;26900;16760;10140
28;Total men and women;15 to 65 years;2000 March;24400;21640;2760;34090;22750;11340
29;Total men and women;15 to 65 years;2000 April;16920;14650;2260;28420;17770;10640
30;Total men and women;15 to 65 years;2000 May;16370;14310;2060;24350;13970;10380
31;Total men and women;15 to 65 years;2000 June;16530;14030;2500;23530;11950;11580
32;Total men and women;15 to 65 years;2000 July;18650;15760;2890;19810;8940;10880
33;Total men and women;15 to 65 years;2000 August;17680;15530;2150;19370;10300;9070
34;Total men and women;15 to 65 years;2000 September;15560;13550;2000;20750;12340;8410
35;Total men and women;15 to 65 years;2000 October;17640;15160;2480;20780;11370;9420
36;Total men and women;15 to 65 years;2000 November;24500;21360;3150;21590;11500;10090
37;Total men and women;15 to 65 years;2000 December;16650;14890;1760;16140;7820;8320
38;Total men and women;15 to 65 years;2000 Annual figure;243060;214100;28970;278600;158080;120520
39;Total men and women;15 to 65 years;2001 January;22680;20390;2290;18330;9580;8760
40;Total men and women;15 to 65 years;2001 February;20830;18610;2220;20300;11850;8450
41;Total men and women;15 to 65 years;2001 March;24160;20870;3290;31690;18750;12940
42;Total men and women;15 to 65 years;2001 April;17020;14370;2650;24760;15120;9640
43;Total men and women;15 to 65 years;2001 May;17820;15180;2640;22530;12300;10220
44;Total men and women;15 to 65 years;2001 June;15110;12820;2290;17630;8710;8910
45;Total men and women;15 to 65 years;2001 July;15510;12760;2750;18470;8320;10150
46;Total men and women;15 to 65 years;2001 August;15600;13520;2080;17190;8450;8740
47;Total men and women;15 to 65 years;2001 September;15410;13200;2220;19170;10590;8580
48;Total men and women;15 to 65 years;2001 October;17520;15020;2500;19100;10230;8870
49;Total men and women;15 to 65 years;2001 November;23730;20780;2950;21190;10470;10730
50;Total men and women;15 to 65 years;2001 December;15480;13820;1650;16620;6800;9820
51;Total men and women;15 to 65 years;2001 Annual figure;220870;191350;29520;246980;131180;115810
52;Total men and women;15 to 65 years;2002 January;30650;27620;3020;21260;9970;11290
53;Total men and women;15 to 65 years;2002 February;23030;20650;2380;20170;11120;9050
54;Total men and women;15 to 65 years;2002 March;23580;20970;2610;25420;15290;10140
55;Total men and women;15 to 65 years;2002 April;23330;20830;2500;25660;16130;9540
56;Total men and women;15 to 65 years;2002 May;25530;22560;2960;26300;15220;11080
57;Total men and women;15 to 65 years;2002 June;22670;20120;2550;22120;12390;9730
58;Total men and women;15 to 65 years;2002 July;20490;18070;2410;20760;10500;10260
59;Total men and women;15 to 65 years;2002 August;23930;21280;2650;21930;11040;10900
60;Total men and women;15 to 65 years;2002 September;23390;20950;2450;22680;13230;9450
61;Total men and women;15 to 65 years;2002 October;28390;25210;3180;26220;14570;11650
62;Total men and women;15 to 65 years;2002 November;28900;25780;3110;20040;10500;9540
63;Total men and women;15 to 65 years;2002 December;23420;21010;2410;17910;9040;8870
64;Total men and women;15 to 65 years;2002 Annual figure;297280;265060;32230;270470;148990;121490
65;Total men and women;15 to 65 years;2003 January;39620;35410;4210;23290;11730;11570
66;Total men and women;15 to 65 years;2003 February;34250;30580;3670;24320;13850;10470
67;Total men and women;15 to 65 years;2003 March;31800;28220;3580;27890;17130;10760
68;Total men and women;15 to 65 years;2003 April;30400;26740;3670;27760;17110;10650
69;Total men and women;15 to 65 years;2003 May;33960;30090;3870;32120;18460;13670
70;Total men and women;15 to 65 years;2003 June;27640;24420;3230;24250;13130;11120
71;Total men and women;15 to 65 years;2003 July;34810;30460;4350;28810;14530;14280
72;Total men and women;15 to 65 years;2003 August;25580;22680;2900;21400;11420;9980
73;Total men and women;15 to 65 years;2003 September;30090;26900;3180;27390;15900;11480
74;Total men and women;15 to 65 years;2003 October;36120;32300;3830;31230;17640;13590
75;Total men and women;15 to 65 years;2003 November;32340;28120;4220;24600;13120;11480
76;Total men and women;15 to 65 years;2003 December;29950;25650;4300;22450;11430;11020
77;Total men and women;15 to 65 years;2003 Annual figure;386560;341560;45000;315510;175440;140070
78;Total men and women;15 to 65 years;2004 January;38220;33840;4380;26220;13670;12550
79;Total men and women;15 to 65 years;2004 February;35830;31750;4080;29140;16410;12730
80;Total men and women;15 to 65 years;2004 March;33820;29490;4340;32360;19210;13140
81;Total men and women;15 to 65 years;2004 April;35800;31620;4170;37090;23020;14070
82;Total men and women;15 to 65 years;2004 May;25220;21830;3390;28550;16970;11570
83;Total men and women;15 to 65 years;2004 June;28130;24210;3920;26470;15050;11430
84;Total men and women;15 to 65 years;2004 July;32330;28020;4310;37110;18250;18860
85;Total men and women;15 to 65 years;2004 August;23910;20730;3180;26760;13170;13590
86;Total men and women;15 to 65 years;2004 September;27970;24200;3770;30910;16920;13990
87;Total men and women;15 to 65 years;2004 October;35560;31120;4440;37960;20880;17080
88;Total men and women;15 to 65 years;2004 November;32200;28240;3960;29400;15540;13860
89;Total men and women;15 to 65 years;2004 December;36740;32270;4470;29190;14540;14650
90;Total men and women;15 to 65 years;2004 Annual figure;385720;337320;48400;371140;203630;167510
91;Total men and women;15 to 65 years;2005 January;38460;34540;3910;27370;13840;13530
92;Total men and women;15 to 65 years;2005 February;37690;33830;3860;31750;17170;14580
93;Total men and women;15 to 65 years;2005 March;36500;32480;4030;38420;21080;17340
94;Total men and women;15 to 65 years;2005 April;32890;29000;3900;38400;22940;15470
95;Total men and women;15 to 65 years;2005 May;24950;21640;3310;36690;18770;17920
96;Total men and women;15 to 65 years;2005 June;32030;27700;4330;35890;19730;16150
97;Total men and women;15 to 65 years;2005 July;23750;20790;2960;29860;15480;14380
98;Total men and women;15 to 65 years;2005 August;23790;20940;2850;26340;13370;12970
99;Total men and women;15 to 65 years;2005 September;31960;28390;3560;37410;21520;15890
100;Total men and women;15 to 65 years;2005 October;25960;22810;3150;31840;18120;13720
101;Total men and women;15 to 65 years;2005 November;26990;23690;3300;28520;15420;13100
102;Total men and women;15 to 65 years;2005 December;29590;26360;3230;28340;14470;13870
103;Total men and women;15 to 65 years;2005 Annual figure;364560;322170;42390;390820;211910;178920
104;Total men and women;15 to 65 years;2006 January;28420;25610;2820;30150;15100;15050
105;Total men and women;15 to 65 years;2006 February;32470;29060;3420;30080;16960;13120
106;Total men and women;15 to 65 years;2006 March;34170;29810;4360;37760;21080;16680
107;Total men and women;15 to 65 years;2006 April;23610;20230;3370;33960;20900;13050
108;Total men and women;15 to 65 years;2006 May;23450;20270;3180;32230;18830;13400
109;Total men and women;15 to 65 years;2006 June;24410;20990;3420;32960;17390;15580
110;Total men and women;15 to 65 years;2006 July;19530;16900;2630;27190;13280;13910
111;Total men and women;15 to 65 years;2006 August;23990;20920;3070;29660;15200;14460
112;Total men and women;15 to 65 years;2006 September;21480;18770;2720;29120;17060;12060
113;Total men and women;15 to 65 years;2006 October;22500;19550;2950;28890;16410;12480
114;Total men and women;15 to 65 years;2006 November;26860;23090;3770;30760;16320;14440
115;Total men and women;15 to 65 years;2006 December;19920;17290;2630;21690;10860;10830
116;Total men and women;15 to 65 years;2006 Annual figure;300810;262480;38330;364440;199380;165070
117;Total men and women;15 to 65 years;2007 January;26920;23770;3150;25280;12140;13140
118;Total men and women;15 to 65 years;2007 February;25160;21760;3400;28520;15150;13370
119;Total men and women;15 to 65 years;2007 March;26790;22940;3850;36650;19440;17210
120;Total men and women;15 to 65 years;2007 April;18410;15840;2570;29930;16540;13390
121;Total men and women;15 to 65 years;2007 May;19730;16890;2840;28940;15050;13890
122;Total men and women;15 to 65 years;2007 June;16880;14360;2520;22760;11650;11110
123;Total men and women;15 to 65 years;2007 July;17630;15230;2400;21470;10820;10650
124;Total men and women;15 to 65 years;2007 August;20620;18160;2470;24010;12470;11550
125;Total men and women;15 to 65 years;2007 September;17810;15470;2340;24610;14130;10480
126;Total men and women;15 to 65 years;2007 October;20170;17530;2630;23780;12720;11070
127;Total men and women;15 to 65 years;2007 November;25180;22280;2900;26560;13190;13370
128;Total men and women;15 to 65 years;2007 December;18220;16410;1820;18610;8430;10180
129;Total men and women;15 to 65 years;2007 Annual figure;253520;220630;32890;311100;161720;149380
130;Total men and women;15 to 65 years;2008 January;29620;26860;2760;25870;12600;13270
131;Total men and women;15 to 65 years;2008 February;19650;17330;2320;23780;12870;10910
132;Total men and women;15 to 65 years;2008 March;17340;15370;1970;23650;12890;10760
133;Total men and women;15 to 65 years;2008 April;19160;17010;2150;25350;13850;11490
134;Total men and women;15 to 65 years;2008 May;17830;15630;2210;23390;12050;11340
135;Total men and women;15 to 65 years;2008 June;16040;13990;2050;19940;10610;9340
136;Total men and women;15 to 65 years;2008 July;19900;17750;2160;22190;10240;11950
137;Total men and women;15 to 65 years;2008 August;16930;15320;1610;18500;9870;8630
138;Total men and women;15 to 65 years;2008 September;17310;15350;1960;21480;12260;9220
139;Total men and women;15 to 65 years;2008 October;22990;20470;2520;23280;12320;10960
140;Total men and women;15 to 65 years;2008 November;21070;19040;2030;18240;9370;8880
141;Total men and women;15 to 65 years;2008 December;24250;22160;2090;17110;7620;9490
142;Total men and women;15 to 65 years;2008 Annual figure;242080;216290;25800;262780;136530;126240
143;Total men and women;15 to 65 years;2009 January;33990;31510;2480;22100;10400;11700
144;Total men and women;15 to 65 years;2009 February;30960;28510;2450;22710;11030;11680
145;Total men and women;15 to 65 years;2009 March;31720;29400;2320;24900;11690;13200
146;Total men and women;15 to 65 years;2009 April;37360;34730;2630;30090;14390;15700
147;Total men and women;15 to 65 years;2009 May;30010;28190;1820;24380;11560;12810
148;Total men and women;15 to 65 years;2009 June;34650;32800;1850;25160;12270;12880
149;Total men and women;15 to 65 years;2009 July;39570;37380;2190;30050;12940;17110
150;Total men and women;15 to 65 years;2009 August;32910;31270;1650;25570;11980;13600
151;Total men and women;15 to 65 years;2009 September;35720;33760;1960;31160;16350;14810
152;Total men and women;15 to 65 years;2009 October;43000;40300;2700;34260;18400;15860
153;Total men and women;15 to 65 years;2009 November;36720;34530;2190;28510;13840;14670
154;Total men and women;15 to 65 years;2009 December;41020;38690;2330;29730;12130;17600
155;Total men and women;15 to 65 years;2009 Annual figure;427610;401060;26550;328610;156980;171630
156;Total men and women;15 to 65 years;2010 January;47210;44770;2440;33850;15590;18260
157;Total men and women;15 to 25 years;1998 January;9590;8900;690;6420;4180;2240
158;Total men and women;15 to 25 years;1998 February;8300;8090;210;7050;5270;1770
159;Total men and women;15 to 25 years;1998 March;5580;5440;140;7630;5630;2000
160;Total men and women;15 to 25 years;1998 April;5450;5250;200;9200;6520;2680
161;Total men and women;15 to 25 years;1998 May;3950;3760;190;6270;4030;2240
162;Total men and women;15 to 25 years;1998 June;3750;3580;170;5340;3150;2190
163;Total men and women;15 to 25 years;1998 July;4320;4130;190;5150;2870;2280
164;Total men and women;15 to 25 years;1998 August;3940;3820;130;4420;2860;1560
165;Total men and women;15 to 25 years;1998 September;4510;4350;160;5110;3570;1540
166;Total men and women;15 to 25 years;1998 October;4970;4780;190;5390;3530;1860
167;Total men and women;15 to 25 years;1998 November;5780;5640;150;4390;2690;1700
168;Total men and women;15 to 25 years;1998 December;6040;5890;160;3920;2190;1720
169;Total men and women;15 to 25 years;1998 Annual figure;66180;63610;2570;70280;46510;23770
170;Total men and women;15 to 25 years;1999 January;6050;5890;160;4920;3050;1870
171;Total men and women;15 to 25 years;1999 February;4970;4820;140;5080;3570;1520
172;Total men and women;15 to 25 years;1999 March;5500;5290;220;7090;5050;2040
173;Total men and women;15 to 25 years;1999 April;3270;3120;140;4920;3440;1480
174;Total men and women;15 to 25 years;1999 May;2400;2300;110;3920;2330;1590
175;Total men and women;15 to 25 years;1999 June;2710;2570;140;3810;2290;1520
176;Total men and women;15 to 25 years;1999 July;2560;2450;110;2830;1560;1280
177;Total men and women;15 to 25 years;1999 August;2300;2200;90;2470;1440;1040
178;Total men and women;15 to 25 years;1999 September;3340;3190;150;3860;2510;1360
179;Total men and women;15 to 25 years;1999 October;2650;2550;100;3140;1910;1220
180;Total men and women;15 to 25 years;1999 November;3030;2910;120;2700;1580;1120
181;Total men and women;15 to 25 years;1999 December;3190;3080;110;2550;1460;1090
182;Total men and women;15 to 25 years;1999 Annual figure;41970;40370;1600;47310;30190;17120
183;Total men and women;15 to 25 years;2000 January;4350;4190;150;2630;1660;970
184;Total men and women;15 to 25 years;2000 February;3700;3470;230;3570;2410;1160
