ID;BedrijfstakkenBranchesSBI2008;RegioS;Perioden;OprichtingenVanVestigingen_1;NieuweVestigingenBestaandeBedrijven_2;OpheffingenVanVestigingen_3;GestopteVestigingenBestaandeBedrijven_4
0;A-F Landbouw en nijverheid;Nederland;2007;;;;
1;A-F Landbouw en nijverheid;Nederland;2008;;;;
2;A-F Landbouw en nijverheid;Nederland;2009;;;;
3;A-F Landbouw en nijverheid;Nederland;2010;;;;
4;A-F Landbouw en nijverheid;Nederland;2011;;;;
5;A-F Landbouw en nijverheid;Nederland;2012;21195.0;2260.0;16700.0;1945.0
6;A-F Landbouw en nijverheid;Nederland;2013;21925.0;2055.0;20065.0;2040.0
7;A-F Landbouw en nijverheid;Noord-Nederland (LD);2007;;;;
8;A-F Landbouw en nijverheid;Noord-Nederland (LD);2008;;;;
9;A-F Landbouw en nijverheid;Noord-Nederland (LD);2009;;;;
10;A-F Landbouw en nijverheid;Noord-Nederland (LD);2010;;;;
11;A-F Landbouw en nijverheid;Noord-Nederland (LD);2011;;;;
12;A-F Landbouw en nijverheid;Noord-Nederland (LD);2012;2165.0;200.0;1845.0;160.0
13;A-F Landbouw en nijverheid;Noord-Nederland (LD);2013;2135.0;175.0;1960.0;170.0
14;A-F Landbouw en nijverheid;Oost-Nederland (LD);2007;;;;
15;A-F Landbouw en nijverheid;Oost-Nederland (LD);2008;;;;
16;A-F Landbouw en nijverheid;Oost-Nederland (LD);2009;;;;
17;A-F Landbouw en nijverheid;Oost-Nederland (LD);2010;;;;
18;A-F Landbouw en nijverheid;Oost-Nederland (LD);2011;;;;
19;A-F Landbouw en nijverheid;Oost-Nederland (LD);2012;4415.0;480.0;3300.0;430.0
20;A-F Landbouw en nijverheid;Oost-Nederland (LD);2013;4585.0;445.0;4030.0;435.0
21;A-F Landbouw en nijverheid;West-Nederland (LD);2007;;;;
22;A-F Landbouw en nijverheid;West-Nederland (LD);2008;;;;
23;A-F Landbouw en nijverheid;West-Nederland (LD);2009;;;;
24;A-F Landbouw en nijverheid;West-Nederland (LD);2010;;;;
25;A-F Landbouw en nijverheid;West-Nederland (LD);2011;;;;
26;A-F Landbouw en nijverheid;West-Nederland (LD);2012;10270.0;1110.0;7855.0;900.0
27;A-F Landbouw en nijverheid;West-Nederland (LD);2013;10540.0;935.0;9580.0;970.0
28;A-F Landbouw en nijverheid;Zuid-Nederland (LD);2007;;;;
29;A-F Landbouw en nijverheid;Zuid-Nederland (LD);2008;;;;
30;A-F Landbouw en nijverheid;Zuid-Nederland (LD);2009;;;;
31;A-F Landbouw en nijverheid;Zuid-Nederland (LD);2010;;;;
32;A-F Landbouw en nijverheid;Zuid-Nederland (LD);2011;;;;
33;A-F Landbouw en nijverheid;Zuid-Nederland (LD);2012;4345.0;470.0;3700.0;455.0
34;A-F Landbouw en nijverheid;Zuid-Nederland (LD);2013;4670.0;500.0;4500.0;460.0
35;A-F Landbouw en nijverheid;Niet in te delen (LD);2007;;;;
36;A-F Landbouw en nijverheid;Niet in te delen (LD);2008;;;;
37;A-F Landbouw en nijverheid;Niet in te delen (LD);2009;;;;
38;A-F Landbouw en nijverheid;Niet in te delen (LD);2010;;;;
39;A-F Landbouw en nijverheid;Niet in te delen (LD);2011;;;;
40;A-F Landbouw en nijverheid;Niet in te delen (LD);2012;;;;
41;A-F Landbouw en nijverheid;Niet in te delen (LD);2013;;;;
42;A-F Landbouw en nijverheid;Groningen (PV);2007;;;;
43;A-F Landbouw en nijverheid;Groningen (PV);2008;;;;
44;A-F Landbouw en nijverheid;Groningen (PV);2009;;;;
45;A-F Landbouw en nijverheid;Groningen (PV);2010;;;;
46;A-F Landbouw en nijverheid;Groningen (PV);2011;;;;
47;A-F Landbouw en nijverheid;Groningen (PV);2012;630.0;65.0;520.0;55.0
48;A-F Landbouw en nijverheid;Groningen (PV);2013;615.0;45.0;600.0;40.0
49;A-F Landbouw en nijverheid;Friesland (PV);2007;;;;
50;A-F Landbouw en nijverheid;Friesland (PV);2008;;;;
51;A-F Landbouw en nijverheid;Friesland (PV);2009;;;;
52;A-F Landbouw en nijverheid;Friesland (PV);2010;;;;
53;A-F Landbouw en nijverheid;Friesland (PV);2011;;;;
54;A-F Landbouw en nijverheid;Friesland (PV);2012;960.0;60.0;750.0;55.0
55;A-F Landbouw en nijverheid;Friesland (PV);2013;895.0;70.0;785.0;80.0
56;A-F Landbouw en nijverheid;Drenthe (PV);2007;;;;
57;A-F Landbouw en nijverheid;Drenthe (PV);2008;;;;
58;A-F Landbouw en nijverheid;Drenthe (PV);2009;;;;
59;A-F Landbouw en nijverheid;Drenthe (PV);2010;;;;
60;A-F Landbouw en nijverheid;Drenthe (PV);2011;;;;
61;A-F Landbouw en nijverheid;Drenthe (PV);2012;575.0;70.0;575.0;55.0
62;A-F Landbouw en nijverheid;Drenthe (PV);2013;625.0;60.0;570.0;50.0
63;A-F Landbouw en nijverheid;Overijssel (PV);2007;;;;
64;A-F Landbouw en nijverheid;Overijssel (PV);2008;;;;
65;A-F Landbouw en nijverheid;Overijssel (PV);2009;;;;
66;A-F Landbouw en nijverheid;Overijssel (PV);2010;;;;
67;A-F Landbouw en nijverheid;Overijssel (PV);2011;;;;
68;A-F Landbouw en nijverheid;Overijssel (PV);2012;1335.0;150.0;1035.0;140.0
69;A-F Landbouw en nijverheid;Overijssel (PV);2013;1385.0;135.0;1245.0;130.0
70;A-F Landbouw en nijverheid;Flevoland (PV);2007;;;;
71;A-F Landbouw en nijverheid;Flevoland (PV);2008;;;;
72;A-F Landbouw en nijverheid;Flevoland (PV);2009;;;;
73;A-F Landbouw en nijverheid;Flevoland (PV);2010;;;;
74;A-F Landbouw en nijverheid;Flevoland (PV);2011;;;;
75;A-F Landbouw en nijverheid;Flevoland (PV);2012;585.0;70.0;415.0;60.0
76;A-F Landbouw en nijverheid;Flevoland (PV);2013;630.0;50.0;595.0;55.0
77;A-F Landbouw en nijverheid;Gelderland (PV);2007;;;;
78;A-F Landbouw en nijverheid;Gelderland (PV);2008;;;;
79;A-F Landbouw en nijverheid;Gelderland (PV);2009;;;;
80;A-F Landbouw en nijverheid;Gelderland (PV);2010;;;;
81;A-F Landbouw en nijverheid;Gelderland (PV);2011;;;;
82;A-F Landbouw en nijverheid;Gelderland (PV);2012;2495.0;260.0;1845.0;225.0
83;A-F Landbouw en nijverheid;Gelderland (PV);2013;2570.0;255.0;2185.0;250.0
84;A-F Landbouw en nijverheid;Utrecht (PV);2007;;;;
85;A-F Landbouw en nijverheid;Utrecht (PV);2008;;;;
86;A-F Landbouw en nijverheid;Utrecht (PV);2009;;;;
87;A-F Landbouw en nijverheid;Utrecht (PV);2010;;;;
88;A-F Landbouw en nijverheid;Utrecht (PV);2011;;;;
89;A-F Landbouw en nijverheid;Utrecht (PV);2012;1330.0;155.0;1030.0;145.0
90;A-F Landbouw en nijverheid;Utrecht (PV);2013;1325.0;155.0;1185.0;145.0
91;A-F Landbouw en nijverheid;Noord-Holland (PV);2007;;;;
92;A-F Landbouw en nijverheid;Noord-Holland (PV);2008;;;;
93;A-F Landbouw en nijverheid;Noord-Holland (PV);2009;;;;
94;A-F Landbouw en nijverheid;Noord-Holland (PV);2010;;;;
95;A-F Landbouw en nijverheid;Noord-Holland (PV);2011;;;;
96;A-F Landbouw en nijverheid;Noord-Holland (PV);2012;3325.0;365.0;2560.0;340.0
97;A-F Landbouw en nijverheid;Noord-Holland (PV);2013;3485.0;330.0;3150.0;340.0
98;A-F Landbouw en nijverheid;Zuid-Holland (PV);2007;;;;
99;A-F Landbouw en nijverheid;Zuid-Holland (PV);2008;;;;
100;A-F Landbouw en nijverheid;Zuid-Holland (PV);2009;;;;
101;A-F Landbouw en nijverheid;Zuid-Holland (PV);2010;;;;
102;A-F Landbouw en nijverheid;Zuid-Holland (PV);2011;;;;
103;A-F Landbouw en nijverheid;Zuid-Holland (PV);2012;5075.0;535.0;3950.0;390.0
104;A-F Landbouw en nijverheid;Zuid-Holland (PV);2013;5245.0;405.0;4865.0;460.0
105;A-F Landbouw en nijverheid;Zeeland (PV);2007;;;;
106;A-F Landbouw en nijverheid;Zeeland (PV);2008;;;;
107;A-F Landbouw en nijverheid;Zeeland (PV);2009;;;;
108;A-F Landbouw en nijverheid;Zeeland (PV);2010;;;;
109;A-F Landbouw en nijverheid;Zeeland (PV);2011;;;;
110;A-F Landbouw en nijverheid;Zeeland (PV);2012;535.0;55.0;315.0;30.0
111;A-F Landbouw en nijverheid;Zeeland (PV);2013;485.0;40.0;380.0;30.0
112;A-F Landbouw en nijverheid;Noord-Brabant (PV);2007;;;;
113;A-F Landbouw en nijverheid;Noord-Brabant (PV);2008;;;;
114;A-F Landbouw en nijverheid;Noord-Brabant (PV);2009;;;;
115;A-F Landbouw en nijverheid;Noord-Brabant (PV);2010;;;;
116;A-F Landbouw en nijverheid;Noord-Brabant (PV);2011;;;;
117;A-F Landbouw en nijverheid;Noord-Brabant (PV);2012;3255.0;330.0;2755.0;325.0
118;A-F Landbouw en nijverheid;Noord-Brabant (PV);2013;3490.0;350.0;3345.0;315.0
119;A-F Landbouw en nijverheid;Limburg (PV);2007;;;;
120;A-F Landbouw en nijverheid;Limburg (PV);2008;;;;
121;A-F Landbouw en nijverheid;Limburg (PV);2009;;;;
122;A-F Landbouw en nijverheid;Limburg (PV);2010;;;;
123;A-F Landbouw en nijverheid;Limburg (PV);2011;;;;
124;A-F Landbouw en nijverheid;Limburg (PV);2012;1085.0;140.0;945.0;130.0
125;A-F Landbouw en nijverheid;Limburg (PV);2013;1175.0;155.0;1150.0;140.0
126;A-F Landbouw en nijverheid;Niet in te delen (PV);2007;;;;
127;A-F Landbouw en nijverheid;Niet in te delen (PV);2008;;;;
128;A-F Landbouw en nijverheid;Niet in te delen (PV);2009;;;;
129;A-F Landbouw en nijverheid;Niet in te delen (PV);2010;;;;
130;A-F Landbouw en nijverheid;Niet in te delen (PV);2011;;;;
