ID;Perioden;UitstaandeSchuld_1;MutatieTovVorigKwartaal_2
0;Ultimo 1989;88;
1;Ultimo 1990;93;
2;Ultimo 1991;100;
3;Ultimo 1992;106;
4;Ultimo 1993;120;
5;1994 1e kwartaal;121;1.0
6;1994 2e kwartaal;125;4.0
7;1994 3e kwartaal;129;4.0
8;1994 4e kwartaal;132;3.0
9;1995 1e kwartaal;135;3.0
10;1995 2e kwartaal;138;3.0
11;1995 3e kwartaal;141;3.0
12;1995 4e kwartaal;146;5.0
13;1996 1e kwartaal;150;4.0
14;1996 2e kwartaal;156;6.0
15;1996 3e kwartaal;161;5.0
16;1996 4e kwartaal;167;6.0
17;1997 1e kwartaal;173;6.0
18;1997 2e kwartaal;180;7.0
19;1997 3e kwartaal;187;7.0
20;1997 4e kwartaal;193;6.0
21;1998 1e kwartaal;199;6.0
22;1998 2e kwartaal;205;6.0
23;1998 3e kwartaal;212;7.0
24;1998 4e kwartaal;220;8.0
25;1999 1e kwartaal;227;7.0
26;1999 2e kwartaal;237;10.0
27;1999 3e kwartaal;244;7.0
28;1999 4e kwartaal;251;7.0
29;2000 1e kwartaal;260;9.0
30;2000 2e kwartaal;269;9.0
31;2000 3e kwartaal;275;6.0
32;2000 4e kwartaal;285;10.0
33;2001 1e kwartaal;293;8.0
34;2001 2e kwartaal;298;5.0
35;2001 3e kwartaal;308;10.0
36;2001 4e kwartaal;316;8.0
37;2002 1e kwartaal;324;8.0
38;2002 2e kwartaal;331;7.0
39;2002 3e kwartaal;341;10.0
40;2002 4e kwartaal;350;9.0
41;2003 1e kwartaal;355;5.0
42;2003 2e kwartaal;366;11.0
43;2003 3e kwartaal;375;9.0
44;2003 4e kwartaal;382;7.0
