ID;PlantenEnDierentuinen;Perioden;AantalTuinen_1;TotaalBezoeken_2;MetDagkaartInclKorting_3;Abonnementhouders_4;Museumjaarkaarthouders_5;NietBetalendeBezoekers_6;Volwassenen_7;Kinderen_8;PersoneelInLoondienst_9;TotaalOverigBezoldigdPersoneel_10;DirecteurEnFamilie_11;IngehuurdPersoneel_12;VrijwilligersEnStagiaires_13;PersoneelInLoondienst_14;OverigBezoldigdPersoneel_15;TotaalBaten_16;Overheid_17;Loonsubsidies_18;Overige_19;TotaalOpbrengsten_20;Entreegelden_21;Abonnementen_22;HorecaWinkel_23;SponseringAdoptie_24;OpbrengstenOverigeActiviteiten_25;OntvangenRente_26;OverigeBaten_27;TotaalLasten_28;TotaalPersoneelslasten_29;LonenEnSocialeLasten_30;IngehuurdPersoneel_31;OverigePersoneelskosten_32;BelastingenHeffingen_33;Energie_34;OnderhoudEnReparatie_35;HuurGebouwenMachines_36;Afschrijving_37;BetaaldeRente_38;VoedselVerzorging_39;PromotiePR_40;InkoopGoederenEnDiensten_41;OverigeLasten_42;TotaalInvesteringen_43;InNieuweActiva_44;InGebruikteActiva_45
0;1;1997;85.0;10509.0;6622.0;3108.0;125.0;653.0;;;2033.0;287.0;;;1346.0;1169.0;156.0;93073;8816;94;1125;81336;45808;9482;23549;176;2320;206;1496;84067;35595;31597;1831;2167;1768;3213;6303;1129;9926;2836;2239;4175;;16882;28.8;26.4;2.4
1;1;1999;103.0;11190.0;6962.0;3263.0;114.0;851.0;;;2229.0;560.0;89.0;471.0;1302.0;1430.0;213.0;108516;8587;269;464;97730;54714;9591;29112;472;3840;456;1010;102861;43481;38016;3164;2301;2256;3263;7226;1566;9703;3985;2832;4012;10927.0;13611;61.5;60.2;1.4
2;2;1997;65.0;1344.0;879.0;85.0;125.0;255.0;2.89;1.55;163.0;86.0;;;719.0;108.0;68.0;9606;771;6;836;7488;4370;281;1883;36;918;53;452;8237;3460;2552;456;452;76;307;253;99;1241;369;299;461;;1671;2.8;2.3;0.5
3;2;1999;80.0;1463.0;927.0;127.0;114.0;295.0;3.11;1.91;249.0;199.0;67.0;132.0;817.0;136.0;80.0;12142;1164;169;460;10139;4537;371;3481;264;1486;52;158;12356;4718;3979;345;394;121;504;448;296;1585;405;342;598;1945.0;1395;2.8;2.6;0.2
4;3;1997;20.0;9165.0;5744.0;3023.0;0.0;398.0;6.82;5.19;1870.0;201.0;;;627.0;1061.0;88.0;83467;8046;88;289;73848;41438;9201;21666;140;1402;153;1044;75829;32135;29045;1375;1715;1692;2906;6050;1030;8686;2467;1939;3174;;15211;26.0;24.1;1.9
5;3;1999;23.0;9727.0;6035.0;3136.0;;556.0;7.02;5.32;1980.0;361.0;22.0;339.0;485.0;1294.0;133.0;96374;7422;100;5;87591;50177;9220;25631;209;2355;404;852;90504;38762;34037;2819;1906;2135;2759;6778;1270;8118;3580;2480;3414;8983.0;12215;58.7;57.5;1.2
6;4;1997;;;;;;;;;;;;;;;;80495;8024;14;0;71268;39674;9193;21030;125;1247;148;1041;72864;31072;28102;1272;1698;1628;2670;5982;847;8324;2369;1706;3622;;14644;25.9;24.0;1.9
7;4;1999;10.0;;;;;;;;;;;;;;;93182;7243;45;0;84644;48037;9199;25027;163;2218;399;850;87328;37725;33296;2604;1826;2046;2472;6652;1017;7753;3467;2247;3334;8772.0;11842;58.2;57.2;1.0
8;5;1997;;;;;;;;;;;;;;;;2973;22;74;289;2580;1765;9;637;15;154;5;3;2965;1063;943;103;18;64;236;68;183;362;98;234;92;;567;0.1;0.1;0.0
9;5;1999;13.0;;;;;;;;;;;;;;;3192;179;54;5;2947;2140;21;604;45;137;5;1;3176;1037;741;215;80;89;287;125;253;365;113;242;80;211.0;373;0.5;0.3;0.2
