ID;Perioden;IndividueleBinnenlandseProductie_1;TotaalVerzekeringenInEuroS_2;Hypotheek_3;PensioenUitgesteld_4;LijfrenteUitgesteld_5;DirectIngaandeRente_6;LevenslangBijOverlijden_7;Spaarverzekering_8;Risicoverzekering_9;OverigeIndividueleVerzekeringen_10;TotaalVerzekeringInBeleggingseenheden_11;Hypotheek_12;PensioenUitgesteld_13;LijfrenteUitgesteld_14;DirectIngaandeRente_15;LevenslangBijOverlijden_16;Spaarverzekering_17;Risicoverzekering_18;OverigeIndividueleVerzekeringen_19;IndividueleBinnenlandseProductie_20;TotaalVerzekeringenInEuroS_21;Hypotheek_22;PensioenUitgesteld_23;LijfrenteUitgesteld_24;DirectIngaandeRente_25;LevenslangBijOverlijden_26;Spaarverzekering_27;Risicoverzekering_28;OverigeIndividueleVerzekeringen_29;TotaalVerzekeringInBeleggingseenheden_30;Hypotheek_31;PensioenUitgesteld_32;LijfrenteUitgesteld_33;DirectIngaandeRente_34;LevenslangBijOverlijden_35;Spaarverzekering_36;Risicoverzekering_37;OverigeIndividueleVerzekeringen_38;IndividueleBinnenlandseProductie_39;TotaalVerzekeringenInEuroS_40;Hypotheek_41;PensioenUitgesteld_42;LijfrenteUitgesteld_43;DirectIngaandeRente_44;LevenslangBijOverlijden_45;Spaarverzekering_46;Risicoverzekering_47;OverigeIndividueleVerzekeringen_48;TotaalVerzekeringInBeleggingseenheden_49;Hypotheek_50;PensioenUitgesteld_51;LijfrenteUitgesteld_52;DirectIngaandeRente_53;LevenslangBijOverlijden_54;Spaarverzekering_55;Risicoverzekering_56;OverigeIndividueleVerzekeringen_57;IndividueleBinnenlandseProductie_58;TotaalVerzekeringenInEuroS_59;Hypotheek_60;PensioenUitgesteld_61;LijfrenteUitgesteld_62;DirectIngaandeRente_63;LevenslangBijOverlijden_64;Spaarverzekering_65;Risicoverzekering_66;OverigeIndividueleVerzekeringen_67;TotaalVerzekeringInBeleggingseenheden_68;Hypotheek_69;PensioenUitgesteld_70;LijfrenteUitgesteld_71;DirectIngaandeRente_72;LevenslangBijOverlijden_73;Spaarverzekering_74;Risicoverzekering_75;OverigeIndividueleVerzekeringen_76;IndividueleBinnenlandseProductie_77;TotaalVerzekeringenInEuroS_78;Hypotheek_79;PensioenUitgesteld_80;LijfrenteUitgesteld_81;DirectIngaandeRente_82;LevenslangBijOverlijden_83;Spaarverzekering_84;Risicoverzekering_85;OverigeIndividueleVerzekeringen_86;TotaalVerzekeringInBeleggingseenheden_87;Hypotheek_88;PensioenUitgesteld_89;LijfrenteUitgesteld_90;DirectIngaandeRente_91;LevenslangBijOverlijden_92;Spaarverzekering_93;Risicoverzekering_94;OverigeIndividueleVerzekeringen_95;IndividueleBinnenlandseProductie_96;TotaalVerzekeringenInEuroS_97;Hypotheek_98;PensioenUitgesteld_99;LijfrenteUitgesteld_100;DirectIngaandeRente_101;LevenslangBijOverlijden_102;Spaarverzekering_103;Risicoverzekering_104;OverigeIndividueleVerzekeringen_105;TotaalVerzekeringInBeleggingseenheden_106;Hypotheek_107;PensioenUitgesteld_108;LijfrenteUitgesteld_109;DirectIngaandeRente_110;LevenslangBijOverlijden_111;Spaarverzekering_112;Risicoverzekering_113;OverigeIndividueleVerzekeringen_114;IndividueleBinnenlandseProductie_115;TotaalVerzekeringenInEuroS_116;Hypotheek_117;PensioenUitgesteld_118;LijfrenteUitgesteld_119;DirectIngaandeRente_120;LevenslangBijOverlijden_121;Spaarverzekering_122;Risicoverzekering_123;OverigeIndividueleVerzekeringen_124;TotaalVerzekeringInBeleggingseenheden_125;Hypotheek_126;PensioenUitgesteld_127;LijfrenteUitgesteld_128;DirectIngaandeRente_129;LevenslangBijOverlijden_130;Spaarverzekering_131;Risicoverzekering_132;OverigeIndividueleVerzekeringen_133;TotaleSpaarkasproductie_134;Hypotheek_135;PensioenUitgesteld_136;LijfrenteUitgesteld_137;Ongeclausuleerd_138;TotaleSpaarkasproductie_139;Hypotheek_140;PensioenUitgesteld_141;LijfrenteUitgesteld_142;Ongeclausuleerd_143;TotaleSpaarkasproductie_144;Hypotheek_145;PensioenUitgesteld_146;LijfrenteUitgesteld_147;Ongeclausuleerd_148;TotaleSpaarkasproductie_149;Hypotheek_150;PensioenUitgesteld_151;LijfrenteUitgesteld_152;Ongeclausuleerd_153;TotaleSpaarkasproductie_154;Hypotheek_155;PensioenUitgesteld_156;LijfrenteUitgesteld_157;Ongeclausuleerd_158;TotaleSpaarkasproductie_159;Hypotheek_160;PensioenUitgesteld_161;LijfrenteUitgesteld_162;Ongeclausuleerd_163
0;1993 januari;60.7;53.3;;;;;;;;;7.3;;;;;;;;;2184.5;2030.8;;;;;;;;;153.7;;;;;;;;;44.7;38.9;;;;;;;;;5.8;;;;;;;;;10.9;7.2;;;;;;;;;3.7;;;;;;;;;22.9;21.4;;;;;;;;;1.5;;;;;;;;;350.8;339.2;;;;;;;;;11.6;;;;;;;;;210.5;201.4;;;;;;;;;9.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1993 februari;58.0;53.2;;;;;;;;;4.8;;;;;;;;;2084.9;1967.2;;;;;;;;;117.8;;;;;;;;;39.6;35.8;;;;;;;;;3.8;;;;;;;;;15.2;12.9;;;;;;;;;2.3;;;;;;;;;14.6;13.6;;;;;;;;;1.1;;;;;;;;;290.7;282.3;;;;;;;;;8.4;;;;;;;;;172.6;165.3;;;;;;;;;7.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1993 maart;57.0;51.7;;;;;;;;;5.2;;;;;;;;;1985.7;1850.8;;;;;;;;;134.9;;;;;;;;;39.6;35.2;;;;;;;;;4.4;;;;;;;;;14.3;12.1;;;;;;;;;2.2;;;;;;;;;9.7;9.2;;;;;;;;;0.5;;;;;;;;;210.5;205.0;;;;;;;;;5.5;;;;;;;;;134.5;130.6;;;;;;;;;3.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1993 april;55.6;50.6;;;;;;;;;5.0;;;;;;;;;2006.3;1867.3;;;;;;;;;139.0;;;;;;;;;41.1;36.8;;;;;;;;;4.4;;;;;;;;;11.8;9.8;;;;;;;;;2.0;;;;;;;;;11.0;10.3;;;;;;;;;0.8;;;;;;;;;212.6;202.8;;;;;;;;;9.7;;;;;;;;;137.2;129.2;;;;;;;;;7.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1993 mei;55.2;50.3;;;;;;;;;4.9;;;;;;;;;1936.1;1810.0;;;;;;;;;126.1;;;;;;;;;35.6;31.1;;;;;;;;;4.4;;;;;;;;;17.3;15.2;;;;;;;;;2.0;;;;;;;;;8.4;7.9;;;;;;;;;0.5;;;;;;;;;162.5;157.1;;;;;;;;;5.4;;;;;;;;;102.8;98.9;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1993 juni;60.9;55.4;;;;;;;;;5.6;;;;;;;;;2105.8;1960.4;;;;;;;;;145.4;;;;;;;;;40.5;35.3;;;;;;;;;5.3;;;;;;;;;11.3;8.8;;;;;;;;;2.6;;;;;;;;;8.3;7.4;;;;;;;;;0.9;;;;;;;;;188.3;177.7;;;;;;;;;10.6;;;;;;;;;115.0;106.4;;;;;;;;;8.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1993 juli;63.4;56.1;;;;;;;;;7.3;;;;;;;;;2445.6;2228.3;;;;;;;;;217.3;;;;;;;;;47.6;40.2;;;;;;;;;7.4;;;;;;;;;18.1;14.1;;;;;;;;;4.0;;;;;;;;;10.7;9.6;;;;;;;;;1.2;;;;;;;;;227.2;212.5;;;;;;;;;14.7;;;;;;;;;123.5;113.3;;;;;;;;;10.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;1993 augustus;62.2;56.5;;;;;;;;;5.6;;;;;;;;;2186.4;2020.4;;;;;;;;;165.9;;;;;;;;;40.8;35.5;;;;;;;;;5.3;;;;;;;;;11.8;9.1;;;;;;;;;2.7;;;;;;;;;5.4;4.7;;;;;;;;;0.7;;;;;;;;;157.8;145.5;;;;;;;;;12.3;;;;;;;;;100.6;90.7;;;;;;;;;9.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1993 september;51.5;47.0;;;;;;;;;4.5;;;;;;;;;2053.9;1912.5;;;;;;;;;141.4;;;;;;;;;37.3;32.8;;;;;;;;;4.4;;;;;;;;;9.7;6.7;;;;;;;;;2.9;;;;;;;;;3.6;3.3;;;;;;;;;0.3;;;;;;;;;150.7;131.8;;;;;;;;;19.0;;;;;;;;;99.5;83.3;;;;;;;;;16.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1993 oktober;60.3;54.9;;;;;;;;;5.3;;;;;;;;;2202.3;2063.4;;;;;;;;;138.9;;;;;;;;;42.2;37.2;;;;;;;;;4.9;;;;;;;;;11.4;8.4;;;;;;;;;3.0;;;;;;;;;5.4;5.1;;;;;;;;;0.2;;;;;;;;;146.8;142.1;;;;;;;;;4.7;;;;;;;;;103.2;99.3;;;;;;;;;3.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
