ID;VerzekeraarsEnPensioenfondsen;EffectenEnOnroerendGoed;Perioden;StandBeginKwartaal_1;Aankopen_2;Verkopen_3;Verschillen_4;StandEindKwartaal_5
0;Totaal verzekeraars en pensioenfondsen;Onroerend goed;1999, 1e kwartaal;34167.8;268.9;632.2;976.0;34780.5
1;Totaal verzekeraars en pensioenfondsen;Onroerend goed;1999, 2e kwartaal;34780.5;344.7;1058.8;239.9;34306.3
2;Totaal verzekeraars en pensioenfondsen;Onroerend goed;1999, 3e kwartaal;34306.3;557.9;308.8;786.9;35342.3
3;Totaal verzekeraars en pensioenfondsen;Onroerend goed;1999, 4e kwartaal;35342.3;1520.6;1196.4;1792.2;37458.7
4;Totaal verzekeraars en pensioenfondsen;Onroerend goed;2000, 1e kwartaal;37458.7;711.0;1372.7;737.4;37534.4
5;Totaal verzekeraars en pensioenfondsen;Onroerend goed;2000, 2e kwartaal;37534.4;252.5;480.0;239.2;37546.1
6;Totaal verzekeraars en pensioenfondsen;Onroerend goed;2000, 3e kwartaal;37546.1;522.5;3373.9;621.2;35315.9
7;Totaal verzekeraars en pensioenfondsen;Onroerend goed;2000, 4e kwartaal;35315.9;1595.6;302.9;1055.1;37663.8
8;Totaal verzekeraars en pensioenfondsen;Onroerend goed;2001, 1e kwartaal;37663.8;818.3;642.1;402.4;38242.4
9;Totaal verzekeraars en pensioenfondsen;Onroerend goed;2001, 2e kwartaal;38242.4;472.4;358.0;375.6;38732.4
10;Totaal verzekeraars en pensioenfondsen;Onroerend goed;2001, 3e kwartaal;38732.4;759.9;576.4;253.0;39168.8
11;Totaal verzekeraars en pensioenfondsen;Onroerend goed;2001, 4e kwartaal;39168.8;1012.3;1052.5;991.3;40119.7
12;Totaal verzekeraars en pensioenfondsen;Obligaties;1999, 1e kwartaal;186133.7;62357.2;54949.1;3343.7;196885.4
13;Totaal verzekeraars en pensioenfondsen;Obligaties;1999, 2e kwartaal;196885.4;67090.9;60531.8;-3167.1;200277.4
14;Totaal verzekeraars en pensioenfondsen;Obligaties;1999, 3e kwartaal;200277.4;87422.5;78572.3;-4619.4;204508.3
15;Totaal verzekeraars en pensioenfondsen;Obligaties;1999, 4e kwartaal;204508.3;46677.7;43302.7;-3184.2;204699.2
16;Totaal verzekeraars en pensioenfondsen;Obligaties;2000, 1e kwartaal;204699.2;54438.0;44738.3;8568.5;222967.4
17;Totaal verzekeraars en pensioenfondsen;Obligaties;2000, 2e kwartaal;222967.4;65845.1;59087.2;-3022.1;226703.1
18;Totaal verzekeraars en pensioenfondsen;Obligaties;2000, 3e kwartaal;226703.1;61998.9;57840.6;-3042.7;227818.7
19;Totaal verzekeraars en pensioenfondsen;Obligaties;2000, 4e kwartaal;227818.7;71694.3;71439.5;4716.5;232790.0
20;Totaal verzekeraars en pensioenfondsen;Obligaties;2001, 1e kwartaal;232790.0;73795.1;70182.6;2095.5;238498.1
21;Totaal verzekeraars en pensioenfondsen;Obligaties;2001, 2e kwartaal;238498.1;75136.9;76890.6;-960.7;235783.7
22;Totaal verzekeraars en pensioenfondsen;Obligaties;2001, 3e kwartaal;235783.7;77100.5;83928.0;2312.4;231268.7
23;Totaal verzekeraars en pensioenfondsen;Obligaties;2001, 4e kwartaal;231268.7;85637.6;81703.8;2388.2;237590.7
24;Totaal verzekeraars en pensioenfondsen;Aandelen;1999, 1e kwartaal;211515.1;25372.7;23961.0;11780.6;224707.4
25;Totaal verzekeraars en pensioenfondsen;Aandelen;1999, 2e kwartaal;224707.4;32693.0;24694.0;16686.0;249392.3
26;Totaal verzekeraars en pensioenfondsen;Aandelen;1999, 3e kwartaal;249392.3;32209.3;28119.0;-6773.7;246708.8
27;Totaal verzekeraars en pensioenfondsen;Aandelen;1999, 4e kwartaal;246708.8;32913.9;30826.3;51292.7;300089.3
28;Totaal verzekeraars en pensioenfondsen;Aandelen;2000, 1e kwartaal;300089.3;39563.7;43046.8;15849.1;312455.3
29;Totaal verzekeraars en pensioenfondsen;Aandelen;2000, 2e kwartaal;312455.3;47217.2;45348.0;-6644.4;307680.0
30;Totaal verzekeraars en pensioenfondsen;Aandelen;2000, 3e kwartaal;307680.0;38851.5;37633.9;11248.7;320146.3
31;Totaal verzekeraars en pensioenfondsen;Aandelen;2000, 4e kwartaal;320146.3;40711.8;37332.2;-32075.8;291450.2
32;Totaal verzekeraars en pensioenfondsen;Aandelen;2001, 1e kwartaal;291450.2;45494.6;27978.7;-19912.2;289053.9
33;Totaal verzekeraars en pensioenfondsen;Aandelen;2001, 2e kwartaal;289053.9;40382.3;33553.7;7553.0;303435.5
34;Totaal verzekeraars en pensioenfondsen;Aandelen;2001, 3e kwartaal;303435.5;42597.9;29706.7;-52799.6;263527.2
35;Totaal verzekeraars en pensioenfondsen;Aandelen;2001, 4e kwartaal;263527.2;34917.2;30635.7;24825.2;292633.8
36;6601-6603 Verzekeringsmaatschappijen;Onroerend goed;1999, 1e kwartaal;10604.2;132.8;241.4;446.8;10942.4
37;6601-6603 Verzekeringsmaatschappijen;Onroerend goed;1999, 2e kwartaal;10942.4;188.5;824.0;118.6;10425.5
38;6601-6603 Verzekeringsmaatschappijen;Onroerend goed;1999, 3e kwartaal;10425.5;223.1;50.7;762.7;11360.6
39;6601-6603 Verzekeringsmaatschappijen;Onroerend goed;1999, 4e kwartaal;11360.6;463.3;348.4;413.3;11888.8
40;6601-6603 Verzekeringsmaatschappijen;Onroerend goed;2000, 1e kwartaal;11888.8;439.5;42.6;496.0;12781.7
41;6601-6603 Verzekeringsmaatschappijen;Onroerend goed;2000, 2e kwartaal;12781.7;47.1;57.3;297.9;13069.4
42;6601-6603 Verzekeringsmaatschappijen;Onroerend goed;2000, 3e kwartaal;13069.4;235.1;1407.4;173.4;12070.5
43;6601-6603 Verzekeringsmaatschappijen;Onroerend goed;2000, 4e kwartaal;12070.5;846.6;144.3;933.6;13706.5
44;6601-6603 Verzekeringsmaatschappijen;Onroerend goed;2001, 1e kwartaal;13706.5;450.0;49.6;300.3;14407.2
45;6601-6603 Verzekeringsmaatschappijen;Onroerend goed;2001, 2e kwartaal;14407.2;228.4;65.6;80.5;14650.5
46;6601-6603 Verzekeringsmaatschappijen;Onroerend goed;2001, 3e kwartaal;14650.5;293.1;106.5;11.0;14848.1
47;6601-6603 Verzekeringsmaatschappijen;Onroerend goed;2001, 4e kwartaal;14848.1;470.2;490.6;371.1;15198.7
48;6601-6603 Verzekeringsmaatschappijen;Obligaties;1999, 1e kwartaal;69320.5;26274.6;23200.2;1095.1;73489.9
49;6601-6603 Verzekeringsmaatschappijen;Obligaties;1999, 2e kwartaal;73489.9;17253.0;15899.7;-500.5;74342.7
50;6601-6603 Verzekeringsmaatschappijen;Obligaties;1999, 3e kwartaal;74342.7;21420.6;18818.3;-523.5;76421.5
51;6601-6603 Verzekeringsmaatschappijen;Obligaties;1999, 4e kwartaal;76421.5;15877.1;15288.7;-425.8;76584.1
52;6601-6603 Verzekeringsmaatschappijen;Obligaties;2000, 1e kwartaal;76584.1;13877.2;13688.2;2137.1;78910.2
53;6601-6603 Verzekeringsmaatschappijen;Obligaties;2000, 2e kwartaal;78910.2;12619.5;12458.5;-886.4;78184.7
54;6601-6603 Verzekeringsmaatschappijen;Obligaties;2000, 3e kwartaal;78184.7;16951.1;15067.0;-1091.3;78977.5
55;6601-6603 Verzekeringsmaatschappijen;Obligaties;2000, 4e kwartaal;78977.5;19248.2;20274.9;1877.0;79827.8
56;6601-6603 Verzekeringsmaatschappijen;Obligaties;2001, 1e kwartaal;79827.8;25661.0;22097.2;238.7;83630.4
