ID;Perioden;TotaalOverheidsuitgaven_1;TotaalOverheidsuitgavenAanOnderwijs_2;TotaalPrePrimairOnderwijs_3;PreprimairOnderwijsEnBasisonderwijs_4;SpeciaalBasisOnderwijs_5;TotaalSecundairOnderwijs_6;VoortgezetOnderwijs_7;MiddelbaarBeroepsonderwijsEnVolwEd_8;TotaalTertiairOnderwijs_9;HogerBeroepsonderwijs_10;WetenschappelijkOnderwijs_11;TotaalOverheidsuitgavenStudietoelagen_12;TotaalSecundairOnderwijs_13;VoortgezetOnderwijs_14;MiddelbaarBeroepsonderwijsEnVolwEd_15;TotaalTertiairOnderwijs_16;HogerBeroepsonderwijs_17;WetenschappelijkOnderwijs_18;TotaalOverheidsuitgavenAlsVanBbp_19
0;1900;12;11;7;7.0;;2;2.0;0.0;2;1.0;1.0;;;;;;;;1.2
1;1901;12;12;8;8.0;;2;1.0;1.0;2;1.0;1.0;;;;;;;;1.1
2;1902;12;12;8;8.0;;2;1.0;1.0;2;1.0;1.0;;;;;;;;1.1
3;1903;12;12;8;8.0;;2;1.0;1.0;2;1.0;1.0;;;;;;;;1.1
4;1904;13;13;8;8.0;;2;1.0;1.0;3;1.0;2.0;;;;;;;;1.1
5;1905;16;16;10;10.0;;3;3.0;0.0;3;1.0;2.0;;;;;;;;1.3
6;1906;16;16;10;10.0;;3;2.0;1.0;3;1.0;2.0;;;;;;;;1.3
7;1907;17;16;10;10.0;;3;2.0;1.0;3;1.0;2.0;;;;;;;;1.3
8;1908;17;17;10;10.0;;3;2.0;1.0;4;1.0;2.0;;;;;;;;1.4
9;1909;18;18;13;13.0;;2;1.0;1.0;3;1.0;2.0;;;;;;;;1.4
10;1910;21;22;14;14.0;;4;4.0;0.0;4;1.0;3.0;;;;;;;;1.6
11;1911;20;20;14;14.0;;3;2.0;1.0;3;1.0;2.0;;;;;;;;1.4
12;1912;21;20;14;14.0;;3;2.0;1.0;3;1.0;2.0;;;;;;;;1.4
13;1913;22;22;15;15.0;;3;2.0;1.0;4;1.0;3.0;;;;;;;;1.4
14;1914;22;23;15;15.0;;4;2.0;2.0;4;1.0;3.0;;;;;;;;
15;1915;27;28;18;18.0;;5;4.0;1.0;5;2.0;3.0;;;;;;;;
16;1916;30;29;19;19.0;;5;3.0;2.0;5;2.0;4.0;;;;;;;;
17;1917;48;48;27;27.0;;11;7.0;4.0;10;3.0;7.0;;;;;;;;
18;1918;54;55;30;30.0;;13;8.0;5.0;12;4.0;8.0;;;;;;;;
19;1919;68;68;38;38.0;;15;9.0;6.0;15;5.0;10.0;;;;;;;;
20;1920;81;81;53;53.0;;14;12.0;2.0;14;4.0;10.0;;;;;;;;
21;1921;74;73;47;47.0;;13;9.0;4.0;13;4.0;9.0;;;;;;;;2.3
22;1922;74;74;44;44.0;;17;11.0;6.0;13;4.0;9.0;;;;;;;;2.4
23;1923;73;73;56;55.0;1.0;10;7.0;3.0;7;2.0;5.0;;;;;;;;2.5
24;1924;79;79;53;52.0;1.0;15;10.0;5.0;11;3.0;8.0;;;;;;;;2.6
25;1925;88;87;58;57.0;1.0;19;16.0;3.0;10;4.0;6.0;;;;;;;;2.8
26;1926;86;86;57;56.0;1.0;19;12.0;7.0;10;4.0;7.0;;;;;;;;2.7
27;1927;91;90;59;58.0;1.0;20;12.0;8.0;11;4.0;7.0;;;;;;;;2.7
28;1928;96;95;70;68.0;2.0;16;10.0;6.0;9;3.0;6.0;;;;;;;;2.8
29;1929;100;100;70;68.0;2.0;20;14.0;6.0;10;3.0;7.0;;;;;;;;2.8
30;1930;119;119;80;79.0;1.0;27;22.0;5.0;12;4.0;8.0;;;;;;;;3.5
31;1931;107;108;73;71.0;2.0;25;18.0;7.0;10;4.0;6.0;;;;;;;;3.4
32;1932;76;76;50;49.0;1.0;19;14.0;5.0;7;3.0;4.0;;;;;;;;2.7
33;1933;76;76;48;47.0;1.0;21;15.0;6.0;7;3.0;5.0;;;;;;;;2.8
34;1934;76;76;47;46.0;1.0;22;16.0;6.0;7;2.0;5.0;;;;;;;;2.8
35;1935;77;77;45;44.0;1.0;24;16.0;8.0;8;2.0;5.0;;;;;;;;2.9
36;1936;96;95;59;58.0;1.0;27;23.0;4.0;9;3.0;6.0;;;;;;;;3.5
