ID;Brandstofsoort;Bouwjaarklasse;Perioden;VoertuigenMetBromfietskenteken_1;Snorfiets_2;Bromfiets_3;Brommobiel_4;OverigeVoertuigenMetBromfietskenteken_5
0;Totaal;Totaal alle bouwjaren;2007;711792.0;304816.0;385930.0;15740.0;5306.0
1;Totaal;Totaal alle bouwjaren;2008;786408.0;339941.0;423189.0;17513.0;5765.0
2;Totaal;Totaal alle bouwjaren;2009;873872.0;386025.0;464870.0;19008.0;3969.0
3;Totaal;Totaal alle bouwjaren;2010;955701.0;435247.0;496145.0;20112.0;4197.0
4;Totaal;Totaal alle bouwjaren;2011;1028096.0;487380.0;515517.0;20737.0;4462.0
5;Totaal;Totaal alle bouwjaren;2012;1061676.0;526771.0;509333.0;20996.0;4576.0
6;Totaal;Totaal alle bouwjaren;2013;1085243.0;560427.0;499050.0;21037.0;4729.0
7;Totaal;Totaal alle bouwjaren;2014;1101978.0;588801.0;487700.0;20679.0;4798.0
8;Totaal;Totaal alle bouwjaren;2015;1124795.0;617800.0;481749.0;20328.0;4918.0
9;Totaal;Totaal alle bouwjaren;2016;1150833.0;647968.0;477878.0;19757.0;5230.0
10;Totaal;Totaal alle bouwjaren;2017;1178300.0;680563.0;473085.0;19180.0;5472.0
11;Totaal;Totaal alle bouwjaren;2018;1211522.0;720469.0;466611.0;18747.0;5695.0
12;Totaal;Totaal alle bouwjaren;2019;1230038.0;748917.0;457404.0;18108.0;5609.0
13;Totaal;Totaal alle bouwjaren;2020;1249420.0;764710.0;460618.0;18376.0;5716.0
14;Totaal;Totaal alle bouwjaren;2021;1292975.0;802817.0;465403.0;18940.0;5815.0
15;Totaal;Totaal alle bouwjaren;2022;1331319.0;826742.0;478638.0;19692.0;6247.0
16;Totaal;Bouwjaar 2021;2007;;;;;
17;Totaal;Bouwjaar 2021;2008;;;;;
18;Totaal;Bouwjaar 2021;2009;;;;;
19;Totaal;Bouwjaar 2021;2010;;;;;
20;Totaal;Bouwjaar 2021;2011;;;;;
21;Totaal;Bouwjaar 2021;2012;;;;;
22;Totaal;Bouwjaar 2021;2013;;;;;
23;Totaal;Bouwjaar 2021;2014;;;;;
24;Totaal;Bouwjaar 2021;2015;;;;;
25;Totaal;Bouwjaar 2021;2016;;;;;
26;Totaal;Bouwjaar 2021;2017;;;;;
27;Totaal;Bouwjaar 2021;2018;;;;;
28;Totaal;Bouwjaar 2021;2019;;;;;
29;Totaal;Bouwjaar 2021;2020;;;;;
30;Totaal;Bouwjaar 2021;2021;;;;;
31;Totaal;Bouwjaar 2021;2022;77198.0;49683.0;25436.0;1549.0;530.0
32;Totaal;Bouwjaar 2020;2007;;;;;
33;Totaal;Bouwjaar 2020;2008;;;;;
34;Totaal;Bouwjaar 2020;2009;;;;;
35;Totaal;Bouwjaar 2020;2010;;;;;
36;Totaal;Bouwjaar 2020;2011;;;;;
37;Totaal;Bouwjaar 2020;2012;;;;;
38;Totaal;Bouwjaar 2020;2013;;;;;
39;Totaal;Bouwjaar 2020;2014;;;;;
40;Totaal;Bouwjaar 2020;2015;;;;;
41;Totaal;Bouwjaar 2020;2016;;;;;
42;Totaal;Bouwjaar 2020;2017;;;;;
43;Totaal;Bouwjaar 2020;2018;;;;;
44;Totaal;Bouwjaar 2020;2019;;;;;
45;Totaal;Bouwjaar 2020;2020;;;;;
46;Totaal;Bouwjaar 2020;2021;85591.0;60073.0;23648.0;1175.0;695.0
47;Totaal;Bouwjaar 2020;2022;86790.0;60722.0;24218.0;1170.0;680.0
48;Totaal;Bouwjaar 2019;2007;;;;;
49;Totaal;Bouwjaar 2019;2008;;;;;
50;Totaal;Bouwjaar 2019;2009;;;;;
51;Totaal;Bouwjaar 2019;2010;;;;;
52;Totaal;Bouwjaar 2019;2011;;;;;
53;Totaal;Bouwjaar 2019;2012;;;;;
54;Totaal;Bouwjaar 2019;2013;;;;;
55;Totaal;Bouwjaar 2019;2014;;;;;
56;Totaal;Bouwjaar 2019;2015;;;;;
57;Totaal;Bouwjaar 2019;2016;;;;;
58;Totaal;Bouwjaar 2019;2017;;;;;
59;Totaal;Bouwjaar 2019;2018;;;;;
60;Totaal;Bouwjaar 2019;2019;;;;;
61;Totaal;Bouwjaar 2019;2020;62469.0;38559.0;22267.0;1153.0;490.0
62;Totaal;Bouwjaar 2019;2021;62420.0;38714.0;22278.0;1218.0;210.0
63;Totaal;Bouwjaar 2019;2022;61829.0;37979.0;22450.0;1207.0;193.0
64;Totaal;Bouwjaar 2018;2007;;;;;
65;Totaal;Bouwjaar 2018;2008;;;;;
66;Totaal;Bouwjaar 2018;2009;;;;;
67;Totaal;Bouwjaar 2018;2010;;;;;
68;Totaal;Bouwjaar 2018;2011;;;;;
69;Totaal;Bouwjaar 2018;2012;;;;;
70;Totaal;Bouwjaar 2018;2013;;;;;
71;Totaal;Bouwjaar 2018;2014;;;;;
72;Totaal;Bouwjaar 2018;2015;;;;;
73;Totaal;Bouwjaar 2018;2016;;;;;
74;Totaal;Bouwjaar 2018;2017;;;;;
75;Totaal;Bouwjaar 2018;2018;;;;;
76;Totaal;Bouwjaar 2018;2019;58838.0;42255.0;15502.0;789.0;292.0
77;Totaal;Bouwjaar 2018;2020;57626.0;41281.0;15277.0;847.0;221.0
78;Totaal;Bouwjaar 2018;2021;57000.0;40888.0;14954.0;1042.0;116.0
79;Totaal;Bouwjaar 2018;2022;56208.0;39950.0;15060.0;1083.0;115.0
80;Totaal;Bouwjaar 2017;2007;;;;;
81;Totaal;Bouwjaar 2017;2008;;;;;
82;Totaal;Bouwjaar 2017;2009;;;;;
83;Totaal;Bouwjaar 2017;2010;;;;;
84;Totaal;Bouwjaar 2017;2011;;;;;
85;Totaal;Bouwjaar 2017;2012;;;;;
86;Totaal;Bouwjaar 2017;2013;;;;;
87;Totaal;Bouwjaar 2017;2014;;;;;
88;Totaal;Bouwjaar 2017;2015;;;;;
89;Totaal;Bouwjaar 2017;2016;;;;;
90;Totaal;Bouwjaar 2017;2017;;;;;
91;Totaal;Bouwjaar 2017;2018;74821.0;56009.0;17722.0;866.0;224.0
92;Totaal;Bouwjaar 2017;2019;81419.0;61957.0;18398.0;836.0;228.0
93;Totaal;Bouwjaar 2017;2020;80947.0;61414.0;18482.0;872.0;179.0
94;Totaal;Bouwjaar 2017;2021;80312.0;60942.0;18225.0;1030.0;115.0
95;Totaal;Bouwjaar 2017;2022;78899.0;59607.0;18107.0;1071.0;114.0
96;Totaal;Bouwjaar 2016;2007;;;;;
97;Totaal;Bouwjaar 2016;2008;;;;;
98;Totaal;Bouwjaar 2016;2009;;;;;
99;Totaal;Bouwjaar 2016;2010;;;;;
100;Totaal;Bouwjaar 2016;2011;;;;;
101;Totaal;Bouwjaar 2016;2012;;;;;
102;Totaal;Bouwjaar 2016;2013;;;;;
103;Totaal;Bouwjaar 2016;2014;;;;;
104;Totaal;Bouwjaar 2016;2015;;;;;
105;Totaal;Bouwjaar 2016;2016;;;;;
106;Totaal;Bouwjaar 2016;2017;67374.0;49437.0;16868.0;793.0;276.0
107;Totaal;Bouwjaar 2016;2018;65976.0;48527.0;16361.0;813.0;275.0
108;Totaal;Bouwjaar 2016;2019;64521.0;47799.0;15655.0;800.0;267.0
109;Totaal;Bouwjaar 2016;2020;63365.0;46974.0;15320.0;840.0;231.0
110;Totaal;Bouwjaar 2016;2021;62227.0;46319.0;14870.0;914.0;124.0
111;Totaal;Bouwjaar 2016;2022;60921.0;45201.0;14660.0;939.0;121.0
112;Totaal;Bouwjaar 2015;2007;;;;;
113;Totaal;Bouwjaar 2015;2008;;;;;
114;Totaal;Bouwjaar 2015;2009;;;;;
115;Totaal;Bouwjaar 2015;2010;;;;;
116;Totaal;Bouwjaar 2015;2011;;;;;
117;Totaal;Bouwjaar 2015;2012;;;;;
118;Totaal;Bouwjaar 2015;2013;;;;;
119;Totaal;Bouwjaar 2015;2014;;;;;
120;Totaal;Bouwjaar 2015;2015;;;;;
121;Totaal;Bouwjaar 2015;2016;65275.0;46967.0;17378.0;751.0;179.0
122;Totaal;Bouwjaar 2015;2017;63603.0;45796.0;16904.0;729.0;174.0
123;Totaal;Bouwjaar 2015;2018;62243.0;45138.0;16230.0;703.0;172.0
124;Totaal;Bouwjaar 2015;2019;61085.0;44682.0;15544.0;695.0;164.0
125;Totaal;Bouwjaar 2015;2020;59701.0;43814.0;15032.0;732.0;123.0
126;Totaal;Bouwjaar 2015;2021;58302.0;43027.0;14405.0;748.0;122.0
127;Totaal;Bouwjaar 2015;2022;56842.0;41867.0;14091.0;762.0;122.0
128;Totaal;Bouwjaar 2014;2007;;;;;
129;Totaal;Bouwjaar 2014;2008;;;;;
130;Totaal;Bouwjaar 2014;2009;;;;;
131;Totaal;Bouwjaar 2014;2010;;;;;
132;Totaal;Bouwjaar 2014;2011;;;;;
133;Totaal;Bouwjaar 2014;2012;;;;;
134;Totaal;Bouwjaar 2014;2013;;;;;
135;Totaal;Bouwjaar 2014;2014;;;;;
136;Totaal;Bouwjaar 2014;2015;62430.0;45516.0;15994.0;726.0;194.0
137;Totaal;Bouwjaar 2014;2016;60722.0;44282.0;15539.0;703.0;198.0
138;Totaal;Bouwjaar 2014;2017;59631.0;43703.0;15035.0;704.0;189.0
139;Totaal;Bouwjaar 2014;2018;58536.0;43222.0;14401.0;725.0;188.0
140;Totaal;Bouwjaar 2014;2019;57580.0;42910.0;13771.0;715.0;184.0
141;Totaal;Bouwjaar 2014;2020;56311.0;42108.0;13321.0;737.0;145.0
