ID;BedrijfstakBranchesSBI2008;Perioden;Werknemer_1;WerkzamePersoon_2;Werknemer_3;WerkzamePersoon_4;Totaal_5;NettoOmzet_6;OverigeBedrijfsopbrengsten_7;Totaal_8;Totaal_9;Totaal_10;BeginvoorraadGrondEnHulpstoffen_11;InkopenGrondEnHulpstoffen_12;EindvoorraadGrondEnHulpstoffen_13;Totaal_14;BeginvoorraadHandelsgoederen_15;InkopenHandelsgoederen_16;EindvoorraadHandelsgoederen_17;KostenUitbesteedWerk_18;InkoopwaardeOverigeGoederenDiensten_19;Totaal_20;Brutolonen_21;Totaal_22;SocialeVerzekeringspremiesWerkgever_23;PremiesPensioenVutInkoopsommen_24;OverigeSocialeLasten_25;OverigePersoneleKosten_26;Totaal_27;KostenEnergieverbruik_28;Huisvestingskosten_29;KostenApparatuurEnInventaris_30;KostenVervoermiddelen_31;Verkoopkosten_32;Communicatiekosten_33;KostenVanOverigeDiensten_34;NietEerderGenoemdeBedrijfskosten_35;AfschrijvingenOpVasteActiva_36;Bedrijfsresultaat_37;SaldoFinancieleBatenEnLasten_38;SaldoVoorzieningen_39;SaldoBuitengewoneBatenEnLasten_40;ResultaatVoorBelastingen_41
0;E Waterbedrijven en afvalbeheer;2009;31.5;37.9;29.4;34.6;8493;8269;224;7663;3013;1272;;;;110;;;;1475;157;1922;1255;278;147;131;17;373;1836;176;228;285;301;40;39;214;555;892;830;-157;-107;90;656
1;E Waterbedrijven en afvalbeheer;2010;32.3;38.6;30.2;35.4;9075;8806;269;8174;3425;1651;;;;176;;;;1443;154;1994;1304;295;158;138;20;376;1862;171;244;298;330;38;41;219;520;893;901;-238;1;2;665
2;E Waterbedrijven en afvalbeheer;2011;34.0;40.6;31.0;36.3;9854;9588;266;9041;3909;2092;;;;207;;;;1441;169;2142;1415;326;170;156;22;381;1988;177;259;329;360;44;40;240;539;1002;813;-251;-10;-9;543
3;E Waterbedrijven en afvalbeheer;2012;31.8;38.6;29.3;34.6;9646;9390;256;8881;3953;2277;;;;191;;;;1325;161;2077;1361;321;168;153;23;372;1838;202;234;353;381;41;38;233;357;1013;765;-209;-18;-155;384
4;E Waterbedrijven en afvalbeheer;2013;32.8;39.4;29.7;34.6;9658;9394;264;8960;3938;2284;;;;174;;;;1282;199;2161;1405;342;174;168;17;397;1844;204;249;333;375;48;38;240;358;1016;698;-241;-26;-16;415
5;36 Waterleidingbedrijven;2009;5.0;5.8;4.7;5.2;1639;1540;99;1380;128;94;8.0;94.0;8.0;0;0.0;0.0;0.0;29;6;374;240;52;21;31;2;79;597;63;39;31;17;4;16;105;322;280;260;-111;-36;1;114
6;36 Waterleidingbedrijven;2010;5.3;6.2;4.9;5.5;1675;1537;137;1393;135;77;5.0;78.0;5.0;0;0.0;1.0;1.0;41;16;407;259;55;23;32;2;90;544;59;38;29;19;5;18;100;276;308;282;-127;-19;1;138
7;36 Waterleidingbedrijven;2011;5.3;6.0;4.9;5.3;1675;1541;134;1380;129;74;3.0;72.0;1.0;0;0.0;0.0;0.0;43;12;405;267;58;24;35;2;78;527;57;40;29;19;5;17;95;265;320;295;-126;1;2;173
8;36 Waterleidingbedrijven;2012;5.4;6.0;5.0;5.4;1552;1419;133;1273;127;71;2.0;71.0;2.0;0;1.0;0.0;1.0;45;11;408;272;64;26;38;3;69;405;59;42;28;21;5;18;99;134;333;278;-112;-5;-14;148
9;36 Waterleidingbedrijven;2013;5.3;5.9;4.9;5.3;1574;1441;134;1276;140;71;2.0;70.0;1.0;1;0.0;1.0;0.0;55;13;413;282;67;27;40;3;61;397;62;44;29;22;6;16;101;117;327;298;-106;-8;-12;172
10;37 Afvalwaterinzameling en -behandeling;2009;3.5;4.1;3.3;3.8;679;663;17;654;250;51;;;;7;;;;121;72;231;149;32;16;15;4;47;139;28;26;16;23;3;7;16;21;33;26;-7;0;-2;17
11;37 Afvalwaterinzameling en -behandeling;2010;3.7;4.1;3.5;3.8;656;644;12;631;244;47;;;;7;;;;116;74;226;156;34;18;16;4;32;130;21;30;19;22;3;7;18;11;31;26;-5;0;-2;19
12;37 Afvalwaterinzameling en -behandeling;2011;3.9;4.2;3.6;3.9;666;658;8;645;245;46;;;;1;;;;137;60;235;166;36;20;17;5;28;132;24;30;21;21;3;5;16;13;32;21;-5;0;-1;15
13;37 Afvalwaterinzameling en -behandeling;2012;3.7;4.0;3.5;3.7;664;648;16;647;257;54;;;;1;;;;138;65;235;165;39;20;18;4;27;122;28;13;26;18;3;4;16;13;33;17;-3;-2;-2;10
14;37 Afvalwaterinzameling en -behandeling;2013;3.9;4.2;3.6;3.9;671;663;9;650;260;56;;;;2;;;;125;76;244;171;42;23;20;3;28;117;20;14;30;19;4;6;15;11;29;22;-8;0;0;14
15;38 Afvalbehandeling en recycling;2009;21.0;25.5;19.7;23.4;5740;5635;104;5216;2406;1041;;;;101;;;;1187;77;1208;792;179;99;80;10;227;1036;81;154;230;247;27;14;87;195;566;524;-39;-71;90;504
16;38 Afvalbehandeling en recycling;2010;21.6;26.1;20.3;24.1;6369;6253;116;5799;2860;1453;;;;169;;;;1180;58;1269;825;192;107;85;13;239;1129;88;166;243;279;26;15;95;218;541;570;-107;-4;1;461
17;38 Afvalbehandeling en recycling;2011;22.9;27.7;20.7;24.7;7080;6958;122;6591;3314;1865;;;;204;;;;1156;90;1383;904;215;115;100;14;251;1260;92;178;270;306;31;17;120;246;633;489;-119;-10;-16;345
18;38 Afvalbehandeling en recycling;2012;20.9;26.2;19.2;23.3;7017;6914;103;6583;3391;2053;;;;189;;;;1073;77;1325;849;205;112;93;15;255;1239;112;169;286;326;30;14;109;192;628;434;-83;-10;-138;202
19;38 Afvalbehandeling en recycling;2013;21.9;26.8;19.7;23.4;6982;6861;120;6647;3346;2046;;;;170;;;;1028;102;1394;884;218;115;103;10;282;1261;120;184;262;319;34;15;117;210;646;334;-108;-18;-4;204
20;381 Inzameling van afval;2009;11.8;14.6;11.3;13.4;2179;2163;15;2023;808;180;;;;18;;;;586;24;647;413;101;55;46;4;129;436;14;57;52;177;9;7;39;81;132;155;25;-2;9;188
21;381 Inzameling van afval;2010;11.9;14.8;11.3;13.7;2385;2365;20;2239;937;259;;;;36;;;;630;12;691;430;108;59;48;5;149;474;14;64;46;197;10;8;35;100;138;146;-5;-1;0;140
22;381 Inzameling van afval;2011;12.2;14.9;10.9;13.0;2347;2332;15;2216;884;277;;;;22;;;;565;20;692;436;114;59;55;7;134;491;13;62;45;203;10;8;42;108;150;130;-13;-2;2;117
23;381 Inzameling van afval;2012;10.6;13.5;9.6;11.7;2186;2173;13;2107;826;274;;;;19;;;;514;19;641;399;104;56;47;8;131;475;13;58;50;225;11;7;33;78;165;79;-19;2;-158;-95
24;381 Inzameling van afval;2013;10.8;13.3;9.6;11.4;2126;2119;7;2071;817;292;;;;28;;;;469;29;635;402;104;56;48;5;125;455;13;62;43;204;13;7;33;80;163;55;-35;-1;8;27
25;382 Behandeling van afval;2009;5.3;6.2;4.9;5.8;2001;1945;56;1731;648;146;;;;14;;;;458;31;353;237;48;25;23;4;65;383;36;62;130;42;8;4;31;71;347;270;-49;-69;16;168
26;382 Behandeling van afval;2010;5.5;6.4;5.1;6.0;1926;1869;57;1653;586;144;;;;28;;;;400;14;358;249;52;28;25;4;52;397;39;60;135;44;7;5;37;70;313;273;-85;0;-3;185
27;382 Behandeling van afval;2011;6.0;7.2;5.5;6.5;2147;2075;72;1936;702;249;;;;45;;;;396;12;419;285;60;31;30;3;71;448;32;65;156;48;10;5;48;84;367;211;-94;-7;-13;97
28;382 Behandeling van afval;2012;5.6;7.0;5.2;6.5;1950;1892;57;1736;551;129;;;;45;;;;364;13;408;271;60;29;31;5;72;426;50;60;152;45;8;4;45;62;351;214;-68;-11;-20;116
29;382 Behandeling van afval;2013;6.6;8.1;6.1;7.4;2194;2092;102;1981;645;186;;;;36;;;;385;38;488;303;72;33;39;3;110;470;60;67;147;55;7;5;57;71;378;212;-68;-16;-53;75
30;383 Voorbereiding tot recycling;2009;3.9;4.7;3.5;4.2;1560;1527;33;1461;950;715;;;;69;;;;144;22;208;143;30;19;11;2;33;216;31;35;48;29;10;3;17;43;88;98;-15;0;65;148
31;383 Voorbereiding tot recycling;2010;4.1;4.9;3.8;4.5;2058;2020;39;1908;1338;1050;;;;104;;;;150;33;220;146;32;20;13;3;38;259;36;42;62;38;9;3;22;48;91;151;-16;-2;4;136
32;383 Voorbereiding tot recycling;2011;4.7;5.6;4.3;5.1;2587;2552;35;2439;1729;1339;;;;136;;;;195;59;273;183;40;25;15;4;46;322;48;52;70;55;10;4;30;54;116;148;-11;-1;-5;131
33;383 Voorbereiding tot recycling;2012;4.7;5.6;4.3;5.1;2881;2848;33;2740;2014;1650;;;;124;;;;195;45;275;180;41;26;15;3;52;339;49;51;85;56;11;4;31;53;112;141;3;-2;39;182
34;383 Voorbereiding tot recycling;2013;4.6;5.3;4.0;4.6;2662;2651;11;2595;1884;1569;;;;106;;;;174;35;271;179;42;26;16;2;47;336;47;54;72;60;13;4;28;58;105;66;-5;-1;42;102
35;39 Sanering en overig afvalbeheer;2009;2.0;2.5;1.8;2.2;435;431;4;414;229;87;;;;1;;;;139;2;108;73;16;11;5;1;20;64;4;8;7;13;6;2;6;17;14;20;0;0;0;20
36;39 Sanering en overig afvalbeheer;2010;1.7;2.2;1.5;1.9;375;371;4;351;186;74;;;;0;;;;106;5;93;64;14;9;4;1;15;59;3;10;8;10;5;2;7;15;13;24;0;23;0;48
37;39 Sanering en overig afvalbeheer;2011;2.0;2.6;1.8;2.4;433;431;2;425;220;107;;;;2;;;;105;7;119;78;16;11;5;1;23;69;4;12;9;13;5;2;8;16;16;8;-2;-1;7;12
38;39 Sanering en overig afvalbeheer;2012;1.9;2.5;1.7;2.1;414;409;5;379;178;99;;;;1;;;;70;8;109;74;14;10;4;1;21;72;3;10;12;15;3;2;9;18;19;36;-11;-1;-1;24
39;39 Sanering en overig afvalbeheer;2013;1.7;2.5;1.6;2.1;431;429;2;386;193;110;;;;1;;;;75;8;111;67;15;10;5;1;27;69;2;8;11;16;4;2;6;21;13;44;-20;0;0;25
