ID;Partij;GeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;Totaal_3;Mannen_4;Vrouwen_5
0;Totaal;9172159;100.0;150;123;27
1;AR'85;3664;0.0;0;0;0
2;BRUM;65;0.0;0;0;0
3;CD;12277;0.1;0;0;0
4;2;3172918;34.6;54;45;9
5;1;36741;0.4;0;0;0
6;3;57847;0.6;0;0;0
7;4;562466;6.1;9;8;1
8;5;21998;0.2;0;0;0
9;FG;18641;0.2;0;0;0
10;GMO;2375;0.0;0;0;0
11;6;88381;1.0;1;1;0
12;HP;463;0.0;0;0;0
13;Loesje;12882;0.1;0;0;0
14;PAB;2128;0.0;0;0;0
15;PAT;4500;0.0;0;0;0
16;VCN;4618;0.1;0;0;0
17;PGI;1184;0.0;0;0;0
18;9;115203;1.3;2;1;1
19;7;110182;1.2;1;0;1
20;8;3051678;33.3;52;42;10
21;PvdM;15297;0.2;0;0;0
22;RPF;83582;0.9;1;1;0
23;SAP;3634;0.0;0;0;0
24;SGP;159740;1.7;3;3;0
25;SP;32144;0.4;0;0;0
26;VVD;1596991;17.4;27;22;5
27;WIS;560;0.0;0;0;0
